Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Rafer Alston,30.3,HOU,Point,308,95,+20.0,93,+15.2,76,+3.4%,95,-5.4%,33,-1.6,56,+1.0,34,-7.3
Carmelo Anthony,22.4,DEN,Wing,209,75,+7.8,82,+10.7,73,+3.1%,0,+9.0%,68,+3.3,32,-2.0,78,+29.2
Leandro Barbosa,23.9,PHX,Combo,344,13,-6.5,27,-3.8,54,-0.1%,89,-4.2%,32,-1.6,68,+2.1,15,-25.6
Andrea Bargnani,21.0,TOR,Big,174,30,-2.9,32,-2.7,9,-8.5%,51,-0.2%,43,-0.1,23,-3.2,70,+21.0
Matt Barnes,26.6,GSW,Forward,328,75,+7.9,82,+11.3,56,+0.8%,49,+0.1%,57,+1.9,96,+8.7,1,-60.5
Brent Barry,34.8,SAS,Wing,209,14,-6.2,22,-4.9,41,-1.9%,69,-1.6%,31,-1.7,44,-0.7,36,-7.1
Shane Battier,28.1,HOU,Forward,271,46,+0.2,47,+2.0,16,-5.4%,43,+0.8%,83,+9.1,72,+3.0,89,+42.9
Raja Bell,30.1,PHX,Wing,437,39,-0.7,92,+14.6,30,-3.2%,7,+5.7%,14,-6.3,43,-0.9,9,-32.6
Andris Biedrins,20.6,GSW,Big,264,33,-1.7,42,+0.6,55,+0.7%,55,-0.5%,44,-0.1,58,+1.0,39,-5.6
Chauncey Billups,30.1,DET,Point,647,94,+19.4,97,+23.0,12,-6.2%,22,+2.4%,17,-5.8,17,-4.3,39,-5.5
Steve Blake,26.7,DEN,Point,179,86,+12.0,65,+5.3,80,+4.3%,64,-1.2%,95,+15.3,89,+7.0,85,+38.4
Josh Boone,21.9,NJN,Big,103,47,+0.9,75,+6.8,18,-5.1%,8,+5.4%,11,-7.0,5,-8.0,72,+23.0
Carlos Boozer,24.9,UTA,Big,651,80,+10.0,84,+11.4,5,-9.3%,53,-0.3%,82,+8.7,55,+0.9,83,+36.6
Chris Bosh,22.6,TOR,Big,222,26,-3.4,20,-6.3,95,+7.8%,71,-1.9%,68,+3.6,77,+3.5,59,+9.5
Bruce Bowen,35.4,SAS,Wing,684,27,-3.3,31,-3.2,28,-3.8%,27,+1.9%,71,+4.2,50,+0.3,76,+26.5
Kwame Brown,24.6,LAL,Big,132,74,+7.8,48,+2.1,96,+10.7%,33,+1.4%,55,+1.8,81,+4.2,32,-7.8
P.J. Brown,37.0,CHI,Big,225,46,+0.7,10,-9.7,90,+6.7%,79,-3.0%,93,+12.6,46,-0.3,96,+69.5
Kobe Bryant,28.2,LAL,Wing,211,99,+30.0,62,+5.0,22,-4.2%,4,+6.4%,97,+22.5,9,-7.3,98,+102.4
Jose Calderon,25.1,TOR,Point,138,58,+5.4,60,+4.4,10,-7.7%,15,+3.4%,32,-1.6,22,-3.3,55,+8.6
Marcus Camby,32.6,DEN,Big,184,93,+19.4,95,+18.3,74,+3.2%,57,-0.5%,88,+10.1,76,+3.4,82,+35.3
Vince Carter,29.8,NJN,Wing,484,37,-1.0,39,-0.4,36,-2.6%,11,+4.0%,69,+4.1,24,-2.9,92,+48.6
Jarron Collins,27.9,UTA,Big,100,41,-0.6,40,-0.2,39,-2.2%,5,+6.1%,2,-17.9,2,-13.0,17,-19.2
Jason Collins,27.9,NJN,Big,328,29,-3.0,17,-7.4,85,+5.3%,88,-4.2%,37,-0.6,70,+2.7,13,-27.9
Antonio Daniels,31.6,WAS,Point,175,100,+32.8,100,+32.0,0,-14.7%,25,+2.0%,94,+13.2,39,-1.2,97,+87.0
Baron Davis,27.6,GSW,Point,442,87,+12.0,85,+12.2,6,-9.1%,41,+0.9%,25,-3.1,4,-10.3,84,+37.4
