Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Carlos Delfino,24.2,DET,Wing,122,0,-21.2,1,-23.5,68,+2.2%,25,+2.0%,29,-1.9,35,-1.6,44,0.0
Luol Deng,21.5,CHI,Forward,409,35,-1.7,74,+6.7,92,+7.0%,70,-1.8%,76,+6.4,86,+6.4,27,-10.1
Boris Diaw,24.5,PHX,Big,227,39,-0.8,45,+1.5,42,-1.4%,75,-2.6%,46,-0.1,73,+3.0,20,-17.3
DeSagana Diop,24.8,DAL,Big,139,82,+11.2,77,+8.4,70,+2.4%,44,+0.7%,67,+3.2,68,+2.1,49,+4.5
Chris Duhon,24.2,CHI,Point,156,24,-4.3,57,+3.4,75,+3.2%,3,+6.9%,8,-10.0,11,-5.9,18,-17.9
Tim Duncan,30.5,SAS,Big,733,57,+5.1,46,+1.7,66,+1.8%,65,-1.3%,92,+11.5,83,+4.9,95,+57.9
Monta Ellis,21.0,GSW,Combo,231,4,-14.9,4,-15.7,48,-0.6%,36,+1.3%,36,-1.0,31,-2.0,56,+8.6
Francisco Elson,30.7,SAS,Big,213,9,-9.7,11,-9.2,46,-0.9%,76,-2.6%,40,-0.3,79,+3.6,16,-23.9
Jordan Farmar,19.9,LAL,Point,114,61,+5.8,41,+0.2,44,-1.0%,46,+0.5%,54,+1.5,25,-2.9,68,+19.2
Michael Finley,33.7,SAS,Forward,535,64,+6.3,61,+5.0,72,+2.5%,52,-0.3%,59,+2.2,65,+1.5,52,+6.1
Derek Fisher,32.2,UTA,Combo,437,16,-6.1,50,+2.7,8,-8.9%,6,+5.8%,3,-16.8,3,-11.5,26,-10.2
T.J. Ford,23.6,TOR,Point,136,15,-6.2,18,-7.2,94,+7.7%,90,-4.9%,54,+1.6,75,+3.3,31,-8.6
Devean George,29.2,DAL,Forward,103,22,-4.4,15,-8.5,81,+4.4%,98,-6.7%,73,+4.8,75,+3.2,50,+5.3
Daniel Gibson,20.7,CLE,Combo,398,79,+9.2,80,+9.7,82,+4.6%,38,+1.1%,47,+0.6,69,+2.3,25,-10.2
Manu Ginobili,29.3,SAS,Wing,599,72,+7.7,76,+8.3,47,-0.8%,68,-1.5%,22,-3.6,40,-1.1,22,-16.2
Gordan Giricek,29.4,UTA,Wing,298,18,-5.1,35,-1.7,54,+0.0%,48,+0.2%,21,-4.0,42,-0.9,23,-15.6
Drew Gooden,25.1,CLE,Big,604,43,-0.3,38,-0.8,29,-3.3%,32,+1.6%,75,+5.1,51,+0.4,74,+25.7
Ben Gordon,23.6,CHI,Wing,393,96,+22.4,56,+3.2,20,-4.6%,74,-2.6%,98,+24.7,39,-1.2,99,+130.9
Richard Hamilton,28.7,DET,Wing,634,60,+5.7,23,-4.4,97,+11.4%,86,-3.9%,85,+9.2,85,+6.3,67,+18.7
Matt Harpring,30.4,UTA,Wing,429,48,+1.7,29,-3.5,93,+7.5%,54,-0.4%,61,+2.3,60,+1.1,47,+4.5
Al Harrington,26.7,GSW,Big,258,33,-1.7,37,-1.5,40,-1.9%,77,-2.9%,44,-0.1,47,-0.1,45,+0.3
Devin Harris,23.7,DAL,Combo,160,45,-0.1,89,+13.9,3,-10.8%,9,+5.0%,5,-11.4,4,-9.8,41,-3.6
Udonis Haslem,26.4,MIA,Big,102,49,+2.0,73,+6.4,87,+6.0%,93,-5.2%,78,+7.5,99,+11.2,6,-39.6
Chuck Hayes,23.4,HOU,Big,196,23,-4.4,28,-3.8,27,-3.8%,28,+1.8%,56,+1.9,49,-0.0,54,+8.1
Jarvis Hayes,25.2,WAS,Forward,137,31,-2.3,61,+4.6,1,-13.8%,42,+0.8%,9,-9.4,14,-4.6,8,-35.3
Luther Head,23.9,HOU,Combo,138,32,-1.8,36,-1.5,32,-3.1%,82,-3.6%,42,-0.1,33,-2.0,61,+10.7
Nene Hilario,24.1,DEN,Big,178,1,-18.8,4,-16.1,4,-10.1%,4,+6.1%,77,+7.3,16,-4.4,90,+44.3
Grant Hill,34.1,ORL,Forward,142,91,+14.0,87,+12.7,35,-2.7%,16,+3.3%,99,+25.1,96,+8.7,93,+56.2
Kirk Hinrich,25.8,CHI,Combo,361,54,+4.1,71,+5.8,7,-9.0%,78,-2.9%,51,+1.3,66,+1.8,30,-8.6
Robert Horry,36.2,SAS,Big,357,18,-4.9,25,-4.1,63,+1.5%,40,+1.0%,20,-4.2,19,-3.7,38,-5.8
Dwight Howard,20.9,ORL,Big,167,4,-16.6,75,+7.0,4,-10.7%,2,+7.2%,0,-30.3,1,-14.3,10,-32.5
Josh Howard,26.5,DAL,Wing,247,83,+11.4,83,+11.4,69,+2.4%,23,+2.3%,4,-12.6,11,-5.2,11,-31.1
Juwan Howard,33.7,HOU,Big,154,63,+5.9,54,+3.1,82,+4.7%,59,-0.7%,35,-1.2,61,+1.2,24,-14.3
Larry Hughes,27.8,CLE,Combo,637,20,-4.7,8,-10.7,71,+2.5%,75,-2.6%,79,+7.6,80,+3.6,73,+23.1
Lindsey Hunter,35.9,DET,Point,118,2,-18.2,5,-15.2,60,+1.1%,80,-3.1%,15,-6.2,45,-0.6,11,-31.8
Zydrunas Ilgauskas,31.4,CLE,Big,647,19,-4.8,14,-8.7,49,-0.6%,29,+1.6%,86,+9.9,82,+4.8,77,+28.7
Allen Iverson,31.4,DEN,Combo,222,55,+4.2,13,-9.1,25,-3.8%,89,-4.5%,84,+9.1,88,+7.0,57,+9.1
Stephen Jackson,28.6,GSW,Wing,451,17,-5.8,12,-9.2,31,-3.1%,84,-3.7%,11,-6.8,8,-7.3,62,+13.1
LeBron James,21.8,CLE,Wing,889,73,+7.7,79,+9.7,51,-0.6%,46,+0.4%,52,+1.5,20,-3.7,75,+25.8
Antawn Jamison,30.4,WAS,Forward,172,66,+6.4,78,+8.6,79,+3.7%,97,-6.4%,46,-0.1,29,-2.2,61,+11.6
Richard Jefferson,26.4,NJN,Forward,487,65,+6.4,46,+1.6,43,-1.1%,91,-5.0%,90,+11.0,92,+8.3,86,+39.3
Damon Jones,30.2,CLE,Combo,136,88,+12.2,98,+23.1,15,-5.8%,13,+3.6%,10,-8.3,6,-8.0,46,+2.3
James Jones,26.1,PHX,Wing,160,44,-0.1,30,-3.4,59,+1.0%,39,+1.0%,80,+8.2,54,+0.9,91,+48.3
Jason Kidd,33.6,NJN,Point,483,89,+12.2,55,+3.2,88,+6.1%,99,-9.0%,91,+11.3,95,+8.7,86,+39.3
Andrei Kirilenko,25.7,UTA,Wing,521,56,+4.6,64,+5.1,24,-4.1%,63,-1.1%,74,+4.9,59,+1.1,66,+18.0
Shawn Marion,28.5,PHX,Forward,454,40,-0.7,11,-9.3,57,+0.9%,47,+0.2%,13,-6.4,12,-5.0,33,-7.8
Donyell Marshall,33.5,CLE,Big,201,61,+5.8,70,+5.6,64,+1.5%,61,-1.0%,23,-3.3,25,-2.8,42,-1.9
Jason Maxiell,23.7,DET,Big,131,50,+2.1,68,+5.5,68,+2.3%,17,+3.2%,64,+2.8,34,-1.9,79,+29.3
Antonio McDyess,32.2,DET,Big,348,6,-12.7,7,-15.0,84,+5.1%,73,-2.0%,28,-1.9,74,+3.2,12,-29.3
Tracy McGrady,27.4,HOU,Wing,279,59,+5.5,66,+5.4,78,+3.7%,31,+1.6%,18,-4.3,46,-0.4,14,-27.2
Darko Milicic,21.4,ORL,Big,114,89,+12.5,88,+13.6,89,+6.2%,96,-6.3%,41,-0.3,94,+8.6,4,-50.0
Paul Millsap,21.7,UTA,Big,247,25,-3.6,16,-8.3,98,+11.9%,66,-1.4%,75,+6.4,87,+6.8,32,-8.6
Mikki Moore,31.0,NJN,Big,393,85,+11.9,68,+5.5,86,+5.9%,96,-6.2%,82,+9.0,89,+7.1,64,+17.0
Ronald Murray,27.3,DET,Combo,124,11,-8.4,18,-7.1,19,-4.8%,56,-0.5%,61,+2.3,41,-1.1,69,+20.9
Bostjan Nachbar,26.3,NJN,Forward,273,53,+3.8,49,+2.6,53,-0.2%,21,+2.5%,50,+1.1,48,-0.1,54,+8.0
Steve Nash,32.7,PHX,Point,412,71,+7.4,63,+5.1,33,-2.8%,19,+2.7%,25,-2.4,13,-4.6,60,+9.8
Jameer Nelson,24.7,ORL,Point,129,76,+8.0,39,-0.7,38,-2.4%,24,+2.3%,100,+27.5,98,+11.2,93,+56.2
Andres Nocioni,26.9,CHI,Wing,189,25,-4.1,19,-6.3,37,-2.4%,14,+3.4%,39,-0.4,26,-2.7,68,+19.2
Dirk Nowitzki,28.4,DAL,Big,237,68,+6.6,90,+14.1,52,-0.5%,11,+3.9%,60,+2.3,38,-1.3,65,+17.8
Shaquille O'Neal,34.7,MIA,Big,120,8,-11.0,3,-18.4,58,+0.9%,87,-4.1%,89,+10.7,97,+9.3,51,+5.6
Fabricio Oberto,31.6,SAS,Big,414,68,+6.6,72,+6.2,61,+1.2%,18,+2.8%,19,-4.3,28,-2.3,25,-13.6
Lamar Odom,27.0,LAL,Big,191,7,-11.8,2,-22.9,62,+1.4%,94,-5.2%,96,+18.2,90,+7.5,96,+64.3
Mehmet Okur,27.4,UTA,Big,584,36,-1.4,32,-2.7,21,-4.3%,68,-1.6%,58,+2.1,57,+1.0,48,+4.5
Anthony Parker,31.4,TOR,Wing,239,92,+15.2,96,+20.7,2,-13.5%,10,+4.6%,4,-14.5,7,-7.9,2,-55.6
Tony Parker,24.5,SAS,Point,746,78,+8.8,81,+10.2,18,-5.1%,54,-0.4%,65,+2.8,15,-4.4,89,+43.2
Sasha Pavlovic,23.0,CLE,Wing,611,12,-8.0,26,-3.9,23,-4.2%,35,+1.3%,24,-3.3,36,-1.5,29,-9.2
Morris Peterson,29.2,TOR,Wing,183,96,+23.9,89,+13.8,99,+12.3%,72,-1.9%,81,+8.4,93,+8.3,80,+30.0
Mickael Pietrus,24.7,GSW,Forward,203,42,-0.3,33,-2.5,77,+3.4%,30,+1.6%,72,+4.6,67,+2.1,58,+9.3
James Posey,29.8,MIA,Wing,136,97,+24.1,96,+18.5,83,+4.7%,67,-1.5%,38,-0.4,64,+1.3,21,-16.7
Tayshaun Prince,26.7,DET,Wing,660,98,+27.6,99,+31.2,13,-6.0%,60,-0.7%,63,+2.7,62,+1.3,53,+7.0
Jason Richardson,25.8,GSW,Wing,426,81,+10.6,69,+5.5,89,+6.5%,26,+2.0%,49,+1.0,53,+0.6,46,+3.6
Eric Snow,33.5,CLE,Point,241,11,-9.1,6,-15.0,65,+1.8%,81,-3.4%,30,-1.9,63,+1.3,18,-17.9
Jerry Stackhouse,32.0,DAL,Wing,168,52,+3.4,52,+3.0,91,+7.0%,82,-3.6%,53,+1.5,82,+4.3,19,-17.4
DeShawn Stevenson,25.6,WAS,Wing,122,3,-17.3,0,-24.9,46,-0.8%,92,-5.1%,34,-1.5,32,-2.0,43,-1.3
Amar'e Stoudemire,24.0,PHX,Big,342,77,+8.5,43,+0.9,96,+8.4%,85,-3.9%,87,+10.1,91,+8.0,75,+26.2
Jason Terry,29.1,DAL,Point,229,62,+5.9,25,-4.2,39,-2.2%,18,+3.1%,70,+4.1,37,-1.4,81,+30.3
Kurt Thomas,34.1,PHX,Big,205,21,-4.6,34,-1.9,25,-3.9%,12,+3.6%,12,-6.8,10,-6.8,37,-6.3
Tyrus Thomas,20.2,CHI,Big,105,28,-3.0,58,+4.0,50,-0.6%,34,+1.3%,16,-6.1,71,+2.7,4,-48.2
Hedo Turkoglu,27.6,ORL,Wing,155,82,+10.8,67,+5.4,14,-5.8%,1,+8.8%,1,-21.4,0,-14.8,40,-4.6
Anderson Varejao,24.1,CLE,Big,443,38,-0.8,51,+2.8,67,+2.0%,62,-1.0%,7,-10.6,27,-2.4,5,-44.1
Jacque Vaughn,31.7,SAS,Point,192,10,-9.1,9,-10.0,75,+3.4%,39,+1.0%,26,-2.4,78,+3.6,7,-36.7
Dwyane Wade,24.8,MIA,Combo,161,51,+2.2,21,-5.3,100,+16.9%,100,-11.3%,96,+19.0,100,+17.6,100,
Ben Wallace,32.1,CHI,Big,369,84,+11.7,94,+15.7,26,-3.8%,83,-3.6%,27,-1.9,84,+5.2,3,-51.8
Rasheed Wallace,32.1,DET,Big,571,90,+13.5,91,+14.4,11,-6.3%,32,+1.5%,48,+0.8,21,-3.3,71,+21.3
Luke Walton,26.6,LAL,Forward,127,69,+7.0,44,+0.9,34,-2.8%,61,-0.8%,89,+10.2,61,+1.2,88,+39.5
Chris Webber,33.7,DET,Big,403,54,+3.9,53,+3.1,45,-0.9%,45,+0.7%,39,-0.4,54,+0.8,35,-7.3
Deron Williams,22.3,UTA,Point,654,67,+6.5,54,+3.2,17,-5.2%,58,-0.7%,66,+2.9,18,-4.1,82,+36.3
Jason Williams,31.0,MIA,Point,110,70,+7.2,86,+12.6,32,-2.9%,37,+1.1%,18,-4.5,30,-2.2,28,-10.0
Antoine Wright,22.7,NJN,Forward,149,5,-12.9,24,-4.2,61,+1.1%,20,+2.6%,6,-10.6,18,-3.8,0,-62.1
Yao Ming,26.1,HOU,Big,259,32,-2.3,59,+4.3,11,-7.2%,50,-0.2%,62,+2.6,52,+0.5,63,+15.2
