Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Rafer Alston,30.3,HOU,Point,308,95,+20.0,82,+2.7,97,+6.0%,98,+97.6,88,+2.2,37,-6.1%,90,+72.7,100,,98,+17.1%,100,
Carmelo Anthony,22.4,DEN,Wing,209,75,+7.8,44,-0.3,0,-9.0%,90,+42.9,37,-0.5,32,-6.7%,82,+46.2,55,+0.2,2,-16.3%,79,+36.0
Leandro Barbosa,23.9,PHX,Combo,344,13,-6.5,13,-2.5,82,+2.7%,7,-31.8,55,+0.3,63,+5.5%,41,-7.7,9,-2.7,78,+5.3%,8,-36.9
Andrea Bargnani,21.0,TOR,Big,174,30,-2.9,84,+3.1,80,+2.3%,93,+49.3,82,+1.7,36,-6.2%,92,+82.1,83,+2.6,74,+4.6%,91,+54.4
Matt Barnes,26.6,GSW,Forward,328,75,+7.9,33,-0.9,19,-2.3%,47,-0.1,31,-0.7,39,-5.5%,52,+3.3,50,+0.1,49,-0.2%,54,+2.4
Brent Barry,34.8,SAS,Wing,209,14,-6.2,34,-0.9,47,-0.1%,38,-6.5,54,+0.2,31,-7.2%,49,+1.8,36,-0.9,68,+2.9%,42,-7.4
Shane Battier,28.1,HOU,Forward,271,46,+0.2,68,+1.4,14,-3.2%,73,+18.2,10,-1.7,2,-36.2%,10,-44.4,89,+3.4,46,-1.2%,86,+42.4
Raja Bell,30.1,PHX,Wing,437,39,-0.7,3,-5.9,4,-5.0%,11,-27.9,5,-2.4,14,-17.7%,15,-33.3,5,-3.3,20,-5.6%,18,-23.7
Andris Biedrins,20.6,GSW,Big,264,33,-1.7,15,-2.4,75,+2.1%,22,-16.9,50,-0.0,25,-9.3%,51,+2.9,13,-2.0,61,+2.1%,14,-26.1
Chauncey Billups,30.1,DET,Point,647,94,+19.4,71,+1.7,23,-1.8%,78,+22.7,83,+1.9,6,-23.0%,86,+57.1,45,-0.2,32,-3.5%,56,+5.2
Steve Blake,26.7,DEN,Point,179,86,+12.0,59,+0.7,29,-1.5%,77,+22.4,44,-0.4,61,+4.8%,32,-13.6,65,+1.1,11,-8.4%,80,+36.2
Josh Boone,21.9,NJN,Big,103,47,+0.9,11,-3.0,15,-3.0%,25,-14.2,12,-1.7,41,-5.0%,14,-35.9,24,-1.3,70,+3.0%,43,-5.3
Carlos Boozer,24.9,UTA,Big,651,80,+10.0,51,+0.2,58,+0.9%,61,+8.4,40,-0.4,4,-26.3%,65,+22.5,58,+0.3,92,+9.0%,54,+1.8
Chris Bosh,22.6,TOR,Big,222,26,-3.4,19,-1.9,25,-1.5%,10,-28.4,75,+1.2,73,+13.1%,68,+27.1,7,-2.9,9,-8.6%,5,-47.5
Bruce Bowen,35.4,SAS,Wing,684,27,-3.3,25,-1.4,43,-0.7%,30,-11.7,74,+1.1,34,-6.3%,77,+38.8,11,-2.5,27,-4.2%,6,-41.2
Kwame Brown,24.6,LAL,Big,132,74,+7.8,89,+3.7,10,-3.9%,85,+36.3,29,-0.7,1,-41.7%,75,+35.0,94,+4.2,57,+1.2%,93,+63.8
P.J. Brown,37.0,CHI,Big,225,46,+0.7,53,+0.3,95,+5.6%,41,-4.0,8,-2.0,68,+6.5%,8,-59.2,75,+1.6,91,+9.0%,62,+9.0
Kobe Bryant,28.2,LAL,Wing,211,99,+30.0,100,+9.9,44,-0.5%,99,+100.5,95,+4.4,0,-44.4%,96,+161.5,96,+4.9,54,+0.8%,95,+68.1
