Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,23.3,POR,Big,236,95,-14.6,11,+3.9,66,-0.9%,0,+74.0,23,+1.1,32,+7.1%,1,+185.7,10,+3.0,75,-3.8%,4,+45.9
Ray Allen,33.3,BOS,Wing,564,26,+5.5,22,+2.1,88,-2.6%,25,+16.9,28,+0.9,55,-2.7%,40,+13.8,43,+0.5,59,-1.3%,41,+10.5
Rafer Alston,32.3,ORL,Point,739,54,-0.6,20,+2.5,27,+1.2%,20,+21.3,28,+0.9,34,+6.2%,37,+18.0,22,+2.0,60,-1.4%,16,+28.5
Chris Andersen,30.3,DEN,Big,317,58,-1.5,22,+2.1,41,+0.4%,26,+16.8,60,-0.6,24,+11.3%,64,-18.6,12,+2.9,36,+2.0%,13,+32.9
Carmelo Anthony,24.4,DEN,Forward,610,14,+10.0,15,+3.1,1,+4.9%,10,+37.3,19,+1.4,11,+20.5%,9,+63.8,25,+1.8,0,+12.3%,12,+34.4
Trevor Ariza,23.3,LAL,Wing,720,47,-0.1,44,+0.2,26,+1.4%,36,+7.0,30,+0.8,38,+4.4%,31,+25.9,66,-0.6,34,+2.3%,61,-6.2
J.J. Barea,24.4,DAL,Combo,207,56,-1.2,52,-0.2,86,-2.5%,48,-0.4,91,-2.8,42,+1.8%,78,-37.7,22,+2.0,50,-0.6%,25,+21.2
Brandon Bass,23.5,DAL,Big,186,38,+1.7,49,-0.1,84,-2.3%,34,+7.9,44,+0.3,12,+18.0%,39,+16.7,65,-0.6,86,-6.6%,50,+2.0
Tony Battie,32.7,ORL,Big,124,20,+6.2,41,+0.5,78,-1.6%,35,+7.3,34,+0.6,52,-2.4%,24,+38.5,56,-0.2,14,+6.3%,58,-2.3
Shane Battier,30.1,HOU,Wing,495,27,+5.3,61,-0.8,57,-0.6%,66,-9.6,87,-2.1,99,-34.5%,63,-17.5,34,+0.9,19,+5.0%,49,+3.9
Michael Beasley,19.8,MIA,Big,163,18,+7.3,9,+4.1,25,+1.4%,16,+25.0,26,+1.0,67,-7.2%,41,+10.4,6,+3.5,61,-1.5%,9,+37.0
Mike Bibby,30.5,ATL,Point,387,64,-2.4,17,+2.9,66,-1.0%,16,+27.3,12,+2.2,70,-7.6%,3,+85.0,36,+0.9,53,-0.7%,47,+6.1
Chauncey Billups,32.1,DEN,Combo,616,39,+1.7,32,+1.2,71,-1.2%,43,+2.6,59,-0.5,79,-11.3%,55,-6.4,37,+0.8,79,-4.7%,60,-6.1
Steve Blake,28.7,POR,Point,229,7,+15.3,21,+2.2,85,-2.3%,14,+31.0,75,-1.4,89,-18.4%,56,-6.7,3,+3.9,42,+1.0%,0,+86.1
Carlos Boozer,26.9,UTA,Big,185,21,+6.1,43,+0.2,81,-1.8%,51,-1.0,42,+0.4,22,+11.4%,75,-34.8,52,+0.1,97,-12.7%,47,+4.5
Bruce Bowen,37.4,SAS,Wing,122,92,-12.8,99,-8.2,34,+0.7%,99,-69.3,48,+0.1,52,-2.4%,65,-20.0,99,-8.3,16,+5.4%,100,-93.8
Ronnie Brewer,23.6,UTA,Wing,157,83,-8.0,70,-1.7,94,-4.2%,32,+9.3,84,-2.0,66,-7.1%,72,-31.2,59,-0.3,78,-4.3%,23,+22.4
Aaron Brooks,23.8,HOU,Combo,438,19,+6.7,85,-3.1,28,+1.2%,97,-37.7,94,-3.1,72,-8.4%,92,-62.4,61,-0.4,20,+4.9%,72,-15.2
Shannon Brown,22.9,LAL,Point,260,32,+3.5,34,+1.1,43,+0.4%,44,+1.9,14,+2.0,26,+10.6%,23,+38.8,71,-1.1,52,-0.7%,75,-19.1
Kobe Bryant,30.2,LAL,Wing,939,45,+0.3,41,+0.5,65,-0.9%,22,+18.6,51,+0.1,59,-3.7%,27,+33.8,47,+0.4,47,+0.2%,42,+10.0
Rasual Butler,29.4,NOH,Wing,155,10,+11.6,88,-3.4,74,-1.5%,86,-25.9,97,-3.9,82,-13.3%,99,-95.2,38,+0.8,80,-4.8%,29,+18.2
Andrew Bynum,21.0,LAL,Big,399,51,-0.2,46,+0.2,14,+2.6%,41,+4.4,16,+1.7,43,+1.5%,25,+37.5,69,-1.1,22,+4.5%,65,-8.5
Anthony Carter,33.4,DEN,Point,212,25,+5.6,42,+0.2,28,+1.2%,55,-2.4,54,-0.2,21,+12.9%,59,-15.2,44,+0.5,34,+2.5%,43,+9.4
Mario Chalmers,22.5,MIA,Point,230,55,-0.6,3,+5.8,33,+0.7%,9,+38.8,10,+2.2,50,-1.2%,14,+53.5,8,+3.4,28,+3.7%,15,+29.5
Daequan Cook,21.5,MIA,Wing,142,15,+9.8,78,-2.3,59,-0.7%,83,-20.4,65,-0.7,69,-7.5%,70,-26.6,75,-1.3,65,-2.1%,71,-14.3
Samuel Dalembert,28.5,PHI,Big,133,17,+8.1,12,+3.4,8,+3.0%,17,+24.7,18,+1.5,3,+30.5%,30,+28.8,23,+1.9,51,-0.7%,41,+10.5
Erick Dampier,33.3,DAL,Big,254,72,-4.2,51,-0.2,84,-2.3%,59,-7.1,21,+1.3,93,-22.5%,28,+33.0,67,-0.9,25,+3.9%,82,-26.2
Glen Davis,22.8,BOS,Big,509,85,-8.9,24,+2.0,40,+0.5%,33,+9.1,59,-0.5,33,+6.7%,62,-16.7,20,+2.2,32,+2.6%,22,+22.7
Tim Duncan,32.5,SAS,Big,163,16,+8.8,5,+4.8,31,+1.0%,6,+42.9,8,+2.4,36,+4.5%,5,+83.6,16,+2.4,18,+5.3%,53,0.0
Maurice Evans,30.0,ATL,Wing,244,9,+13.9,75,-2.2,32,+0.8%,80,-18.8,64,-0.7,23,+11.4%,73,-32.9,78,-1.7,47,+0.2%,74,-18.5
Jordan Farmar,21.9,LAL,Point,246,65,-2.9,74,-2.1,24,+1.6%,84,-20.7,89,-2.4,51,-1.2%,94,-76.8,53,+0.0,30,+3.3%,44,+9.1
Rudy Fernandez,23.6,POR,Wing,158,80,-7.5,69,-1.6,11,+2.7%,93,-30.0,53,-0.0,9,+23.3%,86,-50.0,74,-1.2,40,+1.4%,84,-26.8
Michael Finley,35.7,SAS,Forward,143,31,+3.5,0,+8.2,2,+4.7%,2,+58.3,6,+2.7,25,+10.7%,5,+83.6,1,+5.6,16,+5.4%,9,+36.0
Derek Fisher,34.2,LAL,Point,635,47,-0.0,29,+1.3,59,-0.7%,29,+11.5,41,+0.4,54,-2.6%,38,+17.8,31,+1.2,58,-1.3%,36,+12.3
Pau Gasol,28.3,LAL,Big,926,35,+2.4,14,+3.3,52,-0.3%,19,+22.1,37,+0.6,81,-12.2%,46,+5.9,19,+2.3,41,+1.3%,16,+28.3
Daniel Gibson,22.7,CLE,Combo,152,30,+4.2,30,+1.2,67,-1.0%,31,+9.7,36,+0.6,97,-28.4%,4,+84.8,47,+0.3,41,+1.1%,70,-14.3
Ben Gordon,25.6,CHI,Wing,303,50,-0.2,16,+3.1,0,+5.0%,23,+17.8,38,+0.6,3,+33.1%,44,+7.4,14,+2.7,27,+3.8%,26,+20.9
Marcin Gortat,24.7,ORL,Big,263,71,-4.1,79,-2.6,44,+0.4%,67,-11.6,40,+0.5,26,+10.6%,33,+24.6,87,-2.6,55,-0.9%,86,-28.1
Willie Green,27.3,PHI,Wing,147,12,+11.1,72,-1.9,42,+0.4%,96,-34.3,78,-1.6,13,+16.0%,100,-100.0,58,-0.3,72,-2.9%,68,-13.8
Richard Hamilton,30.7,DET,Wing,153,2,+24.2,96,-5.1,90,-2.9%,78,-17.7,98,-4.0,100,-37.9%,41,+12.5,72,-1.1,95,-10.3%,87,-28.3
Udonis Haslem,28.4,MIA,Big,203,53,-0.5,92,-4.0,82,-2.0%,85,-23.8,96,-3.8,37,+4.5%,96,-84.0,64,-0.5,59,-1.3%,57,-1.8
Chuck Hayes,25.4,HOU,Big,168,88,-10.2,53,-0.3,36,+0.7%,58,-6.0,25,+1.0,53,-2.6%,22,+39.2,66,-0.9,39,+1.5%,72,-15.7
Nene Hilario,26.1,DEN,Big,521,87,-10.2,91,-4.0,47,+0.0%,91,-27.3,71,-1.0,58,-3.3%,91,-54.8,94,-3.7,63,-1.8%,79,-24.0
Kirk Hinrich,27.8,CHI,Combo,207,57,-1.3,55,-0.5,99,-6.6%,62,-8.1,82,-1.8,85,-16.1%,90,-54.8,34,+1.0,96,-12.3%,34,+14.8
Al Horford,22.4,ATL,Big,251,37,+1.7,27,+1.5,51,-0.2%,11,+33.4,16,+1.6,83,-13.7%,13,+55.2,59,-0.3,57,-1.1%,31,+17.3
Eddie House,30.5,BOS,Combo,224,24,+5.6,71,-1.9,79,-1.6%,75,-15.7,32,+0.7,64,-5.9%,45,+5.9,84,-2.4,91,-8.8%,85,-28.0
Dwight Howard,22.9,ORL,Big,900,36,+2.2,23,+2.0,50,-0.2%,39,+6.4,66,-0.8,86,-16.3%,78,-35.5,17,+2.4,46,+0.5%,20,+24.7
Josh Howard,28.5,DAL,Wing,294,96,-14.7,80,-2.7,37,+0.7%,87,-26.0,55,-0.2,73,-9.0%,58,-11.3,91,-3.2,64,-2.0%,95,-45.1
Andre Iguodala,24.8,PHI,Wing,268,100,-40.6,76,-2.3,93,-4.0%,78,-17.7,100,-4.9,66,-6.4%,93,-73.3,16,+2.7,83,-5.6%,22,+22.6
Zydrunas Ilgauskas,33.4,CLE,Big,406,77,-5.7,84,-3.0,54,-0.5%,84,-20.9,72,-1.1,78,-10.6%,84,-45.2,79,-1.7,45,+0.6%,66,-9.6
LeBron James,23.8,CLE,Forward,578,41,+1.5,89,-3.4,98,-6.0%,72,-14.0,84,-1.9,84,-15.8%,72,-32.8,77,-1.6,98,-16.2%,62,-7.1
Anthony Johnson,34.1,ORL,Point,277,75,-4.7,56,-0.6,29,+1.2%,64,-8.5,43,+0.3,17,+15.1%,54,-6.4,70,-1.1,31,+3.2%,73,-17.0
Joe Johnson,27.3,ATL,Wing,428,98,-23.8,63,-1.0,5,+3.6%,59,-6.3,74,-1.3,91,-21.5%,76,-35.0,45,+0.5,1,+10.1%,6,+40.5
Dahntay Jones,27.8,DEN,Wing,262,86,-10.0,87,-3.2,38,+0.6%,79,-18.2,45,+0.2,39,+3.5%,48,+5.2,92,-3.2,33,+2.5%,88,-28.5
James Jones,28.1,MIA,Wing,234,48,-0.1,3,+5.8,48,-0.1%,4,+45.0,9,+2.2,44,+1.0%,15,+53.2,7,+3.4,49,-0.4%,8,+38.9
Jason Kidd,35.6,DAL,Point,386,74,-4.7,57,-0.7,16,+2.3%,52,-1.7,9,+2.4,5,+29.2%,21,+44.2,93,-3.5,72,-3.1%,81,-25.6
Andrei Kirilenko,27.7,UTA,Forward,135,11,+11.5,82,-2.8,55,-0.5%,89,-27.3,41,+0.5,19,+13.2%,60,-15.3,88,-2.9,92,-9.0%,92,-38.2
Linas Kleiza,23.8,DEN,Forward,181,78,-6.0,53,-0.4,83,-2.2%,53,-2.1,56,-0.3,91,-21.3%,36,+18.7,63,-0.5,73,-3.5%,69,-14.1
Kyle Korver,27.6,UTA,Wing,136,62,-2.0,13,+3.4,13,+2.6%,22,+20.7,34,+0.7,41,+3.2%,34,+21.7,9,+3.1,17,+5.4%,11,+34.5
Carl Landry,25.1,HOU,Big,220,63,-2.2,67,-1.6,34,+0.7%,68,-11.7,39,+0.5,28,+10.5%,51,+0.6,78,-1.7,43,+0.8%,78,-19.9
