Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
LaMarcus Aldridge,23.3,POR,Big,236,90,+13.8,99,+23.2,27,-4.1%,7,+4.7%,6,-10.2,37,-1.2,9,-59.3
Ray Allen,33.3,BOS,Wing,564,91,+14.0,85,+11.2,99,+15.4%,60,-0.9%,91,+11.5,96,+8.1,81,+26.4
Rafer Alston,32.3,ORL,Point,739,29,-4.0,28,-4.8,53,-0.1%,84,-3.0%,57,+1.0,70,+1.8,40,-10.3
Chris Andersen,30.3,DEN,Big,317,49,+0.9,19,-7.2,98,+10.3%,66,-1.3%,67,+2.3,59,+0.7,58,+9.3
Carmelo Anthony,24.4,DEN,Forward,610,91,+14.1,95,+17.0,61,+1.1%,63,-1.0%,80,+4.9,91,+5.0,36,-12.0
Trevor Ariza,23.3,LAL,Wing,720,33,-3.7,56,+2.0,22,-4.9%,66,-1.2%,31,-3.3,45,-0.6,34,-14.0
J.J. Barea,24.4,DAL,Combo,207,96,+16.0,89,+12.5,11,-7.3%,3,+6.0%,59,+1.3,43,-0.7,70,+18.0
Brandon Bass,23.5,DAL,Big,186,54,+2.1,41,-0.8,40,-2.5%,35,+1.2%,84,+5.6,55,+0.6,85,+34.9
Tony Battie,32.7,ORL,Big,124,46,+0.6,33,-3.3,94,+6.9%,12,+3.6%,65,+1.9,74,+2.2,46,-7.0
Shane Battier,30.1,HOU,Wing,495,63,+4.0,53,+1.1,86,+6.0%,45,+0.2%,87,+7.4,82,+3.7,74,+22.7
Michael Beasley,19.8,MIA,Big,163,3,-17.0,0,-22.0,93,+6.8%,78,-2.7%,52,-0.3,78,+2.8,17,-35.1
Mike Bibby,30.5,ATL,Point,387,87,+11.7,86,+11.3,69,+2.7%,94,-5.6%,93,+13.1,85,+4.2,91,+48.3
Chauncey Billups,32.1,DEN,Combo,616,60,+3.2,60,+3.1,3,-11.9%,6,+4.8%,12,-8.9,3,-8.8,61,+12.0
Steve Blake,28.7,POR,Point,229,92,+14.2,87,+11.8,12,-6.7%,88,-3.7%,41,-1.8,54,+0.6,30,-18.5
Carlos Boozer,26.9,UTA,Big,185,32,-3.7,14,-9.1,65,+2.0%,42,+0.4%,56,+0.7,41,-0.9,56,+7.4
Bruce Bowen,37.4,SAS,Wing,122,88,+12.4,75,+7.3,79,+4.2%,62,-1.0%,27,-4.1,44,-0.7,18,-33.3
Ronnie Brewer,23.6,UTA,Wing,157,74,+6.6,67,+3.8,50,-0.8%,9,+4.6%,54,+0.6,4,-8.6,92,+55.1
Aaron Brooks,23.8,HOU,Combo,438,58,+2.7,53,+0.9,70,+2.8%,59,-0.8%,94,+13.1,86,+4.3,94,+60.1
Shannon Brown,22.9,LAL,Point,260,68,+5.0,35,-2.6,95,+7.0%,39,+0.7%,70,+2.9,51,+0.1,67,+17.1
Kobe Bryant,30.2,LAL,Wing,939,86,+11.7,90,+12.6,33,-3.2%,72,-1.6%,50,-0.7,87,+4.5,13,-42.9
Rasual Butler,29.4,NOH,Wing,155,93,+14.2,94,+16.4,68,+2.5%,53,-0.5%,72,+3.8,97,+8.5,12,-44.0
Andrew Bynum,21.0,LAL,Big,399,16,-8.0,17,-8.5,28,-4.0%,68,-1.4%,49,-0.8,31,-1.7,57,+7.7
Anthony Carter,33.4,DEN,Point,212,47,+0.7,22,-6.6,97,+9.8%,71,-1.6%,99,+16.4,97,+8.8,75,+22.9
Mario Chalmers,22.5,MIA,Point,230,66,+4.8,62,+3.2,76,+3.8%,70,-1.5%,75,+4.2,88,+4.6,26,-21.1
Daequan Cook,21.5,MIA,Wing,142,10,-10.3,9,-11.4,66,+2.2%,24,+2.5%,38,-2.5,24,-2.3,50,+4.0
Samuel Dalembert,28.5,PHI,Big,133,36,-3.2,7,-12.7,63,+1.9%,57,-0.6%,92,+12.8,98,+9.8,69,+17.6
Erick Dampier,33.3,DAL,Big,254,79,+8.8,70,+5.1,91,+6.5%,61,-0.9%,64,+1.9,57,+0.7,53,+5.2
Glen Davis,22.8,BOS,Big,509,81,+9.2,57,+2.3,78,+4.1%,47,+0.1%,98,+16.3,75,+2.5,97,+101.7
Tim Duncan,32.5,SAS,Big,163,97,+21.5,84,+11.0,59,+0.7%,89,-3.9%,97,+15.0,79,+2.9,99,+135.7
Maurice Evans,30.0,ATL,Wing,244,21,-5.8,34,-2.6,16,-5.9%,11,+3.6%,21,-5.7,18,-4.0,48,-1.9
Jordan Farmar,21.9,LAL,Point,246,22,-5.6,30,-3.9,54,-0.1%,38,+0.9%,16,-7.4,20,-3.7,34,-13.9
Rudy Fernandez,23.6,POR,Wing,158,22,-5.8,6,-12.7,36,-2.8%,80,-2.8%,100,+17.9,78,+2.8,98,+107.1
Michael Finley,35.7,SAS,Forward,143,15,-8.5,5,-13.2,48,-0.9%,97,-7.5%,90,+10.9,91,+5.0,95,+71.4
Derek Fisher,34.2,LAL,Point,635,41,-1.1,66,+3.5,23,-4.5%,55,-0.5%,63,+1.8,76,+2.6,38,-11.2
Pau Gasol,28.3,LAL,Big,926,55,+2.5,63,+3.4,35,-3.0%,36,+0.9%,68,+2.6,67,+1.4,53,+5.3
Daniel Gibson,22.7,CLE,Combo,152,48,+0.9,22,-6.7,84,+5.6%,25,+2.4%,46,-1.2,48,-0.0,47,-6.9
Ben Gordon,25.6,CHI,Wing,303,72,+5.5,84,+10.6,43,-2.2%,4,+5.3%,35,-2.6,53,+0.5,28,-19.4
Marcin Gortat,24.7,ORL,Big,263,80,+8.8,91,+13.2,60,+0.9%,58,-0.7%,34,-2.7,38,-1.2,44,-8.7
Willie Green,27.3,PHI,Wing,147,24,-5.3,13,-9.5,21,-5.2%,9,+4.5%,78,+4.6,72,+2.1,72,+20.0
Richard Hamilton,30.7,DET,Wing,153,0,-34.7,2,-17.2,0,-20.3%,3,+5.8%,2,-16.2,5,-8.4,8,-61.7
Udonis Haslem,28.4,MIA,Big,203,94,+14.2,97,+21.1,17,-5.8%,34,+1.2%,58,+1.3,21,-3.1,90,+43.8
Chuck Hayes,25.4,HOU,Big,168,38,-2.5,31,-3.9,83,+5.2%,22,+2.8%,9,-10.0,15,-4.5,19,-30.2
Nene Hilario,26.1,DEN,Big,521,28,-4.2,52,+0.8,13,-6.6%,79,-2.8%,24,-4.6,39,-1.1,29,-19.0
Kirk Hinrich,27.8,CHI,Combo,207,62,+3.9,71,+5.4,85,+5.7%,85,-3.4%,55,+0.7,84,+3.8,25,-22.1
Al Horford,22.4,ATL,Big,251,34,-3.7,49,+0.4,6,-9.0%,50,-0.2%,41,-2.1,16,-4.2,71,+19.7
Eddie House,30.5,BOS,Combo,224,27,-4.3,42,-0.3,9,-8.0%,14,+3.5%,22,-5.3,6,-8.1,89,+40.6
Dwight Howard,22.9,ORL,Big,900,9,-10.8,3,-15.5,52,-0.3%,41,+0.5%,77,+4.3,68,+1.5,68,+17.5
Josh Howard,28.5,DAL,Wing,294,39,-2.5,26,-5.6,64,+1.9%,90,-4.0%,86,+6.4,58,+0.7,88,+39.8
Andre Iguodala,24.8,PHI,Wing,268,31,-3.9,23,-6.2,100,+17.4%,100,-8.7%,95,+13.7,100,+12.1,100,
Zydrunas Ilgauskas,33.4,CLE,Big,406,82,+9.3,72,+6.1,41,-2.4%,69,-1.5%,34,-2.7,65,+1.2,22,-28.4
LeBron James,23.8,CLE,Forward,578,76,+7.4,16,-8.7,96,+8.4%,75,-2.2%,97,+14.9,99,+11.2,97,+91.8
