Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,23.3,POR,Big,236,90,+13.8,9,-3.9,5,-4.2%,4,-47.6,0,-6.5,3,-28.7%,2,-104.5,86,+2.7,3,-14.1%,80,+30.0
Ray Allen,33.3,BOS,Wing,564,91,+14.0,12,-3.0,28,-1.5%,19,-27.8,49,+0.2,55,+0.7%,39,-14.3,8,-3.1,43,-1.0%,12,-35.3
Rafer Alston,32.3,ORL,Point,739,29,-4.0,47,-0.3,71,+1.8%,34,-10.9,41,-0.2,72,+7.4%,33,-18.3,43,-0.1,47,+0.1%,41,-8.7
Chris Andersen,30.3,DEN,Big,317,49,+0.9,68,+1.7,53,+0.6%,53,+2.4,66,+0.8,32,-5.3%,59,+12.8,48,+0.3,47,-0.0%,38,-10.6
Carmelo Anthony,24.4,DEN,Forward,610,91,+14.1,22,-1.9,58,+1.2%,51,+1.5,7,-2.7,84,+16.1%,15,-53.2,55,+0.5,51,+0.6%,81,+31.4
Trevor Ariza,23.3,LAL,Wing,720,33,-3.7,44,-0.4,46,+0.1%,35,-9.8,22,-1.4,70,+6.0%,17,-45.7,58,+0.5,41,-1.5%,55,+5.2
J.J. Barea,24.4,DAL,Combo,207,96,+16.0,84,+3.3,6,-4.0%,87,+41.0,54,+0.4,19,-11.5%,62,+15.2,90,+3.0,9,-8.6%,91,+54.9
Brandon Bass,23.5,DAL,Big,186,54,+2.1,75,+2.3,7,-4.0%,78,+24.3,84,+1.9,35,-4.8%,81,+49.1,52,+0.4,7,-9.4%,61,+9.3
Tony Battie,32.7,ORL,Big,124,46,+0.6,86,+3.7,17,-2.8%,94,+61.7,88,+2.3,57,+1.4%,96,+103.4,72,+1.0,28,-3.7%,83,+34.4
Shane Battier,30.1,HOU,Wing,495,63,+4.0,51,-0.1,23,-2.3%,61,+9.2,39,-0.3,6,-21.7%,34,-17.1,40,-0.2,20,-5.3%,53,+2.3
Michael Beasley,19.8,MIA,Big,163,3,-17.0,47,-0.3,30,-1.4%,32,-11.8,53,+0.4,82,+13.0%,66,+20.0,34,-0.6,22,-5.0%,17,-27.3
Mike Bibby,30.5,ATL,Point,387,87,+11.7,13,-2.9,97,+7.3%,16,-30.0,33,-0.5,91,+23.3%,41,-13.3,11,-2.5,99,+15.2%,10,-39.1
Chauncey Billups,32.1,DEN,Combo,616,60,+3.2,92,+4.9,9,-3.8%,92,+52.4,97,+3.7,15,-13.4%,92,+89.8,69,+0.9,8,-8.7%,76,+26.2
Steve Blake,28.7,POR,Point,229,92,+14.2,87,+3.7,82,+3.1%,93,+58.3,45,-0.0,63,+3.3%,24,-30.8,92,+3.7,77,+6.1%,98,+145.5
Carlos Boozer,26.9,UTA,Big,185,32,-3.7,39,-0.5,50,+0.3%,44,-4.2,30,-0.9,54,+0.5%,30,-21.8,63,+0.7,40,-1.5%,67,+12.0
Bruce Bowen,37.4,SAS,Wing,122,88,+12.4,94,+6.0,60,+1.4%,97,+67.9,96,+3.2,11,-15.2%,91,+86.7,83,+2.4,16,-6.3%,89,+51.0
Ronnie Brewer,23.6,UTA,Wing,157,74,+6.6,80,+2.8,64,+1.5%,83,+35.0,84,+1.9,47,-1.5%,73,+31.6,75,+1.3,41,-1.1%,84,+41.7
Aaron Brooks,23.8,HOU,Combo,438,58,+2.7,34,-0.7,19,-2.8%,41,-6.8,43,-0.2,27,-7.6%,28,-24.4,41,-0.2,16,-6.3%,35,-11.1
Shannon Brown,22.9,LAL,Point,260,68,+5.0,78,+2.5,52,+0.5%,78,+24.5,87,+2.2,51,-0.4%,84,+56.7,61,+0.6,50,+0.5%,60,+9.1
Kobe Bryant,30.2,LAL,Wing,939,86,+11.7,77,+2.4,36,-1.0%,76,+19.0,28,-1.0,28,-6.2%,23,-32.8,89,+2.8,34,-2.8%,84,+37.8
