Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,27.1,MEM,Forward,213,38,-3.0,6,-5.0,46,+0.3%,10,-36.9,31,-0.8,79,+15.8%,24,-24.9,14,-3.2,22,-4.4%,10,-42.4
Giannis Antetokounmpo,25.9,MIL,Big,792,28,-5.3,76,+2.1,64,+1.1%,72,+13.2,38,-0.5,35,-5.3%,41,-3.0,91,+3.4,63,+2.2%,86,+30.0
Carmelo Anthony,36.4,POR,Forward,143,17,-10.0,16,-3.3,14,-3.1%,15,-24.7,14,-1.7,12,-20.6%,51,+5.8,22,-2.4,71,+3.3%,8,-45.2
Nicolas Batum,31.9,LAC,Wing,554,87,+18.2,78,+2.2,57,+0.8%,77,+17.5,63,+0.7,27,-8.7%,69,+20.6,71,+1.2,59,+1.0%,67,+12.5
Bradley Beal,27.3,WAS,Wing,258,70,+6.9,13,-4.1,4,-7.2%,34,-12.5,90,+2.9,17,-16.2%,83,+64.3,0,-8.1,9,-8.2%,7,-47.1
Davis Bertans,28.0,WAS,Forward,150,51,+0.2,90,+4.9,43,+0.1%,86,+29.1,67,+1.0,42,-2.0%,72,+28.8,96,+4.2,75,+4.2%,87,+30.6
Patrick Beverley,32.3,LAC,Combo,314,15,-11.1,62,+0.8,61,+1.0%,50,0.0,81,+1.7,82,+17.3%,56,+7.6,34,-1.0,32,-2.4%,33,-13.7
Bojan Bogdanovic,31.5,UTA,Forward,389,82,+13.0,57,+0.4,42,+0.1%,55,+1.0,25,-1.0,45,-1.3%,2,-110.8,73,+1.2,58,+1.0%,75,+18.3
Devin Booker,24.0,PHX,Wing,887,72,+7.4,82,+3.2,82,+3.1%,90,+35.7,92,+3.1,88,+18.5%,94,+107.1,43,-0.5,56,+0.6%,53,0.0
Reggie Bullock,29.6,NYK,Wing,162,24,-7.8,2,-7.6,34,-0.7%,2,-60.0,15,-1.4,16,-17.2%,27,-20.0,2,-6.4,60,+1.1%,1,-86.5
Alec Burks,29.3,NYK,Wing,127,93,+21.0,94,+5.5,7,-5.1%,91,+38.8,84,+2.0,46,-1.0%,79,+51.1,78,+2.2,6,-10.3%,74,+17.7
Jimmy Butler,31.1,MIA,Wing,150,36,-3.6,100,+9.1,1,-10.3%,94,+51.9,96,+4.1,1,-45.2%,93,+100.0,98,+5.1,5,-14.7%,91,+37.9
Kentavious Caldwell-Pope,27.7,LAL,Wing,178,82,+12.7,54,+0.2,88,+4.6%,56,+1.9,90,+2.9,94,+25.1%,81,+55.5,9,-3.6,64,+2.2%,14,-36.6
Clint Capela,26.5,ATL,Big,568,38,-3.2,92,+5.2,79,+2.2%,92,+43.3,93,+3.1,47,-0.9%,91,+89.2,86,+2.8,61,+1.2%,89,+33.6
Jordan Clarkson,28.4,UTA,Combo,296,7,-15.8,30,-1.3,81,+2.3%,24,-17.3,77,+1.4,74,+10.7%,75,+41.6,22,-2.6,85,+6.6%,13,-37.9
Mike Conley,33.1,UTA,Point,175,85,+14.4,43,-0.5,13,-3.2%,41,-7.2,2,-3.2,6,-25.9%,10,-66.7,86,+2.7,31,-2.6%,74,+16.4
Pat Connaughton,27.8,MIL,Wing,526,66,+5.4,50,+0.0,22,-2.2%,54,+0.8,73,+1.2,34,-5.8%,59,+10.1,39,-0.7,46,-0.5%,54,+1.1
Robert Covington,29.9,POR,Big,228,88,+18.3,94,+6.0,48,+0.4%,98,+72.5,87,+2.5,2,-44.4%,87,+80.0,94,+4.0,8,-8.4%,98,+77.8
Jae Crowder,30.3,PHX,Forward,728,70,+6.5,58,+0.4,60,+1.0%,52,+0.4,62,+0.7,58,+2.6%,54,+7.2,30,-1.2,46,-0.7%,30,-17.3
Seth Curry,30.2,PHI,Wing,381,96,+26.0,86,+3.9,96,+6.5%,82,+22.0,71,+1.1,89,+19.2%,48,+4.0,87,+2.8,98,+14.1%,81,+26.0
Anthony Davis,27.6,LAL,Big,186,57,+2.4,64,+0.9,92,+5.0%,58,+2.3,60,+0.5,62,+6.0%,42,-0.6,59,+0.8,67,+2.4%,59,+5.2
Goran Dragic,34.5,MIA,Point,111,32,-4.1,54,+0.2,74,+2.0%,69,+11.0,36,-0.6,22,-11.1%,62,+15.0,63,+0.9,77,+4.3%,63,+10.3
Andre Drummond,27.2,LAL,Big,121,53,+0.5,88,+4.2,56,+0.8%,87,+30.6,64,+0.7,78,+14.2%,66,+18.8,93,+3.7,24,-3.8%,92,+39.1
Kevin Durant,32.1,BKN,Forward,477,3,-18.6,22,-2.5,83,+3.2%,38,-7.9,94,+3.3,72,+9.8%,92,+95.7,3,-5.7,82,+5.7%,6,-58.0
Joel Embiid,26.6,PHI,Big,356,91,+19.7,84,+3.5,97,+6.5%,76,+17.2,74,+1.3,83,+17.3%,68,+20.1,79,+2.2,94,+10.9%,76,+18.8
Derrick Favors,29.3,UTA,Big,144,30,-4.3,82,+2.7,71,+1.9%,86,+27.7,82,+1.8,55,+1.5%,84,+65.2,68,+1.0,87,+8.0%,79,+22.0
Dorian Finney-Smith,27.5,DAL,Forward,269,100,+44.4,95,+6.1,73,+2.0%,100,+103.5,72,+1.2,76,+11.5%,94,+111.8,98,+4.9,30,-2.7%,99,+120.8
Bryn Forbes,27.3,MIL,Combo,256,33,-4.0,50,-0.1,80,+2.2%,42,-6.4,37,-0.5,90,+21.1%,22,-26.5,60,+0.8,89,+8.3%,60,+5.4
Evan Fournier,28.0,BOS,Wing,200,92,+20.0,40,-0.9,0,-11.9%,45,-4.0,23,-1.0,5,-28.6%,53,+6.7,89,+2.9,0,-18.1%,58,+4.3
