Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,29.1,MIN,Forward,179,13,-10.8,16,-2.7,87,+3.8%,28,-12.3,19,-1.4,66,+4.8%,23,-25.0,33,-1.0,72,+3.9%,45,-4.0
Harrison Barnes,30.4,SAC,Forward,196,1,-17.3,13,-3.1,97,+5.5%,16,-21.9,69,+1.0,96,+30.8%,83,+41.7,3,-4.2,79,+5.3%,5,-45.1
Devin Booker,26.0,PHX,Wing,458,80,+8.6,5,-4.0,86,+3.6%,1,-43.0,24,-1.1,97,+35.5%,2,-83.3,9,-2.9,87,+6.1%,6,-44.4
Malcolm Brogdon,29.9,BOS,Combo,466,61,+4.4,40,-0.8,21,-1.7%,44,-3.5,31,-0.9,23,-5.8%,28,-20.3,66,+0.4,48,-0.1%,67,+7.5
Jaylen Brown,26.0,BOS,Wing,748,14,-10.7,83,+2.6,79,+2.6%,83,+22.1,63,+0.7,19,-6.7%,62,+9.7,86,+2.1,90,+6.7%,90,+30.0
Jimmy Butler,33.1,MIA,Forward,955,37,-2.7,76,+1.8,32,-0.7%,68,+9.7,53,+0.1,70,+6.8%,22,-30.7,80,+1.5,18,-3.9%,72,+13.8
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,28,-4.9,77,+1.8,53,+0.6%,65,+8.5,33,-0.8,43,-0.4%,31,-19.0,88,+2.6,83,+5.9%,84,+23.7
Clint Capela,28.5,ATL,Big,179,21,-7.1,57,+0.7,31,-0.7%,77,+15.0,22,-1.2,50,+1.4%,53,+3.0,83,+1.9,33,-2.5%,85,+24.1
Mike Conley,35.1,MIN,Point,255,75,+7.4,89,+4.0,77,+2.4%,94,+39.7,95,+4.2,3,-23.0%,93,+74.1,61,+0.1,84,+5.9%,71,+12.5
Stephen Curry,34.6,GSW,Point,491,95,+19.1,73,+1.5,13,-2.6%,86,+26.6,80,+1.8,25,-5.1%,90,+63.1,52,-0.3,17,-4.2%,76,+14.9
Anthony Davis,29.6,LAL,Big,650,89,+16.6,93,+5.2,63,+1.5%,88,+27.6,73,+1.1,81,+12.4%,73,+21.9,93,+3.7,19,-3.7%,89,+27.1
Spencer Dinwiddie,29.6,BKN,Point,159,93,+18.5,70,+1.4,96,+5.5%,49,-1.1,100,,100,+78.9%,100,,14,-2.3,76,+4.8%,13,-30.5
Kevin Durant,34.1,PHX,Big,465,97,+22.1,66,+1.1,88,+3.9%,79,+15.9,78,+1.6,97,+35.5%,75,+24.6,53,-0.3,33,-2.6%,79,+16.5
Joel Embiid,28.6,PHI,Big,335,44,+0.2,90,+4.4,60,+1.2%,97,+42.2,42,-0.4,87,+16.9%,46,-3.3,97,+4.2,32,-2.6%,98,+65.6
Dorian Finney-Smith,29.5,BKN,Big,100,48,+1.4,2,-5.4,38,-0.4%,17,-21.9,30,-0.9,86,+16.4%,27,-23.2,5,-3.3,31,-2.6%,32,-11.7
Rudy Gobert,30.3,MIN,Big,209,96,+19.7,88,+3.8,39,-0.3%,90,+31.5,63,+0.6,85,+15.8%,64,+13.0,92,+3.5,23,-3.3%,97,+49.5
Aaron Gordon,27.1,DEN,Forward,706,78,+8.2,71,+1.5,90,+4.1%,57,+1.6,51,+0.0,15,-9.2%,42,-6.7,77,+1.4,88,+6.3%,63,+6.1
Eric Gordon,33.9,LAC,Wing,149,10,-11.4,97,+6.1,54,+0.7%,98,+45.2,93,+3.2,73,+8.5%,91,+64.3,73,+1.0,83,+5.8%,81,+17.9
Draymond Green,32.7,GSW,Big,365,51,+2.1,74,+1.7,67,+1.6%,68,+9.7,46,-0.2,32,-3.1%,30,-19.1,79,+1.5,89,+6.4%,83,+21.2
Jeff Green,36.2,DEN,Big,341,24,-6.1,41,-0.8,3,-4.8%,61,+4.4,61,+0.5,41,-0.8%,71,+19.0,24,-1.2,4,-9.2%,48,-3.4
James Harden,33.2,PHI,Point,425,4,-15.0,33,-1.3,57,+1.1%,59,+3.8,18,-1.4,69,+6.7%,57,+7.4,58,+0.0,94,+8.2%,57,+2.0
Tobias Harris,30.3,PHI,Forward,390,69,+6.4,4,-4.3,69,+1.8%,4,-35.0,29,-1.0,67,+5.0%,26,-24.3,13,-2.4,78,+5.1%,16,-25.8
Jrue Holiday,32.4,MIL,Point,190,84,+11.1,98,+6.2,100,+7.4%,100,+89.1,92,+3.2,92,+25.9%,98,+162.5,95,+3.8,99,+17.3%,100,+143.2
Al Horford,36.4,BOS,Big,615,23,-6.8,68,+1.3,78,+2.5%,70,+11.1,64,+0.7,59,+3.4%,57,+7.1,70,+0.5,73,+3.9%,70,+11.8
LeBron James,37.8,LAL,Big,664,30,-3.7,20,-2.4,19,-1.8%,54,+1.3,70,+1.1,68,+6.3%,76,+25.4,4,-3.5,59,+1.7%,22,-16.2
Nikola Jokic,27.7,DEN,Big,782,81,+8.7,39,-0.8,71,+2.0%,31,-10.9,4,-2.4,62,+4.0%,8,-56.5,81,+1.5,91,+6.8%,75,+14.5
Tyus Jones,26.5,MEM,Combo,120,20,-8.2,35,-1.2,14,-2.5%,57,+3.5,27,-1.1,63,+4.2%,39,-10.2,50,-0.4,3,-10.1%,65,+6.7
Caris LeVert,28.2,CLE,Wing,167,38,-2.5,8,-3.6,89,+4.0%,6,-32.7,2,-3.9,88,+19.0%,0,-120.8,72,+1.0,75,+4.5%,78,+16.0
Kevon Looney,26.7,GSW,Big,324,53,+2.2,18,-2.6,24,-1.3%,19,-19.9,45,-0.2,13,-9.6%,59,+7.6,18,-1.8,24,-3.2%,17,-25.0
Brook Lopez,34.6,MIL,Big,181,8,-13.6,99,+6.9,83,+3.1%,93,+37.9,23,-1.2,73,+8.3%,8,-57.1,100,+10.0,95,+9.2%,99,+121.2
Kevin Love,34.1,MIA,Big,372,18,-8.8,61,+0.8,26,-1.1%,69,+9.8,72,+1.1,55,+2.9%,78,+27.3,48,-0.5,38,-1.8%,43,-5.4
Kyle Lowry,36.6,MIA,Point,633,58,+3.6,50,-0.0,55,+0.9%,43,-4.1,50,-0.0,48,+0.0%,43,-6.6,62,+0.2,74,+4.1%,57,+1.0
Trey Lyles,27.0,SAC,Big,117,88,+15.5,81,+2.2,1,-6.7%,84,+23.0,47,-0.2,0,-41.7%,60,+8.3,88,+2.3,7,-7.9%,93,+32.3
Khris Middleton,31.2,MIL,Forward,173,85,+12.0,78,+1.9,15,-2.3%,72,+11.7,16,-1.5,77,+10.0%,17,-38.3,90,+3.2,0,-19.4%,91,+30.8
Dejounte Murray,26.1,ATL,Combo,226,29,-4.1,19,-2.5,36,-0.6%,21,-15.0,41,-0.5,49,+1.0%,40,-8.8,13,-2.4,21,-3.5%,18,-22.5
Jamal Murray,25.7,DEN,Combo,791,83,+10.1,28,-1.9,70,+1.8%,22,-14.6,12,-1.9,60,+3.5%,6,-66.4,57,-0.0,63,+2.0%,61,+3.1
