Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,29.1,MIN,Forward,179,95,-13.7,94,-16.7,44,+1.0%,82,+2.0%,40,+2.5,78,-2.9,11,+36.0
Harrison Barnes,30.4,SAC,Forward,196,16,+7.5,19,+7.8,5,+8.9%,53,+0.1%,32,+3.9,15,+5.4,69,-13.8
Devin Booker,26.0,PHX,Wing,458,3,+16.7,48,-0.1,20,+4.7%,22,-3.1%,8,+11.7,1,+14.8,97,-64.3
Malcolm Brogdon,29.9,BOS,Combo,466,40,+1.4,44,+1.2,43,+1.2%,56,+0.2%,52,+0.5,76,-2.6,17,+22.8
Jaylen Brown,26.0,BOS,Wing,748,81,-7.9,80,-7.3,34,+2.9%,18,-3.2%,75,-4.0,57,+0.1,85,-25.0
Jimmy Butler,33.1,MIA,Forward,955,28,+5.3,21,+7.5,38,+2.1%,14,-3.7%,27,+4.8,13,+6.0,65,-12.6
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,24,+6.1,30,+4.0,33,+2.9%,35,-1.5%,47,+1.4,39,+1.8,53,-1.4
Clint Capela,28.5,ATL,Big,179,52,-0.2,66,-4.1,83,-5.2%,9,-4.3%,90,-7.9,92,-5.6,38,+7.9
Mike Conley,35.1,MIN,Point,255,96,-14.0,48,-0.3,82,-4.8%,80,+1.9%,97,-12.1,77,-2.8,95,-44.4
Stephen Curry,34.6,GSW,Point,491,45,+0.6,11,+10.2,45,+1.0%,11,-4.1%,89,-7.8,38,+2.1,98,-66.7
Anthony Davis,29.6,LAL,Big,650,57,-1.6,64,-2.6,90,-7.4%,16,-3.6%,59,-1.2,40,+1.8,75,-19.2
Spencer Dinwiddie,29.6,BKN,Point,159,53,-0.4,56,-1.2,0,+16.2%,15,-3.6%,25,+5.0,17,+5.2,82,-21.9
Kevin Durant,34.1,PHX,Big,465,48,+0.3,6,+12.2,98,-12.5%,65,+1.1%,100,-23.3,87,-3.9,98,-85.2
Joel Embiid,28.6,PHI,Big,335,51,-0.1,23,+6.7,79,-4.6%,12,-4.1%,55,-0.0,66,-1.4,30,+11.1
Dorian Finney-Smith,29.5,BKN,Big,100,83,-8.3,91,-11.7,68,-1.8%,73,+1.6%,93,-8.7,85,-3.5,78,-20.1
Rudy Gobert,30.3,MIN,Big,209,9,+9.6,5,+12.2,70,-2.3%,75,+1.7%,28,+4.7,50,+0.9,20,+20.5
Aaron Gordon,27.1,DEN,Forward,706,90,-11.7,89,-11.3,46,+0.9%,68,+1.4%,33,+3.3,32,+2.7,42,+5.1
Eric Gordon,33.9,LAC,Wing,149,47,+0.5,16,+8.1,59,-0.6%,34,-1.6%,63,-1.6,70,-1.9,35,+9.0
Draymond Green,32.7,GSW,Big,365,25,+5.7,37,+2.5,57,-0.3%,63,+1.0%,45,+1.5,23,+3.9,81,-21.4
Jeff Green,36.2,DEN,Big,341,10,+9.4,18,+7.8,36,+2.7%,48,-0.3%,64,-2.0,61,-0.2,63,-11.6
James Harden,33.2,PHI,Point,425,11,+9.3,13,+8.9,12,+6.7%,3,-8.6%,29,+4.3,11,+6.4,83,-23.3
Tobias Harris,30.3,PHI,Forward,390,13,+8.6,18,+7.9,55,-0.1%,13,-4.0%,49,+1.1,28,+3.0,73,-17.3
Jrue Holiday,32.4,MIL,Point,190,88,-11.2,93,-15.0,11,+7.1%,37,-1.3%,17,+7.4,8,+7.1,50,0.0
Al Horford,36.4,BOS,Big,615,89,-11.6,61,-1.5,87,-6.5%,66,+1.2%,94,-9.8,96,-6.4,68,-13.5
LeBron James,37.8,LAL,Big,664,12,+9.2,10,+10.9,24,+4.4%,89,+3.7%,56,-0.2,81,-3.4,28,+13.7
Nikola Jokic,27.7,DEN,Big,782,34,+2.5,13,+9.0,86,-6.0%,38,-1.2%,46,+1.5,72,-2.2,16,+23.2
Tyus Jones,26.5,MEM,Combo,120,70,-5.3,88,-10.1,25,+4.3%,53,+0.1%,51,+1.0,48,+1.0,51,-0.3
Caris LeVert,28.2,CLE,Wing,167,15,+7.8,22,+7.2,21,+4.7%,62,+0.8%,13,+9.2,5,+8.0,52,-1.0
Kevon Looney,26.7,GSW,Big,324,93,-12.7,83,-7.6,42,+1.3%,31,-1.8%,61,-1.3,71,-2.2,40,+6.7
Brook Lopez,34.6,MIL,Big,181,18,+7.4,24,+6.5,8,+7.9%,5,-6.8%,53,+0.2,27,+3.4,89,-30.3
Kevin Love,34.1,MIA,Big,372,38,+1.9,20,+7.8,78,-4.5%,83,+2.2%,88,-7.2,88,-3.9,73,-17.7
Kyle Lowry,36.6,MIA,Point,633,21,+6.8,40,+1.9,13,+6.3%,20,-3.1%,23,+5.1,23,+3.7,43,+4.9
Trey Lyles,27.0,SAC,Big,117,66,-3.8,41,+1.8,98,-12.0%,91,+4.1%,96,-10.9,99,-13.8,10,+37.7
Khris Middleton,31.2,MIL,Forward,173,99,-21.6,98,-24.7,54,-0.1%,43,-0.7%,12,+9.6,31,+2.7,6,+60.5
Dejounte Murray,26.1,ATL,Combo,226,30,+4.2,15,+8.3,88,-6.9%,44,-0.7%,83,-5.6,73,-2.4,68,-13.7
Jamal Murray,25.7,DEN,Combo,791,68,-4.4,73,-5.6,39,+1.8%,49,-0.2%,41,+2.1,49,+0.9,39,+7.8
Georges Niang,29.4,PHI,Forward,153,67,-3.8,58,-1.4,33,+3.0%,95,+4.8%,91,-7.9,75,-2.6,96,-46.4
Chris Paul,37.5,PHX,Point,250,91,-12.1,79,-7.1,37,+2.4%,17,-3.5%,86,-6.8,86,-3.7,59,-8.2
Cameron Payne,28.2,PHX,Point,146,32,+3.4,32,+3.6,75,-3.3%,81,+2.0%,18,+6.6,6,+7.8,72,-17.2
Bobby Portis,27.7,MIL,Big,105,35,+2.4,68,-4.1,35,+2.9%,77,+1.9%,8,+11.8,44,+1.3,1,+88.5
Norman Powell,29.4,LAC,Wing,167,93,-12.6,93,-13.9,53,-0.1%,30,-1.8%,7,+11.9,29,+3.0,8,+53.6
Taurean Prince,28.6,MIN,Forward,162,55,-0.7,78,-7.0,14,+5.9%,6,-6.0%,28,+4.4,10,+6.5,87,-26.4
Julius Randle,27.9,NYK,Forward,329,33,+3.4,51,-0.6,51,+0.5%,25,-2.3%,43,+1.8,53,+0.5,37,+8.4
D'Angelo Russell,26.7,LAL,Point,496,19,+6.9,26,+6.0,52,+0.3%,4,-6.9%,38,+2.9,21,+4.4,60,-9.5
Domantas Sabonis,26.5,SAC,Big,242,26,+5.7,49,-0.5,8,+7.4%,43,-0.8%,15,+8.5,3,+8.9,64,-12.5
Dennis Schroder,29.1,LAL,Point,447,86,-9.8,87,-10.0,50,+0.6%,85,+2.7%,30,+4.1,34,+2.5,32,+10.3
