Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,29.1,MIN,Forward,179,95,-13.7,41,+0.3,71,-1.9%,38,+5.0,55,-0.5,18,+10.2%,63,-16.1,38,+0.7,85,-7.2%,33,+14.7
Harrison Barnes,30.4,SAC,Forward,196,16,+7.5,62,-1.1,37,+1.1%,61,-8.5,3,+3.7,58,-2.4%,2,+96.4,93,-4.1,38,+2.4%,98,-63.2
Devin Booker,26.0,PHX,Wing,458,3,+16.7,1,+6.7,44,+0.5%,3,+46.6,3,+3.6,81,-8.8%,5,+68.1,8,+3.3,43,+1.9%,8,+38.0
Malcolm Brogdon,29.9,BOS,Combo,466,40,+1.4,74,-2.5,49,+0.4%,90,-31.3,78,-1.2,89,-11.2%,68,-19.0,62,-1.0,33,+3.2%,88,-34.4
Jaylen Brown,26.0,BOS,Wing,748,81,-7.9,48,-0.1,14,+3.2%,52,-2.0,68,-1.0,23,+8.2%,74,-30.5,38,+0.7,37,+2.6%,33,+14.7
Jimmy Butler,33.1,MIA,Forward,955,28,+5.3,72,-2.3,13,+3.9%,91,-31.5,73,-1.2,24,+8.1%,85,-47.3,64,-1.0,13,+7.2%,78,-22.2
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,24,+6.1,23,+2.2,43,+0.7%,15,+20.3,43,+0.1,38,+3.2%,41,+6.8,15,+2.5,78,-4.1%,17,+28.0
Clint Capela,28.5,ATL,Big,179,52,-0.2,3,+4.9,5,+5.8%,14,+21.3,30,+0.7,8,+20.5%,45,+3.2,3,+4.2,8,+9.9%,20,+23.4
Mike Conley,35.1,MIN,Point,255,96,-14.0,93,-4.5,67,-0.8%,67,-11.3,93,-2.7,98,-23.0%,86,-48.4,72,-1.7,25,+5.3%,45,+4.2
Stephen Curry,34.6,GSW,Point,491,45,+0.6,67,-1.8,17,+2.8%,54,-4.6,10,+2.3,28,+7.5%,4,+75.4,97,-4.4,12,+9.0%,94,-47.1
Anthony Davis,29.6,LAL,Big,650,57,-1.6,17,+2.7,48,+0.4%,23,+14.7,29,+0.7,72,-4.8%,35,+13.5,22,+2.1,23,+5.8%,28,+17.5
Spencer Dinwiddie,29.6,BKN,Point,159,53,-0.4,84,-3.5,70,-1.9%,93,-33.8,75,-1.2,73,-5.1%,88,-50.0,75,-2.3,49,+0.5%,73,-20.5
Kevin Durant,34.1,PHX,Big,465,48,+0.3,15,+2.9,57,-0.2%,19,+16.8,39,+0.2,92,-11.8%,43,+5.7,13,+2.8,3,+13.4%,9,+35.3
Joel Embiid,28.6,PHI,Big,335,51,-0.1,87,-3.8,28,+2.0%,74,-19.4,41,+0.1,15,+12.9%,61,-14.9,88,-3.7,73,-2.6%,76,-21.2
Dorian Finney-Smith,29.5,BKN,Big,100,83,-8.3,51,-0.2,63,-0.6%,63,-8.9,88,-2.0,71,-4.7%,71,-25.6,28,+1.8,24,+5.7%,25,+21.2
Rudy Gobert,30.3,MIN,Big,209,9,+9.6,60,-0.9,85,-3.3%,57,-6.0,48,-0.1,85,-10.2%,40,+8.1,59,-0.8,70,-2.4%,63,-12.3
Aaron Gordon,27.1,DEN,Forward,706,90,-11.7,61,-0.9,86,-3.7%,53,-3.5,60,-0.7,56,-1.7%,42,+6.7,46,+0.3,56,-0.6%,53,-1.8
Eric Gordon,33.9,LAC,Wing,149,47,+0.5,93,-4.5,24,+2.1%,79,-21.6,59,-0.6,64,-3.6%,58,-13.1,89,-3.8,64,-1.5%,78,-23.4
Draymond Green,32.7,GSW,Big,365,25,+5.7,10,+3.8,77,-2.4%,17,+18.6,23,+1.2,46,+1.2%,29,+17.1,20,+2.1,75,-3.2%,30,+16.0
Jeff Green,36.2,DEN,Big,341,10,+9.4,28,+1.7,28,+2.0%,28,+12.1,48,-0.1,37,+3.9%,66,-17.5,33,+1.2,34,+3.1%,23,+21.9
James Harden,33.2,PHI,Point,425,11,+9.3,12,+3.4,1,+7.3%,5,+36.2,27,+1.1,3,+25.5%,20,+33.3,17,+2.3,6,+12.1%,13,+33.6
Tobias Harris,30.3,PHI,Forward,390,13,+8.6,56,-0.6,12,+4.3%,59,-6.7,78,-1.3,14,+12.9%,82,-41.7,39,+0.7,19,+6.3%,40,+8.0
Jrue Holiday,32.4,MIL,Point,190,88,-11.2,22,+2.3,78,-2.5%,38,+5.1,0,+5.2,4,+24.2%,3,+89.5,85,-2.9,93,-9.2%,74,-20.5
Al Horford,36.4,BOS,Big,615,89,-11.6,77,-2.7,35,+1.2%,71,-15.7,64,-0.8,16,+12.3%,72,-28.6,71,-1.7,63,-1.4%,60,-7.3
LeBron James,37.8,LAL,Big,664,12,+9.2,86,-3.8,27,+2.0%,86,-27.3,72,-1.1,18,+11.1%,95,-72.9,82,-2.6,48,+0.6%,71,-18.4
Nikola Jokic,27.7,DEN,Big,782,34,+2.5,83,-3.3,33,+1.6%,85,-27.2,49,-0.1,77,-6.3%,53,-8.3,84,-2.8,57,-0.7%,84,-31.3
Tyus Jones,26.5,MEM,Combo,120,70,-5.3,52,-0.3,76,-2.3%,39,+4.3,21,+1.3,100,-34.0%,18,+37.5,61,-1.0,80,-4.8%,54,-1.8
