Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyle Anderson,29.1,MIN,Forward,179,13,-10.8,3,-15.2,22,-5.1%,38,+0.6%,69,+3.5,4,-9.6,99,+90.6
Harrison Barnes,30.4,SAC,Forward,196,1,-17.3,14,-8.3,8,-7.3%,93,-4.3%,6,-12.4,28,-2.9,11,-46.8
Devin Booker,26.0,PHX,Wing,458,80,+8.6,97,+21.5,36,-2.0%,28,+1.4%,26,-4.5,8,-6.7,68,+15.4
Malcolm Brogdon,29.9,BOS,Combo,466,61,+4.4,77,+8.2,57,+0.7%,14,+2.8%,40,-1.8,34,-1.7,51,+3.2
Jaylen Brown,26.0,BOS,Wing,748,14,-10.7,5,-14.2,29,-3.9%,64,-1.1%,14,-6.8,46,-0.4,13,-40.3
Jimmy Butler,33.1,MIA,Forward,955,37,-2.7,19,-6.6,81,+4.7%,69,-1.5%,18,-6.0,82,+3.7,3,-78.2
Kentavious Caldwell-Pope,29.7,DEN,Combo,664,28,-4.9,26,-5.2,17,-6.1%,49,-0.1%,24,-4.8,9,-6.5,60,+11.4
Clint Capela,28.5,ATL,Big,179,21,-7.1,11,-9.5,62,+2.2%,30,+1.3%,25,-4.6,44,-0.6,25,-16.7
Mike Conley,35.1,MIN,Point,255,75,+7.4,79,+8.4,83,+5.9%,99,-6.0%,36,-3.0,92,+8.4,2,-102.6
Stephen Curry,34.6,GSW,Point,491,95,+19.1,87,+11.8,98,+11.8%,12,+3.3%,66,+2.7,74,+2.9,49,+2.5
Anthony Davis,29.6,LAL,Big,650,89,+16.6,63,+4.7,63,+2.3%,65,-1.2%,87,+9.5,78,+3.5,88,+34.3
Spencer Dinwiddie,29.6,BKN,Point,159,93,+18.5,96,+21.1,2,-13.4%,33,+1.2%,38,-2.5,13,-5.9,53,+4.5
Kevin Durant,34.1,PHX,Big,465,97,+22.1,94,+20.0,67,+2.6%,90,-4.1%,88,+12.1,71,+2.5,95,+70.2
Joel Embiid,28.6,PHI,Big,335,44,+0.2,27,-5.2,11,-6.6%,25,+1.8%,41,-1.7,8,-7.0,94,+49.2
Dorian Finney-Smith,29.5,BKN,Big,100,48,+1.4,90,+14.1,32,-3.2%,67,-1.3%,37,-2.9,63,+1.1,15,-33.9
Rudy Gobert,30.3,MIN,Big,209,96,+19.7,93,+18.2,73,+3.5%,66,-1.2%,73,+4.4,73,+2.9,56,+6.7
Aaron Gordon,27.1,DEN,Forward,706,78,+8.2,89,+13.8,14,-6.5%,88,-4.0%,23,-4.8,41,-0.9,23,-18.9
Eric Gordon,33.9,LAC,Wing,149,10,-11.4,21,-6.4,3,-13.2%,15,+2.7%,0,-34.1,2,-12.0,1,-112.2
Draymond Green,32.7,GSW,Big,365,51,+2.1,57,+3.1,77,+4.1%,68,-1.4%,12,-8.1,47,-0.3,12,-40.8
Jeff Green,36.2,DEN,Big,341,24,-6.1,32,-3.6,41,-1.5%,0,+6.5%,22,-5.0,7,-7.0,67,+15.3
James Harden,33.2,PHI,Point,425,4,-15.0,6,-13.9,76,+4.1%,74,-2.0%,16,-6.3,73,+2.7,6,-75.3
Tobias Harris,30.3,PHI,Forward,390,69,+6.4,78,+8.3,46,-1.1%,63,-1.1%,45,-0.9,19,-4.0,81,+25.3
Jrue Holiday,32.4,MIL,Point,190,84,+11.1,33,-2.4,93,+8.7%,100,-9.6%,83,+6.5,88,+6.2,33,-6.7
Al Horford,36.4,BOS,Big,615,23,-6.8,10,-10.5,44,-1.3%,84,-3.6%,72,+4.2,81,+3.7,38,-4.6
LeBron James,37.8,LAL,Big,664,30,-3.7,46,-0.0,64,+2.3%,37,+0.8%,62,+1.4,50,-0.0,57,+8.9
Nikola Jokic,27.7,DEN,Big,782,81,+8.7,51,+1.5,68,+2.6%,83,-3.4%,89,+12.7,98,+10.0,66,+15.1
Tyus Jones,26.5,MEM,Combo,120,20,-8.2,52,+2.0,45,-1.1%,17,+2.6%,3,-18.6,26,-3.2,4,-77.7
Caris LeVert,28.2,CLE,Wing,167,38,-2.5,62,+3.8,27,-4.2%,62,-1.0%,35,-3.2,12,-5.9,65,+14.6
Kevon Looney,26.7,GSW,Big,324,53,+2.2,40,-1.5,92,+7.9%,70,-1.6%,95,+13.9,91,+7.4,90,+38.0
Brook Lopez,34.6,MIL,Big,181,8,-13.6,7,-13.1,19,-5.6%,80,-2.9%,48,-0.6,27,-3.0,73,+20.0
Kevin Love,34.1,MIA,Big,372,18,-8.8,25,-5.4,28,-4.1%,56,-0.6%,43,-1.1,63,+0.9,30,-13.6
Kyle Lowry,36.6,MIA,Point,633,58,+3.6,44,-0.7,84,+5.9%,43,+0.4%,75,+4.6,45,-0.5,88,+34.8
Trey Lyles,27.0,SAC,Big,117,88,+15.5,67,+5.2,88,+7.2%,1,+6.2%,99,+18.3,80,+3.7,96,+71.2
Khris Middleton,31.2,MIL,Forward,173,85,+12.0,84,+10.4,18,-5.9%,16,+2.7%,88,+9.6,66,+1.7,93,+48.0
Dejounte Murray,26.1,ATL,Combo,226,29,-4.1,8,-11.5,96,+11.2%,75,-2.5%,96,+15.3,98,+10.9,72,+19.0
Jamal Murray,25.7,DEN,Combo,791,83,+10.1,86,+10.7,57,+1.1%,82,-3.4%,83,+7.0,93,+8.5,27,-16.6
Georges Niang,29.4,PHI,Forward,153,19,-8.3,23,-6.0,24,-4.4%,46,+0.1%,76,+4.7,59,+0.8,74,+21.1
Chris Paul,37.5,PHX,Point,250,72,+6.7,47,+0.3,83,+5.6%,78,-2.8%,94,+13.9,89,+6.4,93,+46.3
Cameron Payne,28.2,PHX,Point,146,18,-8.9,24,-5.4,13,-6.5%,3,+6.0%,10,-9.3,11,-6.1,19,-23.5
Bobby Portis,27.7,MIL,Big,105,92,+17.4,92,+15.7,71,+2.8%,95,-4.4%,85,+9.0,76,+3.1,84,+31.3
Norman Powell,29.4,LAC,Wing,167,25,-5.2,76,+7.8,7,-8.3%,32,+1.2%,21,-5.1,23,-3.6,47,+1.3
Taurean Prince,28.6,MIN,Forward,162,6,-15.0,13,-9.4,78,+4.1%,53,-0.3%,33,-3.3,38,-1.1,31,-13.0
Julius Randle,27.9,NYK,Forward,329,68,+6.2,83,+10.3,47,-1.0%,19,+2.2%,42,-1.4,70,+2.0,28,-15.2
D'Angelo Russell,26.7,LAL,Point,496,65,+5.3,63,+4.3,48,-0.8%,73,-1.9%,63,+1.8,78,+3.3,28,-14.9
Domantas Sabonis,26.5,SAC,Big,242,2,-16.6,38,-1.6,4,-12.0%,97,-5.0%,3,-20.8,15,-5.0,5,-76.3
Dennis Schroder,29.1,LAL,Point,447,62,+4.5,65,+4.7,60,+1.6%,23,+1.9%,59,+0.9,48,-0.1,54,+5.0
Marcus Smart,28.7,BOS,Point,668,39,-2.2,42,-1.5,65,+2.4%,73,-1.9%,81,+6.3,54,+0.3,89,+37.1
Klay Thompson,32.7,GSW,Wing,467,55,+2.8,43,-1.4,88,+7.0%,91,-4.2%,84,+8.8,87,+5.6,71,+19.0
Karl-Anthony Towns,27.0,MIN,Big,249,77,+7.6,91,+14.7,33,-2.7%,28,+1.5%,46,-0.9,85,+4.1,14,-39.7
PJ Tucker,37.5,PHI,Big,292,74,+7.3,71,+6.6,50,-0.4%,31,+1.3%,30,-3.8,13,-5.6,82,+26.4
Russell Westbrook,34.0,LAC,Point,192,63,+4.6,88,+11.8,6,-11.1%,3,+5.4%,4,-15.3,3,-11.3,34,-6.2
Andrew Wiggins,27.7,GSW,Forward,441,34,-3.0,23,-5.5,59,+1.3%,48,-0.0%,79,+5.7,68,+1.8,75,+23.1
Cody Zeller,30.1,MIA,Big,163,56,+2.9,39,-1.6,74,+3.7%,52,-0.2%,71,+3.8,53,+0.3,76,+23.2
Ivica Zubac,25.6,LAC,Big,129,3,-15.5,8,-12.3,16,-6.1%,18,+2.3%,2,-22.6,29,-2.8,0,-117.9
Gary Payton II,29.9,GSW,Wing,170,52,+2.1,60,+3.4,30,-3.5%,54,-0.3%,56,+0.5,30,-2.6,69,+18.8
Torrey Craig,31.9,PHX,Forward,177,42,-1.3,36,-1.8,39,-1.7%,39,+0.5%,27,-4.4,6,-7.8,85,+31.6
Josh Hart,27.7,NYK,Wing,352,49,+1.5,31,-3.8,99,+14.2%,41,+0.5%,92,+13.3,93,+8.9,78,+23.6
Bam Adebayo,25.3,MIA,Big,925,31,-3.3,48,+0.4,31,-3.5%,50,-0.1%,52,-0.3,52,+0.2,39,-3.5
John Collins,25.1,ATL,Big,186,8,-14.5,18,-7.5,18,-5.8%,55,-0.4%,7,-11.3,17,-4.6,18,-26.8
Dillon Brooks,26.8,MEM,Wing,167,5,-15.0,13,-9.0,35,-2.3%,24,+1.8%,47,-0.9,16,-4.8,68,+17.9
