Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,24.0,DEN,Wing,118,50,+1.4,50,+0.2,9,+4.3%,46,+4.6,24,+1.3,13,+15.8%,27,+25.3,87,-2.4,7,+12.0%,79,-21.1
LaMarcus Aldridge,24.3,POR,Big,225,97,-22.2,95,-4.5,77,-1.7%,70,-10.9,93,-2.7,99,-48.1%,97,-121.4,95,-3.4,89,-7.4%,53,0.0
Ray Allen,34.3,BOS,Wing,922,22,+7.6,24,+2.1,73,-1.1%,36,+10.0,50,+0.3,36,+7.2%,61,-8.9,22,+1.8,82,-5.9%,28,+16.5
Tony Allen,27.8,BOS,Wing,379,72,-3.9,43,+0.7,40,+0.6%,42,+6.1,51,+0.3,38,+5.9%,53,-1.4,48,+0.5,51,-0.6%,39,+10.7
Lou Amundson,26.9,PHX,Big,172,83,-7.2,64,-0.7,8,+4.7%,86,-21.3,18,+1.7,22,+13.2%,48,+6.8,92,-3.1,22,+5.9%,97,-49.9
Chris Andersen,31.3,DEN,Big,115,49,+1.5,96,-4.5,94,-4.2%,93,-33.1,84,-1.9,96,-22.7%,90,-60.0,69,-1.0,87,-6.7%,59,-1.9
Carmelo Anthony,25.4,DEN,Wing,252,100,-37.7,63,-0.7,27,+1.6%,89,-23.2,89,-2.2,8,+24.3%,93,-83.3,3,+6.2,5,+13.6%,3,+133.3
Carlos Arroyo,30.3,MIA,Point,110,45,+2.3,15,+3.1,33,+1.4%,16,+22.9,35,+0.8,31,+9.5%,29,+23.0,14,+2.3,46,+1.3%,20,+25.0
Leandro Barbosa,26.9,PHX,Wing,227,87,-10.6,71,-1.3,24,+1.9%,82,-19.9,52,+0.2,16,+14.7%,50,+1.9,79,-1.4,39,+3.2%,88,-30.5
Matt Barnes,29.6,ORL,Wing,325,14,+10.4,23,+2.1,34,+1.3%,32,+11.8,25,+1.3,66,-5.4%,23,+35.6,42,+0.9,23,+5.5%,56,-1.4
Nicolas Batum,20.9,POR,Wing,138,87,-10.6,97,-4.6,74,-1.3%,87,-22.7,44,+0.5,91,-16.3%,21,+36.7,98,-5.1,34,+3.5%,99,-56.5
Jerryd Bayless,21.2,POR,Combo,156,82,-6.7,79,-2.0,63,-0.5%,74,-12.0,87,-2.2,46,+1.0%,95,-90.0,38,+1.1,61,-2.3%,17,+28.0
Michael Beasley,20.8,MIA,Forward,131,63,-2.9,68,-1.1,28,+1.6%,65,-8.3,95,-2.7,79,-10.7%,81,-30.8,26,+1.6,19,+6.1%,41,+9.5
Mike Bibby,31.5,ATL,Point,291,59,-2.2,17,+2.6,71,-1.1%,18,+22.4,37,+0.8,30,+10.1%,30,+22.9,21,+1.8,68,-3.3%,29,+15.9
Chauncey Billups,33.1,DEN,Combo,206,33,+3.8,11,+3.5,2,+7.8%,52,+0.5,8,+2.4,3,+40.5%,4,+131.6,18,+2.1,3,+16.0%,69,-7.6
Matt Bonner,29.6,SAS,Big,169,37,+3.2,39,+1.1,8,+4.7%,61,-5.5,34,+0.8,74,-8.1%,12,+47.1,46,+0.6,4,+13.6%,62,-3.5
Carlos Boozer,27.9,UTA,Big,400,4,+16.8,8,+4.3,26,+1.6%,10,+34.4,30,+1.1,35,+7.4%,45,+8.6,11,+3.1,29,+4.4%,9,+43.2
Shannon Brown,23.9,LAL,Combo,296,29,+4.6,30,+1.7,82,-2.1%,27,+15.5,68,-0.6,87,-14.2%,66,-14.5,13,+2.4,83,-5.9%,16,+28.1
Kobe Bryant,31.2,LAL,Wing,921,40,+2.8,60,-0.4,29,+1.5%,88,-23.1,22,+1.4,76,-9.2%,39,+14.4,86,-2.2,8,+11.9%,96,-49.9
Caron Butler,29.6,DAL,Wing,195,77,-5.0,45,+0.4,11,+3.6%,57,-3.9,88,-2.2,9,+23.2%,100,-128.6,12,+3.0,42,+2.3%,10,+42.9
Andrew Bynum,22.0,LAL,Big,546,52,+0.7,61,-0.5,20,+2.1%,59,-4.5,79,-1.3,14,+15.4%,77,-28.1,47,+0.6,17,+6.6%,49,+2.3
Marcus Camby,35.6,POR,Big,177,76,-4.5,8,+5.2,53,-0.0%,12,+29.4,23,+1.4,43,+2.4%,39,+14.3,7,+3.8,18,+6.4%,22,+24.0
Vince Carter,32.8,ORL,Wing,477,69,-3.8,37,+1.3,42,+0.5%,25,+16.3,18,+1.6,44,+2.4%,9,+56.3,64,-0.5,55,-0.8%,70,-9.7
Mario Chalmers,23.5,MIA,Combo,130,91,-13.4,72,-1.4,89,-3.1%,50,+1.0,17,+1.7,50,-0.4%,20,+37.5,93,-3.2,95,-10.3%,82,-23.1
Jarron Collins,30.9,PHX,Big,112,66,-3.4,24,+2.1,45,+0.4%,11,+30.3,48,+0.3,45,+2.2%,32,+20.3,20,+1.8,59,-1.7%,14,+35.3
Nick Collison,29.0,OKC,Big,121,92,-14.1,65,-0.9,50,+0.1%,55,-0.9,97,-2.9,53,-1.2%,87,-48.3,24,+1.7,37,+3.2%,6,+58.3
Jamal Crawford,29.6,ATL,Combo,323,54,-0.0,32,+1.6,13,+2.8%,18,+22.6,27,+1.2,49,-0.3%,13,+45.4,50,+0.4,21,+5.9%,34,+13.3
Erick Dampier,34.3,DAL,Big,118,70,-3.9,92,-3.9,16,+2.3%,92,-27.3,57,-0.2,5,+27.8%,72,-20.0,96,-3.9,76,-4.5%,93,-38.0
Glen Davis,23.8,BOS,Big,467,39,+3.0,18,+2.4,39,+0.7%,24,+18.6,43,+0.5,40,+2.9%,42,+10.1,19,+1.9,36,+3.3%,19,+25.7
Carlos Delfino,27.2,MIL,Wing,224,2,+23.9,2,+7.4,90,-3.1%,4,+62.8,8,+2.4,15,+15.1%,15,+43.6,3,+5.0,94,-9.6%,5,+73.3
Luol Deng,24.5,CHI,Forward,201,34,+3.4,58,-0.3,4,+5.5%,33,+11.5,0,,1,+66.7%,0,,61,-0.4,16,+6.9%,23,+20.8
Boris Diaw,27.5,CHA,Big,151,8,+13.6,6,+5.2,3,+7.6%,1,+82.8,5,+3.1,4,+30.0%,3,+175.0,17,+2.2,10,+11.3%,13,+38.2
Goran Dragic,23.5,PHX,Combo,214,65,-3.3,54,-0.1,22,+2.0%,62,-6.1,61,-0.4,24,+12.7%,55,-3.3,49,+0.4,24,+5.5%,63,-5.4
Jared Dudley,24.3,PHX,Wing,364,85,-8.5,62,-0.7,30,+1.5%,71,-10.9,67,-0.6,39,+3.7%,64,-14.2,54,+0.0,13,+8.2%,67,-7.2
Tim Duncan,33.5,SAS,Big,371,62,-2.8,21,+2.2,87,-3.0%,15,+25.6,76,-1.2,32,+9.1%,84,-40.0,10,+3.1,96,-10.5%,15,+34.3
Kevin Durant,21.1,OKC,Wing,230,68,-3.4,3,+6.2,67,-0.7%,3,+63.1,3,+6.1,61,-3.9%,8,+60.0,0,,8,+11.8%,0,
Maurice Evans,31.0,ATL,Wing,126,20,+9.1,77,-1.7,48,+0.2%,72,-11.4,55,-0.1,84,-12.4%,47,+7.1,70,-1.0,47,+1.1%,73,-12.8
Jordan Farmar,22.9,LAL,Point,270,82,-6.7,82,-2.5,71,-1.1%,76,-12.4,81,-1.5,86,-13.4%,65,-14.4,72,-1.1,74,-4.3%,75,-14.6
Raymond Felton,25.3,CHA,Point,129,1,+33.4,3,+6.6,5,+5.4%,5,+59.4,10,+2.3,10,+22.4%,8,+80.0,5,+4.3,11,+10.7%,8,+43.3
Rudy Fernandez,24.6,POR,Wing,108,11,+12.2,22,+2.2,34,+1.3%,26,+15.9,42,+0.5,73,-7.9%,19,+38.2,43,+0.7,13,+8.6%,71,-10.9
Kyrylo Fesenko,22.9,UTA,Big,177,93,-16.6,82,-2.4,69,-0.9%,66,-8.7,53,+0.2,19,+13.6%,57,-5.0,88,-2.4,91,-7.8%,84,-24.5
Derek Fisher,35.2,LAL,Point,749,24,+6.6,14,+3.1,37,+1.0%,24,+17.6,14,+1.8,33,+8.6%,16,+43.0,24,+1.7,31,+4.0%,33,+14.9
Channing Frye,26.5,PHX,Big,426,60,-2.2,55,-0.1,81,-1.9%,37,+8.9,45,+0.4,26,+11.2%,38,+15.2,61,-0.3,84,-6.3%,52,+0.7
Kevin Garnett,33.5,BOS,Big,763,44,+2.4,39,+1.0,39,+0.9%,41,+6.8,65,-0.4,34,+8.0%,74,-21.4,30,+1.4,52,-0.6%,24,+19.1
Pau Gasol,29.3,LAL,Big,910,55,-0.3,42,+0.8,44,+0.4%,66,-9.0,58,-0.2,65,-5.0%,83,-38.4,27,+1.5,55,-1.2%,42,+7.2
Taj Gibson,24.4,CHI,Big,143,98,-24.7,19,+2.3,10,+4.0%,21,+19.7,38,+0.6,42,+2.5%,18,+40.0,36,+1.1,9,+11.7%,45,+5.6
Manu Ginobili,32.3,SAS,Wing,351,35,+3.3,10,+3.8,83,-2.1%,14,+26.7,39,+0.6,48,+1.0%,66,-15.0,13,+2.9,86,-6.6%,18,+26.4
Marcin Gortat,25.7,ORL,Big,190,36,+3.3,81,-2.1,61,-0.5%,82,-19.1,71,-0.9,37,+6.4%,76,-24.5,77,-1.3,75,-4.5%,78,-20.0
Jeff Green,23.2,OKC,Forward,216,8,+14.1,71,-1.2,70,-1.0%,87,-22.8,28,+1.2,97,-23.8%,40,+13.9,78,-1.3,69,-3.6%,94,-42.4
Udonis Haslem,29.4,MIA,Big,141,29,+4.6,89,-3.2,52,+0.1%,81,-16.7,21,+1.5,18,+14.0%,33,+18.3,97,-4.7,73,-4.2%,92,-37.7
Brendan Haywood,29.9,DAL,Big,133,57,-1.2,38,+1.3,87,-2.9%,38,+8.8,72,-1.0,93,-20.8%,34,+16.7,16,+2.2,29,+4.4%,43,+7.1
Nene Hilario,27.1,DEN,Big,168,58,-1.2,57,-0.3,23,+2.0%,58,-4.3,83,-1.7,18,+14.0%,96,-93.8,59,-0.2,61,-2.4%,46,+5.0
George Hill,23.5,SAS,Combo,343,26,+4.8,67,-1.0,59,-0.4%,51,+1.0,24,+1.3,55,-2.3%,13,+45.6,89,-2.6,66,-2.8%,80,-21.1
Grant Hill,37.1,PHX,Wing,449,32,+4.4,44,+0.6,64,-0.6%,47,+4.5,47,+0.4,76,-9.0%,45,+8.5,52,+0.1,50,-0.6%,50,+2.1
Kirk Hinrich,28.8,CHI,Combo,195,84,-8.5,29,+1.7,1,+9.7%,40,+7.7,0,,0,+76.2%,0,,23,+1.7,6,+13.0%,27,+16.7
Al Horford,23.4,ATL,Big,386,94,-17.4,59,-0.4,86,-2.9%,49,+1.6,80,-1.4,52,-1.1%,69,-16.7,39,+1.0,85,-6.6%,34,+13.3
Dwight Howard,23.9,ORL,Big,494,42,+2.5,20,+2.3,61,-0.5%,13,+26.9,31,+1.1,61,-3.8%,24,+33.3,28,+1.5,41,+2.5%,18,+27.6
Serge Ibaka,20.1,OKC,Big,132,90,-12.6,93,-4.2,58,-0.4%,98,-42.6,98,-4.6,39,+5.7%,92,-79.5,53,+0.0,70,-3.7%,53,0.0
Ersan Ilyasova,22.5,MIL,Big,150,48,+1.6,70,-1.2,60,-0.5%,54,-0.3,90,-2.3,63,-4.8%,75,-23.8,37,+1.1,76,-4.5%,32,+15.2
Stephen Jackson,31.6,CHA,Wing,155,50,+1.5,0,+11.0,0,+11.2%,0,+180.6,0,,2,+46.7%,0,,2,+7.9,0,+18.3%,1,+194.4
LeBron James,24.8,CLE,Forward,459,89,-11.7,100,-8.7,68,-0.8%,97,-42.2,87,-2.0,54,-1.4%,98,-124.2,100,-6.7,97,-11.2%,89,-32.2
Antawn Jamison,33.4,CLE,Forward,373,46,+2.0,87,-2.9,92,-3.7%,84,-20.5,70,-0.9,66,-5.4%,68,-15.3,84,-2.0,93,-9.2%,83,-24.3
Richard Jefferson,29.4,SAS,Forward,331,74,-4.0,45,+0.5,41,+0.6%,34,+11.3,49,+0.3,25,+11.8%,66,-15.0,58,-0.1,63,-2.4%,44,+6.4
Brandon Jennings,20.1,MIL,Combo,248,13,+11.4,84,-2.6,98,-6.7%,75,-12.2,69,-0.7,23,+13.0%,58,-5.6,83,-1.9,97,-12.5%,76,-16.7
Joe Johnson,28.3,ATL,Wing,440,99,-29.7,26,+2.0,49,+0.1%,64,-6.8,55,-0.0,6,+25.9%,90,-60.0,40,+0.9,54,-0.7%,58,-1.9
Jason Kidd,36.6,DAL,Point,243,96,-21.6,88,-3.0,95,-4.4%,90,-23.8,20,+1.5,8,+25.0%,18,+40.0,97,-4.9,99,-15.2%,95,-43.9
Kyle Korver,28.6,UTA,Wing,209,43,+2.4,83,-2.6,78,-1.7%,83,-20.5,74,-1.1,72,-7.4%,60,-7.1,82,-1.7,44,+1.5%,86,-26.8
Nenad Krstic,26.3,OKC,Big,129,13,+11.2,18,+2.4,29,+1.6%,17,+22.6,7,+2.8,45,+1.2%,11,+48.3,56,-0.1,58,-1.6%,53,0.0
Ty Lawson,22.0,DEN,Combo,115,66,-3.4,91,-3.5,100,-9.7%,76,-13.2,75,-1.1,95,-22.5%,44,+9.8,92,-2.9,100,-22.3%,98,-53.3
Rashard Lewis,30.2,ORL,Big,511,95,-17.4,27,+1.9,38,+1.0%,29,+14.0,13,+1.9,62,-4.0%,14,+43.7,51,+0.2,32,+4.0%,60,-2.0
Robin Lopez,21.6,PHX,Big,100,16,+10.0,74,-1.6,31,+1.4%,80,-15.9,39,+0.6,59,-2.8%,28,+24.1,80,-1.5,25,+5.3%,71,-12.3
Shawn Marion,31.5,DAL,Forward,148,92,-16.4,99,-7.9,50,+0.1%,100,-89.7,97,-3.1,24,+12.4%,99,-126.7,99,-5.5,71,-3.9%,100,-88.7
Kenyon Martin,31.8,DEN,Big,204,7,+14.3,9,+4.1,35,+1.2%,31,+11.9,4,+3.5,75,-8.3%,7,+83.3,25,+1.6,33,+3.9%,74,-14.2
Wesley Matthews,23.0,UTA,Wing,368,28,+4.7,36,+1.3,55,-0.1%,30,+12.2,41,+0.6,71,-6.5%,54,-3.1,45,+0.6,50,-0.6%,29,+16.3
Luc Mbah a Moute,23.1,MIL,Forward,172,53,-0.0,13,+3.3,19,+2.1%,39,+7.7,12,+2.2,51,-0.7%,43,+10.0,34,+1.1,30,+4.1%,45,+5.6
Antonio McDyess,35.2,SAS,Big,245,80,-6.5,56,-0.2,72,-1.1%,45,+5.1,59,-0.2,11,+22.2%,88,-50.0,62,-0.4,88,-6.7%,47,+4.4
CJ Miles,22.6,UTA,Wing,336,61,-2.6,7,+5.2,45,+0.4%,9,+41.8,11,+2.3,64,-4.8%,24,+32.6,8,+3.3,90,-7.6%,7,+46.4
Andre Miller,33.6,POR,Combo,208,41,+2.7,33,+1.6,85,-2.5%,23,+19.0,71,-1.0,57,-2.6%,61,-8.3,31,+1.3,56,-1.4%,24,+18.9
Paul Millsap,24.7,UTA,Big,322,18,+9.8,78,-1.8,65,-0.7%,85,-21.0,78,-1.3,70,-6.5%,62,-9.5,66,-0.7,43,+2.3%,82,-22.3
Steve Nash,35.7,PHX,Point,536,25,+4.8,49,+0.2,84,-2.3%,39,+8.5,50,+0.3,90,-16.3%,49,+3.3,60,-0.2,82,-5.8%,40,+9.7
Jameer Nelson,27.7,ORL,Point,479,73,-3.9,50,+0.2,25,+1.8%,43,+5.7,73,-1.1,87,-13.5%,52,-0.6,39,+1.1,24,+5.5%,37,+12.4
Joakim Noah,24.7,CHI,Big,187,71,-3.9,92,-3.8,15,+2.5%,96,-37.6,92,-2.4,19,+13.6%,97,-107.7,73,-1.2,20,+6.0%,77,-18.2
Dirk Nowitzki,31.4,DAL,Big,229,6,+14.5,13,+3.4,66,-0.7%,8,+44.7,6,+2.9,3,+31.6%,3,+146.7,33,+1.3,98,-12.6%,12,+40.9
Jermaine O'Neal,31.1,MIA,Big,116,86,-9.8,46,+0.3,24,+1.9%,50,+1.0,85,-2.0,83,-12.1%,73,-21.3,15,+2.3,34,+3.9%,30,+15.8
Shaquille O'Neal,37.7,CLE,Big,242,55,-0.1,28,+1.8,32,+1.4%,19,+20.4,34,+0.9,60,-2.9%,25,+32.4,41,+0.9,28,+4.7%,25,+17.9
Lamar Odom,30.0,LAL,Big,650,61,-2.7,52,-0.0,79,-1.7%,44,+5.4,26,+1.2,78,-10.5%,22,+36.4,76,-1.3,79,-5.0%,68,-7.4
Zaza Pachulia,25.7,ATL,Big,135,9,+12.7,31,+1.6,43,+0.5%,22,+19.6,33,+0.9,55,-2.1%,34,+16.7,44,+0.7,48,+0.5%,26,+17.8
Anthony Parker,34.4,CLE,Wing,327,39,+2.9,85,-2.7,17,+2.3%,68,-10.5,62,-0.4,29,+10.3%,80,-30.6,87,-2.3,45,+1.3%,66,-6.3
Tony Parker,27.5,SAS,Point,333,21,+8.0,94,-4.3,88,-3.1%,95,-35.9,96,-2.8,89,-15.4%,79,-29.5,67,-0.8,39,+2.9%,76,-16.7
Kendrick Perkins,25.0,BOS,Big,571,76,-4.1,66,-1.0,66,-0.7%,69,-10.8,46,+0.4,50,-0.5%,36,+15.7,75,-1.3,53,-0.7%,85,-25.8
Paul Pierce,32.1,BOS,Wing,926,34,+3.3,80,-2.0,47,+0.2%,77,-13.3,63,-0.4,77,-10.2%,37,+15.7,82,-1.7,18,+6.4%,92,-34.1
Mickael Pietrus,27.7,ORL,Wing,258,67,-3.4,61,-0.7,62,-0.5%,55,-1.8,56,-0.2,27,+11.1%,55,-3.3,66,-0.6,57,-1.6%,57,-1.7
JJ Redick,25.4,ORL,Wing,244,64,-3.1,86,-2.8,75,-1.4%,91,-25.5,92,-2.5,69,-6.1%,92,-78.1,55,+0.0,71,-3.9%,36,+12.5
Jason Richardson,28.8,PHX,Wing,531,15,+10.2,40,+0.9,82,-1.9%,29,+14.3,66,-0.5,85,-12.7%,59,-6.4,32,+1.3,77,-4.7%,21,+24.6
Quentin Richardson,29.6,MIA,Wing,148,3,+17.2,35,+1.5,36,+1.1%,45,+5.1,94,-2.7,82,-12.1%,87,-43.8,6,+4.2,35,+3.4%,11,+41.7
Luke Ridnour,28.7,MIL,Point,116,51,+0.7,34,+1.6,3,+6.3%,48,+3.3,32,+0.9,67,-5.6%,31,+22.5,45,+0.6,3,+15.6%,66,-7.1
Nate Robinson,25.4,BOS,Combo,105,30,+4.4,29,+1.7,93,-3.9%,6,+51.8,82,-1.5,97,-26.2%,82,-35.1,8,+3.2,87,-6.6%,4,+79.4
Rajon Rondo,23.7,BOS,Point,972,79,-6.0,87,-2.9,21,+2.0%,97,-40.2,45,+0.4,13,+16.6%,70,-17.1,94,-3.3,40,+2.5%,97,-52.7
Derrick Rose,21.1,CHI,Point,211,0,+33.7,48,+0.2,18,+2.3%,33,+11.5,40,+0.6,68,-5.8%,46,+7.7,57,-0.1,12,+9.2%,39,+11.0
John Salmons,29.9,MIL,Wing,283,81,-6.7,98,-7.4,99,-7.0%,94,-34.6,99,-4.7,81,-11.4%,82,-34.6,91,-2.8,72,-4.1%,91,-33.3
Thabo Sefolosha,25.5,OKC,Wing,124,75,-4.1,53,-0.0,14,+2.6%,53,+0.3,13,+2.0,34,+7.6%,26,+30.0,81,-1.7,38,+3.2%,87,-28.6
JR Smith,24.1,DEN,Wing,156,47,+1.8,76,-1.7,51,+0.1%,78,-14.2,86,-2.0,92,-18.8%,88,-50.0,65,-0.5,61,-2.4%,64,-5.6
Josh Smith,23.9,ATL,Big,390,56,-0.8,75,-1.6,54,-0.0%,60,-4.5,64,-0.4,28,+11.1%,71,-19.1,74,-1.2,67,-3.2%,61,-2.0
Jerry Stackhouse,35.0,MIL,Wing,134,97,-21.7,90,-3.3,12,+3.0%,92,-27.6,77,-1.2,80,-10.9%,75,-23.8,85,-2.1,26,+5.1%,87,-30.2
Amar'e Stoudemire,27.0,PHX,Big,581,10,+12.4,41,+0.8,97,-4.5%,28,+15.0,91,-2.4,98,-27.1%,86,-41.9,9,+3.1,92,-8.8%,8,+44.8
Jason Terry,32.1,DAL,Wing,166,12,+11.6,25,+2.0,91,-3.1%,13,+27.3,16,+1.8,100,-50.0%,6,+90.9,50,+0.3,45,+1.3%,48,+3.3
Kurt Thomas,37.1,MIL,Big,198,24,+6.3,12,+3.5,96,-4.5%,8,+44.9,9,+2.4,29,+10.9%,10,+54.8,35,+1.1,92,-7.9%,13,+37.9
Anderson Varejao,27.1,CLE,Big,255,71,-3.9,34,+1.6,57,-0.2%,35,+10.8,61,-0.3,58,-2.6%,56,-4.0,18,+1.9,65,-2.7%,31,+15.3
Dwyane Wade,27.8,MIA,Wing,209,5,+16.4,97,-5.8,7,+5.2%,99,-54.2,100,-4.9,47,+1.0%,94,-87.0,68,-0.9,2,+18.3%,81,-21.1
Gerald Wallace,27.3,CHA,Forward,163,3,+17.0,1,+8.9,6,+5.4%,1,+82.8,36,+0.8,17,+14.7%,41,+13.6,1,+8.1,0,+18.3%,1,+194.4
Rasheed Wallace,35.1,BOS,Big,404,38,+3.2,69,-1.1,55,-0.0%,56,-3.1,54,-0.0,56,-2.4%,51,+0.6,71,-1.1,49,+0.4%,65,-5.9
Martell Webster,22.9,POR,Forward,132,23,+7.4,51,+0.1,76,-1.4%,63,-6.3,66,-0.5,7,+25.5%,63,-11.1,29,+1.4,80,-5.3%,38,+11.9
