Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,24.0,DEN,Wing,118,71,+5.4,97,+6.4,37,-1.2%,91,+52.2,92,+2.0,82,+15.7%,75,+20.5,91,+4.1,24,-4.4%,92,+63.5
LaMarcus Aldridge,24.3,POR,Big,225,23,-6.2,55,+0.5,49,-0.3%,51,+2.8,82,+1.4,68,+6.0%,61,+9.5,37,-0.9,20,-5.8%,44,-0.7
Ray Allen,34.3,BOS,Wing,922,80,+7.9,26,-1.9,8,-3.2%,34,-11.9,17,-1.3,11,-20.0%,39,-10.5,39,-0.7,45,-1.0%,33,-12.8
Tony Allen,27.8,BOS,Wing,379,16,-8.3,62,+1.1,76,+2.4%,61,+7.7,85,+1.5,76,+10.6%,66,+15.2,45,-0.3,42,-1.6%,51,+3.0
Lou Amundson,26.9,PHX,Big,172,18,-8.0,24,-2.5,90,+5.0%,18,-33.6,28,-0.7,77,+11.0%,31,-17.9,28,-1.7,84,+8.7%,18,-40.2
Chris Andersen,31.3,DEN,Big,115,55,+2.2,18,-3.3,13,-2.9%,24,-19.3,35,-0.3,21,-12.6%,81,+29.5,16,-2.7,40,-1.6%,21,-34.2
Carmelo Anthony,25.4,DEN,Wing,252,65,+4.1,87,+3.8,99,+11.4%,84,+29.2,99,,100,+67.4%,98,,61,+0.6,89,+10.0%,62,+9.8
Carlos Arroyo,30.3,MIA,Point,110,13,-8.6,92,+5.1,15,-2.8%,98,+68.6,86,+1.5,45,-2.5%,76,+22.5,90,+3.9,3,-13.1%,97,+88.9
Leandro Barbosa,26.9,PHX,Wing,227,24,-5.4,3,-5.9,76,+2.4%,4,-54.5,26,-0.8,39,-3.8%,24,-29.8,1,-5.1,76,+6.8%,7,-66.3
Matt Barnes,29.6,ORL,Wing,325,85,+9.9,78,+2.2,71,+2.0%,79,+21.8,65,+0.6,82,+14.2%,68,+16.7,79,+2.0,71,+4.7%,76,+27.0
Nicolas Batum,20.9,POR,Wing,138,83,+9.1,87,+3.7,5,-3.6%,85,+29.8,55,+0.3,61,+4.2%,68,+16.7,87,+3.4,6,-11.7%,83,+35.7
Jerryd Bayless,21.2,POR,Combo,156,13,-8.6,71,+1.3,89,+4.2%,63,+8.5,33,-0.4,15,-16.7%,17,-39.4,75,+1.7,85,+8.9%,84,+38.4
Michael Beasley,20.8,MIA,Forward,131,36,-3.0,64,+1.1,54,+0.1%,66,+11.3,87,+1.7,92,+28.0%,52,+4.5,46,-0.2,9,-10.0%,45,-0.5
Mike Bibby,31.5,ATL,Point,291,94,+15.1,76,+2.1,38,-1.2%,75,+19.4,22,-1.0,79,+12.5%,30,-18.9,85,+2.9,23,-4.6%,85,+38.7
Chauncey Billups,33.1,DEN,Combo,206,8,-15.1,41,-0.4,80,+2.7%,33,-12.1,78,+1.2,71,+7.6%,51,+4.2,24,-1.9,49,-0.5%,28,-27.1
Matt Bonner,29.6,SAS,Big,169,25,-5.2,68,+1.3,92,+5.1%,25,-18.8,43,-0.1,32,-5.6%,50,+3.0,66,+1.2,97,+15.9%,26,-27.9
Carlos Boozer,27.9,UTA,Big,400,75,+6.3,85,+3.5,32,-1.7%,74,+18.0,81,+1.3,31,-5.6%,80,+25.5,66,+1.1,47,-0.8%,45,+0.1
Shannon Brown,23.9,LAL,Combo,296,17,-8.2,49,-0.0,58,+0.5%,32,-12.4,32,-0.5,41,-3.2%,36,-12.7,57,+0.4,50,+0.2%,34,-10.9
Kobe Bryant,31.2,LAL,Wing,921,69,+5.1,27,-1.6,46,-0.4%,35,-10.6,44,-0.1,69,+6.6%,29,-21.6,33,-1.2,55,+0.9%,46,+0.9
Caron Butler,29.6,DAL,Wing,195,5,-19.3,38,-0.5,14,-2.8%,47,0.0,21,-1.0,43,-3.1%,28,-22.9,55,+0.2,11,-9.6%,40,-3.7
Andrew Bynum,22.0,LAL,Big,546,28,-4.9,43,-0.4,39,-1.1%,52,+3.8,61,+0.4,30,-6.2%,63,+12.8,42,-0.4,30,-3.4%,49,+2.4
Marcus Camby,35.6,POR,Big,177,45,-0.9,67,+1.3,42,-0.9%,76,+19.5,3,-3.1,28,-7.6%,8,-65.2,93,+4.3,51,+0.4%,94,+68.1
Vince Carter,32.8,ORL,Wing,477,73,+5.9,99,+6.9,56,+0.5%,96,+57.2,84,+1.5,18,-14.1%,47,+0.5,98,+6.1,46,-0.9%,97,+83.5
Mario Chalmers,23.5,MIA,Combo,130,47,-0.4,17,-3.3,66,+1.6%,11,-46.0,29,-0.6,12,-19.0%,83,+30.6,14,-3.1,94,+13.1%,3,-78.3
Jarron Collins,30.9,PHX,Big,112,2,-21.2,29,-1.2,57,+0.5%,49,+1.6,24,-0.9,45,-2.6%,20,-37.1,36,-0.9,57,+1.2%,54,+4.3
Nick Collison,29.0,OKC,Big,121,90,+12.8,94,+6.2,2,-4.6%,92,+52.6,96,+2.3,3,-35.7%,96,+91.8,92,+4.3,10,-9.9%,87,+46.7
Jamal Crawford,29.6,ATL,Combo,323,39,-2.5,18,-2.8,79,+2.6%,7,-52.1,19,-1.2,20,-12.6%,15,-40.9,26,-1.8,86,+8.9%,10,-60.6
Erick Dampier,34.3,DAL,Big,118,3,-20.0,13,-4.2,22,-2.3%,12,-44.8,13,-1.5,60,+3.6%,11,-54.8,18,-2.4,28,-3.8%,20,-34.2
Glen Davis,23.8,BOS,Big,467,46,-0.5,50,+0.0,19,-2.6%,58,+6.5,46,-0.0,50,-1.2%,37,-11.9,55,+0.1,12,-9.4%,67,+17.8
Carlos Delfino,27.2,MIL,Wing,224,43,-1.3,39,-0.4,3,-4.2%,71,+14.2,9,-2.2,53,0.0%,58,+8.3,76,+1.8,48,-0.6%,82,+35.6
Luol Deng,24.5,CHI,Forward,201,97,+21.3,25,-2.3,0,-9.7%,66,+10.9,14,-1.4,0,-59.3%,3,-90.0,38,-0.8,1,-19.8%,73,+24.2
Boris Diaw,27.5,CHA,Big,151,0,-24.1,52,+0.3,93,+5.6%,2,-59.1,53,+0.2,36,-5.0%,18,-37.5,100,,97,+15.8%,100,
Goran Dragic,23.5,PHX,Combo,214,38,-2.8,16,-3.3,61,+0.7%,17,-35.5,47,-0.0,49,-1.6%,43,-6.0,10,-3.7,64,+2.5%,13,-51.9
Jared Dudley,24.3,PHX,Wing,364,82,+8.2,69,+1.3,81,+2.8%,45,-1.3,75,+1.0,71,+7.7%,73,+20.0,53,+0.0,62,+2.3%,34,-10.3
Tim Duncan,33.5,SAS,Big,371,87,+11.0,34,-0.8,55,+0.2%,72,+16.2,83,+1.4,91,+27.3%,94,+69.0,23,-1.9,14,-6.6%,50,+2.9
Kevin Durant,21.1,OKC,Wing,230,97,+19.9,28,-1.5,100,+12.6%,1,-80.2,58,+0.4,97,+40.2%,98,,31,-1.6,100,+24.1%,4,-74.1
Maurice Evans,31.0,ATL,Wing,126,10,-13.4,23,-2.6,51,+0.0%,21,-30.5,67,+0.7,34,-5.5%,55,+5.2,13,-3.2,59,+1.4%,14,-51.1
Jordan Farmar,22.9,LAL,Point,270,21,-6.9,77,+2.2,74,+2.3%,70,+13.5,40,-0.2,80,+13.7%,33,-16.6,76,+1.8,41,-1.6%,78,+33.1
Raymond Felton,25.3,CHA,Point,129,45,-1.0,35,-0.8,63,+1.1%,13,-43.2,74,+1.0,32,-5.6%,18,-37.5,20,-2.1,54,+0.9%,8,-65.0
Rudy Fernandez,24.6,POR,Wing,108,76,+6.4,45,-0.3,12,-2.9%,36,-10.5,11,-2.0,87,+21.4%,23,-30.0,74,+1.7,25,-4.3%,52,+3.2
Kyrylo Fesenko,22.9,UTA,Big,177,29,-4.3,31,-1.1,77,+2.5%,26,-18.7,36,-0.3,85,+16.8%,25,-27.0,52,+0.0,67,+2.8%,37,-7.5
