Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kyrylo Fesenko,22.9,UTA,Big,177,93,-16.6,84,-8.8,89,-11.1%,94,+4.3%,91,-10.7,91,-6.2,83,-26.1
Derek Fisher,35.2,LAL,Point,749,24,+6.6,35,+3.5,55,-1.8%,24,-1.9%,47,+1.2,60,-0.7,39,+10.1
Channing Frye,26.5,PHX,Big,426,60,-2.2,80,-7.7,33,+2.9%,37,-0.9%,39,+2.7,17,+4.3,71,-15.5
Kevin Garnett,33.5,BOS,Big,763,44,+2.4,55,-0.8,29,+3.6%,15,-3.2%,24,+4.8,25,+3.2,41,+7.3
Pau Gasol,29.3,LAL,Big,910,55,-0.3,63,-2.1,43,+0.6%,33,-1.2%,81,-5.3,72,-2.6,67,-13.7
Taj Gibson,24.4,CHI,Big,143,98,-24.7,99,-34.2,48,-0.0%,11,-3.9%,23,+5.0,32,+1.9,40,+9.4
Manu Ginobili,32.3,SAS,Wing,351,35,+3.3,67,-3.1,60,-2.5%,67,+1.0%,88,-9.5,63,-1.0,97,-57.1
Marcin Gortat,25.7,ORL,Big,190,36,+3.3,39,+2.3,42,+0.6%,86,+2.8%,80,-5.1,87,-5.5,56,-6.8
Jeff Green,23.2,OKC,Forward,216,8,+14.1,22,+6.4,8,+9.9%,26,-1.6%,0,+28.6,2,+11.6,1,+133.3
Udonis Haslem,29.4,MIA,Big,141,29,+4.6,27,+5.7,1,+15.7%,29,-1.3%,14,+8.2,13,+6.6,17,+30.0
Brendan Haywood,29.9,DAL,Big,133,57,-1.2,56,-0.9,18,+6.0%,89,+3.4%,92,-11.8,88,-5.9,84,-26.7
Nene Hilario,27.1,DEN,Big,168,58,-1.2,16,+8.2,100,-22.4%,76,+1.8%,97,-19.2,99,-14.2,74,-18.2
George Hill,23.5,SAS,Combo,343,26,+4.8,18,+7.5,39,+1.0%,76,+1.6%,61,-2.2,86,-5.4,30,+20.0
Grant Hill,37.1,PHX,Wing,449,32,+4.4,30,+5.1,71,-4.1%,29,-1.3%,29,+4.3,50,+0.2,25,+22.4
Kirk Hinrich,28.8,CHI,Combo,195,84,-8.5,94,-15.6,7,+10.4%,2,-11.2%,4,+14.6,6,+8.5,15,+30.8
Al Horford,23.4,ATL,Big,386,94,-17.4,92,-14.4,71,-4.0%,82,+2.2%,34,+3.1,52,-0.2,28,+21.1
Dwight Howard,23.9,ORL,Big,494,42,+2.5,45,+1.5,50,-0.9%,52,+0.1%,29,+4.1,36,+1.1,18,+29.6
Serge Ibaka,20.1,OKC,Big,132,90,-12.6,57,-1.2,72,-4.4%,58,+0.3%,100,-23.5,94,-8.2,99,-73.5
Ersan Ilyasova,22.5,MIL,Big,150,48,+1.6,45,+1.5,19,+5.9%,28,-1.4%,39,+2.8,11,+6.8,66,-13.5
Stephen Jackson,31.6,CHA,Wing,155,50,+1.5,61,-1.6,12,+9.3%,3,-8.3%,74,-4.6,39,+1.0,89,-36.1
LeBron James,24.8,CLE,Forward,459,89,-11.7,88,-10.5,37,+1.4%,19,-2.6%,13,+8.5,18,+4.1,29,+20.3
Antawn Jamison,33.4,CLE,Forward,373,46,+2.0,37,+3.2,47,+0.0%,98,+5.2%,76,-4.6,69,-2.1,62,-8.8
Richard Jefferson,29.4,SAS,Forward,331,74,-4.0,64,-2.3,56,-1.8%,82,+2.2%,61,-2.5,76,-3.4,45,+5.8
Brandon Jennings,20.1,MIL,Combo,248,13,+11.4,1,+24.1,86,-9.5%,96,+4.4%,82,-7.2,68,-1.7,81,-25.0
Joe Johnson,28.3,ATL,Wing,440,99,-29.7,98,-28.1,97,-16.8%,93,+4.2%,97,-19.6,100,-17.0,61,-8.0
Jason Kidd,36.6,DAL,Point,243,96,-21.6,97,-22.1,84,-9.1%,31,-1.3%,3,+16.6,3,+11.2,13,+32.3
Kyle Korver,28.6,UTA,Wing,209,43,+2.4,18,+7.4,66,-3.1%,88,+3.2%,45,+1.3,55,-0.5,43,+6.8
Nenad Krstic,26.3,OKC,Big,129,13,+11.2,26,+5.8,36,+1.8%,39,-0.9%,12,+10.0,33,+1.8,8,+40.9
Ty Lawson,22.0,DEN,Combo,115,66,-3.4,53,-0.4,28,+4.0%,100,+8.1%,38,+2.8,44,+0.5,35,+14.7
Rashard Lewis,30.2,ORL,Big,511,95,-17.4,93,-15.4,83,-9.0%,25,-1.9%,36,+2.9,46,+0.3,29,+20.6
Robin Lopez,21.6,PHX,Big,100,16,+10.0,7,+15.7,23,+5.2%,45,-0.4%,65,-2.9,47,+0.3,70,-15.5
Shawn Marion,31.5,DAL,Forward,148,92,-16.4,87,-10.2,51,-1.3%,55,+0.2%,15,+8.2,10,+7.0,66,-12.7
Kenyon Martin,31.8,DEN,Big,204,7,+14.3,29,+5.2,66,-3.2%,43,-0.5%,42,+2.6,83,-5.1,8,+43.9
Wesley Matthews,23.0,UTA,Wing,368,28,+4.7,43,+1.8,26,+4.3%,40,-0.8%,87,-9.0,71,-2.4,86,-27.8
Luc Mbah a Moute,23.1,MIL,Forward,172,53,-0.0,71,-4.0,54,-1.5%,45,-0.4%,60,-2.1,89,-6.0,36,+14.7
Antonio McDyess,35.2,SAS,Big,245,80,-6.5,48,+0.5,80,-6.7%,77,+1.8%,85,-8.2,82,-4.7,79,-23.2
CJ Miles,22.6,UTA,Wing,336,61,-2.6,79,-6.5,63,-3.0%,32,-1.3%,48,+0.8,37,+1.0,50,-1.6
Andre Miller,33.6,POR,Combo,208,41,+2.7,13,+9.7,79,-6.6%,90,+3.8%,82,-7.4,41,+0.7,92,-44.4
Paul Millsap,24.7,UTA,Big,322,18,+9.8,32,+4.8,9,+9.8%,14,-3.3%,9,+12.0,8,+7.6,21,+26.6
Steve Nash,35.7,PHX,Point,536,25,+4.8,34,+4.2,53,-1.5%,50,+0.0%,46,+1.3,34,+1.3,50,-1.0
Jameer Nelson,27.7,ORL,Point,479,73,-3.9,61,-1.8,93,-12.9%,34,-1.1%,35,+3.0,64,-1.0,18,+29.4
Joakim Noah,24.7,CHI,Big,187,71,-3.9,6,+15.9,76,-5.5%,30,-1.3%,94,-12.7,70,-2.3,97,-57.1
Dirk Nowitzki,31.4,DAL,Big,229,6,+14.5,3,+22.0,55,-1.6%,95,+4.3%,96,-17.8,97,-11.4,60,-7.8
Jermaine O'Neal,31.1,MIA,Big,116,86,-9.8,92,-13.2,81,-7.3%,69,+1.0%,27,+4.7,53,-0.3,12,+35.5
Shaquille O'Neal,37.7,CLE,Big,242,55,-0.1,15,+8.9,85,-9.4%,80,+2.0%,95,-15.4,96,-9.0,69,-14.9
Lamar Odom,30.0,LAL,Big,650,61,-2.7,70,-3.6,44,+0.5%,64,+0.9%,34,+3.4,43,+0.5,34,+16.4
Zaza Pachulia,25.7,ATL,Big,135,9,+12.7,17,+8.2,24,+5.2%,75,+1.6%,69,-3.9,66,-1.6,73,-17.9
Anthony Parker,34.4,CLE,Wing,327,39,+2.9,19,+7.0,77,-5.7%,74,+1.5%,83,-7.4,92,-6.9,33,+16.8
Tony Parker,27.5,SAS,Point,333,21,+8.0,9,+13.3,32,+3.0%,72,+1.5%,24,+4.9,13,+6.0,63,-9.1
Kendrick Perkins,25.0,BOS,Big,571,76,-4.1,68,-3.1,76,-5.5%,62,+0.8%,55,-0.4,75,-3.4,26,+22.0
Paul Pierce,32.1,BOS,Wing,926,34,+3.3,28,+5.3,65,-3.1%,38,-0.9%,22,+5.2,51,-0.0,16,+30.2
Mickael Pietrus,27.7,ORL,Wing,258,67,-3.4,58,-1.2,22,+5.3%,48,-0.1%,71,-4.2,40,+0.8,90,-38.7
JJ Redick,25.4,ORL,Wing,244,64,-3.1,72,-4.1,21,+5.6%,84,+2.5%,53,+0.2,80,-4.4,13,+34.8
Jason Richardson,28.8,PHX,Wing,531,15,+10.2,10,+11.0,64,-3.1%,49,-0.0%,45,+1.7,62,-0.9,37,+14.6
Quentin Richardson,29.6,MIA,Wing,148,3,+17.2,4,+21.0,92,-12.3%,35,-1.0%,66,-3.6,81,-4.6,52,-2.7
Luke Ridnour,28.7,MIL,Point,116,51,+0.7,91,-13.2,0,+16.6%,4,-5.6%,2,+18.0,4,+9.7,9,+39.9
Nate Robinson,25.4,BOS,Combo,105,30,+4.4,47,+1.1,45,+0.2%,92,+3.8%,31,+3.7,31,+2.1,44,+6.5
Rajon Rondo,23.7,BOS,Point,972,79,-6.0,62,-1.8,62,-3.0%,10,-3.9%,41,+2.7,16,+4.4,75,-19.1
Derrick Rose,21.1,CHI,Point,211,0,+33.7,0,+42.7,68,-3.4%,46,-0.2%,90,-10.3,77,-3.8,81,-25.0
John Salmons,29.9,MIL,Wing,283,81,-6.7,8,+15.4,98,-18.7%,99,+6.8%,92,-10.8,85,-5.3,78,-22.0
Thabo Sefolosha,25.5,OKC,Wing,124,75,-4.1,87,-10.3,13,+8.0%,18,-2.9%,5,+13.6,8,+8.2,34,+15.2
JR Smith,24.1,DEN,Wing,156,47,+1.8,59,-1.3,2,+13.9%,8,-4.4%,11,+10.2,7,+8.4,47,+4.0
Josh Smith,23.9,ATL,Big,390,56,-0.8,23,+6.4,70,-3.6%,47,-0.1%,73,-4.4,65,-1.2,72,-17.1
Jerry Stackhouse,35.0,MIL,Wing,134,97,-21.7,97,-26.1,17,+7.3%,18,-2.7%,49,+0.6,48,+0.3,48,+1.5
Amar'e Stoudemire,27.0,PHX,Big,581,10,+12.4,11,+10.9,27,+4.3%,81,+2.1%,32,+3.7,29,+2.3,46,+4.9
Jason Terry,32.1,DAL,Wing,166,12,+11.6,33,+4.3,6,+10.5%,36,-0.9%,25,+4.8,12,+6.7,88,-33.8
Kurt Thomas,37.1,MIL,Big,198,24,+6.3,24,+6.1,61,-2.7%,83,+2.4%,56,-0.7,24,+3.5,77,-20.2
Anderson Varejao,27.1,CLE,Big,255,71,-3.9,81,-7.9,24,+4.9%,22,-2.4%,18,+6.3,15,+4.5,54,-4.5
Dwyane Wade,27.8,MIA,Wing,209,5,+16.4,5,+19.6,13,+8.7%,9,-4.0%,28,+4.5,29,+2.3,23,+23.7
Gerald Wallace,27.3,CHA,Forward,163,3,+17.0,76,-5.6,4,+12.8%,3,-9.2%,18,+5.9,14,+5.9,55,-5.0
Rasheed Wallace,35.1,BOS,Big,404,38,+3.2,24,+5.9,31,+3.3%,68,+1.0%,58,-1.9,30,+2.1,82,-25.4
Martell Webster,22.9,POR,Forward,132,23,+7.4,54,-0.4,15,+7.8%,78,+1.8%,40,+2.7,95,-8.6,2,+73.8
Delonte West,26.3,CLE,Combo,261,31,+4.4,60,-1.4,8,+10.1%,7,-4.7%,6,+13.5,5,+9.4,49,-0.5
Russell Westbrook,21.0,OKC,Point,211,18,+9.9,39,+2.5,75,-4.8%,87,+3.0%,8,+12.7,9,+7.1,23,+23.7
Deron Williams,25.3,UTA,Point,397,17,+10.0,51,+0.1,11,+9.5%,13,-3.5%,51,+0.3,42,+0.7,51,-2.3
Jason Williams,34.0,ORL,Point,172,45,+2.1,50,+0.3,3,+13.3%,66,+0.9%,64,-2.9,35,+1.1,87,-29.4
Marvin Williams,23.4,ATL,Forward,329,19,+9.4,21,+6.5,30,+3.4%,27,-1.4%,13,+9.5,21,+3.7,10,+37.8
Mo Williams,26.9,CLE,Point,409,78,-5.1,82,-8.4,69,-3.5%,91,+3.8%,89,-9.5,79,-4.4,68,-14.2
Metta World Peace,30.0,LAL,Wing,837,27,+4.8,36,+3.4,46,+0.0%,73,+1.5%,33,+3.6,45,+0.5,32,+17.9
Dorell Wright,23.9,MIA,Wing,107,88,-11.1,89,-10.7,18,+6.7%,54,+0.2%,50,+0.4,28,+2.8,64,-11.1
