Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Arron Afflalo,24.0,DEN,Wing,118,50,+1.4,13,+9.9,82,-8.6%,16,-3.1%,75,-4.6,49,+0.2,87,-31.5
LaMarcus Aldridge,24.3,POR,Big,225,97,-22.2,96,-17.4,92,-12.4%,97,+4.8%,79,-5.1,73,-2.9,57,-7.3
Ray Allen,34.3,BOS,Wing,922,22,+7.6,25,+5.8,73,-4.6%,41,-0.7%,30,+3.8,57,-0.6,22,+25.7
Tony Allen,27.8,BOS,Wing,379,72,-3.9,75,-5.0,20,+5.7%,57,+0.3%,67,-3.7,39,+0.8,85,-27.4
Lou Amundson,26.9,PHX,Big,172,83,-7.2,83,-8.7,39,+1.3%,13,-3.3%,37,+2.9,26,+3.0,53,-4.3
Chris Andersen,31.3,DEN,Big,115,49,+1.5,49,+0.4,14,+8.0%,79,+2.0%,3,+16.0,3,+10.9,30,+20.0
Carmelo Anthony,25.4,DEN,Wing,252,100,-37.7,100,-37.3,99,-20.4%,87,+3.1%,77,-4.8,98,-12.1,11,+37.2
Carlos Arroyo,30.3,MIA,Point,110,45,+2.3,44,+1.7,95,-13.4%,51,+0.0%,87,-9.3,87,-5.9,91,-42.9
Leandro Barbosa,26.9,PHX,Wing,227,87,-10.6,86,-9.9,34,+2.1%,56,+0.3%,68,-3.9,55,-0.4,76,-19.2
Matt Barnes,29.6,ORL,Wing,325,14,+10.4,20,+6.9,52,-1.5%,39,-0.8%,19,+5.8,45,+0.5,7,+44.2
Nicolas Batum,20.9,POR,Wing,138,87,-10.6,52,-0.3,67,-3.2%,42,-0.7%,76,-4.7,20,+3.7,94,-48.7
Jerryd Bayless,21.2,POR,Combo,156,82,-6.7,82,-8.1,45,+0.3%,20,-2.5%,72,-4.3,23,+3.5,92,-45.5
Michael Beasley,20.8,MIA,Forward,131,63,-2.9,46,+1.5,97,-16.8%,44,-0.5%,78,-4.9,84,-5.1,61,-8.3
Mike Bibby,31.5,ATL,Point,291,59,-2.2,90,-10.9,34,+2.3%,23,-2.3%,10,+10.9,22,+3.6,6,+47.6
Chauncey Billups,33.1,DEN,Combo,206,33,+3.8,50,+0.3,87,-10.1%,5,-5.3%,86,-8.8,92,-6.5,59,-7.6
Matt Bonner,29.6,SAS,Big,169,37,+3.2,71,-4.0,49,-0.1%,8,-4.1%,8,+13.0,19,+3.9,4,+56.3
Carlos Boozer,27.9,UTA,Big,400,4,+16.8,12,+10.5,16,+7.5%,21,-2.4%,16,+7.6,27,+3.0,20,+27.3
Shannon Brown,23.9,LAL,Combo,296,29,+4.6,34,+4.0,41,+0.9%,50,+0.0%,44,+2.1,38,+1.0,42,+7.3
Kobe Bryant,31.2,LAL,Wing,921,40,+2.8,29,+5.2,50,-0.5%,53,+0.1%,26,+4.8,58,-0.6,19,+27.8
Caron Butler,29.6,DAL,Wing,195,77,-5.0,76,-5.2,29,+3.4%,12,-3.5%,43,+2.4,67,-1.7,14,+30.9
Andrew Bynum,22.0,LAL,Big,546,52,+0.7,38,+2.8,61,-2.6%,59,+0.4%,59,-2.0,61,-0.8,58,-7.5
Marcus Camby,35.6,POR,Big,177,76,-4.5,65,-2.3,91,-12.1%,60,+0.4%,99,-21.4,90,-6.2,98,-70.7
Vince Carter,32.8,ORL,Wing,477,69,-3.8,55,-0.6,87,-10.0%,34,-1.1%,63,-2.7,24,+3.3,95,-50.8
Mario Chalmers,23.5,MIA,Combo,130,91,-13.4,95,-16.1,10,+9.5%,71,+1.5%,21,+5.4,18,+4.0,27,+21.4
Jarron Collins,30.9,PHX,Big,112,66,-3.4,66,-2.8,88,-10.7%,92,+4.1%,66,-3.4,93,-8.0,5,+51.1
Nick Collison,29.0,OKC,Big,121,92,-14.1,78,-5.9,74,-4.8%,61,+0.6%,93,-12.7,74,-3.2,93,-45.6
Jamal Crawford,29.6,ATL,Combo,323,54,-0.0,69,-3.5,59,-2.1%,24,-1.9%,71,-4.1,54,-0.3,80,-23.7
Erick Dampier,34.3,DAL,Big,118,70,-3.9,31,+5.0,90,-11.5%,61,+0.6%,50,+0.6,82,-5.1,3,+56.4
Glen Davis,23.8,BOS,Big,467,39,+3.0,40,+2.0,58,-2.1%,71,+1.3%,62,-2.7,66,-1.7,55,-6.0
Carlos Delfino,27.2,MIL,Wing,224,2,+23.9,3,+21.1,82,-8.1%,85,+2.8%,54,-0.1,78,-4.3,38,+14.5
Luol Deng,24.5,CHI,Forward,201,34,+3.4,42,+1.8,78,-5.8%,6,-4.8%,55,-0.6,71,-2.5,39,+10.4
Boris Diaw,27.5,CHA,Big,151,8,+13.6,85,-9.6,3,+13.8%,0,-16.4%,1,+18.3,0,+18.2,0,
Goran Dragic,23.5,PHX,Combo,214,65,-3.3,66,-2.8,35,+2.1%,55,+0.2%,52,+0.3,59,-0.7,45,+5.0
Jared Dudley,24.3,PHX,Wing,364,85,-8.5,77,-5.9,40,+1.0%,65,+0.9%,84,-7.5,76,-3.6,71,-16.5
Tim Duncan,33.5,SAS,Big,371,62,-2.8,41,+1.9,94,-13.2%,97,+4.7%,98,-19.8,97,-9.3,96,-53.8
Kevin Durant,21.1,OKC,Wing,230,68,-3.4,74,-4.7,96,-14.5%,70,+1.1%,20,+5.5,50,+0.2,23,+23.7
Maurice Evans,31.0,ATL,Wing,126,20,+9.1,8,+13.8,25,+4.6%,63,+0.8%,70,-3.9,56,-0.5,76,-19.4
Jordan Farmar,22.9,LAL,Point,270,82,-6.7,73,-4.5,38,+1.3%,66,+0.9%,57,-1.2,34,+1.2,65,-12.4
Raymond Felton,25.3,CHA,Point,129,1,+33.4,2,+24.1,5,+11.0%,1,-12.8%,17,+7.1,1,+13.8,100,-82.5
Rudy Fernandez,24.6,POR,Wing,108,11,+12.2,14,+9.1,57,-2.0%,17,-3.1%,7,+13.2,61,-0.8,2,+73.8
