Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Alex Abrines,24.3,OKC,Wing,106,94,-14.8,48,+0.1,94,-5.4%,49,+1.2,98,-4.9,57,-2.5%,97,-102.6,2,+5.0,98,-12.4%,0,+89.3
Steven Adams,24.3,OKC,Big,199,22,+8.0,45,+0.2,34,+1.2%,22,+16.9,17,+1.8,77,-7.2%,8,+49.5,72,-1.6,19,+6.2%,56,-3.5
LaMarcus Aldridge,32.3,SAS,Big,175,78,-7.1,27,+2.0,39,+0.6%,31,+9.7,39,+0.4,10,+16.2%,91,-72.7,17,+2.3,53,-1.6%,12,+28.9
Al-Farouq Aminu,27.1,POR,Big,130,32,+5.0,86,-4.2,6,+5.3%,98,-46.7,73,-1.1,1,+41.5%,100,-186.7,67,-1.2,36,+1.5%,72,-12.2
Giannis Antetokounmpo,22.9,MIL,Forward,279,18,+8.4,87,-5.0,60,-1.4%,99,-53.2,89,-1.9,91,-17.5%,94,-88.2,86,-2.9,61,-2.5%,88,-36.7
Carmelo Anthony,33.4,OKC,Big,193,13,+11.2,24,+2.3,11,+3.6%,28,+10.5,8,+2.5,52,-1.4%,17,+33.8,56,-0.2,10,+9.8%,61,-6.4
Trevor Ariza,32.3,HOU,Wing,579,86,-10.6,42,+0.3,19,+2.4%,42,+3.0,57,-0.3,31,+8.0%,53,-2.1,44,+0.6,27,+3.8%,38,+6.4
Aron Baynes,30.9,BOS,Big,372,23,+7.4,65,-1.2,67,-1.5%,57,-4.5,40,+0.3,56,-2.5%,23,+24.6,78,-2.1,68,-4.1%,78,-22.5
Bradley Beal,24.3,WAS,Wing,215,12,+13.3,80,-3.0,10,+4.0%,87,-30.9,95,-3.0,79,-9.0%,95,-94.1,57,-0.4,73,-5.4%,57,-3.5
Marco Belinelli,31.6,PHI,Wing,272,17,+8.5,15,+2.9,55,-0.9%,19,+20.7,37,+0.4,38,+5.6%,63,-8.4,11,+2.9,67,-3.8%,9,+33.3
Eric Bledsoe,27.9,MIL,Point,223,72,-5.8,97,-7.4,94,-5.5%,91,-40.0,74,-1.1,93,-19.0%,58,-5.1,94,-6.0,77,-6.3%,94,-52.6
Bojan Bogdanovic,28.5,IND,Forward,233,77,-6.4,12,+3.3,24,+1.9%,15,+24.2,48,+0.1,16,+13.3%,49,+0.7,14,+2.6,32,+2.0%,10,+31.5
Corey Brewer,31.7,OKC,Wing,151,6,+16.8,19,+2.7,0,+9.4%,10,+29.1,3,+3.5,4,+24.6%,3,+76.4,62,-0.8,0,+19.7%,52,-2.2
Malcolm Brogdon,24.9,MIL,Combo,185,14,+10.5,53,-0.4,31,+1.3%,76,-14.9,68,-0.7,26,+9.3%,77,-27.5,42,+0.6,29,+3.3%,60,-4.5
Jaylen Brown,21.0,BOS,Wing,581,40,+3.3,38,+1.1,71,-1.7%,41,+4.8,75,-1.3,98,-21.7%,76,-23.4,9,+3.4,31,+3.1%,10,+31.1
Alec Burks,26.3,UTA,Wing,112,33,+5.0,4,+4.6,93,-4.9%,4,+35.1,40,+0.4,73,-6.3%,30,+18.5,5,+4.5,89,-9.1%,6,+48.0
Jimmy Butler,28.1,MIN,Wing,170,70,-5.1,22,+2.4,78,-2.7%,8,+29.9,79,-1.4,22,+10.4%,85,-42.9,3,+4.6,46,0.0%,3,+56.2
Clint Capela,23.5,HOU,Big,518,54,-1.0,74,-2.0,26,+1.8%,67,-9.9,97,-3.0,76,-7.0%,89,-61.1,20,+1.8,19,+6.1%,18,+24.5
Ian Clark,26.7,NOP,Combo,166,19,+8.3,70,-1.5,98,-7.1%,71,-11.6,92,-2.2,75,-6.9%,69,-18.3,23,+1.6,99,-13.7%,44,+2.4
Jordan Clarkson,25.4,CLE,Combo,243,30,+5.4,52,-0.3,73,-2.0%,52,+0.1,72,-1.0,81,-9.8%,51,+0.1,47,+0.2,54,-1.6%,55,-2.8
Darren Collison,30.2,IND,Point,213,97,-16.9,96,-6.9,22,+2.1%,100,-57.7,81,-1.5,48,-0.3%,90,-70.7,96,-6.1,52,-1.3%,95,-58.3
Robert Covington,26.9,PHI,Forward,280,49,+0.5,55,-0.5,1,+8.1%,72,-11.8,52,-0.1,15,+14.3%,66,-12.4,60,-0.6,4,+13.9%,74,-19.3
Jamal Crawford,37.6,MIN,Wing,116,74,-6.0,90,-5.1,17,+2.5%,98,-48.1,76,-1.3,41,+4.4%,88,-60.0,92,-5.0,21,+5.7%,98,-62.1
Jae Crowder,27.3,UTA,Forward,320,16,+9.9,44,+0.2,44,+0.3%,39,+5.4,66,-0.6,90,-16.6%,56,-2.5,26,+1.4,59,-2.2%,21,+21.4
Stephen Curry,29.6,GSW,Point,552,56,-1.5,39,+1.1,23,+2.1%,30,+10.0,33,+0.5,69,-6.0%,40,+7.7,40,+0.7,22,+5.3%,26,+16.0
Anthony Davis,24.6,NOP,Big,357,84,-9.4,100,-9.5,21,+2.2%,97,-45.8,85,-1.6,6,+20.4%,94,-93.3,99,-7.8,79,-6.5%,89,-40.9
DeMar DeRozan,28.2,TOR,Wing,352,20,+8.1,5,+4.6,27,+1.7%,18,+21.5,19,+1.6,82,-11.0%,20,+29.8,18,+2.3,64,-2.8%,32,+12.2
Goran Dragic,31.5,MIA,Point,155,45,+1.5,33,+1.3,96,-6.5%,33,+9.1,65,-0.6,77,-8.0%,39,+8.3,40,+0.7,72,-5.0%,39,+5.1
Kevin Durant,29.1,GSW,Forward,805,39,+3.7,26,+2.1,38,+0.8%,13,+25.2,64,-0.6,71,-6.2%,45,+3.7,19,+2.2,25,+4.5%,8,+33.7
Wayne Ellington,29.9,MIA,Wing,100,21,+8.1,18,+2.9,3,+6.1%,12,+25.3,6,+2.8,50,-1.0%,5,+62.2,48,+0.2,15,+7.4%,31,+12.6
Joel Embiid,23.6,PHI,Big,278,94,-14.9,92,-5.6,80,-2.7%,85,-29.0,78,-1.4,72,-6.2%,82,-36.1,90,-4.2,88,-8.8%,84,-28.5
Dante Exum,22.3,UTA,Combo,110,9,+14.7,8,+4.3,42,+0.3%,11,+26.2,96,-3.0,73,-6.3%,87,-47.1,0,+8.1,27,+4.0%,1,+76.9
Derrick Favors,26.3,UTA,Big,284,63,-3.1,28,+1.8,76,-2.4%,35,+6.2,63,-0.6,44,+1.1%,59,-5.2,12,+2.9,69,-4.5%,25,+18.4
Rudy Gay,31.2,SAS,Big,158,100,-26.6,98,-7.8,47,-0.1%,94,-42.8,80,-1.4,0,+41.7%,91,-72.7,98,-6.9,98,-11.9%,90,-45.7
Paul George,27.5,OKC,Wing,250,62,-2.8,23,+2.4,98,-7.7%,36,+6.1,1,+4.8,58,-2.7%,6,+53.6,82,-2.4,93,-10.3%,87,-36.0
Taj Gibson,32.4,MIN,Big,122,58,-2.1,9,+4.1,82,-3.3%,6,+33.3,11,+2.1,16,+13.3%,1,+100.0,10,+3.3,94,-10.6%,5,+49.1
