Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Kyle Anderson,30.1,MIN,Forward,227,6,-11.7,13,-3.4,37,-0.5%,15,-26.9,23,-1.0,24,-8.5%,29,-23.0,22,-2.1,57,+2.2%,23,-27.6
Nicolas Batum,34.9,PHI,Wing,197,20,-6.3,85,+2.8,26,-1.6%,77,+19.2,33,-0.6,49,+0.6%,66,+22.6,89,+3.4,41,0.0%,84,+36.1
Bradley Beal,30.3,PHX,Combo,153,14,-8.4,90,+3.2,84,+3.4%,86,+23.8,49,-0.0,54,+1.9%,11,-61.5,91,+3.6,88,+7.2%,85,+38.1
Malik Beasley,26.9,MIL,Combo,126,0,-21.5,35,-1.2,29,-1.5%,41,-6.8,18,-1.8,93,+26.8%,43,-9.1,59,+0.5,2,-11.8%,93,+61.1
Patrick Beverley,35.3,MIL,Wing,209,93,+14.5,53,+0.5,14,-2.7%,58,+8.9,93,+3.5,46,-0.9%,96,+121.4,14,-3.0,42,+0.1%,1,-109.8
Devin Booker,27.0,PHX,Point,165,84,+9.4,69,+1.9,100,+13.1%,100,,99,,99,+53.6%,99,,63,+0.7,100,+27.1%,100,
Jaylen Brown,27.0,BOS,Wing,706,29,-4.3,19,-2.8,7,-3.8%,17,-25.2,28,-0.8,8,-18.6%,33,-20.3,20,-2.2,12,-7.3%,15,-38.8
Alec Burks,32.3,NYK,Wing,114,71,+5.7,17,-2.9,22,-2.1%,20,-19.5,29,-0.7,15,-13.0%,30,-22.3,21,-2.1,52,+1.8%,29,-18.5
Kentavious Caldwell-Pope,30.7,DEN,Wing,420,90,+13.0,82,+2.6,28,-1.5%,89,+25.9,93,+3.5,77,+10.8%,95,+105.8,39,-1.1,25,-4.1%,43,-5.0
Mike Conley,36.1,MIN,Point,472,51,+2.3,59,+0.6,27,-1.5%,62,+11.0,59,+0.4,63,+4.4%,56,+8.0,50,+0.2,21,-4.9%,68,+16.1
Pat Connaughton,30.8,MIL,Wing,122,36,-2.0,95,+4.5,85,+3.5%,94,+39.2,46,-0.1,81,+13.3%,41,-11.1,97,+4.6,76,+5.0%,97,+74.6
Anthony Davis,30.6,LAL,Big,248,78,+7.9,83,+2.7,67,+1.1%,80,+19.7,82,+1.8,26,-6.7%,83,+47.6,63,+0.7,55,+2.1%,63,+8.9
Kevin Durant,35.1,PHX,Big,167,44,-0.5,89,+3.1,81,+3.2%,83,+21.7,98,+5.1,97,+38.3%,98,+153.8,31,-1.7,61,+2.6%,16,-37.5
Joel Embiid,29.6,PHI,Big,286,100,+40.5,34,-1.3,97,+6.2%,19,-22.2,88,+2.1,98,+50.8%,0,-108.0,6,-4.7,91,+7.7%,8,-58.7
