Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Tyler Cook,24.1,CHI,Big,188,85,63.9%,31,65%,95,60%,0,,97,60%,0,,0,,0,
DeMarcus Cousins,31.2,MIL,Big,286,25,52.6%,41,67%,55,43%,8,0%,46,40%,0,29%,18,27%,17,27%
DeMarcus Cousins,31.2,DEN,Big,424,17,51.3%,12,59%,48,41%,41,29%,41,39%,0,,50,33%,44,33%
Robert Covington,30.9,LAC,Forward,478,100,68.1%,43,64%,22,33%,95,100%,73,45%,100,70%,96,42%,100,48%
Robert Covington,30.9,POR,Forward,1425,33,50.1%,18,58%,14,29%,20,22%,12,28%,91,49%,26,31%,50,35%
Torrey Craig,30.9,IND,Forward,1013,74,55.0%,76,69%,79,46%,22,26%,46,39%,73,43%,15,28%,54,35%
Torrey Craig,30.9,PHX,Forward,521,80,55.6%,82,71%,95,58%,54,40%,93,54%,5,23%,90,41%,35,33%
Jae Crowder,31.3,PHX,Forward,1884,41,51.8%,21,59%,85,50%,70,45%,83,47%,59,40%,48,34%,57,35%
Jarrett Culver,22.7,MEM,Combo,201,8,38.7%,29,52%,3,17%,23,30%,7,23%,0,33%,4,24%,10,27%
Cade Cunningham,20.1,DET,Wing,2082,14,47.0%,28,58%,39,37%,65,42%,45,39%,14,32%,31,31%,19,31%
Seth Curry,31.2,BKN,Wing,568,100,63.3%,75,69%,80,46%,92,52%,91,50%,90,48%,98,47%,99,47%
Seth Curry,31.2,PHI,Combo,1564,91,57.9%,84,66%,94,54%,91,55%,97,54%,87,47%,78,38%,77,40%
Stephen Curry,33.6,GSW,Point,2203,90,55.5%,66,61%,94,49%,72,43%,86,46%,18,31%,82,39%,74,38%
Anthony Davis,28.6,LAL,Big,1402,36,54.3%,91,77%,40,39%,61,38%,40,39%,0,44%,2,15%,4,19%
Ed Davis,32.4,CLE,Big,158,87,64.3%,71,73%,21,33%,0,,22,33%,0,,0,,0,
