Player,Age,Team,Pos,MIN,eFG% Rank,eFG%,Rim Rank,Rim,Short Mid Rank,Short Mid,Long Mid Rank,Long Mid,All Mid Rank,All Mid,Corner Three Rank,Corner Three,Non Corner Rank,Non Corner,All Three Rank,All Three
Keon Johnson,19.6,LAC,Wing,111,3,36.5%,24,57%,5,11%,5,0%,2,7%,0,17%,0,100%,0,38%
Keon Johnson,19.6,POR,Combo,491,17,44.1%,17,47%,28,34%,3,0%,13,27%,0,20%,71,38%,49,35%
Stanley Johnson,25.4,LAL,Forward,1055,69,54.6%,53,66%,80,47%,77,50%,84,48%,10,27%,85,39%,35,33%
Nikola Jokic,26.7,DEN,Big,2473,79,62.3%,68,72%,97,62%,79,50%,96,59%,0,33%,58,34%,56,34%
Damian Jones,26.3,SAC,Big,977,94,68.2%,100,83%,44,40%,87,52%,65,44%,0,29%,91,42%,81,38%
Herbert Jones,23.1,NOP,Forward,2321,48,52.5%,52,66%,12,26%,44,36%,14,29%,32,34%,49,34%,48,34%
Tre Jones,21.8,SAS,Combo,1064,62,51.8%,46,58%,90,51%,89,54%,93,51%,5,23%,4,24%,6,23%
Tyus Jones,25.5,MEM,Combo,1524,70,53.2%,52,59%,76,47%,79,47%,83,47%,35,37%,88,41%,76,40%
Derrick Jones Jr.,24.7,CHI,Big,861,71,59.3%,49,68%,11,27%,97,100%,17,31%,68,40%,4,19%,53,34%
DeAndre Jordan,33.3,LAL,Big,393,92,66.3%,65,71%,2,17%,8,0%,2,14%,0,,0,,0,
DeAndre Jordan,33.3,PHI,Big,196,61,58.0%,26,63%,0,0%,0,,0,0%,0,,0,,0,
Cory Joseph,30.2,DET,Combo,1590,69,53.1%,41,56%,42,39%,41,36%,40,38%,86,46%,89,41%,89,43%
Georgios Kalaitzakis,22.8,OKC,Big,165,31,53.6%,33,65%,55,43%,41,29%,29,36%,0,25%,81,39%,68,36%
Frank Kaminsky,28.6,PHX,Big,167,80,62.5%,18,61%,99,67%,8,0%,99,64%,0,0%,0,45%,0,42%
Enes Kanter,29.5,BOS,Big,365,21,51.9%,9,58%,21,33%,97,100%,46,40%,0,,0,0%,0,0%
Luke Kennard,25.4,LAC,Wing,1893,91,59.6%,12,54%,83,47%,50,38%,70,42%,82,46%,95,44%,96,45%
Braxton Key,24.7,DET,Forward,190,37,50.7%,73,69%,17,31%,7,0%,4,22%,0,33%,0,30%,26,32%
Corey Kispert,22.7,WAS,Wing,1731,84,57.6%,90,75%,86,50%,44,35%,82,45%,67,43%,39,33%,53,37%
Maxi Kleber,29.8,DAL,Big,1435,19,51.6%,94,78%,4,20%,34,21%,5,21%,38,33%,48,33%,44,33%
Nathan Knight,24.1,MIN,Big,179,26,53.2%,17,60%,11,27%,0,,11,27%,0,100%,0,14%,0,33%
John Konchar,25.6,MEM,Wing,1135,97,61.8%,89,75%,83,48%,13,8%,28,35%,77,45%,76,38%,91,42%
Furkan Korkmaz,24.3,PHI,Wing,1342,20,48.0%,74,69%,42,38%,35,33%,34,36%,6,26%,28,31%,13,30%
Vit Krejci,21.4,OKC,Forward,670,53,53.2%,77,69%,29,35%,68,43%,34,37%,71,43%,35,32%,53,35%
Jonathan Kuminga,19.1,GSW,Big,1072,45,55.6%,73,73%,26,34%,75,45%,28,35%,8,26%,59,35%,32,31%
Kyle Kuzma,26.3,WAS,Big,2203,24,52.3%,66,71%,64,45%,47,32%,53,41%,40,33%,61,35%,57,35%
Zach LaVine,26.6,CHI,Wing,2322,72,55.6%,73,69%,46,38%,55,39%,46,39%,95,51%,66,37%,81,39%
Jeremy Lamb,29.4,SAC,Wing,317,17,47.4%,94,76%,41,37%,67,43%,49,39%,0,30%,27,31%,16,31%
Jeremy Lamb,29.4,IND,Wing,577,23,48.3%,9,52%,58,40%,50,38%,50,40%,35,36%,60,36%,47,36%
Jock Landale,26.0,SAS,Big,513,38,54.7%,45,67%,36,38%,93,60%,58,42%,85,47%,15,26%,33,31%
Romeo Langford,22.0,BOS,Wing,672,26,49.1%,34,60%,64,42%,18,22%,44,38%,26,34%,19,30%,25,32%
Jake Layman,27.7,MIN,Forward,118,68,54.4%,100,92%,51,40%,95,100%,89,50%,0,22%,0,14%,1,19%
Caris LeVert,27.2,IND,Combo,1213,42,49.6%,75,64%,62,43%,60,41%,65,43%,24,35%,38,32%,33,32%
Caris LeVert,27.2,CLE,Wing,566,21,48.1%,33,59%,71,44%,30,31%,66,42%,0,13%,44,34%,20,31%
Damion Lee,29.0,GSW,Wing,1157,53,53.3%,96,82%,48,38%,28,29%,26,35%,12,31%,69,37%,35,35%
Saben Lee,22.4,DET,Point,553,10,42.3%,18,54%,8,22%,14,25%,10,23%,0,25%,9,25%,0,25%
Alex Len,28.4,SAC,Big,616,40,54.9%,56,69%,51,42%,79,50%,57,42%,0,33%,0,27%,21,29%
Kira Lewis Jr.,20.6,NOP,Point,301,28,47.6%,92,68%,58,41%,14,25%,44,38%,0,33%,4,24%,4,27%
Damian Lillard,31.3,POR,Point,1054,46,49.8%,22,54%,64,42%,66,42%,62,42%,64,42%,47,33%,45,34%
Nassir Little,21.7,POR,Forward,1050,63,54.2%,63,67%,51,40%,61,42%,55,41%,44,38%,40,33%,46,34%
Isaiah Livers,23.3,DET,Wing,381,95,60.6%,91,75%,86,50%,22,25%,33,36%,54,39%,96,44%,92,42%
Kevon Looney,25.7,GSW,Big,1729,54,57.1%,56,69%,31,38%,36,24%,21,32%,0,,0,0%,0,0%
Brook Lopez,33.6,MIL,Big,293,32,53.8%,93,77%,12,28%,8,0%,7,24%,100,53%,16,26%,63,36%
Robin Lopez,33.6,ORL,Big,592,43,55.3%,39,66%,78,50%,48,33%,84,49%,0,,0,33%,0,33%
Didi Louzada,22.3,POR,Combo,120,88,56.9%,7,33%,0,0%,100,100%,14,29%,0,50%,0,46%,98,47%
Kevin Love,33.1,CLE,Big,1662,44,55.3%,45,67%,33,38%,69,43%,44,40%,60,37%,87,40%,84,39%
Kyle Lowry,35.6,MIA,Point,2136,92,56.2%,94,69%,68,43%,82,46%,74,44%,76,44%,69,37%,79,38%
Timothe Luwawu-Cabarrot,26.5,ATL,Wing,615,45,52.5%,19,56%,14,22%,96,67%,22,33%,84,46%,7,25%,41,36%
Trey Lyles,26.0,SAC,Big,542,46,55.6%,74,73%,7,23%,48,33%,8,24%,85,47%,47,33%,75,37%
Trey Lyles,26.0,DET,Big,982,19,51.6%,25,63%,75,49%,46,32%,68,45%,35,32%,33,30%,28,31%
Theo Maledon,20.4,OKC,Combo,873,18,44.2%,30,53%,40,39%,44,38%,44,39%,3,22%,34,32%,17,30%
Sandro Mamukelashvili,22.4,MIL,Big,325,35,54.3%,14,60%,21,33%,79,50%,29,36%,0,27%,88,41%,69,37%
Terance Mann,25.0,LAC,Combo,2250,75,54.0%,85,66%,63,44%,25,30%,45,39%,46,39%,69,37%,65,38%
Tre Mann,20.7,OKC,Combo,1326,32,47.8%,19,48%,46,40%,63,43%,52,41%,70,42%,53,34%,51,36%
Boban Marjanovic,33.2,DAL,Big,104,73,60.3%,59,69%,85,52%,97,100%,93,55%,0,,0,0%,0,0%
Lauri Markkanen,24.4,CLE,Forward,1874,70,54.6%,49,65%,47,40%,76,48%,62,42%,52,39%,62,35%,69,36%
Naji Marshall,23.8,NOP,Wing,629,6,43.3%,27,58%,95,56%,17,20%,89,49%,0,13%,0,20%,0,17%
Caleb Martin,26.1,MIA,Forward,1303,91,59.2%,78,70%,5,20%,56,41%,11,27%,63,41%,98,43%,94,42%
Cody Martin,26.1,CHA,Wing,1810,78,56.0%,61,65%,24,33%,20,23%,15,29%,51,39%,86,40%,76,39%
Kelan Martin,26.2,IND,Forward,412,26,49.4%,54,66%,15,30%,74,48%,49,40%,80,44%,4,22%,21,31%
Kenyon Martin Jr.,20.8,HOU,Forward,1547,90,58.1%,61,66%,38,38%,0,,37,38%,15,28%,77,38%,55,35%
Garrison Mathews,25.0,HOU,Wing,1668,68,55.1%,83,72%,11,20%,61,40%,12,25%,21,32%,71,38%,46,36%
Wesley Matthews,35.0,MIL,Wing,986,37,51.4%,61,65%,40,37%,5,0%,18,32%,34,36%,37,32%,31,34%
Tyrese Maxey,21.0,PHI,Combo,2637,84,55.8%,69,63%,56,43%,58,41%,60,42%,97,57%,87,41%,95,44%
Skylar Mays,24.2,ATL,Combo,166,83,55.8%,95,70%,13,25%,98,75%,90,50%,0,14%,0,36%,12,29%
Miles McBride,21.1,NYK,Point,324,8,41.2%,42,57%,28,33%,56,40%,42,38%,0,40%,2,20%,2,25%
CJ McCollum,30.1,NOP,Combo,878,87,56.4%,83,66%,89,50%,88,53%,94,51%,0,53%,76,38%,74,39%
CJ McCollum,30.1,POR,Wing,1261,41,52.0%,24,57%,81,46%,63,42%,77,44%,23,33%,84,39%,68,38%
TJ McConnell,29.6,IND,Point,637,64,51.3%,58,59%,86,47%,70,43%,84,46%,0,25%,78,39%,38,33%
Jaden McDaniels,21.1,MIN,Forward,1771,66,54.4%,67,68%,60,41%,88,57%,67,44%,41,36%,22,30%,34,33%
Jalen McDaniels,23.8,CHA,Wing,829,75,55.9%,67,66%,37,36%,96,67%,39,38%,15,32%,94,44%,75,39%
Doug McDermott,29.8,SAS,Forward,1220,89,57.7%,29,61%,59,40%,66,42%,56,41%,95,52%,88,40%,95,42%
JaVale McGee,33.8,PHX,Big,1152,84,63.1%,58,69%,92,54%,48,33%,89,53%,0,,0,25%,0,25%
Rodney McGruder,30.3,DET,Wing,703,86,58.3%,32,59%,36,36%,94,57%,56,41%,80,46%,65,37%,90,42%
Alfonzo McKinnie,29.1,CHI,Forward,184,19,47.1%,6,53%,13,29%,32,33%,16,30%,0,36%,0,31%,35,33%
Jordan McLaughlin,25.6,MIN,Point,822,72,52.0%,74,63%,46,39%,36,33%,48,38%,94,55%,0,20%,38,33%
Ben McLemore,28.7,POR,Wing,1225,65,54.6%,68,67%,11,20%,64,42%,47,39%,93,50%,26,30%,57,37%
De'Anthony Melton,23.4,MEM,Combo,1612,55,50.7%,33,54%,41,39%,21,29%,31,36%,92,48%,63,36%,66,38%
Chimezie Metu,24.6,SAC,Big,1239,15,51.1%,53,68%,59,44%,75,45%,65,44%,32,32%,30,29%,26,30%
Khris Middleton,30.2,MIL,Forward,2133,45,52.3%,57,66%,72,44%,72,45%,71,45%,47,38%,73,37%,76,38%
Patty Mills,33.2,BKN,Combo,2310,81,55.2%,66,62%,28,34%,42,36%,34,36%,57,40%,85,40%,79,40%
Paul Millsap,36.7,BKN,Big,262,1,41.5%,3,53%,21,33%,8,0%,15,30%,0,10%,0,33%,8,24%
Shake Milton,25.1,PHI,Combo,1105,45,49.7%,65,62%,60,43%,38,35%,54,41%,37,37%,32,31%,37,33%
Davion Mitchell,23.2,SAC,Combo,2019,33,47.9%,54,60%,52,42%,48,39%,48,40%,16,33%,41,32%,32,32%
Donovan Mitchell,25.1,UTA,Combo,2263,73,53.5%,81,65%,75,47%,71,44%,79,46%,48,39%,59,36%,52,36%
Evan Mobley,20.4,CLE,Big,2322,23,52.3%,71,73%,35,38%,60,38%,37,38%,40,33%,7,23%,13,26%
Malik Monk,23.7,LAL,Combo,2096,90,57.7%,91,67%,64,44%,29,32%,51,41%,65,41%,79,38%,73,39%
Moses Moody,19.4,GSW,Wing,513,69,55.3%,59,65%,94,56%,15,15%,18,32%,10,30%,93,42%,65,38%
Xavier Moon,26.8,LAC,Point,125,60,51.0%,0,40%,40,36%,100,65%,98,55%,0,0%,0,33%,0,31%
Ja Morant,22.2,MEM,Point,1881,78,53.0%,86,66%,62,42%,20,29%,58,41%,70,42%,44,33%,47,34%
Marcus Morris,32.2,LAC,Big,1563,15,51.2%,5,56%,73,48%,75,45%,76,47%,67,38%,72,37%,78,38%
Markieff Morris,32.2,MIA,Big,286,34,54.1%,54,68%,79,50%,88,52%,86,51%,40,33%,51,33%,48,33%
Monte Morris,26.3,DEN,Point,2234,94,56.4%,90,68%,84,46%,88,49%,90,48%,55,39%,84,39%,83,39%
Mychal Mulder,27.4,ORL,Combo,171,11,41.7%,23,50%,3,17%,33,33%,6,22%,0,50%,7,24%,16,29%
Trey Murphy III,21.4,NOP,Forward,762,30,50.0%,5,52%,6,20%,26,29%,5,23%,77,44%,20,29%,58,35%
Dejounte Murray,25.1,SAS,Point,2364,50,50.0%,76,64%,70,43%,78,45%,68,44%,12,31%,40,33%,32,33%
Mike Muscala,30.3,OKC,Big,588,74,60.4%,47,68%,16,31%,71,44%,32,36%,52,34%,97,45%,94,43%
Sviatoslav Mykhailiuk,24.4,TOR,Wing,659,19,47.8%,30,58%,72,44%,48,36%,61,41%,47,38%,10,26%,15,30%
Abdel Nader,28.1,PHX,Wing,127,9,46.2%,13,55%,1,0%,0,,0,0%,0,20%,0,75%,0,44%
Larry Nance Jr.,28.8,NOP,Big,176,83,63.0%,99,81%,4,20%,8,0%,2,15%,0,75%,0,33%,0,57%
Larry Nance Jr.,28.8,POR,Big,841,52,56.8%,51,68%,85,51%,48,33%,80,48%,15,28%,46,33%,31,31%
Aaron Nesmith,22.0,BOS,Wing,440,6,42.1%,86,74%,42,38%,99,75%,81,45%,1,23%,1,21%,3,22%
Raul Neto,29.5,WAS,Combo,1315,54,50.6%,75,64%,54,42%,95,64%,75,45%,0,33%,20,29%,18,30%
Georges Niang,28.4,PHI,Big,1683,61,57.9%,32,65%,48,41%,44,30%,44,40%,63,37%,93,42%,87,41%
Daishen Nix,19.7,HOU,Point,210,44,49.0%,48,58%,4,14%,0,0%,2,13%,0,0%,0,40%,55,35%
Zeke Nnaji,20.8,DEN,Big,625,71,59.9%,50,68%,4,19%,64,40%,10,27%,93,50%,70,37%,94,43%
Nerlens Noel,27.6,NYK,Big,554,34,54.2%,9,58%,79,50%,96,75%,92,54%,0,0%,0,,0,0%
Jaylen Nowell,22.3,MIN,Combo,888,89,57.2%,70,63%,83,49%,52,40%,84,47%,76,44%,92,42%,88,42%
Frank Ntilikina,23.3,DAL,Wing,592,18,47.6%,3,40%,62,42%,57,39%,56,41%,22,32%,75,38%,44,36%
Jusuf Nurkic,27.2,POR,Big,1574,39,54.7%,26,63%,54,43%,59,37%,56,42%,0,50%,13,26%,15,27%
David Nwaba,28.8,HOU,Forward,507,44,52.1%,43,64%,9,23%,0,,6,23%,14,28%,57,35%,26,32%
Jordan Nwora,23.1,MIL,Wing,1054,32,50.9%,47,63%,76,45%,25,26%,28,35%,39,37%,57,36%,43,36%
Royce O'Neale,28.4,UTA,Wing,2399,92,59.9%,70,67%,57,40%,5,0%,47,39%,53,39%,88,40%,82,40%
Semi Ojeleye,26.9,MIL,Big,268,0,27.9%,2,40%,2,17%,8,0%,4,16%,0,18%,8,25%,5,22%
Chuma Okeke,23.2,ORL,Forward,1667,20,47.9%,41,64%,35,38%,19,22%,26,34%,35,35%,24,30%,25,32%
Josh Okogie,23.2,MIN,Forward,452,9,44.0%,10,54%,6,20%,7,0%,2,17%,3,21%,0,33%,11,25%
Onyeka Okongwu,20.9,ATL,Big,967,95,68.7%,79,74%,89,53%,48,33%,88,52%,0,,0,,0,
Isaac Okoro,20.8,CLE,Wing,1980,62,54.5%,46,63%,15,23%,14,14%,8,21%,32,36%,40,33%,39,35%
KZ Okpala,22.5,MIA,Big,200,2,43.8%,2,50%,55,43%,8,0%,35,38%,0,42%,0,0%,19,28%
Victor Oladipo,29.5,MIA,Combo,163,96,61.4%,79,65%,58,43%,82,50%,82,47%,0,80%,75,38%,96,44%
Kelly Olynyk,30.5,DET,Big,759,20,51.8%,25,63%,16,31%,76,46%,34,37%,0,83%,37,31%,52,34%
Cedi Osman,26.6,CLE,Forward,1440,71,54.6%,36,62%,46,39%,51,38%,44,39%,65,41%,61,35%,71,36%
Kelly Oubre,25.9,CHA,Forward,1931,55,53.3%,66,67%,64,41%,26,29%,47,39%,27,34%,50,34%,45,34%
Kevin Pangos,28.8,CLE,Combo,121,3,30.9%,7,33%,65,44%,82,50%,75,45%,0,0%,0,16%,1,15%
Jabari Parker,26.6,BOS,Big,102,72,60.0%,5,56%,45,40%,48,33%,32,36%,0,50%,0,56%,0,53%
Eric Paschall,25.0,UTA,Big,650,51,56.7%,36,65%,48,41%,95,67%,60,43%,75,41%,32,30%,66,36%
Chris Paul,36.5,PHX,Point,2134,82,54.1%,80,65%,98,55%,98,55%,100,55%,9,29%,42,33%,34,33%
Cameron Payne,27.2,PHX,Combo,1216,28,47.1%,28,52%,47,40%,63,43%,50,41%,5,23%,62,36%,43,34%
Elfrid Payton,27.7,PHX,Combo,433,7,37.6%,12,44%,33,35%,19,29%,27,35%,0,14%,0,25%,0,18%
Gary Payton II,28.9,GSW,Combo,1207,99,67.6%,100,81%,98,59%,82,50%,98,58%,33,37%,21,30%,42,34%
Reggie Perry,21.6,POR,Big,168,30,53.4%,94,78%,18,32%,94,63%,51,41%,0,0%,0,15%,0,14%
Jamorko Pickett,23.9,DET,Big,155,8,48.9%,41,67%,55,43%,8,0%,35,38%,0,38%,34,30%,48,33%
Theo Pinson,26.0,DAL,Wing,118,39,51.6%,6,50%,25,33%,96,67%,91,50%,0,100%,14,29%,36,35%
Mason Plumlee,31.7,CHA,Big,1787,88,64.4%,76,73%,14,29%,48,33%,14,29%,0,,0,,0,
Jakob Poeltl,26.0,SAS,Big,1967,78,61.7%,75,73%,76,49%,61,38%,83,49%,0,,0,,0,
Aleksej Pokusevski,19.8,OKC,Big,1200,4,47.3%,37,66%,38,39%,44,30%,35,37%,33,32%,26,28%,23,29%
Jordan Poole,22.4,GSW,Combo,2232,80,55.1%,86,66%,77,47%,62,42%,74,45%,38,38%,68,37%,62,37%
Kevin Porter,21.5,HOU,Point,1905,68,51.4%,50,58%,18,30%,44,36%,24,32%,85,47%,67,37%,70,38%
Michael Porter,23.3,DEN,Wing,264,5,41.2%,39,61%,25,33%,73,43%,56,41%,0,0%,5,24%,2,21%
Otto Porter,28.4,GSW,Forward,1373,82,56.2%,88,72%,81,47%,57,41%,70,45%,22,32%,87,39%,75,37%
Bobby Portis,26.7,MIL,Big,2019,45,55.6%,21,62%,75,49%,73,45%,79,47%,72,40%,84,39%,86,40%
Kristaps Porzingis,26.3,WAS,Big,478,28,53.3%,61,70%,49,41%,79,49%,63,44%,0,33%,73,37%,76,37%
Kristaps Porzingis,26.3,DAL,Big,1001,12,50.1%,69,72%,65,45%,56,35%,55,42%,0,33%,23,28%,20,28%
Dwight Powell,30.3,DAL,Big,1793,96,68.9%,92,77%,28,35%,29,18%,19,31%,0,63%,27,29%,64,36%
Norman Powell,28.4,POR,Wing,1331,63,54.6%,9,52%,75,45%,81,47%,83,46%,60,41%,92,41%,87,41%
Norman Powell,28.4,LAC,Wing,120,94,60.5%,39,61%,68,43%,16,17%,27,35%,0,60%,100,53%,100,54%
Joshua Primo,18.9,SAS,Forward,910,13,45.2%,12,55%,34,37%,28,29%,30,35%,9,26%,41,33%,20,30%
Taurean Prince,27.6,MIN,Forward,1172,84,56.6%,54,66%,76,46%,85,52%,82,47%,75,44%,37,33%,77,38%
Payton Pritchard,23.8,BOS,Point,881,100,58.0%,26,55%,36,36%,92,50%,76,44%,100,57%,71,38%,94,41%
Immanuel Quickley,22.4,NYK,Combo,1757,39,48.9%,62,62%,50,41%,37,34%,46,39%,43,38%,54,35%,48,35%
Julius Randle,26.9,NYK,Big,2537,3,46.0%,15,60%,30,36%,58,36%,31,36%,17,29%,38,31%,30,31%
Austin Reaves,23.4,LAL,Wing,1360,70,55.3%,80,71%,99,61%,26,29%,95,51%,41,37%,34,31%,29,33%
Cameron Reddish,22.2,NYK,Forward,198,18,46.7%,6,53%,100,64%,91,60%,98,63%,0,33%,1,17%,3,22%
Cameron Reddish,22.2,ATL,Forward,780,21,48.1%,17,57%,22,33%,24,27%,17,30%,86,47%,39,33%,73,37%
Davon Reed,26.4,DEN,Forward,608,98,62.2%,32,62%,85,50%,90,59%,95,55%,47,38%,100,46%,98,44%
Paul Reed,22.4,PHI,Big,237,63,58.2%,63,71%,4,20%,79,50%,8,25%,0,0%,0,,0,0%
Naz Reid,22.2,MIN,Big,1144,35,54.3%,32,65%,19,33%,8,0%,20,32%,93,50%,31,30%,58,35%
Nick Richards,23.9,CHA,Big,278,94,68.2%,84,75%,37,38%,0,,39,38%,0,,0,,0,
Josh Richardson,28.1,BOS,Combo,1065,68,53.0%,82,65%,39,38%,70,44%,53,41%,52,39%,86,40%,80,40%
Josh Richardson,28.1,SAS,Combo,512,74,53.7%,13,44%,53,42%,47,39%,49,41%,0,64%,95,42%,97,45%
Austin Rivers,29.3,DEN,Wing,1427,60,54.2%,72,68%,60,41%,5,0%,38,37%,89,48%,6,24%,40,35%
Duncan Robinson,27.5,MIA,Wing,2015,73,55.8%,53,64%,84,48%,78,46%,86,48%,61,41%,54,36%,58,37%
Justin Robinson,24.1,MIL,Point,156,14,42.9%,100,100%,0,0%,56,40%,8,22%,0,29%,16,27%,9,28%
Mitchell Robinson,23.6,NYK,Big,1847,100,76.1%,92,77%,65,45%,0,,71,45%,0,,0,,0,
Jeremiah Robinson-Earl,21.0,OKC,Big,1068,11,49.7%,14,59%,31,37%,27,16%,16,31%,53,35%,57,34%,56,34%
Isaiah Roby,23.7,OKC,Big,908,70,59.0%,55,68%,19,33%,91,57%,26,34%,93,50%,95,45%,98,46%
Rajon Rondo,35.7,LAL,Point,270,6,38.8%,2,42%,14,29%,0,0%,12,25%,0,20%,33,32%,11,30%
Rajon Rondo,35.7,CLE,Combo,407,51,50.5%,88,67%,16,26%,12,20%,9,25%,0,25%,77,38%,54,36%
Derrick Rose,33.1,NYK,Point,629,66,51.3%,56,58%,72,44%,18,26%,46,38%,42,35%,96,41%,87,40%
Terrence Ross,30.7,ORL,Wing,1447,15,47.3%,69,67%,82,47%,58,40%,74,43%,15,32%,19,30%,14,30%
Terry Rozier,27.6,CHA,Combo,2437,75,53.9%,57,60%,68,45%,76,46%,72,45%,63,41%,56,35%,64,38%
Ricky Rubio,31.0,CLE,Combo,964,15,43.9%,11,43%,45,40%,18,27%,26,35%,17,33%,58,35%,47,35%
D'Angelo Russell,25.7,MIN,Point,2076,56,50.5%,78,64%,66,43%,68,42%,64,42%,61,40%,49,34%,49,34%
Domantas Sabonis,25.5,IND,Big,1624,75,60.9%,74,73%,53,42%,43,29%,45,40%,5,25%,55,34%,41,32%
Domantas Sabonis,25.5,SAC,Big,504,49,56.4%,52,68%,88,53%,36,24%,68,45%,0,0%,8,25%,6,24%
Olivier Sarr,22.7,OKC,Big,400,89,64.7%,41,67%,96,62%,93,60%,98,61%,0,17%,99,53%,96,44%
Tomas Satoransky,30.0,NOP,Combo,457,2,30.7%,20,48%,13,25%,9,9%,5,21%,0,0%,3,23%,2,18%
Tomas Satoransky,30.0,WAS,Combo,412,63,51.9%,99,78%,19,27%,92,56%,47,39%,0,17%,0,36%,18,30%
Admiral Schofield,24.6,ORL,Forward,414,78,55.4%,11,54%,97,60%,95,100%,98,63%,23,33%,80,38%,70,36%
Dennis Schroder,28.1,HOU,Combo,404,26,46.4%,38,56%,11,22%,72,44%,30,36%,0,25%,49,34%,38,33%
Dennis Schroder,28.1,BOS,Point,1421,52,50.3%,82,65%,60,41%,50,38%,54,40%,70,42%,58,35%,62,36%
Alperen Sengun,19.3,HOU,Big,1442,18,51.3%,19,61%,41,39%,64,40%,41,39%,0,20%,22,28%,18,27%
Collin Sexton,22.8,CLE,Wing,314,28,49.7%,83,72%,42,38%,35,33%,37,37%,0,38%,4,23%,8,26%
Landry Shamet,24.6,PHX,Wing,1357,43,52.4%,6,50%,67,43%,56,39%,62,41%,68,43%,51,35%,59,37%
Day'Ron Sharpe,20.0,BKN,Big,304,48,56.2%,19,61%,4,20%,8,0%,4,18%,0,,0,0%,0,0%
Pascal Siakam,27.6,TOR,Forward,2574,49,52.6%,65,67%,84,49%,47,37%,76,46%,89,48%,33,32%,56,35%
Anfernee Simons,22.4,POR,Combo,1661,86,56.3%,37,55%,79,48%,67,43%,76,46%,73,43%,91,42%,86,42%
Zavier Simpson,24.7,OKC,Point,174,4,37.5%,14,53%,42,38%,0,0%,28,33%,0,,0,13%,0,13%
Jericho Sims,23.0,NYK,Big,510,99,76.1%,99,81%,8,25%,0,,8,25%,0,,0,,0,
Javonte Smart,22.4,MIL,Combo,142,4,34.2%,38,56%,8,20%,11,17%,3,18%,0,33%,0,20%,5,22%
Marcus Smart,27.7,BOS,Combo,2293,46,49.8%,74,63%,67,45%,14,25%,57,42%,41,38%,30,31%,36,33%
Ish Smith,33.3,CHA,Combo,448,14,43.8%,15,46%,23,29%,75,45%,36,36%,0,50%,0,47%,99,48%
Ish Smith,33.3,WAS,Point,597,34,48.5%,8,50%,48,40%,90,49%,80,46%,0,58%,16,27%,72,38%
Jalen Smith,21.6,PHX,Big,313,22,52.3%,47,68%,74,48%,64,40%,74,46%,0,17%,28,29%,14,27%
Jalen Smith,21.6,IND,Big,533,72,60.1%,87,76%,50,41%,89,54%,66,44%,12,27%,91,42%,77,37%
Dennis Smith Jr.,23.9,POR,Combo,556,19,44.2%,47,58%,18,27%,63,43%,22,32%,0,20%,0,20%,3,20%
Tony Snell,30.0,POR,Forward,521,30,50.0%,14,56%,51,40%,95,100%,89,50%,47,38%,10,26%,33,33%
Tony Snell,30.0,NOP,Wing,247,98,62.3%,98,88%,8,17%,0,,4,17%,17,32%,99,52%,94,43%
Cassius Stanley,22.2,DET,Wing,139,36,51.2%,36,60%,93,55%,5,0%,91,50%,0,25%,0,33%,0,29%
Lance Stephenson,31.2,IND,Combo,717,52,50.5%,80,65%,81,49%,51,40%,62,43%,0,43%,19,29%,28,32%
Lamar Stevens,24.3,CLE,Wing,956,40,51.8%,76,69%,20,29%,83,47%,28,35%,7,28%,14,29%,9,28%
Isaiah Stewart,20.4,DET,Big,1806,24,52.5%,8,58%,28,35%,66,41%,32,36%,0,0%,62,36%,43,33%
Max Strus,25.6,MIA,Wing,1524,96,61.2%,42,62%,37,36%,35,33%,31,35%,91,50%,81,39%,92,42%
Jalen Suggs,20.4,ORL,Combo,1276,9,39.9%,50,59%,12,25%,27,31%,11,27%,8,23%,2,22%,4,22%
Keifer Sykes,27.8,IND,Point,524,18,44.6%,88,67%,6,15%,32,32%,16,26%,58,40%,20,29%,28,32%
Jae'Sean Tate,26.0,HOU,Forward,2047,64,54.2%,56,66%,27,34%,32,33%,28,34%,16,31%,34,32%,28,32%
Jayson Tatum,23.7,BOS,Forward,2726,50,52.7%,69,68%,45,39%,51,38%,41,39%,53,39%,60,35%,60,36%
Terry Taylor,22.1,IND,Forward,669,99,64.6%,86,72%,94,57%,77,50%,96,57%,42,36%,0,27%,35,33%
Garrett Temple,35.5,NOP,Wing,1072,13,46.7%,41,62%,25,33%,21,24%,16,29%,17,32%,22,30%,18,31%
Daniel Theis,29.6,BOS,Big,375,86,64.2%,85,76%,72,48%,96,71%,89,53%,0,36%,74,38%,73,37%
Daniel Theis,29.6,HOU,Big,576,29,53.4%,69,72%,79,50%,40,27%,46,40%,40,33%,24,28%,24,29%
Cameron Thomas,20.1,BKN,Wing,1069,30,50.2%,17,55%,94,55%,91,51%,98,53%,64,42%,12,26%,12,29%
Isaiah Thomas,32.7,CHA,Combo,189,85,56.3%,42,56%,43,39%,94,63%,68,44%,0,40%,98,44%,91,43%
Matt Thomas,27.2,CHI,Wing,383,79,56.1%,99,100%,1,0%,87,50%,71,42%,96,52%,52,35%,84,40%
Klay Thompson,31.7,GSW,Wing,934,50,53.0%,88,74%,59,40%,70,43%,68,42%,33,36%,83,39%,72,39%
Tristan Thompson,30.6,CHI,Big,371,55,57.3%,11,58%,94,59%,8,0%,95,56%,0,,0,,0,
Tristan Thompson,30.6,SAC,Big,452,14,51.0%,4,55%,54,43%,97,100%,61,44%,0,,0,100%,0,100%
