Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
DeMar DeRozan,32.2,CHI,Forward,2737,99,33.2%,86,119.1,93,22.8%,61,0.69,76,8.8%
Dewayne Dedmon,32.2,MIA,Big,1057,41,15.3%,76,126.4,35,6.9%,30,0.45,8,19.0%
Donte DiVincenzo,24.8,MIL,Combo,327,42,19.2%,17,95.0,22,11.8%,19,0.61,7,17.1%
Donte DiVincenzo,24.8,SAC,Combo,660,50,19.9%,44,107.1,50,18.6%,57,0.93,21,14.7%
Mamadi Diakite,24.8,OKC,Big,181,11,11.7%,21,109.8,4,1.9%,5,0.17,56,12.6%
Hamidou Diallo,23.3,DET,Wing,1248,76,20.5%,34,108.4,52,9.9%,25,0.48,71,9.1%
Gorgui Dieng,31.8,ATL,Big,302,37,14.9%,65,122.5,85,15.4%,95,1.03,40,14.0%
Spencer Dinwiddie,28.6,WAS,Point,1330,56,24.4%,28,100.7,66,29.4%,66,1.21,90,10.1%
Spencer Dinwiddie,28.6,DAL,Wing,649,89,24.1%,95,126.0,98,22.1%,93,0.92,70,9.1%
Luka Doncic,22.7,DAL,Point,2299,100,42.4%,72,114.3,100,45.8%,34,1.08,36,13.6%
Luguentz Dort,22.5,OKC,Wing,1664,84,21.8%,33,108.3,39,8.7%,9,0.40,47,10.5%
Ayo Dosunmu,21.8,CHI,Combo,2020,10,14.6%,86,119.1,38,16.1%,73,1.10,16,15.0%
PJ Dozier,25.0,DEN,Forward,332,57,16.1%,5,92.2,74,13.3%,81,0.82,49,10.9%
Goran Dragic,35.5,BKN,Combo,396,49,19.8%,16,93.4,66,22.5%,77,1.14,2,18.2%
Andre Drummond,28.2,BKN,Big,534,74,19.0%,67,123.2,55,8.8%,34,0.47,34,14.8%
Andre Drummond,28.2,PHI,Big,894,64,17.8%,18,108.9,86,15.7%,86,0.88,3,21.1%
Chris Duarte,24.4,IND,Wing,1527,75,20.3%,39,109.2,61,10.9%,38,0.54,24,12.3%
David Duke,22.1,BKN,Wing,295,39,14.4%,4,86.9,15,6.2%,14,0.43,88,7.8%
Kris Dunn,27.6,POR,Forward,335,90,22.7%,14,97.2,100,34.1%,99,1.50,2,17.6%
Kevin Durant,33.1,BKN,Forward,2047,98,32.1%,98,127.5,98,27.4%,85,0.85,24,12.7%
Anthony Edwards,20.2,MIN,Wing,2459,93,26.8%,55,112.8,88,17.3%,61,0.64,26,12.1%
Kessler Edwards,21.2,BKN,Forward,920,18,12.0%,29,104.8,3,3.8%,6,0.31,14,13.9%
CJ Elleby,21.4,POR,Wing,1065,39,14.4%,10,97.4,56,10.2%,72,0.71,10,14.1%
Wayne Ellington,33.9,LAL,Wing,745,15,11.9%,79,118.8,11,5.5%,18,0.46,83,7.9%
Joel Embiid,27.6,PHI,Big,2295,100,37.5%,68,123.3,96,23.7%,65,0.63,67,11.5%
Drew Eubanks,24.7,POR,Big,632,43,15.5%,89,135.2,57,9.3%,57,0.60,35,14.8%
Drew Eubanks,24.7,SAS,Big,557,52,16.6%,48,117.4,72,12.3%,78,0.74,4,20.9%
Derrick Favors,30.3,OKC,Big,652,11,11.8%,13,106.2,25,6.1%,45,0.52,99,5.1%
Dorian Finney-Smith,28.5,DAL,Forward,2638,22,12.8%,88,120.7,41,8.0%,54,0.62,52,10.7%
Malachi Flynn,23.5,TOR,Combo,480,25,17.4%,39,106.5,41,17.6%,68,1.01,95,6.6%
Bryn Forbes,28.3,SAS,Wing,649,72,19.8%,54,112.6,46,9.3%,19,0.47,49,10.3%
Bryn Forbes,28.3,DEN,Combo,590,30,18.0%,73,114.4,9,8.4%,8,0.47,79,9.3%
Trent Forrest,23.4,UTA,Wing,695,49,15.8%,46,111.1,92,18.6%,98,1.18,1,18.6%
Evan Fournier,29.0,NYK,Wing,2357,69,19.4%,50,112.1,67,11.4%,50,0.59,57,9.9%
De'Aaron Fox,23.9,SAC,Point,2074,82,30.8%,62,110.1,38,25.4%,0,0.82,74,11.2%
Tim Frazier,31.0,ORL,Point,199,6,16.6%,4,78.7,30,24.8%,90,1.50,8,17.9%
Melvin Frazier Jr.,25.2,OKC,Combo,119,28,17.9%,1,62.7,1,1.3%,0,0.07,99,6.1%
