Player,Age,Team,Pos,MIN,Usage Rank,Usage,PSA Rank,PSA,AST% Rank,AST%,AST:Usg Rank,AST:Usg,TOV% Rank,TOV%
Lindell Wigginton,23.6,MIL,Combo,156,40,19.1%,23,98.3,36,16.0%,41,0.84,39,12.9%
Brandon Williams,21.9,POR,Point,603,64,26.4%,14,93.0,24,24.1%,8,0.91,32,14.0%
Grant Williams,22.9,BOS,Forward,1842,13,11.4%,96,127.1,11,5.6%,31,0.49,22,12.8%
Kenrich Williams,26.9,OKC,Forward,1069,55,16.1%,33,107.1,85,16.0%,94,0.99,36,11.8%
Lou Williams,35.0,ATL,Combo,790,74,23.7%,28,99.4,57,19.9%,42,0.84,64,10.3%
Patrick Williams,20.2,CHI,Big,408,15,12.3%,83,130.0,14,4.9%,23,0.40,46,13.3%
Robert Williams,24.0,BOS,Big,1803,6,10.6%,100,149.3,58,9.5%,88,0.90,37,14.5%
Ziaire Williams,20.1,MEM,Wing,1299,27,12.9%,56,113.1,15,6.2%,24,0.48,72,9.0%
Dylan Windler,25.1,CLE,Wing,395,13,11.6%,32,108.0,59,10.4%,92,0.90,5,15.6%
Justise Winslow,25.6,POR,Forward,293,74,19.2%,7,93.5,82,15.2%,78,0.79,74,9.0%
Justise Winslow,25.6,LAC,Big,425,65,17.9%,11,105.0,89,16.5%,89,0.92,14,18.2%
Christian Wood,26.1,HOU,Big,2092,86,22.2%,51,118.3,72,12.4%,52,0.56,66,11.6%
Delon Wright,29.5,ATL,Combo,1393,4,12.1%,75,115.6,42,17.6%,91,1.45,58,10.9%
Thaddeus Young,33.4,SAS,Big,355,82,20.3%,28,113.0,96,24.0%,98,1.18,17,17.2%
Thaddeus Young,33.4,TOR,Forward,466,59,16.4%,30,105.3,76,13.5%,83,0.82,28,12.5%
Trae Young,23.1,ATL,Point,2647,98,39.0%,96,121.1,98,44.4%,54,1.14,58,12.7%
Omer Yurtseven,23.4,MIA,Big,624,58,17.5%,21,110.1,64,10.9%,64,0.63,49,13.3%
Cody Zeller,29.1,POR,Big,335,34,14.6%,69,123.4,54,8.8%,58,0.60,43,13.8%
Ivica Zubac,24.6,LAC,Big,1843,45,15.8%,85,130.5,59,9.7%,62,0.62,21,16.9%
