player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Kyle Anderson,MIN,29.1,Forward,1954,98,92,57,47,76,69,82,34,74,64,47,54,59,95,99,19,3,3,15,40,4,1,16,3,46,91,59,6,94,13,63,73,38,3,33,99,88,0,9,2,27,5,81,19,100,46,92,13,10,14,12,3,20,28,82,39,18,2,2,1,1,30,61,69,18,46,23,4,4,10,17,10,7,88,97,97,6,14,9,45,19,19,3,13,9,59,24,92,20,90,85,66,84,64,100,41,94,28,5,5,52,89,83,79,69,59
Giannis Antetokounmpo,MIL,27.9,Big,2021,32,48,89,38,96,73,74,21,97,99,50,100,52,99,81,61,33,34,38,72,17,49,46,55,48,20,53,14,14,96,98,52,99,94,8,28,8,86,43,64,35,94,40,89,45,19,19,85,96,88,30,100,6,92,83,93,54,31,64,70,51,85,23,47,82,64,82,19,40,53,7,30,8,52,91,90,4,78,3,13,42,10,3,95,3,47,76,12,47,18,0,15,16,64,44,88,72,21,47,38,50,16,99,99,95,99
Thanasis Antetokounmpo,MIL,30.3,Big,113,5,0,21,42,44,0,16,0,73,15,0,72,1,84,79,36,41,36,44,56,37,67,57,26,64,72,68,43,51,86,26,11,64,14,16,93,55,75,17,26,76,78,3,31,10,68,41,56,91,25,43,97,26,64,93,42,73,25,41,11,29,14,20,31,48,38,88,61,80,24,59,26,45,84,69,82,11,51,12,27,54,17,8,40,16,1,4,71,11,43,0,0,0,73,34,46,30,64,43,45,11,0,15,12,1,0
Cole Anthony,ORL,22.5,Point,1524,96,15,11,80,91,96,76,89,70,22,72,41,65,20,28,67,17,9,17,85,1,35,55,22,37,92,17,3,98,96,99,99,95,20,1,34,2,37,77,66,42,38,8,16,33,95,90,92,72,96,97,98,98,63,81,71,22,1,0,1,0,76,95,3,48,10,5,16,8,7,22,99,79,96,40,72,8,0,34,1,0,17,63,2,80,52,50,70,63,67,53,58,51,39,72,87,83,22,37,28,46,51,52,28,61,48
OG Anunoby,TOR,25.3,Wing,2385,94,95,51,77,51,86,88,67,50,70,48,57,61,26,10,28,69,68,43,77,75,42,63,81,44,16,62,89,19,22,29,17,60,99,81,76,86,19,13,9,56,10,56,16,48,87,82,12,62,10,21,27,14,12,43,13,51,72,79,25,42,20,19,6,70,14,48,95,89,30,69,20,48,62,70,73,74,93,55,70,81,53,64,82,50,67,61,32,76,38,79,39,67,76,50,52,49,73,22,34,63,67,53,41,64,39
Ryan Arcidiacono,POR,28.6,Point,127,0,0,20,0,28,0,0,0,0,43,100,2,0,17,93,52,61,82,71,65,48,82,28,37,18,49,69,36,57,29,17,35,19,42,73,51,71,29,42,31,27,78,31,63,58,58,63,23,52,20,29,55,18,38,30,38,90,24,48,7,15,17,47,74,89,87,19,74,56,26,22,66,38,92,64,84,40,67,46,66,71,79,25,89,24,0,0,0,0,0,0,49,42,0,41,74,54,0,100,91,0,44,0,0,0,26
Deni Avdija,WAS,21.8,Forward,1998,51,78,23,55,97,48,85,38,71,71,65,61,27,80,81,8,92,99,99,88,47,69,24,38,38,25,43,21,11,74,15,22,31,51,31,54,34,25,46,34,74,63,23,45,42,33,28,95,88,92,93,43,89,79,52,66,98,51,43,72,43,86,97,90,90,95,63,86,90,56,52,73,64,89,15,34,74,65,71,35,11,47,81,91,78,22,53,22,23,20,34,10,17,80,62,34,48,27,50,35,46,16,72,62,82,65
Deandre Ayton,PHX,24.3,Big,2033,40,26,79,57,88,0,89,66,32,53,44,86,59,55,29,67,26,32,20,29,82,78,32,47,66,36,19,61,34,66,38,55,25,41,75,26,61,79,25,36,34,29,59,37,96,45,79,12,72,19,27,60,39,15,85,29,18,84,31,66,73,33,10,52,25,39,50,45,46,66,59,81,72,16,27,15,73,10,76,64,10,69,64,21,64,59,91,67,65,70,0,17,19,33,97,96,98,0,28,21,50,19,33,27,32,96
Udoka Azubuike,UTA,23.1,Big,309,63,8,65,59,81,0,99,0,56,33,32,2,99,4,17,5,21,29,41,55,15,76,26,31,68,17,42,24,28,12,26,16,51,18,58,51,56,52,42,40,26,90,17,74,49,49,51,73,22,79,26,16,28,90,24,89,43,10,73,28,18,65,56,35,91,62,20,41,27,81,70,82,80,10,11,5,55,89,44,96,53,96,19,90,17,99,99,84,0,89,0,0,0,89,58,0,42,0,0,0,100,0,7,2,23,0
Marvin Bagley,DET,23.6,Big,978,48,30,85,62,50,50,41,60,41,58,44,78,36,21,8,82,26,41,41,62,16,80,21,29,13,76,38,19,76,70,62,60,56,15,46,36,40,21,83,63,6,22,78,43,83,93,95,28,71,25,68,15,82,15,89,9,58,9,11,44,38,60,61,67,28,52,33,34,29,50,61,46,57,54,47,47,30,5,33,27,2,26,45,45,53,35,63,63,52,61,29,16,23,36,92,73,90,50,48,44,38,23,76,72,65,88
Patrick Baldwin Jr.,GSW,20.0,Forward,156,71,46,79,2,87,0,0,0,7,0,0,83,73,13,3,48,96,97,95,98,10,92,75,65,65,73,32,78,66,90,17,57,9,48,72,12,51,26,89,78,52,39,59,44,70,38,52,67,95,59,71,69,45,70,70,73,97,23,55,66,19,96,93,88,45,81,94,69,89,21,23,81,47,50,83,82,30,83,40,60,42,51,28,71,44,90,98,7,83,7,0,89,90,4,26,26,19,53,99,94,20,90,6,39,0,0
LaMelo Ball,CHA,21.2,Point,1267,41,48,26,87,89,0,28,54,26,78,48,89,41,83,43,37,74,96,72,81,76,95,20,6,77,32,74,22,40,69,10,25,13,10,27,46,28,33,21,15,25,50,36,39,5,98,85,51,71,38,14,78,8,79,21,69,79,67,65,90,83,79,77,60,71,67,74,45,63,64,99,59,97,65,0,1,90,39,92,88,74,80,84,30,88,43,22,13,33,17,50,74,65,48,15,43,20,63,76,76,20,65,39,65,37,57
Mohamed Bamba,ORL,24.5,Big,658,80,27,13,41,48,0,87,27,27,45,65,52,53,51,50,90,100,99,98,94,52,71,91,45,68,90,82,73,95,68,65,80,39,27,37,46,36,12,86,62,52,25,27,18,49,86,82,39,66,29,52,71,50,40,43,30,99,27,94,85,74,77,72,98,33,92,53,96,93,88,27,50,31,70,20,30,51,96,28,6,78,6,87,97,74,62,35,7,62,19,0,93,89,29,10,66,14,53,94,87,37,90,14,36,22,18
Paolo Banchero,ORL,20.0,Forward,2428,59,40,81,49,93,0,76,37,98,87,33,94,23,83,52,29,43,64,53,72,87,20,25,18,19,77,92,19,78,46,50,48,52,68,4,19,4,82,3,11,89,2,9,2,92,83,91,53,44,47,90,54,91,21,11,16,61,76,91,72,86,22,57,35,76,55,58,16,25,94,48,35,40,57,9,12,61,80,63,54,92,61,66,85,70,10,30,28,58,35,29,15,15,73,82,91,88,2,31,11,10,15,91,88,89,96
Desmond Bane,MEM,24.4,Wing,1837,61,49,54,40,70,75,68,83,49,84,87,88,82,95,79,50,71,85,84,41,79,77,39,50,46,7,59,43,31,4,9,3,71,82,31,47,30,67,41,47,5,35,43,32,89,97,99,31,24,35,47,42,46,33,11,35,68,65,22,49,67,28,55,68,84,75,58,83,80,33,39,14,20,52,89,89,99,13,99,68,66,70,97,19,98,78,37,70,88,80,93,76,83,56,71,51,60,14,63,41,60,83,78,59,50,88
Dalano Banton,TOR,23.0,Combo,229,100,64,0,92,81,0,0,0,52,60,4,75,16,66,49,34,65,86,55,89,81,63,26,10,62,50,57,17,65,53,23,31,28,32,35,3,9,75,26,37,12,77,67,78,31,81,68,26,63,26,44,13,46,16,55,17,76,64,24,61,54,58,52,11,82,17,19,93,76,39,37,18,20,56,87,87,68,7,78,48,4,66,73,35,76,22,100,4,4,1,0,8,6,87,55,26,35,53,24,24,69,6,25,15,92,29
Dominick Barlow,SAS,19.4,Big,340,77,22,15,72,25,0,21,0,47,26,94,6,28,34,65,38,91,90,76,94,75,70,69,21,5,91,100,37,97,23,44,89,6,45,1,87,4,81,18,32,98,10,46,11,32,7,8,64,25,65,24,65,19,75,6,78,85,80,62,70,82,24,35,20,90,41,98,89,99,10,96,55,92,43,42,39,84,32,87,28,77,39,96,15,96,26,29,5,87,18,0,0,0,76,61,75,69,0,22,16,23,0,64,65,1,0
Harrison Barnes,SAC,30.4,Forward,2658,3,21,99,45,23,50,40,77,97,81,18,52,92,17,14,79,52,62,72,82,38,54,41,56,26,20,66,24,17,45,28,15,55,46,23,38,21,92,72,85,52,20,45,21,69,71,78,96,79,94,76,54,80,97,82,93,77,43,77,65,66,54,48,61,94,84,38,65,60,50,42,20,26,87,62,76,41,75,42,58,68,56,39,86,44,62,53,46,51,48,52,60,60,69,77,23,66,46,41,37,60,61,63,56,66,71
Scottie Barnes,TOR,21.3,Forward,2668,86,70,78,92,70,83,34,54,67,74,57,86,24,91,88,39,37,33,16,73,64,56,53,84,80,5,8,66,10,75,12,23,23,90,42,27,31,88,86,92,8,96,93,97,16,25,15,77,81,79,94,73,90,44,42,44,48,73,79,36,70,10,30,8,17,7,56,18,23,88,57,1,9,29,68,57,8,63,8,6,26,7,20,59,18,20,48,51,50,47,27,7,11,77,91,80,89,16,11,9,28,11,89,65,83,87
RJ Barrett,NYK,22.4,Wing,2474,19,1,62,46,61,50,96,21,95,63,36,87,25,66,24,51,22,28,20,8,89,12,29,54,88,1,63,70,0,10,38,13,70,5,82,94,94,21,26,24,69,8,52,11,91,54,78,23,9,30,20,93,33,23,7,30,25,77,49,5,25,5,21,84,22,64,54,25,28,8,90,68,89,37,65,58,62,35,58,38,39,45,78,52,66,18,24,42,23,35,13,20,17,83,89,27,68,23,20,16,33,17,85,78,83,50
Will Barton,WAS,31.8,Wing,767,47,19,88,8,82,0,36,47,23,33,20,76,20,87,87,32,18,21,40,43,8,43,26,18,42,84,47,24,81,50,85,82,73,38,18,77,33,9,36,15,59,65,32,53,41,41,37,10,28,6,54,10,51,5,60,2,63,10,8,5,6,20,79,82,15,50,18,47,30,6,34,99,83,34,79,71,5,24,6,11,7,12,7,52,9,21,11,11,53,17,93,74,82,25,72,83,82,24,64,48,3,80,83,57,94,86
Will Barton,TOR,31.8,Combo,201,82,89,39,56,74,0,84,0,1,0,0,26,3,15,28,100,91,94,96,80,34,21,66,46,67,59,67,77,80,8,34,31,46,40,33,61,40,59,46,49,68,37,20,25,81,43,61,8,18,10,10,12,18,15,9,18,89,38,90,62,53,68,84,76,88,87,73,81,87,64,49,46,47,27,55,43,94,96,89,77,50,77,92,97,84,8,16,46,3,7,0,12,36,20,27,82,44,62,84,78,3,37,7,1,1,78
Charles Bassey,SAS,22.0,Big,438,91,82,20,96,79,88,96,11,40,9,65,53,70,81,84,2,92,71,50,55,78,76,94,82,73,87,73,86,96,57,98,94,92,47,86,54,82,80,54,68,81,37,7,14,67,49,61,30,30,38,48,65,62,38,32,39,56,74,77,81,73,71,64,23,31,23,19,78,61,73,85,52,78,21,13,8,39,68,35,77,51,70,19,39,22,81,67,61,92,77,0,0,0,72,73,65,74,30,32,27,77,0,79,80,41,18
Keita Bates-Diop,SAS,26.8,Forward,1410,46,69,96,68,58,65,65,58,91,15,68,51,86,60,55,54,63,69,64,95,7,79,54,27,43,83,17,35,76,88,71,83,47,68,24,29,18,9,56,29,16,79,38,68,42,82,73,38,70,26,44,51,19,45,49,46,90,14,4,11,7,42,82,87,75,87,65,33,48,3,50,100,100,33,13,11,24,5,30,34,28,35,25,3,25,72,66,44,2,39,41,93,78,86,84,14,69,33,20,23,69,78,58,46,39,47
Nicolas Batum,LAC,33.9,Forward,1699,90,77,36,50,61,71,81,15,18,20,26,8,63,55,82,41,4,3,7,17,10,66,19,62,25,56,18,53,53,4,26,42,21,67,78,40,72,72,31,46,11,74,6,35,88,91,94,53,2,50,17,10,28,72,11,59,11,18,38,32,57,12,16,73,71,78,4,4,2,65,1,6,0,98,95,98,9,29,13,49,83,62,5,44,7,82,35,35,40,33,76,54,69,11,2,28,1,97,86,96,71,69,12,68,18,0
Darius Bazley,OKC,22.4,Big,530,82,79,92,24,28,57,57,7,85,8,18,50,8,46,46,84,9,0,5,1,7,24,96,97,99,2,4,98,2,67,22,4,84,99,76,98,95,63,54,59,13,49,86,73,63,68,72,91,80,92,81,86,95,88,84,68,8,22,72,4,14,8,43,70,1,42,44,1,3,25,19,1,3,99,93,98,0,74,2,7,77,11,0,81,1,9,3,23,35,19,94,13,55,64,25,56,29,70,52,53,7,57,16,16,44,18
Bradley Beal,WAS,29.3,Combo,1672,90,29,78,72,42,81,71,69,75,79,47,97,81,88,44,38,3,5,8,77,6,29,10,40,7,50,55,50,46,5,73,49,84,29,18,92,55,39,51,44,94,93,33,87,4,3,1,1,5,2,44,6,27,0,34,0,15,2,18,7,3,67,7,10,65,18,82,15,27,3,14,89,48,71,94,95,17,32,16,9,94,8,44,29,46,76,94,52,79,69,44,59,50,72,76,98,97,22,12,9,82,50,69,48,38,80
Malik Beasley,UTA,25.9,Wing,1465,15,52,92,30,67,0,44,66,2,15,76,75,34,40,19,83,13,12,25,66,46,0,32,4,48,51,97,18,77,72,28,51,19,6,53,48,51,29,6,6,42,28,62,38,23,88,71,48,67,34,74,57,60,32,63,23,24,29,65,21,43,9,21,20,63,30,84,16,38,28,46,63,54,80,58,70,46,82,55,8,72,5,91,92,97,40,60,79,74,75,36,59,49,1,42,63,48,57,96,93,26,50,52,91,47,81
Malik Beasley,LAL,25.9,Wing,611,3,67,93,17,68,0,73,0,9,9,95,63,21,19,6,49,99,95,54,100,70,84,97,99,60,73,14,97,38,100,64,41,74,88,76,39,70,83,93,97,60,8,14,6,76,91,94,91,100,85,89,20,65,85,99,87,87,61,40,56,38,75,91,35,92,68,29,10,11,77,78,0,13,100,12,65,71,41,68,87,5,93,44,13,35,32,98,86,16,40,25,45,40,7,40,53,42,30,98,92,29,39,25,62,44,32
MarJon Beauchamp,MIL,21.1,Wing,588,41,32,23,88,44,90,61,0,20,6,24,43,10,18,20,4,54,76,52,36,91,81,27,39,83,9,16,37,12,32,28,11,67,51,2,50,3,77,75,82,8,11,85,34,58,98,97,49,50,43,29,52,36,58,26,51,50,91,64,65,74,38,44,55,53,58,91,7,29,95,81,3,37,43,13,13,83,63,81,94,83,91,49,79,50,14,21,8,19,7,25,15,26,49,10,55,25,88,49,75,12,26,32,26,76,41
Davis Bertans,DAL,30.0,Big,457,22,51,32,4,1,0,4,0,4,66,25,36,73,28,34,98,53,37,13,23,99,53,71,74,96,21,29,89,10,56,11,20,20,82,23,71,33,84,42,61,86,18,70,33,61,19,23,73,50,75,38,83,57,84,23,80,9,99,98,96,99,18,12,22,32,22,26,25,18,98,67,19,44,4,9,3,90,88,86,74,61,38,89,58,93,82,85,99,96,99,97,70,88,1,0,27,1,95,100,100,99,86,0,0,48,75
Patrick Beverley,LAL,34.3,Combo,1210,92,47,12,36,48,98,58,33,29,55,47,0,43,16,72,35,33,74,67,97,5,87,8,11,98,8,10,42,4,64,3,15,4,1,59,94,80,35,25,25,11,94,67,93,74,18,27,29,83,18,23,45,12,39,73,31,67,7,54,43,4,97,94,64,5,43,90,28,54,12,99,21,96,55,22,27,85,79,81,99,15,99,38,78,42,48,38,47,97,64,47,34,38,18,39,2,17,97,76,92,51,39,27,24,90,47
Patrick Beverley,CHI,34.3,Point,605,100,76,4,89,96,98,67,0,20,33,30,0,22,4,67,85,95,95,93,51,16,73,81,78,46,87,74,88,72,60,57,69,40,48,84,60,84,98,62,89,17,89,48,84,34,52,45,39,37,38,20,8,35,63,69,54,87,33,14,35,9,93,73,96,78,97,77,76,83,41,91,76,91,61,8,12,90,41,88,79,54,71,88,19,87,41,50,96,100,100,28,44,16,30,7,0,2,100,65,100,93,19,7,41,15,11
