player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Precious Achiuwa,TOR,23.1,Big,1113,41,62,82,56,75,48,81,33,50,22,41,73,21,26,15,68,89,88,52,35,100,67,70,60,6,94,85,62,97,39,58,69,39,47,55,90,79,63,43,45,75,21,12,10,46,83,74,32,41,31,61,69,67,26,8,23,45,100,63,89,97,19,26,46,8,26,91,66,84,90,68,82,77,8,7,2,74,28,64,61,64,70,72,16,58,22,62,21,27,16,11,26,17,48,70,40,60,72,51,53,28,17,64,68,54,18
Steven Adams,MEM,29.3,Big,1132,66,70,93,99,83,98,21,1,79,87,70,43,25,67,73,12,72,78,78,85,28,75,54,37,77,34,78,47,39,73,50,49,51,19,67,78,76,42,24,23,67,37,15,22,95,34,67,60,60,62,92,44,91,35,65,31,80,28,71,29,34,36,86,58,16,40,32,88,75,56,84,41,72,81,11,27,80,79,79,96,66,93,55,57,62,62,21,78,11,77,0,0,0,88,58,10,44,22,0,12,52,0,95,95,82,0
Bam Adebayo,MIA,25.3,Big,2594,32,86,92,42,74,0,47,83,72,87,23,94,38,87,55,58,90,89,85,81,62,96,72,66,21,79,26,52,79,70,73,77,61,67,37,59,45,78,49,61,69,45,16,27,51,56,57,40,70,31,74,26,59,28,19,28,67,55,94,88,69,91,95,12,59,27,28,43,34,100,4,9,2,46,8,8,92,100,85,91,97,89,80,98,73,28,39,64,61,65,0,0,0,31,99,87,99,0,18,14,24,0,88,63,81,18
Ochai Agbaji,UTA,22.5,Combo,1159,62,1,62,88,2,0,56,71,45,7,10,12,63,3,4,65,0,0,32,0,1,53,0,0,2,81,10,1,95,0,37,48,31,1,94,20,87,0,13,2,1,98,100,100,48,1,2,0,0,0,0,1,1,1,10,1,18,13,1,2,5,8,3,46,16,22,20,93,86,4,43,79,60,3,98,90,1,4,1,2,95,1,3,62,5,67,22,79,56,85,89,14,55,49,33,3,10,100,45,84,64,54,3,6,2,8
Santi Aldama,MEM,21.8,Big,1625,38,59,83,18,37,82,55,67,23,61,51,47,46,41,41,89,88,90,55,97,44,99,65,45,14,84,92,51,92,82,54,90,11,25,68,22,52,66,59,65,46,46,53,47,63,47,58,35,82,41,30,7,27,47,82,54,73,19,50,84,58,93,66,31,99,72,16,62,47,53,92,61,90,31,11,10,96,26,94,53,64,57,98,6,97,42,40,48,50,48,56,51,58,21,36,43,32,92,77,88,44,58,32,49,56,82
Nickeil Alexander-Walker,MIN,24.2,Wing,353,87,24,26,36,26,0,55,0,44,32,83,50,22,64,62,94,7,8,5,43,68,6,20,12,85,44,25,20,31,53,26,24,39,62,40,34,32,20,10,9,6,72,40,62,92,81,90,45,63,53,65,82,60,33,75,47,5,71,83,42,50,38,5,67,12,32,7,27,13,31,72,91,88,59,20,26,63,90,39,81,92,64,33,93,24,27,10,37,28,23,70,40,54,37,32,59,35,79,66,72,10,55,59,81,95,52
Nickeil Alexander-Walker,UTA,24.2,Combo,486,96,72,4,37,49,0,88,6,67,64,25,53,84,53,64,0,4,1,2,60,18,12,58,51,13,98,88,83,99,35,14,99,0,13,0,99,2,98,89,99,78,12,66,24,80,32,50,12,3,10,55,28,44,8,2,8,3,28,29,25,6,77,0,6,10,4,71,41,49,19,25,96,69,16,81,63,3,29,8,4,61,14,2,17,3,93,85,45,91,72,31,92,85,51,36,40,31,78,60,71,87,86,67,67,84,83
Grayson Allen,MIL,27.1,Wing,1968,24,56,74,56,22,98,15,93,46,79,13,30,85,54,70,59,85,81,63,72,61,95,71,72,86,23,35,83,14,49,33,52,21,52,80,34,73,63,77,78,8,61,31,47,95,84,93,60,66,58,55,41,54,61,58,60,79,74,76,82,60,89,63,38,19,22,89,46,68,57,6,18,5,79,88,93,49,70,52,39,17,50,65,80,55,79,45,24,7,13,85,69,73,45,31,11,19,51,89,84,50,74,36,48,33,71
Jarrett Allen,CLE,24.5,Big,2212,68,48,90,79,76,41,52,52,62,81,27,42,86,37,41,61,76,87,81,74,69,74,41,56,16,66,21,44,77,84,57,66,46,45,65,61,69,68,38,45,64,48,48,46,50,38,40,34,73,23,90,38,86,8,32,8,91,75,30,68,74,41,65,39,72,53,49,78,78,86,32,64,45,93,5,22,41,15,52,23,29,32,60,18,61,85,79,68,39,62,0,0,0,76,74,58,72,33,18,17,84,0,40,25,33,18
Jose Alvarado,NOP,24.6,Point,1285,35,98,15,59,33,63,50,37,39,20,20,33,26,9,20,39,20,28,49,31,14,21,25,19,53,50,22,60,47,70,8,45,6,14,38,9,18,41,50,46,23,50,56,55,64,72,76,5,72,6,19,88,23,8,69,11,50,24,46,20,26,33,85,26,93,44,76,31,45,6,43,93,73,31,87,82,13,68,10,38,43,33,14,81,14,35,65,11,7,7,61,23,35,70,30,11,13,91,57,63,39,33,13,24,22,7
