player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Carmelo Anthony,DEN,22.4,Wing,2479,53,42,83,94,61,0,31,65,78,91,64,97,67,80,37,50,60,97,99,70,25,85,6,9,51,12,46,5,21,59,9,8,31,53,7,9,4,23,40,26,43,93,23,62,72,28,43,67,88,57,83,54,80,47,55,40,96,18,15,92,64,92,99,91,22,53,92,60,83,92,13,91,76,5,4,3,92,10,96,20,10,49,97,31,97,49,85,53,42,41,25,13,14,88,57,71,67,10,22,15,75,14,63,18,59,69
Rafael Araujo,UTA,26.2,Big,193,12,78,27,74,64,0,98,0,32,66,0,35,19,51,51,18,86,34,24,5,97,100,97,91,99,75,14,78,94,99,82,94,31,11,78,77,83,38,59,55,100,2,0,0,79,70,78,98,99,99,100,100,100,34,83,47,25,100,96,83,93,35,39,8,70,20,25,54,55,47,98,19,69,16,50,34,52,95,47,87,98,29,32,63,52,14,18,55,33,32,0,0,0,35,82,67,79,0,0,0,15,0,45,37,49,0
Gilbert Arenas,WAS,24.8,Combo,2935,39,75,66,54,73,73,52,71,82,96,64,96,88,77,27,89,98,100,88,97,71,93,68,54,49,70,87,61,75,48,30,12,66,36,44,52,48,80,45,67,62,29,60,47,80,20,40,86,82,78,57,34,27,95,61,94,99,30,100,30,78,7,50,25,96,89,89,19,44,91,7,36,11,29,67,58,98,100,81,90,93,52,97,99,88,64,64,39,71,61,22,45,48,43,18,52,34,25,91,77,71,48,75,70,77,89
Trevor Ariza,ORL,21.3,Wing,1230,79,90,27,99,74,78,95,5,96,43,77,52,75,34,28,10,66,39,15,9,97,83,82,89,89,31,12,72,44,59,28,11,66,36,66,97,96,31,93,85,10,86,83,92,23,51,39,86,71,76,92,29,88,70,54,61,11,97,74,90,96,36,57,29,11,10,2,47,9,87,16,87,69,10,9,7,85,37,91,88,32,74,70,24,89,86,91,24,24,19,0,0,0,98,37,41,32,7,2,3,95,0,70,48,22,0
Darrell Armstrong,IND,38.4,Combo,1236,46,89,52,77,54,66,84,33,18,55,71,27,84,71,95,43,53,68,81,24,63,69,40,24,78,55,10,32,17,30,56,28,77,32,26,87,67,11,47,21,13,90,79,92,46,26,31,45,32,36,31,47,42,49,36,36,67,90,27,63,63,53,62,70,95,94,65,19,31,13,16,40,20,95,93,96,74,18,76,93,76,88,35,14,44,89,91,18,98,82,28,64,50,18,16,21,7,88,98,95,91,50,30,23,48,71
Hilton Armstrong,NOP,21.9,Big,546,63,44,42,58,23,97,45,26,93,16,57,21,66,12,16,34,68,20,41,19,50,39,95,93,84,25,83,96,29,83,87,72,92,98,85,35,62,61,53,56,78,30,51,39,5,70,25,70,47,53,55,72,51,64,39,46,31,36,49,34,13,84,52,42,50,42,56,55,60,7,4,95,70,93,58,73,11,77,9,24,28,22,16,62,12,68,84,24,36,22,0,0,0,66,36,56,42,0,0,0,68,0,81,45,95,0
Carlos Arroyo,ORL,27.3,Point,1255,26,49,21,91,83,87,0,38,96,55,81,83,47,60,28,64,68,50,48,23,61,83,78,75,86,10,67,89,22,78,26,18,47,44,92,42,77,57,90,88,4,44,79,74,74,90,91,40,81,23,36,27,29,56,67,37,40,64,32,39,63,27,18,37,94,83,76,81,87,18,61,82,85,52,39,43,82,30,90,89,84,80,66,7,81,26,25,75,75,85,0,5,9,38,77,91,91,26,17,17,47,13,91,38,79,26
Chucky Atkins,MEM,32.2,Point,2050,28,15,75,13,17,62,45,53,83,96,26,70,87,58,32,75,80,95,75,94,46,99,27,69,26,4,40,70,4,43,4,5,20,25,62,83,82,77,79,86,57,33,85,74,21,22,19,27,89,25,69,60,36,15,67,22,95,82,89,84,79,65,47,45,75,67,93,61,79,85,52,32,32,57,26,33,64,90,52,73,92,68,52,89,46,85,43,45,74,64,92,68,87,74,23,8,11,74,83,85,68,87,72,94,81,70
Kelenna Azubuike,GSW,22.9,Wing,595,80,46,69,65,50,0,77,30,89,5,22,42,63,14,12,33,4,8,8,38,52,49,4,15,2,9,96,11,37,62,59,32,80,76,44,17,19,39,2,4,58,95,4,31,76,54,65,6,76,6,60,59,58,3,88,2,15,79,12,15,61,6,5,49,42,41,33,49,36,20,84,61,83,5,70,42,17,8,45,1,55,9,64,18,74,76,27,19,18,11,95,94,99,78,53,15,13,59,74,67,26,99,57,69,87,40
Renaldo Balkman,NYK,22.3,Forward,998,96,94,12,98,98,41,71,7,73,14,39,18,47,22,45,49,86,38,25,53,95,13,96,98,98,56,4,98,52,22,34,47,21,99,92,95,97,24,58,44,24,93,33,70,69,46,56,75,58,75,56,30,72,74,63,75,8,96,100,97,98,45,32,16,17,9,13,44,22,96,5,38,9,22,61,48,95,99,83,66,88,18,97,86,95,86,67,0,0,0,6,0,7,100,14,10,2,47,12,25,92,7,75,43,71,8
Marcus Banks,PHX,25.0,Combo,447,61,68,7,55,7,0,41,52,70,79,16,84,39,43,32,21,0,0,0,26,19,81,8,6,62,39,4,2,56,23,66,37,84,9,26,4,5,11,95,82,8,90,51,82,21,90,73,55,18,81,48,37,59,56,51,78,0,23,22,8,9,11,5,1,1,1,14,18,10,39,27,96,92,9,22,12,67,36,71,89,64,76,54,39,71,36,93,13,38,34,0,0,0,82,2,95,59,11,20,14,84,0,48,34,27,84
Leandro Barbosa,PHX,23.9,Combo,2570,50,55,57,11,39,0,23,74,46,64,82,77,98,38,21,88,78,90,74,92,40,88,41,47,87,54,8,25,35,84,63,72,36,22,71,64,71,14,63,50,55,39,61,52,68,25,39,91,75,90,90,64,85,76,63,71,90,50,74,43,32,68,24,92,44,78,70,77,83,23,55,28,28,95,76,88,70,68,62,47,97,26,80,67,66,98,82,48,80,68,100,89,98,70,34,11,9,77,71,79,93,98,20,13,55,38
J.J. Barea,DAL,22.3,Combo,112,0,0,43,98,79,98,93,0,71,73,77,91,32,41,20,79,7,15,9,61,36,68,9,17,14,83,7,20,82,39,83,99,3,13,39,99,98,21,72,59,5,100,96,100,2,1,0,0,44,1,18,1,38,0,99,0,12,28,49,10,83,1,32,21,4,6,7,23,8,88,59,1,3,70,87,85,99,40,99,97,75,99,94,49,87,39,57,36,2,5,0,0,0,89,52,13,21,18,68,50,13,0,82,80,95,59
Andrea Bargnani,TOR,21.0,Big,1594,53,40,69,1,13,62,14,94,21,69,47,81,58,42,21,55,45,76,83,30,27,74,17,55,42,8,31,55,10,28,2,4,9,55,68,34,48,31,83,73,13,53,87,86,25,65,50,15,67,35,68,90,66,6,50,21,68,20,13,69,39,92,37,17,54,32,91,77,85,90,4,4,1,20,99,95,77,9,87,73,7,91,62,37,72,55,39,16,80,56,0,72,72,5,11,66,35,87,99,97,30,72,14,35,44,94
Matt Barnes,GSW,26.6,Forward,1735,82,80,47,65,51,65,76,50,25,10,90,43,61,78,76,45,54,66,37,46,73,95,41,60,19,35,65,32,50,26,67,26,91,73,67,8,22,81,55,71,50,56,53,58,56,32,39,52,56,44,45,81,36,46,65,40,50,69,79,56,48,60,60,20,24,15,43,50,46,22,72,24,34,78,83,84,72,71,56,22,59,35,80,79,55,71,61,39,39,29,35,51,48,43,69,8,14,78,82,86,65,52,20,14,67,53
Earl Barron,MIA,25.2,Big,128,36,3,43,38,1,99,3,0,12,50,97,87,1,14,6,36,4,5,3,5,58,57,14,4,51,96,21,14,74,89,27,89,1,1,11,39,14,97,26,83,12,30,98,91,1,91,38,9,21,5,0,1,9,92,94,68,8,4,23,49,23,86,20,79,30,46,78,0,1,3,89,100,100,27,0,1,10,8,3,59,4,93,4,26,1,1,12,8,18,6,0,0,0,14,62,92,95,0,0,0,2,0,44,18,55,0
Brent Barry,SAS,34.8,Wing,1528,41,67,88,3,40,0,32,93,27,21,48,12,100,64,89,62,27,65,86,44,12,63,9,10,32,36,32,9,34,18,32,17,59,74,5,14,4,20,30,18,17,57,46,49,51,89,84,28,30,33,47,75,54,22,27,21,80,23,68,26,19,62,86,30,88,74,69,29,47,54,32,25,18,45,88,81,54,74,51,26,69,26,74,92,64,100,94,46,85,71,67,95,97,12,27,4,6,86,99,100,94,97,2,1,34,35
Brandon Bass,NOP,21.5,Big,109,44,5,76,8,98,0,98,0,42,31,0,24,1,10,14,99,17,49,33,30,50,12,7,0,76,24,97,1,78,0,1,9,3,0,8,0,0,2,96,34,96,1,31,1,28,89,78,97,0,96,83,0,90,94,0,95,42,42,58,59,25,90,6,2,47,7,62,99,100,15,3,93,60,11,91,72,28,80,17,97,51,95,3,99,2,1,12,5,18,5,0,0,0,20,38,90,84,0,84,83,3,0,64,85,35,0
Maceo Baston,IND,30.4,Big,358,77,81,19,12,14,95,75,93,85,85,95,28,100,67,78,5,61,66,98,10,24,79,51,19,91,85,13,24,61,97,81,91,35,1,99,13,86,66,29,40,89,66,33,41,30,12,14,30,96,12,59,74,71,30,93,6,85,21,43,11,8,29,88,49,96,89,12,93,72,64,20,22,10,62,88,83,56,65,57,61,54,53,50,71,52,99,88,100,88,100,0,0,0,88,9,25,8,0,86,85,99,0,31,18,66,70
Tony Battie,ORL,30.7,Big,1566,25,32,46,21,47,67,34,42,16,21,73,20,32,21,29,56,46,19,31,73,6,2,84,71,18,82,99,62,90,44,83,71,84,91,26,40,31,42,38,38,88,11,13,4,95,47,77,80,8,88,76,44,72,70,15,83,43,4,22,1,4,9,39,34,79,66,26,38,25,48,88,66,90,14,13,11,50,53,61,17,28,30,67,40,68,44,68,73,44,54,0,0,0,29,84,66,82,0,60,56,48,0,25,32,29,0
Shane Battier,HOU,28.1,Forward,2976,80,45,82,12,16,67,18,57,10,59,31,6,90,51,84,88,81,49,84,51,16,36,91,70,78,79,80,71,77,40,76,52,96,85,33,64,51,26,64,56,52,81,26,47,73,34,48,75,18,82,87,31,92,44,18,57,80,11,9,32,11,83,76,90,24,65,72,81,84,33,91,37,72,65,34,44,4,19,4,7,22,7,9,18,7,96,43,80,49,86,85,78,95,12,88,6,18,98,69,96,53,93,49,92,92,49
Charlie Bell,MIL,27.6,Wing,2807,6,60,58,19,4,72,51,42,25,25,84,53,37,66,74,87,47,38,38,74,22,44,59,76,28,25,35,66,27,53,47,36,57,61,55,13,19,88,93,96,42,41,53,48,57,55,58,39,73,41,90,96,79,13,76,16,59,21,15,4,13,8,28,30,49,35,33,88,75,31,30,64,50,81,57,67,36,26,38,8,16,16,61,47,56,53,70,51,47,44,33,38,41,49,16,52,33,67,65,64,64,41,49,36,54,64
Raja Bell,PHX,30.1,Wing,2905,39,4,52,14,7,36,39,36,14,34,42,26,71,36,39,94,79,58,50,57,52,47,86,71,59,68,88,89,71,66,62,67,42,89,71,74,79,31,18,15,61,40,67,60,45,24,27,43,50,42,37,25,45,51,54,50,38,46,48,90,63,97,72,18,78,53,66,15,23,56,47,43,39,34,65,58,50,54,50,70,26,67,33,34,41,87,58,75,55,56,93,72,90,7,9,56,34,89,86,87,35,90,10,38,32,44
Mike Bibby,SAC,28.5,Point,2775,34,40,89,40,75,64,60,71,49,87,53,75,62,34,6,62,74,78,70,90,14,17,58,35,77,62,75,53,74,24,38,14,72,10,34,50,39,43,74,69,57,9,64,32,54,66,64,61,53,69,98,64,98,16,67,24,65,13,97,55,20,89,77,30,47,32,43,93,88,9,10,83,53,43,92,82,72,98,42,61,63,57,61,97,31,60,42,30,58,45,62,66,70,6,9,75,55,49,89,81,36,67,15,45,25,32
Andris Biedrins,GSW,20.6,Big,2372,80,68,52,82,84,33,95,11,33,57,62,21,89,43,55,37,88,74,93,22,67,16,84,70,55,88,66,73,92,82,91,88,74,76,63,18,33,25,63,48,95,7,27,5,59,36,43,42,73,39,54,94,43,23,56,30,84,55,36,67,84,28,88,64,86,85,51,66,68,83,69,36,44,84,8,22,21,49,34,36,39,41,25,19,36,94,70,31,88,29,0,0,0,97,27,6,3,0,0,0,95,0,32,18,51,0
Chauncey Billups,DET,30.1,Point,2527,87,64,72,15,81,70,85,84,94,98,23,81,96,77,47,92,91,99,96,95,28,93,27,40,20,45,38,27,40,37,12,6,48,29,37,39,40,92,62,89,5,16,99,92,73,36,51,55,70,59,62,40,51,49,35,60,99,30,18,78,66,69,91,80,87,91,43,93,81,20,60,40,45,43,86,77,64,3,80,29,0,77,71,17,72,70,79,42,70,58,15,59,48,36,40,53,40,60,74,70,72,50,77,58,57,98
Steve Blake,DEN,26.7,Point,1617,49,38,92,8,23,72,42,13,6,13,83,13,45,55,91,21,3,7,9,87,4,22,4,14,64,14,9,6,14,45,25,48,18,18,25,15,12,20,56,38,92,15,39,20,32,29,26,43,69,61,11,13,13,82,96,88,19,4,13,36,67,18,6,27,26,19,32,52,47,29,33,49,39,54,83,77,13,4,24,77,24,82,5,9,10,72,70,17,91,89,88,11,46,15,13,83,62,89,53,62,79,48,21,40,23,19
Steve Blake,MIL,26.7,Point,555,75,2,30,32,40,0,0,0,4,2,0,6,6,13,66,53,62,66,96,63,27,11,52,36,71,25,70,27,11,48,47,7,94,53,15,60,36,25,57,40,39,23,58,38,45,79,70,92,90,88,83,24,77,94,86,93,94,13,28,41,51,43,90,66,97,97,46,68,65,73,34,72,60,27,23,21,48,22,59,19,3,35,74,60,70,19,9,62,32,28,0,61,20,2,8,60,32,98,92,96,11,20,2,2,4,60
Will Blalock,DET,23.1,Point,154,0,45,81,94,8,0,0,0,70,25,0,2,2,15,75,2,9,2,0,3,100,91,81,92,31,8,66,88,5,41,54,77,27,99,61,35,40,0,91,11,85,38,2,1,99,87,96,99,35,98,100,98,100,79,11,65,0,100,78,91,82,78,1,3,0,0,2,41,5,90,84,33,57,5,19,9,2,63,3,44,99,13,2,34,5,0,9,4,0,0,0,0,0,100,74,0,15,62,19,23,0,0,40,15,100,8
Andray Blatche,WAS,20.2,Big,623,73,65,44,79,54,44,30,31,25,24,67,56,23,71,74,23,31,18,15,25,81,30,60,54,70,55,74,39,75,32,97,83,97,90,91,42,67,39,6,9,49,96,8,56,64,31,41,43,11,73,45,1,73,35,23,69,14,84,18,98,83,94,21,73,41,50,80,5,12,65,42,50,43,50,39,43,5,14,9,20,28,19,8,12,16,28,51,16,27,16,0,8,10,61,5,57,22,88,87,86,45,10,92,89,82,70
Mark Blount,MIN,30.9,Big,2539,31,29,81,12,24,86,48,68,29,42,44,64,56,33,21,40,28,44,72,74,7,8,20,33,4,20,98,37,31,36,47,45,52,42,82,20,46,8,60,30,16,74,6,16,97,97,98,16,15,23,25,31,26,28,22,35,79,7,47,7,9,18,47,33,90,81,91,39,69,38,14,88,68,68,32,44,30,76,25,20,88,25,40,87,38,60,78,53,84,81,0,12,24,18,28,95,88,85,80,82,64,24,5,22,10,70
Keith Bogans,ORL,26.5,Wing,957,7,37,22,21,39,49,14,31,40,7,10,13,66,38,50,29,74,79,90,79,12,37,57,37,46,74,50,58,79,61,78,81,64,46,49,16,23,33,66,63,76,20,59,37,69,18,32,8,24,13,66,46,58,2,10,4,87,23,13,46,28,76,58,87,81,94,92,15,52,41,59,7,12,99,77,94,57,20,64,31,9,56,76,23,71,75,43,9,13,6,35,86,77,35,19,7,7,97,79,92,27,78,32,80,62,54
Andrew Bogut,MIL,21.9,Big,2250,21,47,77,45,75,35,84,18,38,77,53,65,68,93,95,38,72,49,60,30,59,66,83,50,72,96,72,39,97,90,88,97,40,40,15,69,43,78,30,49,79,13,47,25,58,44,49,94,61,91,91,65,92,86,52,80,37,68,52,93,80,86,95,95,13,56,27,9,8,75,71,49,60,14,26,18,41,38,37,55,50,41,35,21,37,81,75,58,34,39,0,0,0,75,56,36,29,0,70,68,80,0,87,67,86,70
