player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Alan Anderson,LAC,34.0,Wing,258,0,1,2,7,19,0,0,0,68,93,76,17,10,10,12,85,4,24,29,90,12,1,2,11,2,31,0,2,8,8,3,1,57,5,0,92,16,42,89,81,7,96,100,100,10,3,2,26,22,27,29,31,14,21,16,32,78,21,1,41,45,48,38,95,56,86,2,40,10,36,80,9,33,82,73,79,1,1,0,22,3,91,1,3,1,7,95,12,8,6,2,0,9,52,57,39,46,93,31,67,55,9,48,61,11,61
Justin Anderson,DAL,23.0,Wing,627,96,72,14,96,97,97,98,40,79,33,18,80,15,27,11,43,7,12,2,63,85,89,10,7,64,32,27,6,9,74,18,39,13,7,10,5,3,25,88,74,42,90,75,90,31,11,9,54,61,76,84,49,92,27,68,41,4,88,47,49,65,20,49,6,21,6,18,0,0,96,30,14,13,43,31,31,33,32,15,35,53,25,36,40,15,8,58,39,1,11,16,12,14,77,69,9,35,57,51,50,46,14,61,61,89,0
Justin Anderson,PHI,23.0,Wing,462,63,51,31,98,58,96,95,17,72,39,39,39,73,35,43,12,36,27,43,27,16,11,62,52,21,50,97,74,31,31,11,29,16,37,18,97,77,73,26,46,48,48,60,54,100,8,49,66,48,39,99,88,93,16,74,10,28,45,4,30,9,91,82,59,95,83,49,7,11,29,25,63,38,78,76,80,35,7,26,39,12,25,33,4,27,79,93,39,13,22,0,46,32,82,29,15,14,27,66,53,94,29,32,19,41,55
Kyle Anderson,SAS,23.1,Wing,912,97,95,64,89,98,83,94,36,78,50,18,12,32,64,95,27,65,34,49,17,42,55,90,73,72,90,81,93,76,92,84,81,79,43,46,60,57,63,75,79,70,20,61,35,9,72,45,10,84,4,16,50,8,20,89,12,37,55,55,75,82,41,52,27,23,18,37,77,65,92,51,22,27,36,32,30,41,49,36,47,10,42,25,40,24,26,47,68,10,34,33,0,59,84,90,59,81,69,2,7,36,59,48,37,35,0
Ryan Anderson,HOU,28.5,Big,2112,3,10,93,25,4,31,6,93,20,19,23,48,70,15,11,98,82,78,81,40,52,46,72,26,59,96,82,41,96,65,67,86,24,20,43,60,55,23,52,34,51,55,13,23,38,88,80,83,37,77,30,38,30,89,30,89,87,42,16,11,29,13,78,64,49,60,65,66,71,20,47,60,51,81,68,75,46,18,65,38,34,44,64,7,75,71,9,62,38,37,96,72,83,5,8,54,17,81,99,97,9,85,37,97,93,80
Giannis Antetokounmpo,MIL,21.9,Forward,2820,100,90,49,86,98,58,90,52,98,100,56,98,83,98,93,31,77,66,34,83,54,86,76,72,78,30,28,52,41,56,16,8,59,91,83,14,51,12,60,25,67,31,10,12,98,48,85,98,95,96,95,65,90,93,88,93,32,56,93,88,84,80,62,34,4,7,67,23,41,77,12,39,18,32,75,66,92,90,86,96,82,94,61,85,49,76,86,53,42,46,4,22,16,98,71,53,54,2,10,5,83,14,95,71,92,98
Carmelo Anthony,NYK,32.4,Forward,2532,31,32,71,34,68,0,39,82,63,92,44,97,49,88,42,66,47,85,60,93,63,36,9,29,5,62,25,27,81,10,17,40,12,15,61,72,70,16,62,41,25,35,40,31,96,70,93,5,19,10,6,13,5,18,25,29,73,70,39,65,65,52,10,39,72,60,75,99,98,27,73,87,89,20,23,17,49,22,58,6,6,13,84,45,88,31,27,75,80,81,74,66,63,12,76,100,100,5,53,27,32,61,98,86,86,97
Trevor Ariza,HOU,31.3,Forward,2759,14,92,95,14,66,61,64,27,20,36,41,36,58,59,76,81,52,77,69,46,45,88,21,8,53,94,54,15,91,29,88,89,62,21,37,34,31,10,37,18,19,86,77,88,34,36,30,8,12,14,7,22,10,15,23,21,85,54,42,18,46,8,78,74,95,90,44,32,35,30,22,32,19,97,82,92,28,34,46,75,28,72,12,34,29,61,64,61,27,42,60,40,46,27,2,8,0,90,90,95,81,46,22,44,64,53
Darrell Arthur,DEN,28.6,Big,620,51,64,30,11,14,0,17,0,4,6,45,50,60,67,66,31,33,35,54,72,2,36,42,48,78,38,70,44,11,63,55,63,45,67,92,4,31,15,85,64,48,87,76,88,5,23,8,92,34,93,89,7,86,81,66,79,55,2,40,5,7,22,34,20,43,25,51,82,79,8,19,77,45,86,88,90,65,67,45,42,55,54,66,83,33,72,10,13,44,20,89,92,98,4,5,83,41,89,95,95,5,98,4,35,25,77
Omer Asik,NOP,30.3,Big,481,22,2,45,71,85,82,50,12,98,49,37,1,19,14,57,35,28,16,19,23,80,50,61,39,36,89,83,14,68,18,54,65,34,16,56,32,38,26,53,39,92,4,5,2,53,93,89,98,6,97,57,61,64,99,7,98,28,92,49,63,88,8,2,93,14,57,77,80,85,14,84,91,93,36,13,15,10,37,15,84,61,97,4,57,4,13,5,1,0,0,0,0,0,100,1,0,0,0,0,0,17,0,52,33,0,0
D.J. Augustin,ORL,29.0,Combo,1456,10,15,77,13,5,0,44,60,84,81,32,73,69,84,66,68,8,6,5,11,17,79,34,50,44,41,16,60,34,40,50,71,23,67,12,39,14,22,67,50,86,22,26,19,93,15,41,6,30,7,12,31,17,12,70,15,7,34,2,3,2,20,15,18,14,9,9,26,15,6,10,68,29,90,95,96,19,8,22,37,69,51,21,5,21,45,29,24,50,32,42,69,60,23,35,45,31,66,85,84,26,61,52,50,95,71
Luke Babbitt,MIA,27.4,Forward,1044,27,22,14,5,36,0,54,0,0,49,0,19,59,8,15,85,36,29,57,51,17,15,57,78,37,29,87,69,41,23,64,35,86,48,65,66,69,26,88,74,37,21,33,22,73,91,92,26,16,43,46,96,44,22,15,44,49,10,40,17,15,43,30,60,43,54,50,72,66,40,47,35,37,83,62,74,55,64,57,57,81,63,43,61,44,80,0,56,76,69,70,92,91,0,34,37,32,85,98,98,3,93,8,98,29,49
Ron Baker,NYK,23.6,Combo,778,35,58,18,40,61,0,35,6,44,60,71,21,21,50,79,10,34,27,34,36,22,78,56,47,93,67,36,30,34,89,49,41,59,70,25,71,43,75,22,40,70,80,71,81,2,28,5,97,92,97,84,82,89,97,94,96,33,31,45,22,38,19,61,8,79,37,40,10,14,76,21,14,9,78,77,81,75,43,85,88,77,86,49,13,69,29,42,6,66,16,21,22,23,84,10,29,10,87,40,55,42,21,44,40,56,42
Wade Baldwin,MEM,20.6,Combo,381,92,77,27,81,56,0,42,70,81,82,18,76,10,87,77,0,2,1,2,7,13,40,20,31,6,25,73,12,38,3,52,61,38,56,78,24,54,89,11,36,3,74,92,91,90,50,74,63,3,73,3,2,12,98,24,98,2,23,65,6,12,12,9,4,4,1,81,23,45,69,63,81,80,42,7,10,7,83,3,91,19,91,2,92,1,3,19,21,21,11,0,0,0,90,74,48,56,16,5,3,6,0,85,31,94,98
Leandro Barbosa,PHX,33.9,Wing,946,48,54,32,45,38,0,41,100,17,60,93,75,25,68,54,51,68,41,86,61,21,18,86,72,74,73,41,85,91,90,57,88,13,36,69,42,57,58,73,82,69,24,52,32,99,10,50,52,79,45,43,59,22,73,62,76,64,24,4,27,23,61,54,89,64,85,85,70,83,62,39,66,53,49,36,39,68,4,85,46,4,68,76,4,81,29,35,32,54,40,24,66,54,75,65,82,78,40,14,13,32,52,92,90,85,65
J.J. Barea,DAL,32.4,Combo,768,13,11,98,27,76,0,82,85,15,79,23,98,58,98,89,55,87,78,89,68,40,46,83,71,63,51,98,94,45,66,4,66,0,29,70,41,58,70,90,91,59,92,54,83,28,8,6,62,34,58,80,48,70,21,26,19,94,50,31,19,38,4,94,52,95,90,39,41,42,89,79,5,22,69,34,43,38,42,27,49,64,49,29,38,19,58,63,53,71,61,0,67,58,18,81,44,68,13,87,71,47,58,92,63,89,97
Harrison Barnes,DAL,24.4,Big,2797,1,49,99,8,10,47,5,93,29,82,53,92,34,50,20,98,76,66,83,34,12,27,76,61,89,69,24,57,90,76,95,83,94,46,63,69,69,79,14,34,60,11,39,15,54,85,83,43,66,29,37,67,25,56,58,43,67,12,25,25,30,24,84,71,41,57,30,97,92,10,88,87,93,51,16,19,81,36,95,29,36,16,90,27,98,26,68,77,63,73,17,59,51,9,78,96,95,69,60,59,23,52,96,83,95,89
Matt Barnes,GSW,36.6,Forward,376,71,63,12,59,69,95,100,0,58,8,0,47,76,93,98,0,58,63,47,61,25,63,45,69,38,36,7,40,46,43,53,34,75,43,82,77,87,75,46,65,53,90,90,97,40,0,2,55,73,39,62,84,57,39,74,24,50,40,55,23,23,45,93,22,34,22,23,9,8,44,24,34,22,74,83,84,63,72,62,61,90,63,55,53,58,73,46,2,98,71,98,18,61,41,14,25,19,83,76,88,71,63,0,0,7,59
Matt Barnes,SAC,36.6,Forward,1360,42,41,17,69,90,86,85,36,14,37,34,59,17,95,97,7,7,5,7,12,41,43,33,85,15,33,2,30,26,2,28,23,45,83,96,37,89,86,38,59,37,87,85,93,26,12,9,91,2,98,18,11,47,98,5,99,12,78,36,65,93,6,3,53,84,80,19,9,10,58,48,34,36,97,33,57,2,6,5,2,46,10,3,3,5,25,37,8,39,12,56,32,34,31,36,32,27,53,88,83,24,34,27,24,20,80
Will Barton,DEN,25.8,Wing,1671,81,31,69,84,82,65,39,21,77,67,56,81,62,90,87,47,18,13,8,19,80,57,41,57,91,26,15,64,34,32,82,60,91,26,64,37,49,98,38,82,20,33,74,57,91,53,78,15,18,27,12,24,15,34,42,50,6,62,83,41,82,8,6,33,3,5,17,54,42,57,62,37,47,39,53,47,68,72,49,64,91,41,67,68,51,55,23,71,34,59,9,83,68,81,79,32,52,10,46,24,51,68,89,88,86,95
Brandon Bass,LAC,31.5,Big,458,24,42,68,60,22,0,18,92,96,59,55,62,83,25,13,45,1,6,7,20,50,23,1,2,5,14,38,2,31,4,11,14,32,3,72,86,88,4,19,7,0,89,99,99,62,40,47,6,9,11,2,53,2,64,14,71,8,47,15,29,35,31,11,26,6,4,13,62,43,53,90,10,47,40,55,49,25,11,58,28,74,62,40,31,60,59,49,32,88,61,0,0,0,70,51,69,60,43,0,33,61,0,58,35,65,0
Nicolas Batum,CHA,27.9,Wing,2611,61,67,97,49,96,0,99,76,71,61,58,90,47,100,98,19,73,79,78,32,53,75,55,54,65,34,61,54,37,65,41,51,29,43,77,54,70,61,40,46,40,29,46,32,67,79,82,87,78,82,83,59,87,73,76,64,69,51,91,40,44,42,55,70,37,55,92,53,68,73,17,20,10,73,79,82,86,91,87,69,61,66,83,90,81,20,62,75,52,65,15,37,32,14,83,83,86,6,72,47,30,32,66,58,56,64
Aron Baynes,DET,29.9,Big,1104,56,7,14,74,60,87,35,90,51,89,10,18,41,11,17,40,94,69,64,42,30,81,98,99,57,75,6,98,59,22,76,70,77,90,77,98,97,55,98,96,80,6,73,25,51,39,42,31,30,45,20,36,13,44,7,62,84,29,28,5,5,27,54,85,74,87,12,51,34,39,7,98,81,32,27,26,47,60,44,13,25,11,73,41,65,26,12,83,53,78,0,0,0,66,77,62,68,0,0,0,30,0,49,65,16,0
Kent Bazemore,ATL,27.3,Wing,1953,95,89,29,58,28,94,58,9,61,65,26,68,23,78,67,25,41,56,63,71,43,71,30,59,33,3,50,43,8,6,22,3,90,94,79,72,82,52,5,9,38,30,41,31,81,74,85,31,17,45,28,41,44,54,8,65,70,36,53,67,58,68,68,53,77,72,76,22,42,86,74,36,58,56,8,12,36,58,33,35,67,21,39,54,41,22,21,9,75,37,46,29,39,69,42,69,61,58,30,26,23,41,62,39,61,66
Bradley Beal,WAS,23.3,Wing,2680,42,57,70,60,7,0,38,52,60,97,75,93,95,82,54,61,97,97,96,97,43,64,73,63,67,26,62,64,34,21,57,33,77,35,14,73,34,48,87,84,74,58,35,45,37,34,29,52,51,58,86,35,88,27,23,24,96,25,85,90,77,88,89,21,90,66,92,64,84,88,41,2,5,87,74,82,93,84,88,94,75,78,73,70,71,91,59,78,93,95,72,86,85,59,47,58,59,17,61,42,85,86,67,71,49,81
Malik Beasley,DEN,19.9,Wing,112,0,41,68,78,16,0,0,0,18,0,0,64,20,24,13,62,100,89,100,43,1,11,100,100,86,99,25,100,98,79,66,73,51,89,99,99,100,33,100,100,25,97,60,93,60,9,17,100,99,100,98,84,98,100,97,100,89,0,86,13,0,99,98,100,1,16,100,97,100,26,1,84,14,80,95,95,99,95,94,99,90,99,61,58,41,36,66,0,15,4,0,0,25,88,7,45,18,82,26,41,66,26,51,61,41,0
Michael Beasley,MIL,27.8,Big,903,44,66,54,17,45,66,15,61,54,26,68,87,71,66,40,47,35,54,48,32,88,68,22,43,22,68,48,33,59,47,33,55,19,40,31,95,78,66,13,28,83,63,80,76,4,8,3,58,35,53,70,81,82,30,17,17,51,68,30,20,46,9,16,82,56,80,56,88,84,80,90,62,86,7,4,3,88,31,91,66,9,76,93,39,94,69,78,84,77,84,50,99,93,31,82,87,89,70,50,53,62,94,87,89,75,38
Marco Belinelli,CHA,30.6,Wing,1748,21,36,85,9,41,0,25,98,51,92,31,61,71,72,71,69,63,81,80,49,10,78,30,15,48,62,44,35,41,43,21,27,20,5,33,33,26,68,52,62,22,75,55,69,12,86,63,12,48,10,10,13,7,36,50,37,92,17,7,24,28,31,83,59,47,54,83,70,78,36,58,46,51,92,43,60,17,15,21,42,56,37,15,19,24,58,65,67,79,75,73,44,56,18,20,96,75,22,75,61,54,55,32,10,26,68
DeAndre' Bembry,ATL,22.3,Wing,273,74,18,45,95,85,0,72,0,39,23,98,26,34,74,92,13,5,14,20,94,7,22,5,12,18,93,2,25,63,89,58,98,1,11,8,65,18,59,38,46,61,18,98,82,36,7,7,1,48,1,47,59,23,0,45,0,26,5,2,0,1,1,83,78,10,25,2,31,8,6,33,85,71,39,84,78,99,4,100,93,1,99,98,14,99,60,69,97,74,97,0,0,0,96,32,27,25,14,11,10,95,0,42,30,15,0
Dragan Bender,PHX,19.0,Big,530,66,6,16,14,7,0,71,0,2,3,31,28,1,17,22,22,66,50,52,63,38,25,75,81,19,51,29,83,42,98,33,68,12,73,45,89,82,83,40,59,83,76,42,61,13,15,7,58,98,28,11,28,13,90,99,64,53,51,26,31,51,27,37,46,38,42,70,48,58,55,10,26,10,98,78,91,77,20,72,25,7,36,85,27,74,2,7,96,17,20,13,8,13,7,4,42,10,98,96,98,8,15,30,73,85,38
Anthony Bennett,BKN,23.6,Big,206,1,7,89,72,54,88,27,0,41,40,0,60,7,44,38,65,6,74,47,70,87,100,1,1,1,18,91,0,85,2,27,51,17,31,12,18,9,11,3,2,11,79,98,98,72,3,9,4,1,33,0,2,6,75,0,91,68,82,69,93,96,46,92,12,20,11,47,26,30,50,67,21,37,72,58,64,81,12,87,44,7,61,90,65,91,5,23,1,5,0,0,33,8,39,2,10,1,97,88,94,31,11,72,96,0,38
Davis Bertans,SAS,24.0,Big,684,47,43,60,3,1,78,1,78,14,4,90,26,92,57,68,69,42,39,66,10,39,30,53,33,75,45,34,27,53,97,83,80,75,11,41,33,33,87,55,76,58,26,78,55,29,43,35,78,86,65,71,78,74,65,96,54,47,60,43,21,36,17,8,31,29,23,63,78,76,92,2,1,1,62,99,97,52,61,55,77,83,65,30,63,40,90,98,10,72,29,94,79,89,3,1,29,5,90,99,99,78,89,6,43,16,87
Patrick Beverley,HOU,28.3,Point,2046,77,75,12,98,96,90,58,29,29,25,27,2,60,10,52,58,73,45,70,74,80,1,91,36,88,70,67,56,86,81,57,73,29,45,7,53,13,93,16,47,73,51,34,39,6,68,38,84,66,69,77,53,69,75,57,61,54,65,40,62,66,49,22,98,80,99,67,61,65,62,68,33,49,23,50,42,74,41,67,26,16,22,87,58,77,75,44,54,6,31,42,63,67,35,67,4,10,100,63,94,42,65,8,29,19,27
