player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Alex Acker,LAC,25.8,Wing,132,71,32,72,96,13,0,0,0,2,3,0,53,16,35,26,99,48,66,79,99,4,4,31,32,11,41,99,11,89,100,61,44,78,81,88,4,19,37,18,18,87,27,93,84,73,0,1,88,100,60,93,18,95,93,100,71,90,10,7,70,9,99,35,98,99,100,2,56,13,27,29,84,71,97,12,53,2,30,3,19,8,7,0,5,1,24,2,97,93,99,0,0,0,75,44,80,75,35,20,21,25,0,75,82,37,91
Arron Afflalo,DET,23.0,Wing,1193,54,26,4,51,27,53,75,55,52,16,79,16,70,13,18,41,58,63,60,37,71,84,45,66,57,39,9,35,31,17,82,41,96,50,60,64,68,25,72,60,68,32,62,52,68,13,25,45,44,62,36,73,44,53,19,63,49,62,79,69,64,65,83,78,6,17,78,59,80,74,51,19,21,87,39,62,74,63,66,58,27,53,75,83,73,63,82,9,41,29,79,23,85,45,13,78,48,88,16,57,43,85,41,71,23,60
Alexis Ajinca,CHA,20.5,Big,136,72,79,2,18,2,0,79,0,24,21,0,90,7,2,1,52,94,64,40,77,40,79,97,96,100,1,1,100,5,24,10,6,66,48,99,91,99,2,78,35,52,30,4,3,99,94,99,1,84,1,1,2,3,3,93,4,55,17,81,44,68,17,97,6,93,60,20,25,18,0,67,99,99,1,72,28,95,78,80,99,47,97,56,51,16,7,4,65,51,51,0,0,0,5,59,96,99,0,79,73,9,0,35,84,38,0
LaMarcus Aldridge,POR,23.3,Big,2993,40,70,98,46,19,62,41,77,31,64,51,88,45,74,52,94,98,97,86,99,66,55,81,37,52,80,90,47,88,75,68,61,68,73,94,1,18,47,43,41,18,78,49,68,44,75,69,61,70,53,91,88,69,30,11,31,96,66,63,73,82,41,85,74,92,90,62,68,71,35,92,56,83,38,24,24,77,37,89,80,58,90,63,26,72,37,75,76,62,73,31,0,31,12,77,87,91,80,65,71,40,22,82,75,69,68
Joe Alexander,MIL,21.9,Forward,612,96,18,5,73,20,0,25,26,79,5,52,50,13,63,57,11,32,55,37,27,90,71,20,67,28,66,0,9,75,46,94,83,94,57,34,82,68,66,54,59,96,38,68,60,1,9,2,47,76,35,37,83,39,55,44,40,33,89,69,98,95,93,57,35,24,25,92,18,54,60,51,57,56,47,38,40,26,38,16,26,49,20,35,37,24,13,84,11,45,14,0,28,18,48,70,75,80,43,45,39,23,18,41,32,27,79
Malik Allen,MIL,30.3,Big,522,31,14,20,15,18,96,1,0,2,27,93,38,7,87,93,80,53,38,22,97,3,42,65,91,65,17,45,75,15,14,6,11,21,82,27,67,52,62,94,90,80,41,40,35,20,27,21,97,35,97,96,62,93,88,57,88,67,7,2,2,2,21,13,88,20,48,75,39,62,2,57,93,93,89,34,62,32,13,31,7,37,3,74,16,82,12,5,90,52,67,0,0,0,6,50,98,100,0,0,0,13,0,15,49,27,0
Ray Allen,BOS,33.3,Wing,2866,13,31,84,55,16,57,36,99,46,72,65,66,99,62,54,58,88,94,98,75,21,20,54,50,21,72,95,61,82,39,82,51,95,16,64,96,95,20,45,30,30,73,61,72,39,50,45,10,41,7,36,90,17,11,24,15,96,10,42,2,1,41,98,95,84,94,67,53,62,52,80,11,28,86,56,73,94,91,90,50,35,54,98,93,94,98,79,87,96,97,89,60,84,28,46,36,35,75,78,79,96,84,35,22,55,65
Tony Allen,BOS,26.8,Wing,782,94,98,22,57,44,0,71,10,99,61,93,71,59,60,47,4,65,22,8,41,60,96,90,89,97,39,2,82,44,63,39,66,16,85,38,25,23,94,88,94,83,45,44,41,38,13,16,98,29,99,84,31,92,98,21,99,15,77,89,87,91,48,14,2,4,1,49,49,47,98,47,12,14,17,32,23,58,71,48,89,90,58,33,22,40,46,53,41,3,15,0,0,8,99,71,12,21,13,6,5,78,7,74,49,36,3
Morris Almond,UTA,23.7,Wing,233,79,4,8,87,48,0,88,45,91,27,86,43,31,4,2,16,6,0,1,0,60,84,91,98,8,79,79,97,89,30,53,32,75,99,60,76,83,52,75,71,78,98,7,38,19,33,25,27,12,42,67,70,62,10,32,25,1,14,96,11,68,1,2,41,5,9,33,2,3,67,68,34,45,79,23,44,44,95,12,70,56,60,32,94,14,13,9,81,85,88,0,0,0,90,77,38,44,46,14,17,40,0,3,1,1,3
Rafer Alston,HOU,32.3,Point,1587,56,39,91,48,20,0,65,36,30,15,7,57,30,50,52,80,51,58,41,92,13,81,42,55,14,30,84,49,24,6,28,14,77,19,25,57,37,14,98,96,35,100,23,79,72,15,30,40,27,48,78,66,78,17,40,20,69,20,79,48,48,57,24,52,27,43,47,69,67,70,89,21,54,53,24,29,54,65,39,76,97,45,34,42,26,26,13,37,39,35,48,52,49,43,83,4,13,30,96,81,15,53,44,54,76,65
Rafer Alston,ORL,32.3,Point,853,43,93,59,9,56,87,52,5,70,37,22,76,39,67,44,85,32,38,36,88,5,73,36,52,79,3,39,37,5,2,59,9,99,53,91,13,47,98,5,46,63,91,18,48,82,17,37,55,10,84,63,95,56,33,3,72,24,7,83,59,17,98,69,18,60,28,33,16,14,92,31,1,2,56,91,85,88,64,95,13,19,6,99,57,100,41,39,48,83,70,21,39,32,76,54,13,11,52,67,65,57,30,72,98,94,7
