Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Precious Achiuwa,TOR,22.1,Big,1693,33,35,76,48,48,44,88,11,22,17,42,56,6,37,24,63,80,90,80,38,96,26,39,31,1,83,97,39,39,11,91,59,83,87,64,31,31,22,51,47,50,84,13,25,31,31,99,3,5,1,82,38,58,39,39,55,74,52,41,46,36,59,55,59,90,90,82,95,36,81,91,27,80,80,63,70,65,71,68,91,91,80,80,26,92,83,93,20,20,14,90,90,67,12,69,14,19,42,87,33,76,7
Steven Adams,MEM,28.3,Big,1997,46,74,91,99,66,89,25,8,87,71,63,28,26,84,98,16,57,55,50,74,18,51,55,71,4,89,74,55,55,36,87,80,69,77,47,71,71,40,61,15,32,78,78,85,71,71,58,42,15,21,80,55,71,55,55,75,84,68,59,57,38,80,86,86,55,55,53,13,8,40,14,85,50,50,25,91,74,92,81,39,56,50,50,3,84,100,100,12,13,7,55,55,45,21,50,21,25,37,68,29,56,42
Bam Adebayo,MIA,24.3,Big,1822,34,93,72,54,79,0,81,60,91,87,64,93,64,91,75,35,16,43,72,78,13,25,9,7,76,8,97,9,9,10,13,7,70,35,84,7,7,9,0,81,2,92,29,61,7,7,69,95,75,95,0,26,1,9,9,25,5,69,45,11,93,29,5,37,43,43,68,63,16,5,38,4,72,72,17,41,94,80,89,81,89,72,72,38,35,75,53,31,68,60,43,43,66,35,89,80,67,54,28,3,86,46
Santi Aldama,MEM,20.8,Big,243,52,5,79,40,26,89,21,0,21,28,51,46,2,18,16,57,18,34,43,42,13,42,18,10,88,62,30,18,18,21,45,37,29,54,18,10,10,5,14,54,17,39,55,52,10,10,23,72,12,40,67,81,85,18,18,61,35,71,81,79,83,48,60,58,34,34,29,14,42,15,7,59,43,43,81,33,9,18,72,24,38,43,43,51,52,56,52,84,28,47,34,34,63,61,50,59,82,42,53,45,50,2
LaMarcus Aldridge,BKN,36.3,Big,1047,69,10,91,38,35,62,38,98,36,42,92,78,61,26,12,84,94,91,97,59,16,97,82,81,13,94,44,82,82,47,94,97,88,96,41,81,81,94,29,30,20,15,81,63,81,81,85,44,7,15,71,33,46,82,82,85,95,77,94,88,94,74,77,57,91,91,95,30,81,53,23,85,97,97,98,45,86,70,87,39,67,97,97,98,17,9,7,91,11,35,91,91,72,98,58,78,81,79,51,95,43,50
Nickeil Alexander-Walker,UTA,23.2,Wing,112,76,72,16,0,83,0,0,0,89,86,88,58,57,79,85,68,6,24,35,13,74,40,2,3,97,1,10,2,2,12,2,2,8,2,64,3,3,28,68,6,34,50,5,8,3,3,0,54,99,95,31,97,95,2,2,5,3,11,53,12,67,3,2,5,24,24,10,69,10,72,71,58,35,35,27,46,33,35,12,75,49,35,35,86,13,95,69,5,25,9,24,24,83,6,93,71,19,81,79,71,89,25
Nickeil Alexander-Walker,NOP,23.2,Combo,1298,82,44,81,66,55,94,73,15,43,31,14,81,18,40,22,57,64,72,62,51,45,91,45,83,8,49,17,45,45,39,62,76,51,43,63,83,83,45,93,65,91,70,74,79,83,83,29,74,63,76,47,45,43,45,45,70,94,73,81,74,73,52,69,60,72,72,64,58,33,45,42,51,62,62,31,73,78,82,86,51,71,62,62,41,28,60,38,25,82,67,72,72,63,43,66,42,20,59,62,65,59,25
Grayson Allen,MIL,26.1,Wing,1786,39,19,85,32,46,0,0,81,28,25,38,32,84,25,34,91,36,44,19,82,31,55,37,60,16,51,61,37,37,55,62,22,70,84,35,60,60,49,12,27,9,59,94,90,60,60,38,50,72,68,3,89,45,37,37,7,12,13,2,8,3,26,63,47,44,44,45,34,41,70,62,73,19,19,24,68,26,44,46,14,16,19,19,49,32,34,26,47,80,74,44,44,11,26,15,45,10,84,8,31,10,88
Jarrett Allen,CLE,23.5,Big,1802,68,48,100,78,69,62,95,40,85,80,66,48,95,47,39,38,33,65,65,60,55,84,12,26,72,3,36,12,12,52,7,27,3,11,8,26,26,31,4,37,5,62,61,68,26,26,64,47,70,62,81,12,24,12,12,33,33,40,47,77,31,27,9,41,65,65,60,64,20,58,67,30,65,65,39,97,83,98,24,55,42,65,65,65,19,49,26,92,35,62,65,65,72,7,84,58,57,63,60,11,69,93
Jose Alvarado,NOP,23.6,Point,731,42,100,14,78,50,0,0,8,40,12,34,38,44,32,64,78,25,38,19,14,72,43,29,57,11,94,11,29,29,16,79,92,86,90,56,57,57,30,59,72,68,67,66,68,57,57,35,66,88,83,8,64,27,29,29,91,73,86,67,97,52,90,63,85,38,38,13,70,9,78,60,82,19,19,9,6,94,34,36,75,67,19,19,11,9,70,30,97,84,95,38,38,27,3,43,20,7,87,29,18,26,62
