Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Precious Achiuwa,NYK,24.1,Big,1144,78,50,54,84,46,68,68,16,42,9,35,28,30,15,21,37,43,30,9,61,61,96,62,66,82,59,14,62,62,63,38,80,47,55,39,66,66,47,47,52,47,72,76,82,66,66,37,82,76,87,35,21,20,62,62,73,74,44,54,49,36,78,79,60,30,30,23,64,78,31,40,28,9,9,20,21,79,35,37,20,20,9,9,25,96,46,93,23,26,17,30,30,43,85,29,31,15,32,52,90,38,34
Precious Achiuwa,TOR,24.1,Big,424,33,80,57,60,53,86,88,14,30,41,13,84,12,79,59,39,96,98,94,71,77,90,77,58,22,84,65,77,77,41,87,96,67,89,17,58,58,75,42,80,64,41,34,34,58,58,61,73,71,78,25,21,14,77,77,84,96,87,67,79,38,83,69,89,98,98,92,67,96,82,82,59,94,94,99,26,10,11,73,55,67,94,94,100,2,0,0,95,20,49,98,98,91,96,78,84,83,79,86,96,69,15
Bam Adebayo,MIA,26.3,Big,2415,39,74,91,37,92,48,87,58,76,91,27,92,32,90,68,62,21,26,24,89,9,47,25,8,21,79,94,25,25,11,85,63,61,68,49,8,8,8,29,37,27,30,49,36,8,8,30,89,53,85,38,32,29,25,25,61,46,60,46,39,52,71,71,67,26,26,22,10,42,62,25,92,24,24,46,50,17,36,34,33,27,24,24,61,66,64,67,37,25,21,26,26,77,39,70,70,48,69,81,26,76,21
Ochai Agbaji,TOR,23.5,Wing,610,81,39,48,92,21,0,40,1,74,32,91,39,7,20,17,16,70,83,90,42,51,62,44,59,35,43,76,44,44,48,48,84,54,49,56,59,59,56,53,53,57,55,62,62,59,59,20,47,42,46,76,78,84,44,44,59,93,53,51,97,35,52,73,49,83,83,90,58,18,23,45,13,90,90,66,96,67,96,84,54,70,90,90,26,18,87,46,80,70,78,83,83,78,30,90,38,37,56,82,35,91,7
Ochai Agbaji,UTA,23.5,Wing,956,91,38,79,68,21,93,18,0,17,19,90,9,29,8,24,37,47,51,89,43,19,3,40,6,69,60,93,40,40,25,69,40,51,64,36,6,6,29,16,63,25,41,11,15,6,6,58,79,34,67,7,58,25,40,40,35,32,34,26,13,34,50,60,45,51,51,57,17,47,29,23,50,89,89,81,38,87,69,77,79,86,89,89,34,59,77,69,84,25,45,51,51,91,62,93,96,43,95,66,72,65,42
Santi Aldama,MEM,22.8,Big,1614,53,53,96,14,36,83,77,17,19,45,91,67,17,74,67,79,88,69,69,88,39,15,89,93,13,75,89,89,89,94,79,29,75,65,76,93,93,74,68,78,78,92,65,86,93,93,52,20,20,13,87,76,86,89,89,22,37,25,15,8,15,33,63,40,69,69,67,35,82,57,54,57,69,69,73,13,51,22,66,64,67,69,69,60,20,38,19,47,77,73,69,69,82,79,80,67,42,71,77,84,78,23
Nickeil Alexander-Walker,MIN,25.2,Wing,1887,84,65,43,30,4,82,31,50,22,41,20,42,63,74,83,45,38,49,29,61,70,29,33,18,83,84,21,33,33,21,64,98,93,91,68,18,18,28,2,29,4,3,87,38,18,18,95,10,3,2,2,95,61,33,33,67,85,56,18,67,20,85,98,80,49,49,34,45,44,12,46,2,29,29,30,65,19,42,9,31,16,29,29,74,5,3,1,80,94,96,49,49,92,43,95,46,88,30,98,19,98,73
Grayson Allen,PHX,28.1,Wing,2505,65,41,82,33,38,74,43,89,59,69,55,35,97,57,71,50,11,5,4,19,72,60,60,83,62,25,27,60,60,82,6,67,43,53,35,83,83,52,90,92,94,21,61,45,83,83,89,74,11,47,19,19,10,60,60,55,66,54,92,99,94,15,56,21,5,5,4,76,22,58,54,60,4,4,43,4,25,5,6,3,2,4,4,37,61,83,75,52,35,37,5,5,14,16,11,66,21,58,7,9,6,97
Jarrett Allen,CLE,25.5,Big,2441,51,32,95,73,85,57,78,50,74,94,34,68,83,71,63,57,8,23,71,31,24,51,5,6,90,7,69,5,5,11,9,68,30,15,75,6,6,69,46,25,33,12,6,3,6,6,66,96,84,97,14,2,2,5,5,61,78,47,81,51,84,37,61,19,23,23,70,42,4,27,30,37,71,71,58,70,92,90,82,50,69,71,71,21,84,91,92,95,5,22,23,23,6,4,5,18,20,20,7,3,3,81
Timmy Allen,MEM,23.8,Combo,122,0,19,0,69,71,0,0,0,27,31,0,0,0,0,0,87,35,76,95,30,93,4,8,12,0,80,92,8,8,5,95,77,98,96,94,12,12,42,26,79,43,0,53,5,12,12,96,2,73,7,49,31,32,8,8,7,41,5,32,90,31,11,10,8,76,76,81,92,57,87,87,74,95,95,86,76,26,69,90,96,98,95,95,3,99,90,99,5,30,11,76,76,28,40,23,79,59,90,19,65,11,0
Jose Alvarado,NOP,25.6,Point,920,84,93,12,77,53,0,56,0,14,7,5,14,28,2,12,77,25,71,87,87,17,38,3,5,14,46,63,3,3,3,43,62,7,23,8,5,5,4,22,38,22,10,57,32,5,5,57,24,80,46,23,68,47,3,3,91,76,75,62,69,51,90,75,77,71,71,78,19,55,42,10,88,87,87,94,90,74,91,45,50,50,87,87,33,90,21,74,96,11,43,71,71,67,75,71,19,55,28,88,97,84,51
Kyle Anderson,MIN,30.1,Forward,1769,82,87,47,49,39,89,59,25,80,53,31,66,14,98,100,21,3,4,11,6,18,64,7,25,2,67,39,7,7,6,67,68,53,75,27,25,25,16,88,81,91,32,17,17,25,25,44,31,10,15,92,70,88,7,7,49,75,55,53,97,40,43,97,62,4,4,15,45,3,1,4,12,11,11,16,23,94,47,89,5,19,11,11,12,65,80,74,73,63,69,4,4,4,8,5,13,18,22,10,43,8,13
Giannis Antetokounmpo,MIL,28.9,Forward,2565,86,70,61,98,100,74,90,10,100,100,67,100,97,99,91,29,83,98,91,92,29,55,34,50,13,49,41,34,34,35,44,76,29,29,39,50,50,43,39,35,33,21,68,47,50,50,93,13,43,17,42,27,27,34,34,56,86,47,31,33,23,61,90,59,98,98,95,30,50,37,38,43,91,91,94,67,54,62,97,56,89,91,91,16,65,87,80,63,52,56,98,98,73,53,73,65,63,68,66,45,65,95
Cole Anthony,ORL,23.5,Point,1775,93,56,7,88,93,72,63,33,67,58,16,53,35,19,5,42,86,89,90,86,34,95,70,85,28,33,80,70,70,73,40,71,39,32,52,85,85,58,48,60,58,98,79,96,85,85,6,96,14,85,87,55,73,70,70,76,94,75,45,46,28,80,88,86,89,89,94,32,16,43,24,71,90,90,55,37,24,29,53,98,96,90,90,93,6,70,14,6,66,34,89,89,75,25,81,85,61,83,57,14,67,28
OG Anunoby,TOR,26.3,Wing,900,53,47,86,54,19,0,94,11,48,35,81,56,80,46,43,38,13,15,56,29,2,83,24,23,55,31,64,24,24,28,37,1,45,22,78,23,23,49,56,24,41,11,47,27,23,23,39,86,83,92,53,10,14,24,24,42,2,48,63,2,82,27,12,27,15,15,59,3,44,9,11,28,56,56,49,97,54,92,32,37,32,56,56,83,90,29,80,18,6,6,15,15,16,74,10,27,99,18,19,77,15,81
OG Anunoby,NYK,26.3,Forward,796,87,96,58,37,15,77,58,56,47,36,61,52,67,13,10,14,27,19,48,22,42,32,54,16,16,82,93,54,54,27,82,94,72,72,61,16,16,0,83,58,82,78,49,63,16,16,25,47,93,75,60,40,45,54,54,38,82,27,43,74,25,22,87,13,19,19,27,38,39,87,43,96,48,48,37,36,42,37,91,35,62,48,48,31,39,47,40,96,49,77,19,19,18,33,16,48,3,58,11,71,9,70
