Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Carmelo Anthony,DEN,21.4,Forward,2930,52,53,83,37,15,18,0,77,75,98,72,100,80,88,45,80,60,78,78,23,62,94,26,35,39,40,63,26,26,29,36,69,29,41,29,35,35,31,64,30,41,91,21,54,35,35,47,66,38,47,58,55,57,26,26,69,64,64,82,87,73,43,24,47,78,78,78,68,37,65,57,69,78,78,74,29,80,72,16,63,38,78,78,97,12,79,48,7,9,6,78,78,50,36,62,74,63,73,36,45,54,67
Rafael Araujo,TOR,25.2,Big,587,9,96,25,27,69,60,86,15,15,42,30,42,1,27,25,9,16,3,13,20,12,4,85,59,9,99,79,85,85,55,99,92,98,100,19,59,59,3,51,75,68,98,35,84,59,59,90,24,1,1,83,98,98,85,85,43,31,23,10,59,5,85,60,66,3,3,11,2,36,1,11,1,13,13,23,26,57,41,58,24,35,13,13,42,94,93,99,1,5,2,3,3,51,84,35,34,83,19,67,45,54,1
Gilbert Arenas,WAS,23.8,Combo,3379,71,85,73,58,24,53,60,67,91,96,38,98,95,80,35,76,83,99,87,96,83,89,7,8,59,49,27,7,7,3,63,68,35,47,35,8,8,52,86,14,49,1,1,0,8,8,96,19,21,13,28,31,25,7,7,69,79,71,72,68,75,57,38,50,99,99,99,79,99,93,98,8,87,87,31,10,91,58,22,96,92,87,87,93,49,6,8,34,74,62,99,99,13,92,8,16,92,11,15,97,15,76
Trevor Ariza,NYK,20.3,Wing,700,74,97,26,95,69,94,100,0,91,77,16,19,11,40,61,4,88,59,57,20,96,81,92,65,100,11,18,92,92,91,16,73,21,30,25,65,65,63,69,73,79,37,55,43,65,65,20,27,84,67,30,74,61,92,92,94,86,94,48,23,77,95,90,92,59,59,40,98,95,99,98,59,57,57,81,53,43,47,52,6,9,57,57,93,76,38,53,2,22,8,59,59,38,90,27,84,66,58,17,82,9,14
Trevor Ariza,ORL,20.3,Forward,280,22,95,70,98,95,97,73,32,93,67,17,72,20,47,33,48,68,34,11,15,99,34,89,72,99,8,24,89,89,96,25,79,42,49,37,72,72,87,33,73,58,51,74,75,72,72,5,87,98,99,21,4,5,89,89,10,39,17,36,52,58,14,21,15,34,34,7,99,100,81,91,28,11,11,1,57,72,71,50,94,96,11,11,87,93,46,76,52,2,6,34,34,45,99,8,72,60,20,55,98,22,15
Darrell Armstrong,DAL,37.4,Point,545,52,71,15,90,87,90,69,66,46,62,23,10,19,15,62,2,28,42,42,6,84,84,26,31,95,6,36,26,26,87,4,11,3,2,19,31,31,41,95,20,60,59,30,32,31,31,23,98,48,93,2,47,13,26,26,9,52,4,24,14,33,11,89,2,42,42,24,74,88,93,93,61,42,42,73,73,20,40,46,5,10,42,42,40,20,21,11,97,84,92,42,42,49,46,43,63,44,53,37,47,33,12
Carlos Arroyo,DET,26.3,Point,524,67,40,8,100,35,96,0,39,58,48,15,63,10,92,96,19,12,18,12,3,100,9,22,69,9,41,33,22,22,66,37,5,49,57,45,69,69,57,31,84,72,65,65,70,69,69,37,75,44,57,44,59,52,22,22,5,2,5,2,7,3,36,0,23,18,18,7,99,93,33,87,2,12,12,33,12,23,10,61,78,79,12,12,86,16,99,94,23,0,1,18,18,44,85,33,52,90,43,47,83,40,8
Carlos Arroyo,ORL,26.3,Point,584,0,50,69,56,67,0,40,61,87,73,50,81,85,38,10,71,44,16,8,72,32,82,86,94,76,14,22,86,86,93,8,32,81,20,99,94,94,83,53,90,89,43,87,83,94,94,43,90,49,78,36,20,22,86,86,61,77,37,83,64,88,43,90,16,16,16,20,55,68,31,39,37,8,8,79,56,12,21,3,1,0,8,8,18,75,85,89,32,26,25,16,16,24,55,30,66,36,53,16,37,23,85
Chucky Atkins,MEM,31.2,Point,1154,25,25,42,19,13,0,0,55,33,81,17,62,63,8,2,87,12,5,9,6,12,51,64,70,48,8,25,64,64,80,5,23,78,68,74,70,70,47,11,90,63,60,90,88,70,70,54,15,94,77,7,35,16,64,64,32,6,53,8,83,25,78,42,82,5,5,2,17,15,7,5,43,9,9,6,39,79,70,27,7,7,9,9,3,30,47,35,98,90,96,5,5,89,11,92,72,27,89,90,19,88,71
Chucky Atkins,WAS,31.2,Point,533,0,21,25,67,19,0,37,11,10,23,0,27,48,17,42,58,49,71,31,58,78,92,23,18,37,21,84,23,23,13,24,11,46,21,77,18,18,50,50,12,19,59,20,26,18,18,8,77,57,73,29,87,73,23,23,66,11,68,63,5,82,66,18,58,71,71,35,76,92,94,86,93,31,31,37,86,91,93,24,5,4,31,31,42,91,17,47,57,67,65,71,71,81,73,77,31,81,14,88,73,89,69
Stacey Augmon,ORL,37.3,Forward,374,55,78,35,35,8,100,22,0,33,47,28,5,8,60,88,73,89,39,35,37,82,25,98,98,99,18,46,98,98,100,22,82,51,67,37,98,98,73,71,93,95,77,71,81,98,98,95,38,4,4,69,54,62,98,98,45,61,52,34,54,51,60,68,54,39,39,33,77,4,36,63,20,35,35,19,1,95,24,80,99,99,35,35,31,88,63,82,6,49,26,39,39,15,5,57,68,8,95,7,3,7,5
Marcus Banks,BOS,24.0,Combo,250,0,25,2,38,2,96,56,93,84,91,89,42,49,49,55,15,28,31,25,18,47,86,40,42,66,72,5,40,40,33,41,6,56,30,76,42,42,90,1,6,1,67,91,92,42,42,68,95,24,60,92,3,21,40,40,33,2,46,84,4,95,32,31,18,31,31,61,54,61,21,42,15,25,25,95,33,19,22,7,2,1,25,25,51,5,58,22,71,83,81,31,31,4,51,3,14,99,7,7,37,5,29
Marcus Banks,MIN,24.0,Point,1198,87,62,29,52,50,0,88,42,73,50,38,69,69,46,33,23,61,71,83,84,4,87,41,45,43,73,41,41,41,45,78,49,87,81,74,45,45,50,90,24,62,56,23,28,45,45,72,73,31,45,45,32,35,41,41,9,52,7,17,60,2,26,14,36,71,71,84,3,51,45,19,87,83,83,81,29,82,74,6,74,53,83,83,86,24,52,38,34,37,36,71,71,55,80,53,59,18,61,43,89,44,79
Leandro Barbosa,PHX,22.9,Wing,1538,15,38,48,29,10,0,12,36,55,67,52,68,95,65,59,55,30,70,75,64,42,71,8,21,22,9,23,8,8,10,14,27,18,9,58,21,21,20,61,42,48,34,53,48,21,21,24,68,83,85,25,33,25,8,8,24,69,21,46,48,37,22,61,24,70,70,62,32,77,38,45,34,75,75,12,25,50,38,53,83,80,75,75,98,63,2,5,48,61,58,70,70,93,85,86,80,96,70,90,92,84,96
Matt Barnes,PHI,25.6,Forward,503,53,65,0,83,13,95,47,17,57,8,55,2,88,30,60,18,95,82,53,23,99,88,92,94,75,79,6,92,92,83,59,45,98,92,92,94,94,63,98,42,87,96,74,91,94,94,94,78,62,76,30,0,1,92,92,91,10,89,95,24,93,71,2,72,82,82,68,100,91,100,100,77,53,53,26,24,93,75,12,43,23,53,53,78,17,38,21,28,80,66,82,82,5,28,15,6,7,25,16,32,25,98
Andre Barrett,TOR,23.7,Point,257,0,58,94,79,10,0,0,0,15,4,77,65,8,65,54,88,84,70,55,67,91,52,80,88,55,21,73,80,80,82,16,59,2,1,24,88,88,56,50,86,84,39,85,77,88,88,39,2,45,12,90,96,97,80,80,97,94,96,81,38,51,96,95,98,70,70,45,92,99,90,86,62,55,55,9,94,7,37,30,99,98,55,55,58,62,86,85,2,21,8,70,70,65,99,31,21,100,29,92,100,56,10
Brent Barry,SAS,33.8,Wing,1179,90,55,58,37,53,72,52,10,18,25,65,27,91,74,96,65,71,58,59,47,56,38,73,75,61,67,20,73,73,72,58,30,50,49,51,75,75,46,46,67,57,88,86,92,75,75,75,25,54,43,31,38,34,73,73,59,25,59,22,67,14,77,20,80,58,58,32,47,95,73,73,56,59,59,22,41,43,40,74,52,64,59,59,36,39,12,12,81,94,93,58,58,90,96,84,95,67,95,72,93,63,97
Jon Barry,HOU,36.3,Wing,330,11,74,65,1,42,0,47,85,60,35,17,16,65,62,92,1,9,39,52,15,30,77,5,5,41,3,70,5,5,4,8,3,12,11,32,5,5,52,3,61,19,35,2,3,5,5,53,96,15,58,4,78,36,5,5,68,14,69,45,83,62,78,13,72,39,39,40,39,77,48,20,91,52,52,2,32,27,30,39,99,94,52,52,90,70,7,16,83,35,55,39,39,37,72,36,25,82,18,52,90,62,33
Eddie Basden,CHI,22.7,Wing,124,83,95,13,84,62,0,91,0,13,84,0,34,21,13,13,3,85,6,4,9,86,42,100,100,90,57,86,100,100,100,78,43,85,45,98,100,100,97,98,4,47,20,100,99,100,100,73,43,80,73,27,8,10,100,100,89,90,94,92,96,79,86,88,90,6,6,2,61,100,82,99,5,4,4,42,7,2,1,60,3,10,4,4,94,14,12,6,88,56,75,6,6,23,100,6,98,66,59,6,100,5,25
Brandon Bass,NOP,20.5,Big,201,16,8,99,58,50,0,31,0,9,50,0,46,2,15,13,75,4,22,22,2,95,54,1,2,17,23,91,1,1,10,25,18,58,30,90,2,2,22,93,70,91,56,0,0,2,2,83,82,65,81,1,15,3,1,1,0,5,0,25,6,25,0,10,1,22,22,33,91,61,69,81,29,22,22,20,11,61,34,0,91,53,22,22,31,50,72,70,27,54,44,22,22,12,21,3,1,87,0,44,18,32,1
Esteban Batista,ATL,22.2,Big,457,23,56,5,90,66,73,72,41,82,61,28,16,15,13,15,1,50,46,27,24,92,53,60,62,45,94,12,60,60,29,81,88,55,50,55,62,62,26,39,33,30,83,93,95,62,62,72,80,33,51,7,58,27,60,60,91,78,92,84,96,53,71,38,92,46,46,13,74,71,88,67,85,27,27,12,69,29,43,81,22,42,27,27,67,62,20,27,49,72,67,46,46,95,57,83,92,14,92,89,62,69,6
Tony Battie,ORL,29.7,Big,2211,51,51,59,30,23,84,62,45,24,34,18,37,49,21,23,61,35,59,68,78,44,6,20,30,8,39,95,20,20,21,57,80,28,27,45,30,30,53,43,26,28,16,21,10,30,30,93,5,18,5,71,67,73,20,20,40,55,40,81,50,82,26,45,21,59,59,55,22,33,33,38,40,68,68,48,87,89,93,23,75,62,68,68,23,92,81,94,22,12,10,59,59,78,59,82,42,42,55,86,74,87,56
Shane Battier,MEM,27.1,Forward,2832,95,82,68,67,17,73,7,34,55,63,63,20,82,43,73,72,92,69,66,56,75,57,94,95,25,65,90,94,94,99,63,20,76,89,34,95,95,91,78,59,73,94,67,87,95,95,77,23,40,27,31,63,50,94,94,22,24,24,75,74,81,9,12,10,69,69,66,75,55,79,74,67,66,66,49,90,49,78,17,69,45,66,66,53,68,24,34,70,67,72,69,69,20,27,20,11,16,10,39,36,45,83
Lonny Baxter,CHA,26.8,Big,113,7,33,97,28,98,0,92,0,87,2,66,54,11,18,13,31,76,82,63,25,98,50,42,51,94,81,2,42,42,59,40,23,81,76,86,51,51,56,28,76,56,85,16,33,51,51,7,12,53,31,100,86,99,42,42,6,6,5,21,8,17,5,8,7,82,82,45,89,99,99,100,19,63,63,14,62,76,79,27,46,37,63,63,100,0,9,1,80,85,84,82,82,100,59,100,99,93,100,98,68,98,0
Lonny Baxter,HOU,26.8,Big,251,25,72,14,85,31,100,97,0,50,68,37,36,35,0,0,47,19,30,88,0,40,98,25,24,99,1,90,25,25,83,0,95,1,2,13,24,24,1,100,4,86,68,96,96,24,24,30,90,78,92,21,14,13,25,25,21,98,28,23,78,65,36,99,18,30,30,30,50,81,60,55,62,88,88,96,1,7,1,100,56,99,88,88,50,40,52,46,51,59,57,30,30,96,94,84,99,90,71,70,86,74,25
Charlie Bell,MIL,26.6,Combo,1229,33,82,22,53,64,0,13,33,51,7,31,22,80,36,44,98,68,72,73,96,9,48,49,50,93,30,11,49,49,70,18,62,33,56,19,50,50,47,34,78,62,39,54,49,50,50,53,67,67,73,20,25,18,49,49,27,80,28,31,89,14,37,61,39,72,72,92,16,45,34,31,53,73,73,69,65,39,50,48,54,54,73,73,26,10,53,24,79,89,87,72,72,20,55,21,43,31,31,20,52,24,87
Raja Bell,PHX,29.1,Wing,2942,37,25,62,13,4,55,55,62,9,47,19,25,86,35,45,94,66,51,48,40,47,67,76,48,79,75,64,76,76,63,83,50,60,69,47,48,48,54,69,20,38,97,5,23,48,48,95,7,30,12,84,15,37,76,76,73,24,84,47,76,56,76,17,84,51,51,45,43,53,47,37,73,48,48,29,87,41,57,40,51,46,48,48,55,83,21,44,45,62,56,51,51,66,59,51,63,11,56,65,45,51,95
Mike Bibby,SAC,27.5,Point,3163,44,19,88,12,27,81,23,76,48,88,62,85,81,40,12,79,76,96,90,95,45,60,13,23,4,69,64,13,13,21,71,51,30,80,6,23,23,47,19,13,8,60,60,67,23,23,56,72,55,67,40,20,22,13,13,16,52,23,24,50,34,20,40,29,96,96,98,66,78,35,34,50,90,90,52,61,83,84,89,72,86,90,90,68,1,75,18,86,67,78,96,96,29,95,18,21,96,21,39,98,29,81
Andris Biedrins,GSW,19.6,Big,960,77,51,9,92,55,92,25,0,75,30,75,6,96,25,53,44,79,88,81,58,83,62,36,58,74,84,4,36,36,35,89,95,17,46,9,58,58,28,50,22,30,25,81,64,58,58,99,20,10,7,25,12,13,36,36,64,97,47,74,59,67,49,86,35,88,88,81,90,17,83,56,94,81,81,85,42,55,51,89,46,74,81,81,48,44,59,53,83,27,49,88,88,25,35,32,60,67,56,14,22,23,100
Chauncey Billups,DET,29.1,Point,2918,40,17,90,33,42,73,63,97,90,96,40,90,98,94,71,90,93,91,84,99,3,90,73,49,88,41,69,73,73,61,48,94,38,47,39,49,49,62,74,13,31,41,43,41,49,49,69,4,42,14,83,73,82,73,73,73,96,70,93,77,83,26,98,39,91,91,95,3,27,80,28,98,84,84,53,95,65,88,68,35,48,84,84,41,84,2,10,51,96,93,91,91,43,28,55,21,38,21,62,34,68,83
Steve Blake,POR,25.7,Point,1750,42,15,77,38,33,0,79,45,12,19,27,23,83,58,83,67,40,79,82,71,77,28,9,16,13,59,35,9,9,9,68,25,42,56,34,16,16,18,58,37,45,58,16,23,16,16,70,29,61,50,31,35,32,9,9,43,39,53,57,44,57,34,34,48,79,79,69,76,49,90,84,75,82,82,82,33,82,71,20,89,73,82,82,35,43,61,53,23,77,60,79,79,73,10,89,77,48,86,59,8,75,87
