Player,Team,Age,Pos,MIN,BLK% Rank,STL% Rank,FOUL% Rank,fgOR% Rank,fgDR% Rank,ftOR% Rank,ftDR% Rank,FT% Rank,SFLD% Rank,FFLD% Rank,AND1% Rank,Usage Rank,PSA Rank,AST% Rank,AST:Usg Rank,TOV% Rank,OnOff_Opp_Diff Rank,OnOff_Opp_OFFENSE: Pts/Poss Rank,OnOff_Opp_OFFENSE: eFG% Rank,OnOff_Opp_OFFENSE: TOV% Rank,OnOff_Opp_OFFENSE: ORB% Rank,OnOff_Opp_OFFENSE: FT Rate Rank,OnOff_Opp_DEFENSE: Pts/Poss Rank,OnOff_Opp_DEFENSE: eFG% Rank,OnOff_Opp_DEFENSE: TOV% Rank,OnOff_Opp_DEFENSE: ORB% Rank,OnOff_Opp_DEFENSE: FT Rate Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_HALFCOURT: Pts/Play Rank,OnOff_Opp_HALFCOURT: OREB% Rank,OnOff_Opp_HALFCOURT: % of Plays Rank,OnOff_Opp_PUTBACKS: Pts/Miss Rank,OnOff_Opp_PUTBACKS: Plays/Miss Rank,OnOff_Opp_PUTBACKS: Pts/Play Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_TEAM FG%: Rim Rank,OnOff_Opp_TEAM FG%: Short Mid Rank,OnOff_Opp_TEAM FG%: Long Mid Rank,OnOff_Opp_TEAM FG%: All Mid Rank,OnOff_Opp_TEAM FG%: Corner Three Rank,OnOff_Opp_TEAM FG%: Non Corner Rank,OnOff_Opp_TEAM FG%: All Three Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_eFG% Rank,OnOff_Opp_SHOT FREQUENCY: Rim Rank,OnOff_Opp_SHOT FREQUENCY: Short Mid Rank,OnOff_Opp_SHOT FREQUENCY: Long Mid Rank,OnOff_Opp_SHOT FREQUENCY: All Mid Rank,OnOff_Opp_SHOT FREQUENCY: Corner Three Rank,OnOff_Opp_SHOT FREQUENCY: Non Corner Rank,OnOff_Opp_SHOT FREQUENCY: All Three Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_Pts/Poss Rank,OnOff_Opp_ALL TRANSITION: Pts+/Poss Rank,OnOff_Opp_ALL TRANSITION: Freq Rank,OnOff_Opp_ALL TRANSITION: Pts/Play Rank,OnOff_Opp_OFF STEALS: Pts+/Poss Rank,OnOff_Opp_OFF STEALS: Freq Rank,OnOff_Opp_OFF STEALS: Pts/Play Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Opp_OFF LIVE REBOUNDS: Freq Rank,OnOff_Opp_OFF LIVE REBOUNDS: Pts/Play Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_HALFCOURT: Pts/Play Rank,OnOff_Team_HALFCOURT: OREB% Rank,OnOff_Team_HALFCOURT: % of Plays Rank,OnOff_Team_PUTBACKS: Pts/Miss Rank,OnOff_Team_PUTBACKS: Plays/Miss Rank,OnOff_Team_PUTBACKS: Pts/Play Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_TEAM FG%: Rim Rank,OnOff_Team_TEAM FG%: Short Mid Rank,OnOff_Team_TEAM FG%: Long Mid Rank,OnOff_Team_TEAM FG%: All Mid Rank,OnOff_Team_TEAM FG%: Corner Three Rank,OnOff_Team_TEAM FG%: Non Corner Rank,OnOff_Team_TEAM FG%: All Three Rank,OnOff_Team_eFG% Rank,OnOff_Team_eFG% Rank,OnOff_Team_SHOT FREQUENCY: Rim Rank,OnOff_Team_SHOT FREQUENCY: Short Mid Rank,OnOff_Team_SHOT FREQUENCY: Long Mid Rank,OnOff_Team_SHOT FREQUENCY: All Mid Rank,OnOff_Team_SHOT FREQUENCY: Corner Three Rank,OnOff_Team_SHOT FREQUENCY: Non Corner Rank,OnOff_Team_SHOT FREQUENCY: All Three Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_Pts/Poss Rank,OnOff_Team_ALL TRANSITION: Pts+/Poss Rank,OnOff_Team_ALL TRANSITION: Freq Rank,OnOff_Team_ALL TRANSITION: Pts/Play Rank,OnOff_Team_OFF STEALS: Pts+/Poss Rank,OnOff_Team_OFF STEALS: Freq Rank,OnOff_Team_OFF STEALS: Pts/Play Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts+/Poss Rank,OnOff_Team_OFF LIVE REBOUNDS: Freq Rank,OnOff_Team_OFF LIVE REBOUNDS: Pts/Play Rank,eFG% Rank
Shareef Abdur-Rahim,SAC,28.9,Big,1946,27,64,66,13,14,34,30,83,65,67,65,77,91,93,89,72,77,88,78,67,84,76,30,54,77,12,10,30,30,45,14,36,26,15,59,54,54,71,17,57,32,31,61,51,54,54,60,23,37,25,86,60,75,30,30,39,60,37,17,46,23,68,41,60,88,88,76,69,69,93,94,47,78,78,72,30,77,67,21,85,72,78,78,45,93,24,57,46,52,49,88,88,84,48,82,75,55,55,82,42,82,82
Malik Allen,CHI,27.3,Big,655,34,46,59,11,11,36,13,30,5,38,25,57,31,41,32,73,63,34,26,79,31,26,87,56,67,90,93,87,87,90,92,6,53,63,40,56,56,10,78,85,92,42,45,47,56,56,88,27,37,27,92,6,34,87,87,18,1,20,72,6,91,7,6,5,34,34,50,20,55,60,54,55,26,26,8,90,57,78,65,28,40,26,26,23,73,84,88,30,21,23,34,34,14,26,10,20,72,12,20,6,17,41
Ray Allen,OKC,30.3,Wing,3009,23,62,98,41,46,42,22,98,26,88,71,95,94,80,41,79,90,93,97,38,86,17,56,57,34,25,57,56,56,51,46,30,23,33,24,57,57,46,96,30,76,53,30,34,57,57,62,15,73,50,36,44,40,56,56,60,62,51,33,90,18,67,12,70,93,93,95,79,76,66,71,49,97,97,89,76,78,86,84,78,87,97,97,39,14,25,11,87,93,93,93,93,54,76,42,71,47,63,43,85,33,88
Tony Allen,BOS,23.8,Combo,911,98,93,5,98,44,76,73,51,96,51,58,31,84,16,15,27,47,27,51,4,50,84,76,53,81,79,31,76,76,73,75,22,48,43,59,53,53,88,82,44,65,83,5,15,53,53,56,88,85,93,8,4,4,76,76,31,20,45,16,30,36,60,20,69,27,27,27,46,84,62,58,54,51,51,51,55,26,34,54,55,57,51,51,93,88,13,38,30,17,16,27,27,67,91,45,80,91,29,47,66,47,64
Rafer Alston,HOU,29.3,Point,2420,71,75,44,35,75,85,71,8,27,25,35,52,31,73,67,37,53,61,65,88,47,20,41,37,68,33,63,41,41,23,30,93,63,46,79,37,37,16,66,40,50,33,53,45,37,37,54,25,34,24,68,77,79,41,41,82,92,65,65,95,34,79,81,73,61,61,75,43,78,34,70,7,65,65,35,58,98,92,75,11,22,65,65,63,41,30,28,41,78,70,61,61,47,75,33,90,86,91,18,64,6,40
Chris Andersen,NOP,27.3,Big,528,93,17,30,89,70,27,78,5,100,84,30,32,68,8,6,41,78,70,73,50,83,44,71,50,96,24,47,71,71,74,13,50,6,3,41,50,50,89,66,67,73,11,9,4,50,50,5,6,71,35,78,100,100,71,71,76,78,57,87,65,66,41,66,30,70,70,63,68,74,52,83,8,73,73,27,68,72,81,17,87,73,73,73,65,21,46,28,86,48,68,70,70,85,82,81,88,96,76,77,74,71,92
Alan Anderson,CHA,23.0,Wing,515,42,15,46,76,45,0,33,71,43,29,38,41,35,27,28,38,89,76,75,73,36,52,84,87,12,95,25,84,84,77,84,95,95,97,56,87,87,67,84,90,95,6,92,60,87,87,34,34,85,72,51,32,38,84,84,50,84,26,98,71,98,8,90,2,76,76,89,45,21,6,17,10,75,75,28,43,78,72,82,23,62,75,75,76,40,3,5,99,72,89,76,76,43,33,37,31,24,40,50,31,37,46
Derek Anderson,HOU,31.3,Wing,579,40,35,59,27,78,96,79,81,47,85,55,69,63,81,76,24,55,69,64,23,61,90,34,37,7,76,73,34,34,33,83,83,35,69,12,37,37,53,13,46,25,26,80,63,37,37,40,94,27,62,19,63,44,34,34,70,84,66,62,84,61,68,69,67,69,69,58,65,22,43,24,79,64,64,99,39,56,49,50,8,12,64,64,52,91,30,65,42,34,37,69,69,42,34,50,46,58,64,42,43,45,32
Derek Anderson,MIA,31.3,Wing,426,21,14,15,34,77,0,59,75,21,71,0,45,15,73,86,89,12,19,36,44,8,34,21,38,85,10,14,21,21,20,23,67,61,55,66,38,38,9,83,41,63,48,49,52,38,38,65,77,21,36,17,76,54,21,21,42,26,59,84,82,91,23,55,29,19,19,65,6,4,5,21,9,36,36,31,33,91,73,61,38,46,36,36,8,32,75,63,75,81,81,19,19,5,4,8,52,79,42,3,9,4,11
Shandon Anderson,MIA,31.8,Wing,575,50,29,5,65,44,0,77,0,35,2,95,5,29,12,52,35,49,57,70,33,29,63,40,32,85,37,42,40,40,22,32,95,89,63,97,32,32,27,52,49,47,26,76,55,32,32,73,87,81,91,1,12,2,40,40,69,91,58,76,64,62,55,94,54,57,57,56,69,8,92,58,98,70,70,58,70,85,88,53,35,36,70,70,69,28,68,51,11,52,33,57,57,25,18,34,6,3,5,72,17,75,36
