player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Arron Afflalo,DEN,26.0,Wing,2077,28,7,69,38,16,56,58,59,82,46,51,47,95,57,59,68,21,31,31,29,47,55,31,40,10,67,54,31,32,34,70,47,60,31,28,34,42,35,70,42,58,41,31,21,18,93,82,92,31,37,59,36,6,39,4,73,59,84,31,33,33,38,69,54,69,13,21,95,63,63,90,89,4,87,83,93,66,55,58,31,7,24,15,4,8,19,27,46,32,87,78,53,81,66,76,63,81,69,72,32,47,63,32,41,87,81,27,16,28,39
Solomon Alabi,TOR,23.6,Big,105,91,27,48,98,87,0,96,0,45,25,0,43,2,2,1,93,91,28,32,58,41,43,99,99,10,87,92,99,100,44,1,98,38,100,98,45,95,91,100,82,99,8,100,8,82,16,86,69,99,1,0,8,0,5,0,65,1,80,28,39,73,52,56,70,29,51,5,6,2,100,4,90,65,63,40,48,78,24,41,28,15,76,34,20,59,27,14,29,33,1,8,0,13,1,0,0,0,61,58,47,48,0,0,0,1,0,98,98,1,0
LaMarcus Aldridge,POR,26.3,Big,1987,29,52,88,39,30,53,29,93,44,86,69,97,77,91,65,88,97,83,79,57,56,54,96,90,82,84,53,96,92,83,50,85,83,73,80,60,63,66,79,74,83,66,55,15,22,38,80,71,96,74,64,59,20,23,33,90,66,70,83,85,54,74,64,56,64,60,98,59,91,36,60,55,73,48,56,51,70,19,31,83,14,76,10,26,28,17,18,63,14,66,83,91,73,89,0,0,0,21,66,86,85,77,62,68,67,0,89,79,85,98
Lavoy Allen,PHI,22.7,Big,569,47,16,19,37,75,64,57,0,4,54,91,35,28,71,84,73,65,26,25,64,72,10,92,86,63,64,91,92,78,63,85,97,84,98,56,75,75,81,92,60,84,60,46,54,49,15,61,40,92,81,57,79,81,94,72,64,26,68,26,44,48,11,12,18,16,4,79,9,29,75,80,86,34,27,89,76,51,34,38,26,18,15,12,8,39,7,37,9,32,35,79,97,41,72,0,0,0,8,77,91,98,0,0,0,35,0,7,4,31,0
Ray Allen,BOS,36.3,Wing,1558,20,63,85,8,35,0,9,99,34,78,82,41,97,58,65,45,44,74,74,76,47,64,12,14,19,52,56,12,18,64,30,25,43,23,43,44,7,10,63,25,32,35,14,82,55,62,55,62,12,14,26,24,46,40,67,7,29,6,74,80,49,80,66,53,80,53,47,36,40,86,87,93,73,39,25,21,42,68,61,74,27,80,16,49,69,54,21,90,11,97,66,62,57,58,94,94,98,28,44,44,44,78,74,78,59,98,22,42,27,55
Tony Allen,MEM,29.8,Wing,1523,93,100,16,97,41,0,68,60,94,56,54,47,70,36,28,9,88,66,55,45,76,94,91,75,90,63,80,91,91,83,84,52,77,23,47,88,70,90,34,27,25,89,14,12,6,81,58,71,91,67,69,61,58,69,52,56,35,50,66,62,70,93,57,82,20,16,93,24,75,48,65,61,94,63,51,58,8,7,7,66,78,92,61,77,82,34,71,53,64,52,28,58,27,38,71,0,24,99,70,23,34,9,2,3,72,25,59,41,29,3
Al-Farouq Aminu,NOP,21.1,Forward,1436,77,81,33,92,73,40,25,51,69,67,79,42,27,33,46,4,86,55,46,20,79,87,93,87,78,90,47,93,71,72,93,71,76,49,85,46,74,68,49,57,53,86,68,30,46,18,16,12,93,93,95,90,79,75,75,94,93,93,55,46,65,77,94,87,90,77,51,24,34,32,41,30,75,49,72,68,9,31,18,55,41,49,37,54,11,54,35,37,30,19,19,40,25,31,3,37,15,83,73,52,56,33,23,25,29,18,67,71,29,8
Lou Amundson,IND,28.9,Big,650,83,86,6,93,52,77,32,9,57,57,30,42,9,18,16,31,32,36,12,39,90,78,48,43,91,27,9,48,41,10,69,11,15,27,60,50,50,49,39,19,17,84,18,46,26,33,42,35,48,92,68,92,64,38,82,94,75,89,36,15,98,80,63,65,51,33,4,3,1,87,63,84,89,1,87,24,25,40,33,36,44,78,43,35,88,18,56,64,63,12,8,14,48,12,0,0,0,76,65,21,29,0,0,0,13,0,77,75,41,0
Chris Andersen,DEN,33.3,Big,481,98,82,46,76,65,45,78,21,94,93,32,30,78,4,4,82,69,55,36,62,66,63,74,93,43,12,48,74,82,8,15,17,17,38,89,65,86,89,96,25,78,27,20,84,60,73,51,64,74,84,17,91,92,35,96,57,11,64,55,33,76,59,88,77,80,26,86,2,22,73,25,41,92,7,35,10,21,64,49,55,59,24,63,79,25,75,37,16,45,82,57,80,20,25,0,0,0,89,6,39,14,0,0,0,83,0,64,34,93,0
Alan Anderson,TOR,29.0,Wing,450,34,2,31,34,6,0,15,89,52,78,70,57,61,47,41,22,38,6,9,82,2,19,95,85,23,99,93,95,85,99,86,59,86,15,96,5,52,12,81,76,87,2,81,8,25,91,100,100,95,86,79,52,71,50,38,88,99,66,6,9,3,76,8,10,14,90,33,2,3,84,7,14,54,76,61,75,22,32,24,6,85,79,94,63,14,96,77,80,81,45,73,7,43,12,71,75,79,24,57,58,58,53,76,72,9,80,58,79,59,72
James Anderson,SAS,22.6,Wing,512,12,1,88,54,57,0,0,42,78,14,12,39,26,41,41,18,63,69,79,40,11,84,41,21,79,64,36,41,63,63,29,33,49,20,2,91,93,97,3,7,2,40,54,43,45,78,53,68,41,6,46,5,33,17,24,4,45,4,69,70,33,22,45,47,52,19,83,90,93,68,82,85,40,60,42,49,52,63,61,69,71,30,88,20,28,35,89,31,93,21,76,29,1,2,46,8,26,81,24,20,17,78,40,53,34,27,16,12,53,3
