player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Arron Afflalo,DET,22.0,Wing,755,57,71,24,80,50,96,27,62,69,59,76,12,34,18,33,65,60,40,14,47,69,90,78,86,11,95,14,78,66,84,84,73,85,42,61,27,62,49,99,51,94,67,17,50,32,34,67,55,78,50,54,45,61,82,44,53,27,56,40,18,66,67,91,68,93,42,39,9,9,35,40,33,68,66,67,71,41,11,16,40,44,46,48,37,94,49,58,29,54,18,24,73,76,83,0,0,0,76,68,61,63,57,19,22,54,0,57,77,16,84
Blake Ahearn,MIA,23.4,Point,156,0,78,3,5,95,0,0,100,84,100,27,84,48,59,31,5,1,3,1,3,75,100,13,96,11,2,18,13,86,6,10,18,18,49,18,95,95,98,96,98,99,2,29,58,47,37,100,99,13,22,12,93,1,2,5,80,73,99,3,11,99,28,21,67,3,0,100,1,41,38,0,1,95,1,14,1,100,38,88,3,3,60,0,72,27,99,1,87,0,6,2,14,0,0,0,62,28,20,23,2,2,100,94,100,0,28,0,8,98,5
LaMarcus Aldridge,POR,22.3,Big,2637,54,42,85,52,20,39,63,77,29,65,48,92,48,73,45,96,76,82,74,88,65,17,50,27,29,97,61,50,21,97,86,94,96,61,31,47,48,47,57,18,25,30,34,19,15,82,95,95,50,39,50,30,72,52,55,24,19,25,82,63,67,70,90,75,90,98,86,18,33,52,83,69,25,99,12,75,13,70,47,82,73,54,79,83,28,95,56,60,42,47,83,84,63,77,0,0,0,9,91,79,96,72,66,65,50,0,63,29,64,75
Malik Allen,BKN,29.3,Big,719,39,45,49,20,10,0,17,0,1,9,98,52,34,52,51,77,43,52,62,71,47,5,33,19,29,70,78,33,33,54,98,53,94,1,21,21,22,13,78,15,30,98,49,3,3,68,35,43,33,83,95,68,98,34,96,45,93,27,52,84,50,1,50,49,50,22,78,89,95,95,69,88,3,27,100,99,12,19,13,52,1,0,4,0,4,1,16,1,39,46,27,21,96,91,0,0,0,0,23,100,100,0,67,63,45,0,18,99,16,75
Malik Allen,DAL,29.3,Big,313,47,9,6,43,14,93,10,0,5,29,0,18,49,48,73,42,84,62,52,35,75,32,87,78,91,49,23,87,96,46,77,13,21,21,84,1,97,55,99,32,85,49,99,41,86,18,12,12,87,1,95,0,10,94,24,2,81,0,62,68,87,14,25,61,7,33,76,56,71,45,91,80,5,61,89,90,81,29,53,62,60,12,66,72,13,52,28,5,45,47,14,37,98,93,0,0,0,2,47,99,99,0,0,0,48,0,36,99,28,0
Ray Allen,BOS,32.3,Wing,2609,39,39,83,65,14,42,18,99,30,68,26,74,88,69,59,57,64,94,97,95,16,15,8,20,4,56,47,8,7,76,26,47,26,78,27,76,9,24,52,32,34,36,53,19,21,81,88,90,8,16,64,11,69,45,58,8,34,4,94,94,13,68,36,24,60,97,70,68,74,52,88,83,54,48,30,28,45,79,71,94,82,85,76,24,49,21,94,94,95,83,58,32,96,85,65,76,75,37,53,29,31,66,84,78,70,72,48,53,48,88
Tony Allen,BOS,25.8,Wing,1239,84,90,6,47,49,59,38,45,95,81,37,70,49,65,58,4,50,26,28,6,79,87,82,70,88,28,37,82,85,25,75,29,35,29,68,52,68,68,16,70,48,61,13,81,55,27,43,36,82,75,75,72,70,87,77,68,70,60,26,27,76,23,24,56,10,16,44,45,41,50,39,39,79,37,28,21,65,54,60,26,47,14,50,86,47,77,20,6,18,29,22,40,28,24,70,13,34,94,71,18,27,33,20,13,41,36,74,65,45,3
Rafer Alston,HOU,31.3,Point,2520,72,66,88,22,64,72,55,12,28,17,31,63,25,41,28,69,75,77,65,74,49,65,58,49,23,60,78,58,55,64,14,66,39,85,81,44,44,42,10,75,50,15,92,77,93,16,31,23,58,29,28,35,66,29,68,13,25,12,77,78,41,57,57,35,73,74,45,48,45,83,49,66,48,89,32,62,28,50,42,77,18,77,8,84,47,77,5,62,2,38,28,61,19,31,47,40,45,44,70,9,17,41,91,83,36,45,41,38,88,50
Derek Anderson,CHA,33.3,Wing,336,10,72,4,32,73,0,38,32,66,85,24,72,70,94,97,35,7,5,4,35,50,83,46,58,79,40,13,46,70,32,3,2,3,38,79,34,89,82,27,10,9,18,72,41,55,69,73,75,46,42,25,61,93,47,97,7,38,20,5,21,49,19,3,50,1,2,23,38,26,76,3,8,19,31,57,41,79,79,81,5,3,23,2,11,25,17,4,24,3,73,67,93,20,35,0,59,87,24,16,67,52,70,70,73,30,87,61,43,91,47
Carmelo Anthony,DEN,23.4,Forward,2791,48,58,68,82,67,65,8,66,78,95,38,98,85,88,58,37,26,67,69,38,78,27,7,8,22,48,47,7,13,56,47,42,59,26,15,39,8,8,71,13,32,42,53,25,29,99,48,80,7,13,35,12,84,74,74,2,10,5,67,53,76,11,84,84,61,82,23,85,66,30,92,83,54,72,99,98,4,0,0,67,46,4,62,58,69,63,27,10,45,72,82,32,92,72,24,86,76,77,57,77,73,15,33,25,83,76,77,58,70,53
Joel Anthony,MIA,25.2,Big,461,87,41,51,45,4,90,52,35,98,79,45,9,53,0,1,18,19,30,17,43,80,57,21,75,50,2,28,21,77,1,5,5,1,67,96,21,75,48,62,41,49,10,8,100,96,17,20,16,21,11,13,21,16,71,23,17,28,32,30,17,82,18,45,25,80,4,7,18,8,79,47,65,2,26,22,15,99,98,99,30,36,16,48,62,33,69,26,14,29,40,72,33,5,13,0,0,0,64,82,28,44,0,0,0,39,0,89,26,98,0
Gilbert Arenas,WAS,25.8,Combo,423,16,98,78,24,92,88,0,26,90,92,80,98,62,88,52,20,48,28,24,12,52,93,77,80,52,70,25,77,76,65,27,26,57,7,60,84,36,61,53,79,81,86,76,51,64,79,2,8,77,95,16,95,96,99,92,81,20,84,28,22,41,96,48,90,9,9,67,37,43,88,22,34,71,1,87,34,45,55,52,28,84,97,69,71,50,90,74,99,47,34,66,74,68,76,0,12,13,38,26,60,36,10,82,70,72,13,76,78,50,92
Trevor Ariza,LAL,22.3,Wing,385,87,96,31,95,88,89,94,17,97,47,38,20,90,50,69,47,18,13,29,18,32,39,53,24,70,24,71,53,67,10,16,32,25,59,22,50,4,5,98,58,93,27,91,53,81,24,45,37,53,28,11,33,17,79,13,64,3,59,13,11,16,62,79,81,52,70,36,3,5,8,71,38,93,63,36,42,21,13,12,13,54,51,58,50,50,28,55,32,69,88,94,58,5,13,0,0,0,96,46,21,16,65,9,18,95,0,21,8,22,3
