player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Kyle Anderson,SAS,24.1,Forward,1946,94,96,84,78,71,76,96,26,92,43,51,37,69,90,96,8,92,74,76,58,60,87,93,87,26,89,83,93,86,98,94,98,99,54,95,26,77,56,50,65,66,88,60,54,61,13,10,7,93,51,83,46,77,91,64,39,53,37,74,75,82,97,69,88,27,99,11,1,1,93,50,83,93,39,8,12,53,38,40,74,58,96,60,35,75,59,72,92,63,76,78,80,82,84,65,2,37,82,96,57,90,33,0,6,80,37,86,71,51,0
Ryan Anderson,HOU,29.5,Big,1672,12,12,84,34,20,53,20,63,27,11,11,20,63,9,16,92,83,92,67,44,98,52,44,14,27,92,79,44,28,94,51,84,85,53,3,14,80,33,55,32,38,89,37,23,22,6,49,24,44,17,48,7,36,22,26,10,23,5,92,56,96,99,97,98,42,87,90,63,84,41,49,41,60,80,93,95,0,10,3,92,95,99,79,71,98,49,96,99,86,66,34,11,94,78,65,69,74,9,5,46,8,72,99,96,55,74,43,100,86,72
Giannis Antetokounmpo,MIL,22.9,Forward,2740,98,82,59,96,98,71,100,45,100,100,53,98,84,96,88,47,36,44,59,16,72,16,36,28,83,28,51,36,57,59,6,34,33,53,8,73,53,70,29,59,50,8,39,76,62,70,88,88,36,7,9,12,5,7,13,22,11,28,44,22,47,63,60,60,56,48,15,15,6,74,45,58,89,36,12,15,93,24,47,44,85,45,91,77,86,65,84,51,94,71,92,49,49,41,33,33,15,96,63,76,73,2,6,2,78,15,96,80,86,67
Carmelo Anthony,OKC,33.4,Big,2473,28,24,86,6,29,71,42,60,17,27,17,81,9,18,5,95,6,8,30,37,0,62,10,7,75,1,40,10,2,2,53,7,0,87,39,34,7,7,91,6,18,1,99,10,79,99,84,97,10,99,81,100,99,42,98,90,77,97,8,14,1,2,1,0,100,6,5,100,87,84,13,25,39,15,64,30,81,76,80,8,85,59,89,93,71,83,61,46,77,11,9,47,55,48,31,58,52,5,32,97,86,62,83,79,8,54,88,98,91,95
OG Anunoby,TOR,20.3,Forward,1441,29,65,31,55,10,0,22,5,63,6,80,10,76,8,22,37,38,75,97,53,5,4,13,6,30,97,92,13,60,90,99,63,97,1,37,86,9,34,79,0,2,84,88,2,22,9,62,33,13,0,69,0,21,1,10,0,97,0,75,98,28,52,0,1,0,23,99,98,99,99,78,96,4,7,87,36,39,99,98,75,45,98,23,67,4,67,55,99,37,80,73,8,4,4,70,24,54,78,4,8,2,94,35,84,94,52,24,29,53,41
Ryan Arcidiacono,CHI,23.6,Combo,262,0,86,79,0,25,98,71,0,2,14,0,0,93,39,100,2,78,49,29,40,41,70,88,85,45,80,50,88,90,85,21,67,81,37,20,52,87,83,85,90,94,49,84,24,60,70,24,38,88,54,16,56,15,39,26,82,20,78,49,55,39,16,67,42,86,44,47,22,30,5,39,16,54,27,15,14,90,78,85,49,4,28,5,31,59,36,3,15,4,98,100,32,100,100,0,0,42,11,9,7,5,98,84,96,100,43,11,4,98,25
Trevor Ariza,HOU,32.3,Wing,2221,21,84,81,34,62,85,90,84,27,36,93,20,81,20,30,86,46,78,83,60,6,72,23,21,35,80,59,23,20,82,24,88,82,76,9,42,79,70,8,51,21,91,54,53,55,10,10,5,23,16,23,15,49,92,36,15,13,19,78,91,6,9,24,8,77,54,60,50,52,29,96,90,20,78,32,62,70,66,70,78,8,44,12,19,7,42,15,56,18,82,56,7,7,2,69,34,54,44,7,3,1,97,83,94,76,54,18,44,56,37
Darrell Arthur,DEN,29.6,Big,118,18,100,8,9,2,0,6,0,11,1,92,65,53,77,75,1,34,87,92,82,23,20,4,15,5,0,99,4,6,0,67,59,3,97,82,0,58,2,2,51,8,99,0,4,0,84,99,99,4,97,80,92,90,46,94,88,29,77,87,98,19,8,48,32,72,100,96,69,95,68,9,25,0,70,95,93,99,83,96,87,3,13,3,3,35,7,11,14,15,65,100,0,99,98,0,0,12,10,23,86,58,82,87,87,98,12,3,1,14,31
Jamel Artis,ORL,24.8,Forward,243,43,2,96,4,31,0,33,0,10,47,86,24,6,37,67,78,80,76,76,52,62,99,70,74,87,12,27,70,74,7,96,15,4,71,95,24,18,13,66,73,78,11,56,84,80,24,80,67,70,64,99,32,18,99,2,89,69,85,76,92,65,10,60,62,58,28,54,55,60,9,99,91,96,65,11,29,75,5,11,76,9,11,11,2,10,2,40,15,56,6,22,92,31,61,0,11,2,29,76,78,80,67,33,45,22,2,27,2,29,88
Omer Asik,NOP,31.3,Big,103,21,3,45,45,94,0,58,0,100,12,0,0,0,0,4,3,86,93,96,28,44,59,46,45,72,33,45,46,47,43,38,37,34,53,15,65,82,85,34,31,28,73,61,15,32,38,43,39,46,38,54,37,55,48,57,32,22,26,93,94,41,5,31,24,46,98,68,75,79,80,76,79,80,46,13,21,21,67,50,93,68,13,78,72,42,86,66,11,65,1,1,99,0,99,0,0,0,99,6,0,1,0,0,0,1,0,0,1,1,0
D.J. Augustin,ORL,30.0,Point,1739,0,33,95,46,16,0,70,78,80,77,23,30,93,41,57,43,15,28,28,30,16,49,13,34,21,41,14,13,26,31,43,37,47,36,14,91,38,72,29,52,41,20,6,89,41,82,83,89,13,40,42,45,26,63,35,59,71,58,28,27,21,41,36,20,71,27,40,45,40,70,45,52,22,37,87,70,75,50,58,28,26,53,18,25,32,22,36,63,30,89,49,21,85,36,57,92,89,56,20,15,7,72,85,85,72,88,36,49,84,44
Luke Babbitt,MIA,28.4,Forward,106,27,4,80,29,0,0,39,0,0,8,100,51,8,12,0,86,61,58,39,28,64,58,58,74,28,18,37,58,74,16,26,29,22,55,74,12,93,57,84,71,84,7,56,84,80,74,69,75,58,24,37,27,21,25,23,22,56,27,58,36,70,79,34,45,32,48,44,3,14,50,48,48,72,37,24,24,52,58,57,58,87,79,72,68,89,55,94,81,85,12,0,0,0,0,0,27,13,0,0,0,0,92,100,100,0,13,0,0,0,0
Luke Babbitt,ATL,28.4,Big,517,6,16,69,0,12,0,58,0,4,0,18,19,76,27,44,90,50,68,86,24,37,56,33,44,23,24,82,33,38,30,37,42,10,92,50,59,24,37,37,30,30,42,7,30,8,86,93,96,33,41,58,48,51,61,64,46,49,49,68,78,20,68,26,28,37,83,65,93,90,5,47,23,84,9,39,13,8,84,67,68,83,70,73,37,49,37,91,86,83,86,19,25,96,94,44,97,97,2,20,74,44,96,92,95,43,97,17,9,75,77
Dwayne Bacon,CHA,22.2,Wing,627,7,15,58,1,95,0,95,0,15,29,98,16,7,16,28,53,11,16,18,9,46,37,20,22,59,29,8,20,19,19,56,10,24,14,26,15,7,4,53,76,76,51,17,89,62,33,39,34,20,52,64,37,66,36,58,44,88,33,16,20,31,45,16,16,31,15,41,10,17,81,43,55,26,90,23,69,81,42,54,16,19,63,16,7,12,10,39,88,29,8,61,38,30,29,30,8,13,22,79,99,99,47,11,13,7,14,53,73,28,1
Ron Baker,NYK,24.6,Combo,334,79,98,27,14,0,0,0,0,48,29,0,4,25,23,82,27,70,23,37,61,72,2,94,84,49,96,89,94,86,97,94,96,97,59,51,25,25,17,78,88,91,99,7,4,2,7,66,34,94,56,75,56,60,45,63,58,68,59,23,27,58,62,63,69,50,18,65,43,59,75,70,75,17,77,93,93,12,30,20,23,45,57,55,80,85,88,30,36,32,25,2,0,13,2,0,51,53,66,0,13,2,93,75,91,4,55,13,21,0,66
Lonzo Ball,LAL,20.0,Combo,1769,91,82,80,91,98,71,93,0,23,9,27,52,5,84,93,14,78,66,77,23,58,69,78,64,93,3,67,78,58,21,58,53,29,81,67,34,67,54,38,79,73,19,57,90,85,23,58,42,78,93,51,95,57,74,68,94,31,96,66,67,54,61,31,39,27,40,57,37,47,86,71,88,79,39,68,52,79,10,20,66,91,60,92,80,31,64,88,57,93,13,5,32,29,30,10,18,23,50,16,20,11,43,95,88,18,23,34,55,57,52
J.J. Barea,DAL,33.3,Combo,1595,4,9,93,11,86,0,68,46,32,68,34,91,68,98,95,45,88,87,93,61,20,20,74,91,67,32,70,74,90,44,4,66,12,96,72,96,87,98,60,66,68,34,48,45,46,42,82,76,74,29,17,31,31,10,47,50,35,48,87,89,25,36,13,6,53,95,46,58,51,55,97,96,44,29,74,47,82,46,59,87,59,73,50,72,34,52,48,64,51,79,73,86,48,82,8,90,77,27,77,36,54,11,82,71,68,77,89,86,91,84
Harrison Barnes,DAL,25.4,Forward,2590,10,22,100,49,69,63,65,74,57,90,33,90,45,71,18,84,32,13,9,69,51,57,77,82,52,54,16,77,70,29,36,32,59,14,89,61,57,65,65,67,72,24,84,42,73,73,46,61,77,71,27,78,67,63,64,62,35,72,13,24,74,96,72,93,18,36,7,20,6,15,15,10,83,54,50,52,31,17,17,13,4,77,6,59,45,57,2,86,5,33,45,76,71,71,63,53,43,41,88,88,98,27,22,20,41,43,94,92,84,92
Will Barton,DEN,26.8,Combo,2634,82,27,84,71,84,88,95,54,59,43,77,61,84,45,39,75,51,72,51,61,66,65,31,38,30,40,11,31,23,57,37,31,18,64,33,38,28,26,77,32,52,17,20,64,37,65,94,92,31,56,54,39,25,41,45,73,80,52,72,76,66,71,70,77,50,68,41,33,34,67,19,31,92,48,16,25,73,15,25,72,18,50,19,29,82,18,16,39,24,82,75,38,21,27,79,67,74,70,55,11,20,16,73,57,75,74,36,41,63,63
Nicolas Batum,CHA,28.9,Wing,1960,53,53,96,73,73,0,87,68,42,71,90,71,39,99,99,19,26,50,15,45,76,46,17,19,20,35,17,17,28,24,43,8,8,33,22,35,57,44,31,23,20,22,90,8,46,91,72,86,17,11,84,8,54,88,45,6,80,4,50,19,87,45,70,75,54,31,69,28,44,16,18,9,32,28,64,40,36,82,78,50,28,49,33,36,90,25,31,56,35,33,87,93,49,72,21,38,36,7,69,94,90,11,71,51,47,38,78,76,67,70
Jerryd Bayless,PHI,29.2,Wing,898,24,24,22,39,7,82,56,46,24,54,21,29,55,41,50,13,72,81,68,16,92,8,45,32,87,27,30,45,66,12,66,17,34,14,2,89,90,96,94,11,36,10,33,98,88,46,54,53,45,77,67,73,54,38,64,62,78,61,81,54,73,59,22,73,6,78,98,96,99,28,7,8,26,40,36,33,79,82,84,81,98,37,90,96,58,89,94,25,71,61,89,29,18,15,61,50,54,32,48,39,36,84,68,81,44,54,13,16,22,35
Aron Baynes,BOS,30.9,Big,1448,58,13,16,61,60,46,64,56,23,49,43,49,9,57,62,31,19,25,50,54,25,47,27,26,96,20,76,27,32,28,87,7,15,29,24,23,36,23,59,37,45,67,85,19,56,17,35,23,27,99,93,100,56,89,28,99,84,99,25,29,61,73,90,51,98,52,67,39,51,50,33,37,69,51,25,33,67,43,47,25,6,68,7,30,65,28,8,74,8,10,8,41,89,70,0,0,2,48,77,92,92,53,35,39,18,1,45,73,10,31
Kent Bazemore,ATL,28.3,Wing,1771,93,95,41,33,75,76,59,43,84,84,63,86,59,91,89,4,31,36,59,50,8,18,35,54,27,69,82,35,25,75,25,61,56,58,62,73,8,25,9,87,74,38,67,52,65,78,27,47,35,88,17,95,89,50,88,60,24,80,36,48,5,20,5,5,24,89,42,13,21,50,38,40,42,25,17,13,79,89,90,36,89,34,87,77,38,83,89,48,90,41,27,24,50,35,83,57,80,59,55,64,59,52,39,38,20,80,64,71,44,75
Bradley Beal,WAS,24.3,Wing,2957,61,56,84,54,55,66,47,42,62,93,80,95,79,93,80,47,54,44,74,47,13,21,63,47,71,26,69,63,48,38,88,78,35,96,70,67,36,55,12,64,38,47,69,55,68,20,45,30,63,46,87,25,41,90,35,53,93,29,44,37,19,74,19,16,41,64,54,24,35,87,53,70,54,17,7,8,52,96,94,44,94,91,96,46,91,25,97,91,98,69,73,63,73,72,43,70,60,45,56,84,77,4,55,30,69,59,84,87,73,80
Malik Beasley,DEN,20.9,Wing,493,67,36,68,47,58,0,0,0,49,13,70,30,13,36,41,39,85,69,29,42,95,52,87,43,94,46,82,87,57,47,4,12,7,58,98,16,34,16,6,13,5,98,57,1,4,75,15,27,87,100,5,98,70,12,75,99,1,98,69,15,97,94,67,92,21,6,45,89,73,52,28,32,43,3,27,5,85,97,97,69,97,89,94,99,81,96,66,68,58,18,53,35,27,23,9,25,14,52,52,39,38,77,54,70,40,16,31,27,30,59
Michael Beasley,NYK,28.8,Big,1611,39,38,71,35,61,75,39,72,41,25,84,94,37,79,40,36,2,5,5,4,92,40,9,36,22,5,62,9,36,5,11,6,14,18,86,40,54,44,3,44,9,39,47,44,45,62,65,69,9,15,11,36,56,18,74,8,40,23,5,4,93,14,58,88,14,17,4,26,5,58,26,30,41,88,79,90,40,8,10,5,42,3,49,26,17,26,57,9,64,40,42,78,37,65,15,99,86,40,92,79,93,51,47,46,35,87,94,82,92,91
Marco Belinelli,PHI,31.6,Wing,714,43,33,66,10,5,0,16,94,24,90,92,54,98,39,29,24,38,22,44,32,10,33,69,63,9,87,64,69,57,92,49,84,93,34,17,49,24,28,52,94,92,46,76,12,39,52,70,68,69,36,24,27,6,47,6,86,36,69,22,73,18,35,3,19,2,38,11,89,40,46,44,44,52,39,19,20,86,75,81,22,11,55,11,12,18,47,24,84,13,96,97,53,96,99,25,91,85,18,6,88,55,35,90,76,98,86,5,4,7,43
Marco Belinelli,ATL,31.6,Wing,1192,6,70,99,13,15,0,64,100,52,93,27,68,73,75,72,69,7,3,6,1,61,31,42,67,64,25,1,42,66,25,2,42,12,88,70,18,71,39,18,90,83,10,98,85,97,78,5,13,42,13,10,29,2,11,14,73,71,75,3,4,66,27,10,58,2,10,53,2,16,20,30,19,16,67,71,75,76,56,65,3,10,17,11,4,37,3,51,8,69,58,34,72,59,69,62,69,67,10,24,93,69,30,84,71,30,62,24,16,15,74
Jordan Bell,GSW,22.8,Big,719,92,94,27,60,21,77,40,39,43,20,13,32,89,90,95,15,97,95,97,42,60,77,84,80,75,18,59,84,90,37,11,9,5,50,80,68,86,89,16,75,55,82,67,36,55,37,12,13,84,43,56,50,44,45,76,51,47,43,95,89,34,83,83,53,94,93,86,96,97,53,67,64,90,33,29,25,22,40,30,95,97,92,89,96,81,90,80,72,68,91,72,80,73,80,0,0,0,87,49,38,34,0,34,31,90,0,47,32,38,0
DeAndre' Bembry,ATL,23.3,Wing,435,94,90,31,50,90,0,44,4,53,75,79,69,16,84,90,0,66,33,67,25,7,42,86,80,25,30,85,86,91,31,57,24,46,17,65,75,95,96,41,75,72,4,51,67,63,80,94,94,86,31,80,11,42,71,21,31,84,14,33,40,3,85,30,13,71,72,58,19,26,83,60,73,65,27,14,13,33,86,80,33,67,95,60,53,89,40,71,95,72,21,9,23,87,17,0,48,75,96,83,4,35,33,13,10,17,75,80,78,74,1
Dragan Bender,PHX,20.0,Big,2003,40,4,73,4,22,0,41,62,5,4,27,14,13,50,79,14,50,8,10,4,93,2,95,94,44,86,49,95,84,81,14,96,81,95,85,5,19,4,92,96,97,99,41,7,13,1,32,7,95,84,8,82,89,21,86,93,30,90,8,5,84,72,80,84,62,2,2,20,3,97,97,99,7,88,89,94,58,33,39,8,20,18,34,47,44,62,3,5,5,22,14,4,12,3,52,53,62,10,9,27,9,94,93,95,5,63,23,85,92,73
