player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Alex Abrines,OKC,24.3,Wing,1066,33,40,7,56,21,0,30,69,19,63,81,5,71,1,5,91,46,67,37,89,12,79,32,49,24,9,18,32,39,8,52,13,32,15,72,11,29,8,44,61,59,57,12,64,26,82,54,71,32,55,65,48,48,23,38,66,65,67,67,82,46,5,7,10,17,9,59,51,57,83,53,69,17,44,29,32,45,94,90,67,24,7,37,56,4,80,18,44,27,81,36,9,18,8,50,79,72,14,7,19,8,85,96,97,15,64,7,51,22,1
Quincy Acy,BKN,27.1,Big,1287,32,52,38,10,25,74,35,88,12,21,3,25,14,22,38,37,67,70,80,24,30,45,54,50,66,63,25,54,47,42,96,52,64,35,86,29,81,59,26,14,11,93,74,25,49,29,6,6,54,65,98,63,72,81,69,47,98,52,70,55,36,7,71,56,80,65,37,76,50,73,52,62,49,4,23,6,84,94,95,70,71,7,89,82,6,94,61,5,77,20,2,3,25,6,61,36,44,7,1,28,2,98,95,99,2,46,2,6,23,73
Steven Adams,OKC,24.3,Big,2465,53,79,87,97,12,95,2,5,71,86,66,34,84,11,13,34,88,91,69,11,100,14,62,41,34,84,67,62,35,93,33,76,83,41,16,36,65,48,79,59,74,72,72,65,75,4,19,8,62,67,32,77,86,60,89,40,11,43,91,54,99,100,95,99,6,45,98,44,90,77,44,56,53,81,80,87,9,15,9,91,82,99,65,10,97,7,98,99,92,92,60,87,65,90,0,0,0,92,61,2,26,0,0,0,89,0,64,61,23,0
Bam Adebayo,MIA,20.3,Big,1319,54,53,48,64,55,77,81,42,94,83,45,48,46,75,82,38,28,30,55,23,33,78,37,86,9,10,58,37,72,16,15,47,38,62,80,72,94,95,75,7,20,85,23,6,7,98,28,73,37,17,28,23,9,53,18,37,25,39,30,76,59,8,9,35,2,79,65,8,28,53,77,75,14,60,82,79,46,65,61,30,19,12,30,38,42,66,26,21,38,31,32,13,18,8,0,0,0,85,55,34,40,33,21,23,36,0,58,46,37,0
Arron Afflalo,ORL,32.0,Wing,618,67,0,29,4,20,0,70,75,50,38,0,13,38,19,38,36,93,91,74,92,65,36,84,75,25,87,41,84,46,91,80,74,88,30,75,88,68,88,41,20,21,90,29,5,6,29,75,63,84,95,75,96,65,21,61,96,52,98,91,83,41,35,85,60,91,89,83,38,70,93,38,74,15,65,92,87,48,37,37,91,78,23,86,81,8,91,64,18,70,33,16,99,24,60,7,99,60,17,57,92,84,83,24,47,12,74,28,10,33,59
LaMarcus Aldridge,SAS,32.3,Big,2474,62,21,95,77,32,42,29,91,59,87,66,97,47,72,21,97,44,37,48,27,79,87,55,79,70,38,28,55,75,17,87,28,31,38,99,80,1,6,96,62,87,13,98,58,94,51,20,24,55,93,91,71,13,98,6,98,77,95,37,25,94,88,87,74,85,30,59,2,13,74,62,65,76,33,31,26,4,79,48,37,51,66,53,11,26,12,77,63,72,33,81,71,60,69,76,8,16,33,90,94,99,42,46,41,39,15,92,81,85,82
Jarrett Allen,BKN,19.5,Big,1421,88,29,59,75,27,92,57,64,77,28,15,34,88,14,18,20,81,84,70,95,35,57,63,48,84,27,75,63,69,31,44,38,39,50,60,90,30,67,30,39,34,34,15,95,71,73,33,49,63,64,51,64,56,63,39,63,45,65,84,85,26,89,67,57,71,66,62,47,54,91,26,48,41,37,9,12,92,86,92,84,35,93,19,43,89,21,46,81,40,84,49,61,40,60,0,0,0,87,53,9,24,50,20,35,81,0,15,8,22,31
Tony Allen,NOP,35.8,Wing,258,50,79,1,100,22,0,94,0,76,12,15,51,35,9,7,1,6,18,25,40,39,52,3,24,29,13,38,3,16,8,29,20,10,54,8,89,40,76,33,53,45,32,97,91,98,13,4,2,3,8,42,22,38,79,61,17,33,27,18,28,69,13,10,29,9,43,36,75,55,54,9,13,74,46,51,46,88,14,27,18,48,19,56,19,90,34,76,19,76,53,33,6,10,5,0,0,0,99,28,16,16,14,4,4,64,0,26,13,44,1
Al-Farouq Aminu,POR,27.1,Big,2055,27,86,93,24,64,55,68,46,12,17,14,28,13,16,24,59,62,33,63,67,24,29,83,68,56,56,80,83,74,58,42,29,56,12,60,78,41,67,81,49,67,20,46,29,33,67,93,91,83,88,45,92,31,41,46,96,39,97,33,65,17,33,40,24,69,70,68,56,65,70,53,63,32,54,94,84,25,25,22,33,32,38,27,36,10,30,31,38,25,20,18,10,9,5,77,33,64,19,15,38,14,92,90,90,8,64,46,90,78,84
Justin Anderson,PHI,24.0,Wing,420,75,37,10,90,61,99,75,0,56,19,53,46,90,30,25,87,30,51,54,44,46,18,24,16,8,76,68,24,9,64,54,77,59,82,14,66,59,71,41,12,12,36,29,33,24,55,90,87,24,50,47,49,15,76,12,73,47,74,51,44,29,27,80,51,95,59,54,90,79,41,48,39,24,30,41,29,2,97,86,51,49,31,57,35,72,48,50,55,53,92,87,9,99,63,13,83,49,79,19,14,9,71,64,70,99,50,21,19,30,50
