player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Steven Adams,OKC,26.3,Big,1680,60,70,92,95,79,89,30,11,77,92,29,61,65,81,82,40,71,79,81,55,95,81,47,48,1,85,87,47,19,69,93,86,78,80,48,9,17,6,88,38,64,94,12,2,1,95,35,69,47,68,96,48,70,87,44,67,80,61,79,79,93,64,75,86,24,70,95,85,95,72,53,66,17,97,94,99,7,9,4,79,89,36,89,20,13,31,96,70,95,73,63,70,62,72,0,0,0,70,99,14,86,14,0,9,64,0,76,64,47,0
Bam Adebayo,MIA,22.3,Big,2414,59,81,89,55,80,49,86,37,88,88,43,88,63,98,96,19,22,30,38,44,18,52,35,35,2,92,81,35,32,93,34,71,72,53,3,30,26,18,39,78,73,97,6,1,0,62,66,70,35,10,29,7,29,69,17,11,33,9,30,45,10,3,22,13,59,47,59,58,58,21,54,39,8,38,99,90,58,41,44,30,42,2,62,71,36,85,25,2,36,58,65,61,28,44,0,0,0,64,95,74,89,26,17,17,49,0,64,42,43,99
LaMarcus Aldridge,SAS,34.3,Big,1753,74,24,93,40,35,0,21,89,42,68,61,89,50,77,38,93,20,2,1,7,81,80,92,93,61,78,50,92,92,72,25,91,92,70,91,2,88,21,94,92,96,53,96,13,80,85,8,20,92,72,3,76,18,38,25,94,6,89,2,1,79,80,61,67,40,3,1,53,4,3,8,3,71,17,22,12,86,61,74,2,18,67,20,13,35,9,31,58,41,37,59,79,68,78,59,82,84,14,74,100,99,40,47,43,27,81,83,89,72,79
Nickeil Alexander-Walker,NOP,21.2,Combo,534,73,23,30,17,77,0,41,13,38,26,29,76,15,61,42,12,28,10,29,21,16,36,77,85,14,51,83,77,63,63,41,58,27,85,82,71,71,78,83,42,63,75,45,29,33,48,31,32,77,73,63,74,88,37,91,47,82,47,10,28,17,18,15,40,10,57,74,60,75,47,11,13,24,97,88,98,19,7,5,10,8,22,22,44,11,71,3,24,9,23,8,23,12,17,44,71,66,55,33,23,17,65,76,82,6,66,35,82,94,14
Grayson Allen,MEM,24.1,Wing,684,6,6,52,14,48,0,49,72,42,76,58,50,88,53,53,39,97,75,77,82,63,70,98,94,62,64,80,98,93,67,93,76,70,77,92,78,89,90,46,75,71,69,25,37,24,56,52,53,98,82,98,72,81,97,64,77,84,67,75,72,40,99,72,59,75,96,10,24,10,58,32,35,99,5,6,3,66,44,50,75,75,100,54,43,91,40,73,100,52,88,75,85,76,91,98,66,88,31,89,19,57,65,68,67,74,89,35,18,58,22
Jarrett Allen,BKN,21.5,Big,1838,68,30,79,86,82,46,88,19,93,95,61,28,87,48,64,66,78,29,41,95,13,23,93,55,36,88,99,93,58,89,92,87,94,39,19,52,57,54,58,72,73,62,31,29,24,60,64,68,93,89,71,80,56,52,30,92,62,91,29,66,8,51,17,18,33,69,87,13,45,93,17,37,42,84,85,87,54,10,14,29,14,70,14,26,78,23,17,50,19,89,71,22,79,25,0,0,0,93,32,10,21,27,0,15,89,0,32,14,23,0
Al-Farouq Aminu,ORL,29.1,Forward,380,75,89,88,91,79,85,85,7,87,75,7,24,1,59,68,20,51,16,18,22,44,66,85,85,94,55,7,85,82,72,72,89,77,89,83,91,56,87,12,78,54,26,33,36,29,94,73,92,85,80,54,88,89,67,91,58,73,66,16,11,37,66,56,35,72,35,12,10,7,33,61,51,43,63,27,45,62,60,61,16,61,71,48,48,38,33,65,68,51,1,4,20,43,20,0,7,7,71,55,55,49,32,48,37,1,7,76,93,53,69
Kyle Anderson,MEM,26.1,Forward,1296,89,65,56,75,65,85,95,8,69,16,21,40,37,88,95,23,97,84,92,90,8,79,95,95,49,66,99,95,93,57,84,90,45,94,75,98,97,99,14,81,54,80,44,32,35,4,64,27,95,75,80,63,6,28,10,95,99,79,84,94,6,59,74,23,97,89,100,26,93,14,48,46,74,15,39,18,99,24,63,84,28,86,20,11,3,10,61,72,57,40,53,85,76,89,14,26,18,52,99,72,92,55,4,7,63,16,71,49,59,0
Giannis Antetokounmpo,MIL,24.9,Big,1915,51,67,89,46,99,52,98,18,94,99,70,100,73,99,90,59,84,47,36,14,42,90,91,95,46,18,41,91,96,15,7,21,31,24,64,27,39,25,34,100,99,67,46,75,65,68,11,18,91,19,6,23,18,32,22,35,10,34,47,46,49,11,19,19,38,18,30,79,55,39,56,54,19,52,75,67,78,54,64,47,56,39,58,54,45,51,52,30,56,71,82,33,67,45,0,29,29,62,44,64,49,23,55,46,80,30,100,93,99,99
Carmelo Anthony,POR,35.4,Big,1897,13,51,76,18,23,0,33,94,39,57,31,83,16,21,3,79,21,21,35,48,8,8,45,4,96,34,78,45,10,35,26,46,61,28,16,12,71,20,46,8,9,21,82,94,92,14,38,23,45,86,19,82,61,4,73,78,87,71,21,19,3,3,19,2,95,66,51,53,49,65,7,14,84,60,28,42,59,21,26,21,66,23,78,26,58,27,78,21,77,11,7,78,54,62,97,45,74,15,75,99,98,54,57,53,7,73,94,100,93,78
