player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Ryan Anderson,ORL,21.5,Big,837,16,77,87,34,26,94,13,97,19,25,69,88,72,55,35,62,70,75,69,21,97,13,51,44,59,78,48,46,74,24,66,45,81,83,25,30,21,63,37,47,36,92,29,65,94,16,49,71,5,72,95,11,97,39,2,27,36,97,93,95,96,50,51,55,28,32,52,68,63,44,3,37,5,51,98,95,90,87,78,70,78,45,88,84,79,66,33,12,36,17,64,56,66,22,2,23,1,98,99,99,57,66,44,93,79,94
Carmelo Anthony,DEN,25.4,Wing,2624,54,64,61,95,72,83,42,74,89,100,58,98,69,84,28,63,58,82,20,98,78,75,26,70,15,55,14,27,69,20,79,34,94,80,41,31,33,72,61,70,50,83,26,48,29,62,52,29,32,42,29,81,11,39,4,67,43,87,80,96,94,83,18,17,62,36,20,38,25,59,17,69,48,25,59,49,71,27,81,58,92,64,73,20,78,33,47,38,70,61,27,32,26,85,76,82,81,7,21,11,54,27,91,74,87,67
Joel Anthony,MIA,27.2,Big,1249,97,24,50,69,1,93,19,51,89,14,19,3,53,5,8,14,43,32,23,22,78,67,65,93,14,44,41,75,27,77,48,57,42,88,88,88,95,18,50,33,56,38,12,13,89,79,90,70,78,70,78,50,81,51,83,51,27,55,47,60,58,45,11,22,51,35,44,47,44,51,24,62,45,56,57,57,41,49,39,16,68,13,67,38,70,36,14,50,0,60,0,0,0,75,89,0,34,0,0,0,36,0,61,46,50,0
Gilbert Arenas,WAS,27.8,Combo,1166,68,47,64,34,91,62,32,13,81,94,47,100,28,98,64,45,54,45,45,17,90,38,64,38,58,98,46,42,97,47,82,96,23,34,80,19,42,22,53,40,62,55,34,42,22,62,48,50,25,60,15,91,20,55,22,63,22,85,98,87,89,56,76,32,36,28,18,19,11,87,46,5,5,42,84,76,87,98,63,67,52,37,87,98,76,26,32,45,51,53,0,47,43,38,68,68,79,11,64,30,38,43,96,96,72,96
Trevor Ariza,HOU,24.3,Wing,2625,76,93,85,50,81,89,92,9,56,48,50,77,18,85,77,36,39,42,68,44,38,12,43,29,64,72,21,39,57,53,24,27,36,75,41,31,31,40,15,16,19,85,67,84,83,17,40,47,78,33,21,68,30,63,88,42,44,38,33,56,49,57,71,71,17,40,70,38,48,91,29,25,18,40,47,44,72,24,66,91,45,88,31,10,27,25,38,12,17,8,42,40,36,74,33,17,13,42,81,67,28,37,63,53,90,67
Hilton Armstrong,NOP,24.9,Big,197,59,43,5,13,75,96,16,0,67,91,0,36,0,78,87,47,4,4,37,37,2,27,26,53,86,3,56,22,20,79,18,12,55,77,7,75,33,84,56,77,27,94,96,99,7,6,3,98,59,99,98,63,100,86,62,92,23,15,52,15,13,41,90,29,0,1,36,81,74,83,13,18,7,53,85,78,10,84,4,60,36,49,7,97,4,0,18,7,1,3,0,0,0,59,60,56,53,0,0,0,0,0,1,1,2,0
Carlos Arroyo,MIA,30.3,Point,1503,45,12,63,57,16,0,82,71,39,49,51,10,45,22,76,98,47,22,43,48,13,28,81,58,26,89,91,57,93,71,73,80,50,78,33,14,14,50,75,74,58,18,40,24,79,63,72,75,59,81,76,41,86,57,68,57,50,19,4,4,6,15,56,76,55,66,18,79,55,6,50,96,97,70,12,24,29,17,35,27,9,32,40,28,40,41,10,76,90,92,0,0,15,6,24,100,100,41,8,8,61,15,43,65,16,73
Darrell Arthur,MEM,21.6,Big,444,40,78,52,38,38,48,48,15,14,44,0,51,9,33,30,69,4,8,7,59,65,20,11,42,17,45,34,3,55,60,83,58,88,72,60,50,59,8,35,15,69,61,71,75,60,5,10,92,72,92,84,96,78,93,73,89,25,74,43,8,66,2,2,24,74,47,9,91,68,25,88,79,92,32,16,18,6,17,8,49,62,75,3,18,4,16,4,76,58,70,0,0,0,38,82,67,77,0,0,0,15,0,45,59,41,0
Chucky Atkins,DET,35.2,Point,607,0,16,43,12,0,0,0,98,12,45,27,8,10,18,67,73,46,48,28,16,85,79,48,11,81,92,48,33,82,85,88,97,19,26,58,34,41,1,18,3,87,88,1,8,87,43,65,12,19,15,81,26,85,3,13,4,27,71,58,66,74,42,76,86,9,30,12,9,5,47,54,17,20,62,86,82,80,11,94,66,24,58,65,17,92,6,31,98,8,8,31,19,28,22,0,63,22,92,80,84,6,28,22,41,27,57
D.J. Augustin,CHA,22.0,Point,1392,33,43,16,4,2,96,90,37,69,69,24,39,59,24,33,82,51,59,26,19,93,87,41,65,61,11,38,74,16,34,6,6,22,85,91,34,70,31,34,27,56,92,46,77,6,33,14,27,74,28,48,81,44,29,49,33,47,95,44,67,92,7,20,6,37,11,61,70,69,43,38,31,27,67,82,79,32,16,31,73,28,74,16,23,12,49,8,47,14,18,76,83,89,61,22,27,16,73,82,78,4,87,20,24,65,47
Jeff Ayres,POR,22.5,Big,376,54,28,2,25,66,0,36,0,30,8,73,1,100,1,1,22,10,54,91,36,43,3,2,5,27,17,16,4,2,65,17,16,36,33,66,37,50,4,5,2,60,53,89,85,22,7,7,51,59,51,66,99,35,73,26,80,52,51,17,41,21,81,34,97,99,100,6,97,62,17,57,72,70,84,42,58,84,37,97,77,84,84,78,42,93,100,97,90,99,100,0,0,0,70,57,41,40,0,0,0,100,0,9,14,11,0
Kelenna Azubuike,GSW,25.9,Wing,220,100,16,71,88,86,0,68,0,80,56,85,45,98,11,7,95,22,13,19,25,57,21,60,21,29,90,83,28,95,59,99,95,98,49,50,33,39,13,8,5,93,78,4,13,37,41,38,7,21,26,22,21,35,7,29,32,4,54,45,46,70,14,86,27,17,12,12,23,11,57,72,84,87,5,15,9,92,64,84,73,95,82,83,50,62,98,99,79,11,36,0,57,60,90,65,8,17,41,48,38,100,63,57,39,75,55
Marcus Banks,TOR,28.0,Point,183,90,94,0,67,51,0,0,0,29,94,0,33,98,8,10,76,56,3,0,82,79,98,100,97,98,20,92,98,17,100,97,99,47,86,19,43,24,71,98,99,96,5,6,1,100,30,80,90,100,83,96,89,89,38,100,28,3,77,76,4,28,2,2,3,4,3,4,4,2,50,54,69,66,43,35,35,37,90,12,99,45,95,5,43,1,96,96,0,92,65,0,0,33,84,2,33,8,94,43,71,100,33,35,8,100,45
Leandro Barbosa,PHX,26.9,Wing,688,61,35,47,12,15,0,0,84,30,54,85,80,53,62,37,68,63,44,66,55,31,32,78,74,89,30,18,86,29,79,29,31,43,82,26,79,53,31,76,60,23,42,35,37,48,93,89,21,77,20,47,53,23,11,53,14,73,37,78,47,36,63,21,50,69,61,18,88,65,89,3,40,7,95,46,72,13,86,12,34,58,17,10,93,15,49,53,26,67,38,32,27,29,80,54,19,26,79,41,54,67,30,63,52,59,79
J.J. Barea,DAL,25.3,Combo,1484,30,17,45,19,53,0,70,79,26,72,79,60,45,79,77,38,18,41,39,47,47,55,10,28,27,12,32,17,36,28,10,15,20,28,58,87,85,24,15,10,10,18,90,66,63,81,79,41,53,37,55,61,51,37,34,34,58,59,6,42,38,52,44,88,41,72,84,5,13,58,25,58,41,57,55,56,19,5,28,42,6,70,16,40,19,53,43,26,91,70,28,53,46,77,83,15,32,19,57,34,62,46,98,94,87,87
Andrea Bargnani,TOR,24.0,Big,2794,55,3,94,4,25,66,29,77,18,64,39,77,55,39,23,91,15,65,47,82,23,21,3,7,3,13,90,16,38,7,12,18,20,8,76,14,35,9,67,31,3,61,86,86,48,89,83,1,9,1,3,67,2,5,5,10,89,17,13,9,11,32,49,22,40,25,75,65,67,32,51,26,29,23,93,84,8,24,6,4,72,5,29,68,25,61,81,64,73,73,0,63,72,6,45,68,60,78,94,91,52,72,14,31,45,88
Matt Barnes,ORL,29.6,Wing,2039,73,44,28,93,93,90,99,29,63,41,53,26,85,37,54,7,89,91,96,38,71,42,58,35,76,73,59,45,66,84,75,73,62,19,86,21,51,50,25,30,93,26,16,12,59,35,41,64,87,67,76,95,67,48,70,56,80,63,40,87,68,90,74,28,96,83,72,87,90,95,90,18,51,39,6,10,84,43,88,93,11,97,59,43,61,86,70,76,98,94,16,31,21,93,42,2,4,81,37,54,97,21,21,20,18,46
Earl Barron,NYK,28.2,Big,231,20,31,56,97,92,92,37,72,79,17,7,55,23,35,28,65,99,96,89,87,99,57,96,60,90,93,16,54,81,100,98,91,82,44,98,100,100,57,0,0,99,0,47,4,5,59,22,100,100,96,4,75,1,100,99,99,99,97,1,6,51,3,91,32,19,17,17,98,97,20,7,99,93,20,16,15,3,5,0,1,24,0,13,5,2,15,11,51,49,47,0,0,0,28,33,91,86,0,0,0,14,0,6,43,2,0
Brandon Bass,ORL,24.5,Big,552,58,38,58,63,7,0,5,91,48,31,92,67,64,24,16,88,26,53,12,75,87,19,13,25,52,32,20,54,30,24,8,23,10,54,28,73,51,17,11,6,16,21,68,47,19,97,86,3,33,2,3,5,4,10,57,10,47,76,70,51,82,11,41,78,52,69,13,17,7,71,77,97,99,1,1,0,55,22,75,46,73,70,62,39,74,54,57,57,75,72,0,0,0,36,72,76,77,0,0,0,56,0,75,75,67,0
Tony Battie,BKN,33.7,Big,115,18,65,21,0,16,0,89,0,17,0,0,27,1,6,5,96,3,0,1,99,0,3,56,60,70,19,8,13,3,1,44,4,95,56,37,39,35,15,86,57,95,40,67,60,2,8,2,99,0,98,99,11,99,99,38,98,2,20,10,0,0,0,2,1,4,1,1,100,95,0,59,99,99,49,30,33,45,25,69,99,100,83,4,0,1,1,1,90,30,36,0,0,0,2,34,99,100,0,80,76,3,0,1,0,13,0
Shane Battier,HOU,31.1,Forward,2163,89,20,71,33,29,42,18,40,36,47,49,7,73,87,96,58,43,28,53,27,48,31,73,88,10,46,68,82,58,52,46,48,48,66,79,57,77,95,63,84,85,45,9,14,27,69,58,55,61,49,54,22,69,47,85,38,40,60,12,66,64,59,46,35,44,40,51,54,59,46,83,10,29,96,50,77,10,5,21,10,12,27,17,5,23,78,24,64,7,38,66,61,69,20,40,0,0,98,84,98,22,69,18,56,82,58
Nicolas Batum,POR,20.9,Wing,911,97,41,20,75,75,91,95,78,51,41,95,18,100,20,33,76,84,95,93,76,45,63,31,15,84,49,42,24,59,33,22,37,21,42,86,13,40,19,27,15,16,89,64,85,37,47,43,53,23,79,80,47,91,26,20,43,94,22,82,67,37,91,88,69,58,68,62,89,82,91,48,30,32,2,59,30,94,90,80,84,48,61,90,93,85,99,90,91,97,99,72,87,90,65,11,15,6,84,76,86,99,90,7,7,19,24
Jerryd Bayless,POR,21.2,Combo,1264,32,11,11,40,64,74,21,74,94,91,32,87,51,49,30,40,21,28,26,31,72,67,24,47,22,26,24,41,32,87,45,76,18,17,35,70,59,50,78,75,76,51,40,44,40,25,23,16,79,13,33,72,10,18,60,28,21,69,66,91,89,75,31,46,36,34,27,65,42,41,27,91,81,80,9,23,54,47,57,89,92,87,27,31,19,21,32,2,36,17,9,81,33,87,13,77,66,72,11,15,30,35,64,64,47,21
Michael Beasley,MIA,20.8,Forward,2264,69,80,36,69,87,91,71,77,47,31,58,91,22,60,20,71,16,30,48,56,33,7,15,11,38,50,52,10,79,23,57,24,86,9,42,28,29,48,33,37,21,63,55,65,84,49,66,8,15,13,13,4,17,15,24,27,45,25,68,54,70,24,79,24,56,43,76,15,31,70,84,49,69,33,15,17,44,74,37,49,70,32,47,75,44,20,78,60,49,56,48,10,9,44,87,87,93,31,33,31,31,9,89,82,62,9
Rodrigue Beaubois,DAL,21.7,Wing,620,80,85,5,10,36,95,36,71,20,73,99,87,91,81,60,12,63,66,96,36,18,5,53,50,76,21,44,63,26,8,30,13,70,52,43,45,44,72,44,59,48,77,51,67,32,34,28,53,20,57,43,28,66,56,18,53,66,14,78,53,19,93,87,87,38,68,25,94,87,94,20,13,7,47,65,60,93,93,85,97,82,94,67,89,55,95,93,75,48,67,58,81,82,88,62,7,15,41,69,53,95,82,90,81,91,93
Marco Belinelli,TOR,23.6,Wing,1022,12,79,50,16,10,0,30,70,60,93,18,62,59,57,51,39,86,77,74,33,58,93,79,65,95,39,40,75,30,52,21,55,13,63,9,61,23,90,50,80,62,25,62,44,77,27,45,83,46,91,85,15,94,69,49,67,75,67,56,50,71,18,81,41,34,33,78,40,56,61,9,24,9,91,84,90,69,62,63,70,71,64,68,59,60,39,23,14,28,16,60,79,81,47,24,41,33,74,67,71,15,81,41,46,9,92
Charlie Bell,MIL,30.6,Wing,1567,31,32,29,27,4,60,41,20,15,28,59,17,15,43,70,65,46,33,46,39,46,22,68,54,67,54,39,58,29,61,66,45,80,40,64,37,47,51,79,75,59,33,63,49,40,41,39,61,53,60,59,52,59,60,43,57,37,43,90,73,63,71,79,42,40,38,54,32,41,27,75,68,75,83,22,42,35,87,29,20,46,10,53,88,59,24,8,18,37,27,61,28,54,20,19,63,41,94,44,80,10,57,15,28,29,37
Raja Bell,CHA,33.1,Wing,157,75,37,63,58,80,0,0,0,6,11,97,35,54,54,67,79,100,100,100,100,97,12,100,98,97,99,12,100,99,84,16,32,10,5,70,99,99,99,91,99,90,0,0,0,99,100,100,23,100,3,65,96,24,9,95,8,100,74,99,99,98,99,26,100,96,100,83,100,100,21,23,73,54,37,82,72,93,93,83,69,100,27,95,11,99,73,15,91,93,96,0,74,60,1,7,98,82,69,74,78,60,63,13,1,28,5
Jonathan Bender,NYK,28.8,Big,249,80,1,60,5,13,97,70,0,36,6,34,78,30,73,66,5,5,1,4,3,42,29,63,97,5,42,13,71,39,0,89,6,99,100,91,5,29,100,5,81,29,15,55,32,85,83,89,13,0,56,23,11,92,13,2,17,2,45,86,19,87,1,6,12,59,30,33,8,8,57,56,40,44,55,53,53,14,78,17,5,86,1,39,88,45,18,15,0,67,12,0,7,25,33,6,45,14,99,89,95,12,25,74,97,54,65
Mike Bibby,ATL,31.5,Point,2191,10,39,51,20,37,0,31,85,10,14,43,20,63,14,39,92,81,54,65,88,15,15,87,78,19,95,99,80,97,50,72,87,33,54,88,77,90,3,81,35,84,19,41,25,67,23,34,77,58,71,88,91,74,61,62,60,77,9,70,25,25,48,84,44,39,37,32,59,39,58,19,48,28,48,74,68,24,81,15,26,79,23,42,74,24,63,37,76,53,63,34,79,72,0,6,78,45,82,94,92,33,70,0,2,6,12
Andris Biedrins,GSW,23.6,Big,761,81,55,21,42,97,0,50,0,8,57,34,9,62,80,96,23,30,12,20,30,55,9,77,85,6,80,46,71,91,10,84,88,52,24,95,62,93,9,70,36,99,2,2,0,89,64,79,34,2,64,50,45,67,34,3,54,12,50,48,82,76,74,37,2,61,14,76,36,45,62,86,53,72,7,36,19,15,62,27,29,39,48,20,39,27,94,79,53,1,55,0,0,0,86,70,2,19,0,0,0,94,0,31,13,64,0
Chauncey Billups,DEN,33.1,Combo,2483,23,38,89,13,43,49,96,95,87,98,19,85,96,83,60,55,53,79,32,88,52,94,24,67,7,57,17,23,68,36,70,48,80,60,52,75,71,41,47,43,41,33,38,33,83,68,77,25,37,46,33,57,31,31,19,49,79,32,69,24,40,22,10,48,47,49,89,59,78,6,36,57,46,91,86,91,41,47,42,75,24,86,35,55,23,60,28,38,47,38,38,84,70,43,36,36,28,32,85,77,40,70,74,85,40,94
DeJuan Blair,SAS,20.5,Big,1409,31,89,26,98,83,72,90,11,55,32,94,71,75,50,42,25,33,43,42,14,92,36,29,33,66,29,15,37,41,20,20,19,44,36,40,44,41,55,62,64,8,82,83,90,75,39,54,18,29,14,26,24,30,18,23,12,28,88,85,94,98,31,17,38,54,46,55,14,24,98,5,13,2,80,63,71,75,54,75,82,48,61,50,50,70,81,52,43,54,48,0,0,0,92,50,6,11,0,50,46,84,0,70,56,59,0
