player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Justin Anderson,ATL,25.0,Wing,414,94,73,23,96,74,0,85,0,52,28,72,46,18,16,13,21,90,93,91,72,61,42,60,17,31,51,96,60,30,69,40,45,21,79,32,23,37,23,61,15,21,59,5,70,15,71,78,81,60,51,66,35,30,45,29,68,49,47,93,93,53,9,50,61,40,81,90,63,87,61,26,39,98,72,1,4,82,21,40,93,67,7,80,61,17,66,70,6,80,20,33,30,8,20,13,39,22,70,65,13,27,50,54,51,31,22,57,71,60,35
Kyle Anderson,MEM,25.1,Forward,1270,90,82,34,75,82,65,87,0,68,34,66,30,73,89,100,8,82,81,49,70,88,91,66,39,95,61,22,66,47,71,97,29,87,2,62,77,59,77,12,32,15,32,50,19,29,35,93,86,66,97,94,97,98,67,98,94,81,93,81,48,85,13,75,72,70,74,30,98,80,8,26,13,89,41,22,23,23,37,26,81,86,12,93,56,10,59,91,8,94,83,68,85,80,93,56,0,9,92,93,52,80,20,0,0,92,9,83,52,62,0
Ryan Anderson,PHX,30.5,Big,277,1,5,75,31,5,0,17,0,43,49,14,13,1,54,78,27,18,21,28,18,11,93,24,63,5,24,89,24,69,25,2,42,29,67,3,84,38,75,97,68,90,43,47,36,39,88,46,70,24,3,2,7,3,3,6,14,36,14,21,35,18,60,69,29,94,27,1,23,2,98,68,89,31,94,61,90,54,16,18,21,3,75,1,11,58,6,3,76,2,1,19,5,79,32,0,8,6,10,13,90,50,66,91,86,10,6,69,77,94,22
Giannis Antetokounmpo,MIL,23.9,Forward,2364,97,73,65,96,100,89,99,38,100,99,68,99,99,99,96,14,80,68,69,98,5,14,81,96,2,98,43,81,63,99,91,98,100,35,94,27,6,10,58,98,97,44,60,46,58,62,44,51,81,80,47,78,99,92,94,23,17,36,68,55,2,71,6,2,43,48,12,7,5,100,87,98,23,80,55,74,69,42,51,68,98,85,95,97,91,95,96,85,89,93,90,51,44,45,0,6,1,100,44,39,44,0,8,1,97,1,96,82,85,96
Carmelo Anthony,HOU,34.4,Forward,291,80,8,24,37,77,0,93,0,10,85,32,68,24,0,0,97,26,29,41,41,28,47,33,29,45,62,61,33,37,73,39,56,51,61,11,45,52,46,72,32,55,66,50,26,35,61,40,46,33,25,41,19,25,71,14,35,38,35,29,39,34,63,65,46,78,35,62,53,60,87,23,46,38,71,69,76,18,52,35,29,26,68,29,37,78,33,20,70,24,24,41,75,70,76,0,23,21,15,45,89,72,4,90,72,39,21,70,87,65,72
OG Anunoby,TOR,21.3,Forward,1293,48,62,17,79,14,97,73,4,44,20,75,32,44,13,14,30,56,45,64,15,53,26,67,75,62,24,78,67,71,52,18,64,43,77,70,44,68,60,68,61,70,30,69,41,60,80,50,64,67,63,28,63,33,28,42,78,48,71,45,62,47,53,33,66,7,16,86,87,92,48,76,70,24,38,48,41,46,87,82,45,35,51,40,26,51,22,50,55,61,62,66,25,72,34,12,86,35,77,17,13,7,92,39,66,83,35,62,73,92,0
Ryan Arcidiacono,CHI,24.6,Combo,1912,8,64,42,25,61,81,53,87,53,41,20,2,83,46,95,78,6,16,13,29,66,16,4,3,39,23,21,4,2,36,45,18,35,19,23,30,83,58,17,10,5,42,71,81,81,6,51,23,4,75,47,57,46,87,28,62,41,46,16,13,60,13,50,31,76,40,7,74,32,6,15,8,24,6,88,40,82,76,83,16,20,4,20,11,50,8,36,3,47,86,44,100,68,97,56,61,61,17,59,34,46,80,69,73,76,61,36,56,75,32
Trevor Ariza,PHX,33.3,Wing,883,37,84,96,38,88,94,99,73,57,48,62,38,40,77,91,20,77,63,60,32,78,41,81,69,75,57,66,81,86,52,26,68,55,71,70,30,54,35,51,56,56,73,6,36,9,74,71,76,81,23,21,18,11,5,17,55,29,43,63,49,46,56,65,60,65,11,17,60,30,56,97,95,39,70,74,78,38,32,28,63,80,49,81,60,85,67,87,31,83,34,9,8,87,9,48,50,56,63,12,11,5,72,76,82,12,57,44,62,95,45
Trevor Ariza,WAS,33.3,Wing,1463,34,69,88,60,73,0,99,44,79,55,81,66,53,82,81,58,44,19,15,58,32,83,84,84,92,7,56,84,78,12,17,39,8,89,93,27,60,38,48,68,65,50,89,26,69,62,22,29,84,87,41,92,93,52,96,66,54,70,19,24,40,73,39,56,30,38,5,75,13,27,15,15,63,18,72,43,91,22,48,19,23,70,19,20,23,20,40,76,31,49,60,11,68,24,58,14,23,67,17,23,10,72,65,72,81,23,40,38,49,55
D.J. Augustin,ORL,31.0,Point,2265,4,13,94,43,13,0,63,91,65,70,19,31,98,50,74,61,89,95,94,58,44,25,37,36,19,76,76,37,27,74,54,39,58,28,69,11,63,25,81,28,42,58,32,95,77,3,56,17,37,42,77,46,14,77,12,72,67,75,95,93,40,96,68,61,74,94,49,80,75,70,79,83,24,16,48,23,94,83,90,95,70,97,45,63,97,55,57,96,32,94,70,26,89,48,94,88,94,50,39,13,17,67,76,80,74,94,61,70,91,67
Deandre Ayton,PHX,20.3,Big,2182,49,60,62,80,83,0,80,52,35,68,63,70,72,53,37,50,41,64,75,69,24,42,22,16,50,47,50,22,37,40,57,16,29,19,35,20,82,40,28,13,9,74,16,55,24,28,61,47,22,24,63,11,17,62,7,32,49,22,64,65,26,59,41,44,41,66,30,41,29,69,83,85,61,40,31,26,48,68,66,64,74,59,77,17,82,29,94,62,93,72,88,88,50,77,0,0,0,61,81,94,94,23,18,17,69,0,55,33,58,0
Dwayne Bacon,CHA,23.2,Wing,651,21,9,19,18,44,0,44,18,62,53,33,60,69,38,37,96,29,53,31,91,86,50,15,29,34,11,33,15,9,21,81,21,9,70,58,0,40,3,93,56,81,62,97,84,98,1,9,1,15,88,78,77,83,39,70,62,90,35,53,65,86,14,92,96,29,66,21,86,34,93,1,9,92,99,9,89,52,0,0,53,7,1,19,1,3,2,28,1,46,77,87,36,19,29,79,90,94,79,85,40,68,48,13,18,55,94,65,50,47,82
Marvin Bagley,SAC,19.6,Big,1524,60,25,91,72,51,37,52,34,72,81,18,86,34,14,3,72,44,73,64,31,63,77,15,67,18,25,25,15,38,27,16,34,15,74,58,34,65,47,90,47,68,27,50,57,54,26,84,72,15,30,40,36,30,44,30,39,59,47,73,67,85,68,36,56,15,24,37,44,35,65,52,61,46,5,2,1,98,98,99,73,46,74,51,66,93,82,38,71,34,36,57,60,78,67,1,52,29,47,92,73,88,44,43,41,40,30,92,93,83,94
Lonzo Ball,LAL,21.0,Point,1401,76,83,48,93,87,78,85,0,7,24,50,20,17,31,65,13,47,44,38,14,64,79,54,74,76,53,16,54,81,21,86,28,47,24,67,24,93,78,41,62,55,64,47,47,47,47,38,39,54,65,91,43,31,60,26,76,95,61,44,43,64,26,51,65,37,45,45,15,26,14,58,28,86,37,14,16,48,42,44,44,29,26,41,54,45,53,25,12,37,44,54,4,20,0,0,57,33,69,9,6,0,78,89,91,46,35,19,15,22,43
Mohamed Bamba,ORL,20.5,Big,745,97,21,27,47,72,0,45,4,49,54,92,50,23,48,46,24,39,42,61,24,36,61,42,63,14,14,92,42,33,37,25,30,20,62,99,24,4,7,80,12,26,19,24,95,71,67,58,62,42,77,61,83,76,55,90,59,88,55,42,45,52,40,74,69,70,69,85,30,73,22,43,28,44,50,11,18,67,85,85,42,41,32,50,26,31,33,52,28,58,41,91,6,82,27,43,16,24,40,31,90,67,69,57,60,58,24,62,75,31,82
J.J. Barea,DAL,34.3,Combo,744,0,27,81,47,75,0,32,13,32,80,75,92,22,100,97,42,95,97,98,63,41,92,55,42,61,78,66,55,61,64,78,90,68,92,89,47,49,45,80,7,16,68,76,45,68,5,47,16,55,5,87,6,18,95,9,7,78,9,97,97,50,61,54,34,84,93,88,75,90,91,68,83,38,9,2,1,86,99,99,97,87,83,88,89,94,96,67,81,66,22,56,41,85,61,0,28,20,31,95,58,81,7,47,39,47,20,97,95,81,98
Harrison Barnes,SAC,26.4,Forward,948,8,15,97,18,52,70,41,72,66,45,28,46,75,45,41,86,86,88,79,73,93,28,66,76,85,30,29,66,76,34,47,47,36,65,84,26,80,52,71,44,55,64,77,27,59,16,44,29,66,74,72,72,50,40,55,80,45,75,88,63,92,59,87,89,55,28,66,55,66,85,87,91,26,43,15,18,75,91,91,88,88,47,89,75,15,73,85,38,87,75,63,73,17,61,90,83,87,37,99,48,82,58,44,49,41,87,63,28,77,79
Harrison Barnes,DAL,26.4,Forward,1569,18,25,94,31,17,59,52,82,63,82,51,85,45,37,7,83,10,9,19,42,37,24,31,67,5,80,54,31,28,83,75,37,82,8,59,17,58,24,60,67,69,75,25,21,17,74,48,59,31,78,55,88,78,31,83,69,80,80,9,17,48,25,36,35,48,51,4,58,10,46,34,41,22,61,76,75,83,32,51,9,11,37,22,20,18,36,19,39,32,28,39,23,31,13,85,72,81,41,76,62,73,49,59,55,13,81,65,63,76,75
Will Barton,DEN,27.8,Wing,1189,85,4,65,66,85,92,87,41,51,47,74,76,23,78,64,39,88,86,95,37,42,36,74,20,77,87,82,74,43,85,83,61,79,32,23,57,16,29,30,38,32,45,30,24,21,68,82,85,74,69,54,50,15,61,15,91,51,78,86,94,30,82,32,44,24,90,63,57,66,68,76,80,83,4,38,7,81,61,73,86,87,88,74,83,88,57,72,74,68,25,26,58,40,48,31,48,43,53,83,48,69,14,56,36,26,44,78,62,70,79
Keita Bates-Diop,MIN,22.8,Wing,454,94,67,91,77,84,0,58,0,33,17,67,21,25,9,10,68,83,79,90,65,29,20,70,34,77,23,81,70,34,41,56,58,55,56,45,87,31,72,21,20,13,75,3,42,6,79,76,84,70,89,61,86,68,90,67,89,22,84,79,85,25,80,60,55,69,91,56,29,41,23,83,68,77,44,37,36,41,36,36,79,73,94,60,76,72,43,66,91,64,43,92,37,21,30,1,31,9,81,70,47,53,54,15,23,88,9,38,21,41,1
Nicolas Batum,CHA,29.9,Wing,2338,82,52,87,76,77,75,96,86,32,45,76,28,87,79,97,8,62,60,82,22,20,48,61,40,69,14,62,61,48,24,3,10,3,54,56,85,38,78,38,46,40,10,85,83,91,10,70,41,61,48,18,46,49,89,54,51,24,46,60,75,14,56,28,29,39,68,45,79,77,92,47,77,16,61,39,50,81,79,86,60,51,76,35,57,76,40,54,74,43,84,68,75,53,67,71,73,80,40,45,57,46,67,60,65,72,81,59,60,54,76
Jerryd Bayless,MIN,30.2,Point,637,9,28,31,35,28,0,54,7,22,7,67,33,2,52,72,78,38,77,82,94,0,96,8,1,54,95,30,8,1,100,99,76,27,96,7,87,8,50,1,1,0,96,2,2,0,56,94,91,8,10,97,2,8,79,1,23,83,17,77,99,0,3,27,11,87,82,98,21,85,5,97,78,67,92,84,95,33,2,2,77,2,5,3,4,37,3,3,6,8,2,0,2,74,26,0,20,13,15,33,91,70,48,67,70,2,13,30,37,31,54
Aron Baynes,BOS,31.9,Big,810,67,10,23,81,43,0,25,94,31,85,27,34,38,50,64,38,89,97,94,46,74,85,26,53,5,39,54,26,16,48,11,32,14,71,67,58,43,50,82,42,61,5,85,92,94,39,60,53,26,61,54,64,40,53,56,72,41,69,97,97,81,69,46,68,23,50,97,81,98,59,91,86,23,45,53,48,88,63,79,97,50,74,56,48,77,47,55,87,63,31,9,88,34,80,0,50,51,62,35,44,29,51,61,57,28,51,50,65,31,22
Kent Bazemore,ATL,29.3,Wing,1639,91,90,24,50,81,60,67,22,70,78,38,82,33,77,55,15,29,15,24,25,26,21,73,72,58,38,77,73,59,37,36,66,16,93,31,40,67,56,94,82,91,21,78,75,83,37,49,41,73,39,57,48,32,49,41,51,90,60,15,28,26,25,18,24,24,42,11,78,30,14,67,41,8,42,92,82,69,71,75,15,11,26,15,30,64,41,7,13,9,26,39,20,63,34,23,36,30,68,59,55,50,57,32,38,40,29,74,77,56,72
Bradley Beal,WAS,25.3,Wing,3025,84,79,67,77,55,64,49,57,78,93,43,96,86,96,75,46,46,61,71,43,17,72,34,59,40,25,9,34,77,15,8,6,1,59,72,74,38,57,72,23,41,24,22,84,56,99,16,73,34,12,49,17,9,10,7,22,71,36,61,76,27,6,30,6,95,79,48,97,88,88,47,72,22,96,97,99,2,8,2,61,21,18,29,69,89,85,10,35,11,75,84,79,61,73,64,45,49,71,50,79,67,13,46,25,87,51,84,75,77,87
Malik Beasley,DEN,21.9,Wing,1789,18,43,83,40,22,0,65,83,16,27,77,51,94,23,17,88,1,0,0,97,91,2,81,72,92,87,72,81,66,74,1,62,9,94,83,37,94,72,89,10,38,93,9,99,74,1,14,2,81,99,0,96,95,7,95,96,4,85,0,0,69,100,87,99,5,0,0,4,0,0,35,5,100,34,17,15,8,7,5,0,64,67,53,98,90,94,9,9,9,96,76,79,77,81,80,88,92,45,46,39,34,45,82,69,91,92,15,14,27,26
Michael Beasley,LAL,29.8,Big,254,61,72,7,27,37,0,3,37,70,9,92,97,42,82,35,23,69,51,27,5,99,76,78,7,98,68,41,78,40,62,31,38,37,48,2,95,93,97,17,3,1,95,14,17,8,14,51,30,78,51,57,48,9,57,22,77,75,65,51,36,100,49,95,100,19,39,52,42,46,27,46,37,42,88,26,62,18,65,48,51,5,21,14,3,2,8,14,31,25,39,88,39,19,28,0,0,0,54,95,49,86,52,36,37,51,0,97,82,99,22
Marco Belinelli,SAS,32.6,Wing,1796,7,13,73,4,37,0,66,99,45,65,60,64,73,47,40,72,57,57,64,50,80,53,55,37,43,72,72,55,54,55,91,73,42,90,52,15,22,9,80,30,53,78,57,2,6,90,59,79,55,5,96,5,41,34,42,3,95,6,57,65,79,23,58,60,53,72,4,46,8,85,23,48,97,17,19,10,50,20,23,57,37,14,53,65,32,81,28,15,37,67,37,84,62,76,62,75,73,14,40,82,70,33,86,73,40,73,26,23,13,69
Jordan Bell,GSW,23.8,Big,615,91,47,53,52,31,85,21,8,46,51,36,10,35,70,91,6,17,26,12,90,85,7,16,35,82,1,32,16,50,6,59,6,4,31,80,8,0,1,58,88,85,30,65,34,53,38,77,71,16,51,64,57,98,93,97,10,42,15,26,24,94,74,72,66,77,56,34,19,19,1,25,7,56,60,56,61,15,54,36,26,11,52,8,38,98,39,7,70,4,54,62,29,71,40,0,0,0,71,60,88,79,0,21,18,56,0,21,14,10,0
