player,team,age,pos,min,blk%_rank,stl%_rank,foul%_rank,fgor%_rank,fgdr%_rank,ftor%_rank,ftdr%_rank,ft%_rank,sfld%_rank,ffld%_rank,and1%_rank,usage_rank,psa_rank,ast%_rank,ast:usg_rank,tov%_rank,diff_rank,offense:_pts/poss_rank,offense:_efg%_rank,offense:_tov%_rank,offense:_orb%_rank,offense:_ft_rate_rank,defense:_pts/poss_rank,defense:_efg%_rank,defense:_tov%_rank,defense:_orb%_rank,defense:_ft_rate_rank,onoff_opp_halfcourt_pts/poss_rank,onoff_opp_halfcourt_halfcourt:_pts/play_rank,onoff_opp_halfcourt_halfcourt:_oreb%_rank,onoff_opp_halfcourt_halfcourt:_%_of_plays_rank,onoff_opp_halfcourt_putbacks:_pts/miss_rank,onoff_opp_halfcourt_putbacks:_plays/miss_rank,onoff_opp_halfcourt_putbacks:_pts/play_rank,onoff_opp_team_fg%:_rim_rank,onoff_opp_team_fg%:_short_mid_rank,onoff_opp_team_fg%:_long_mid_rank,onoff_opp_team_fg%:_all_mid_rank,onoff_opp_team_fg%:_corner_three_rank,onoff_opp_team_fg%:_non_corner_rank,onoff_opp_team_fg%:_all_three_rank,onoff_opp_shot_frequency:_rim_rank,onoff_opp_shot_frequency:_short_mid_rank,onoff_opp_shot_frequency:_long_mid_rank,onoff_opp_shot_frequency:_all_mid_rank,onoff_opp_shot_frequency:_corner_three_rank,onoff_opp_shot_frequency:_non_corner_rank,onoff_opp_shot_frequency:_all_three_rank,onoff_opp_transition_pts/poss_rank,onoff_opp_transition_all_transition:_pts+/poss_rank,onoff_opp_transition_all_transition:_freq_rank,onoff_opp_transition_all_transition:_pts/play_rank,onoff_opp_transition_off_steals:_pts+/poss_rank,onoff_opp_transition_off_steals:_freq_rank,onoff_opp_transition_off_steals:_pts/play_rank,onoff_opp_transition_off_live_rebounds:_pts+/poss_rank,onoff_opp_transition_off_live_rebounds:_freq_rank,onoff_opp_transition_off_live_rebounds:_pts/play_rank,onoff_team_halfcourt_pts/poss_rank,onoff_team_halfcourt_halfcourt:_pts/play_rank,onoff_team_halfcourt_halfcourt:_oreb%_rank,onoff_team_halfcourt_halfcourt:_%_of_plays_rank,onoff_team_halfcourt_putbacks:_pts/miss_rank,onoff_team_halfcourt_putbacks:_plays/miss_rank,onoff_team_halfcourt_putbacks:_pts/play_rank,onoff_team_team_fg%:_rim_rank,onoff_team_team_fg%:_short_mid_rank,onoff_team_team_fg%:_long_mid_rank,onoff_team_team_fg%:_all_mid_rank,onoff_team_team_fg%:_corner_three_rank,onoff_team_team_fg%:_non_corner_rank,onoff_team_team_fg%:_all_three_rank,onoff_team_shot_frequency:_rim_rank,onoff_team_shot_frequency:_short_mid_rank,onoff_team_shot_frequency:_long_mid_rank,onoff_team_shot_frequency:_all_mid_rank,onoff_team_shot_frequency:_corner_three_rank,onoff_team_shot_frequency:_non_corner_rank,onoff_team_shot_frequency:_all_three_rank,onoff_team_transition_pts/poss_rank,onoff_team_transition_all_transition:_pts+/poss_rank,onoff_team_transition_all_transition:_freq_rank,onoff_team_transition_all_transition:_pts/play_rank,onoff_team_transition_off_steals:_pts+/poss_rank,onoff_team_transition_off_steals:_freq_rank,onoff_team_transition_off_steals:_pts/play_rank,onoff_team_transition_off_live_rebounds:_pts+/poss_rank,onoff_team_transition_off_live_rebounds:_freq_rank,onoff_team_transition_off_live_rebounds:_pts/play_rank,efg%_rank,rim_accuracy_rank,short_mid_accuracy_rank,long_mid_accuracy_rank,all_mid_accuracy_rank,corner_three_accuracy_rank,non_corner_accuracy_rank,all_three_accuracy_rank,rim_frequency_rank,short_mid_frequency_rank,long_mid_frequency_rank,all_mid_frequency_rank,corner_three_frequency_rank,non_corner_frequency_rank,all_three_frequency_rank,2p%_overall_rank,3p%_overall_rank,astd%_all_overall_rank,astd%_rim_overall_rank,astd%_mid_overall_rank,astd%_three_overall_rank
Alex Abrines,OKC,25.3,Wing,558,45,46,36,6,13,0,0,0,7,69,0,8,24,6,13,82,26,9,6,37,42,43,81,97,67,17,10,81,95,31,43,79,20,98,79,82,92,94,68,87,88,51,10,64,23,17,93,77,81,32,30,41,5,41,6,65,65,70,9,6,35,29,45,47,52,34,54,15,23,4,11,4,19,34,65,50,46,87,83,9,5,70,17,2,52,10,19,80,38,35,45,0,87,68,27,28,21,13,1,30,3,67,100,99,73,20,7,15,11,39
Quincy Acy,PHX,28.1,Big,102,57,1,1,1,25,96,5,0,11,72,0,2,0,42,86,21,100,79,86,98,51,97,100,100,84,99,2,100,100,96,90,21,98,1,98,99,5,50,92,100,100,97,89,2,22,52,5,9,100,100,95,100,97,42,91,99,32,100,79,56,28,12,6,3,36,99,2,33,3,78,64,74,27,1,38,2,40,100,98,79,100,34,100,93,1,94,99,48,99,0,100,0,0,0,0,0,0,2,0,0,0,98,99,100,100,0,0,0,0,22
Jaylen Adams,ATL,22.5,Point,395,50,30,7,59,85,96,57,0,2,6,81,2,9,19,76,11,94,97,96,25,93,48,48,12,36,99,80,48,17,99,96,78,91,37,30,34,25,23,15,32,17,77,70,45,63,25,16,12,48,80,96,76,81,88,74,73,87,72,97,84,79,97,81,83,60,85,79,63,80,91,75,89,75,20,37,20,94,26,59,97,97,98,90,95,86,88,91,96,78,13,2,0,46,2,0,75,29,9,0,19,2,94,98,100,0,33,9,89,54,31
Steven Adams,OKC,25.3,Big,2678,45,92,93,91,23,99,1,1,52,73,27,34,58,18,21,43,51,62,54,77,35,48,41,33,17,85,40,41,24,90,92,74,88,34,41,65,29,44,7,49,23,80,13,33,14,92,24,57,41,41,73,40,90,12,90,11,58,11,62,65,24,19,36,39,43,65,73,82,86,21,69,56,42,98,95,100,25,1,1,62,54,26,63,51,50,32,55,19,72,80,51,75,39,85,0,0,0,82,87,3,62,0,0,0,72,0,78,63,55,0
Bam Adebayo,MIA,21.3,Big,1876,59,90,56,60,76,68,71,50,85,86,80,45,80,84,91,11,91,90,85,86,82,86,73,59,87,49,64,73,63,57,90,65,38,82,95,67,58,66,77,8,16,11,50,78,69,59,81,81,73,81,92,67,95,80,92,45,55,32,90,95,84,85,86,95,18,58,86,76,89,16,73,55,94,29,26,19,60,16,20,90,41,61,54,93,44,93,13,24,16,71,65,50,60,52,0,0,0,78,75,40,65,32,23,24,66,0,60,50,32,99
Deng Adel,CLE,21.7,Forward,187,76,1,62,13,11,0,0,0,20,3,0,3,3,1,8,15,16,23,25,96,16,76,19,81,20,60,23,19,62,30,94,55,93,6,88,25,23,16,47,80,76,56,48,28,36,90,31,59,19,53,64,76,92,52,92,9,91,23,23,19,19,84,56,35,79,45,86,58,86,54,6,12,50,41,45,39,69,60,66,23,95,86,86,98,54,98,78,92,61,1,0,89,37,73,0,2,0,18,28,49,30,69,86,85,1,0,31,100,31,0
LaMarcus Aldridge,SAS,33.3,Big,2698,65,18,98,73,53,76,42,93,55,91,64,94,53,71,26,88,48,21,55,24,11,46,85,70,55,59,84,85,62,50,78,81,81,68,68,45,73,62,42,55,49,42,28,18,16,87,81,90,85,92,68,88,37,20,35,96,86,95,21,52,10,22,12,17,12,76,51,28,36,62,42,50,44,90,35,74,26,41,30,21,25,44,23,7,36,5,50,49,54,34,72,73,79,80,0,10,9,27,96,98,100,27,30,27,35,9,88,69,76,93
Rawle Alkins,CHI,21.0,Forward,108,0,0,85,99,72,0,0,0,96,7,80,69,4,83,82,4,17,3,7,1,60,60,88,91,0,100,94,88,88,100,50,97,100,13,10,76,95,94,80,97,98,66,28,95,72,95,3,15,88,32,1,41,1,14,6,91,2,90,3,9,63,0,16,43,4,4,22,74,51,2,24,6,75,1,61,5,26,93,86,3,7,0,9,15,5,58,12,0,14,4,6,30,3,14,0,0,0,87,65,18,41,41,18,23,8,0,42,56,0,0
Grayson Allen,UTA,23.1,Combo,322,85,0,17,2,2,0,0,37,64,86,25,66,47,3,0,12,93,79,82,55,33,94,92,71,74,77,52,92,82,58,85,64,71,42,78,70,24,42,59,45,50,83,19,15,9,75,49,60,92,49,93,41,59,82,63,44,72,37,79,77,34,69,57,26,92,97,27,69,44,23,21,18,96,24,11,10,64,18,25,79,66,95,56,68,71,51,71,95,63,49,3,56,85,73,87,16,59,29,44,22,32,97,63,83,15,59,10,15,29,17
Jarrett Allen,BKN,20.5,Big,2093,83,26,82,64,67,68,82,35,88,84,24,29,79,34,41,35,3,2,3,25,30,1,29,52,69,39,3,29,10,66,12,86,93,52,42,91,97,97,8,33,18,22,98,12,87,95,10,34,29,96,9,96,99,1,96,60,22,71,2,3,17,55,14,28,5,8,1,86,5,52,16,20,36,86,93,96,1,29,7,2,6,79,2,87,90,69,1,85,0,79,73,32,2,28,0,0,2,88,42,5,20,62,19,34,86,2,20,8,14,22
Kadeem Allen,NYK,25.8,Combo,377,44,71,12,59,49,0,88,54,88,73,5,69,69,81,76,31,11,23,44,50,9,20,8,2,34,72,50,8,16,18,22,37,49,29,1,75,8,32,94,71,86,1,99,99,100,26,31,25,8,9,7,16,5,24,7,22,27,39,23,68,4,3,7,7,23,37,34,55,42,87,19,51,44,6,72,21,91,71,84,23,4,7,4,19,53,37,5,21,3,66,69,20,78,31,0,98,97,78,97,42,73,29,15,12,36,97,75,78,83,31
Al-Farouq Aminu,POR,28.1,Big,2291,13,61,98,26,65,67,61,95,47,20,26,14,41,14,25,81,66,83,93,29,7,65,31,19,73,38,36,31,11,44,52,67,55,67,18,90,89,96,12,17,9,30,21,85,55,10,89,69,31,85,56,85,70,57,76,68,78,64,83,96,4,32,9,3,56,49,38,74,63,97,94,98,22,14,33,13,98,88,96,83,64,67,43,56,54,35,53,82,41,27,24,23,21,11,35,46,44,39,20,41,15,85,76,80,27,44,63,91,91,22
