Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Shareef Abdur-Rahim,28.9,SAC,Big,122,84,+12.5,24,-1.9,47,+0.0%,24,-17.9,47,+0.0,10,-14.7%,82,+41.7,20,-1.9,48,+0.3%,9,-43.9
Malik Allen,27.3,CHI,Big,116,18,-7.6,52,-0.2,7,-4.0%,75,+12.3,94,+2.4,28,-6.8%,91,+75.0,16,-2.2,14,-7.6%,39,-11.1
Carmelo Anthony,21.4,DEN,Forward,192,49,+1.1,31,-1.3,21,-1.9%,67,+6.6,47,+0.0,79,+11.5%,52,+1.7,34,-1.0,0,-21.5%,66,+10.0
Gilbert Arenas,23.8,WAS,Combo,283,54,+2.5,5,-5.2,51,+0.2%,9,-36.6,4,-2.9,2,-35.0%,6,-80.0,16,-2.2,30,-1.8%,28,-22.2
Chucky Atkins,31.2,MEM,Point,101,68,+6.0,84,+2.7,56,+0.6%,85,+22.3,5,-2.9,46,-1.3%,3,-91.4,97,+5.6,89,+9.5%,97,+72.9
Leandro Barbosa,22.9,PHX,Wing,625,27,-5.1,58,+0.3,35,-0.4%,66,+5.3,83,+1.2,74,+8.8%,83,+44.2,36,-0.8,47,+0.2%,47,-4.1
Brent Barry,33.8,SAS,Wing,281,23,-5.5,70,+1.3,63,+1.1%,58,+2.4,72,+0.9,73,+8.3%,72,+20.0,59,+0.4,65,+3.5%,51,-2.6
Shane Battier,27.1,MEM,Forward,128,83,+12.4,22,-2.1,45,-0.0%,22,-20.0,75,+0.9,85,+17.5%,76,+22.9,10,-3.0,15,-7.5%,13,-38.9
Raja Bell,29.1,PHX,Wing,673,55,+2.8,34,-1.1,88,+3.5%,26,-15.8,36,-0.4,22,-8.5%,31,-17.0,47,-0.1,95,+13.8%,41,-9.5
Mike Bibby,27.5,SAC,Point,255,72,+7.4,91,+3.6,99,+8.7%,7,-42.9,100,,99,+48.7%,99,,72,+0.8,99,+15.9%,5,-51.6
