Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,26.3,OKC,Big,210,8,-11.6,98,+5.1,88,+4.1%,98,+59.5,67,+1.0,73,+11.9%,92,+76.9,99,+4.8,84,+6.4%,98,+78.6
Giannis Antetokounmpo,24.9,MIL,Big,277,53,+1.1,57,+0.2,100,+8.9%,62,+5.8,51,+0.4,96,+29.7%,50,+3.0,41,-0.7,100,+18.4%,57,+3.7
Carmelo Anthony,35.4,POR,Big,213,28,-5.6,63,+0.6,88,+4.1%,50,0.0,28,-0.9,74,+12.5%,18,-36.2,93,+3.3,93,+10.2%,96,+70.3
D.J. Augustin,32.0,ORL,Point,127,57,+1.5,27,-1.9,68,+1.7%,30,-12.0,2,-3.2,50,+0.7%,2,-91.7,37,-1.0,92,+9.9%,51,-1.2
Patrick Beverley,31.3,LAC,Point,165,9,-11.6,1,-5.6,73,+2.1%,2,-42.9,20,-1.3,68,+9.7%,16,-36.8,8,-3.9,28,-3.3%,7,-54.0
Eric Bledsoe,29.9,MIL,Point,267,54,+1.1,39,-0.8,91,+5.0%,52,+0.5,91,+2.5,79,+14.3%,88,+64.7,9,-3.0,78,+5.7%,28,-20.6
Malcolm Brogdon,26.9,IND,Combo,159,95,+19.6,20,-2.5,40,-0.5%,42,-7.4,98,+5.1,88,+18.3%,98,+175.0,0,-7.6,13,-7.7%,5,-64.3
Jaylen Brown,23.0,BOS,Wing,670,35,-4.5,50,-0.3,51,+0.4%,55,+1.6,58,+0.6,23,-8.3%,64,+23.7,34,-1.1,78,+5.7%,21,-26.2
Trey Burke,27.0,DAL,Point,155,82,+10.0,43,-0.7,65,+1.5%,22,-18.8,31,-0.8,81,+14.8%,9,-49.2,53,+0.1,51,+0.1%,57,+4.2
Jimmy Butler,30.1,MIA,Wing,806,74,+7.0,37,-1.1,46,-0.1%,43,-6.8,46,+0.1,71,+10.9%,44,-1.3,21,-1.7,45,-0.9%,25,-22.7
