Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,26.0,DEN,Wing,228,42,-0.7,34,-0.8,50,+0.1%,29,-8.2,41,-0.3,84,+14.0%,45,-6.7,38,-0.5,43,-0.1%,33,-10.1
Lavoy Allen,22.7,PHI,Big,234,78,+10.3,72,+1.9,36,-0.7%,63,+6.9,65,+0.5,15,-14.9%,61,+11.5,67,+1.4,34,-2.3%,53,+4.2
Ray Allen,36.3,BOS,Wing,610,50,+1.1,30,-1.3,24,-1.4%,37,-5.1,59,+0.4,34,-5.7%,70,+18.4,24,-1.5,61,+2.0%,24,-16.4
Tony Allen,29.8,MEM,Wing,170,95,+20.4,87,+4.0,82,+2.5%,79,+21.8,67,+0.6,90,+18.4%,41,-9.8,91,+3.4,76,+3.9%,90,+43.1
Ryan Anderson,23.5,ORL,Big,172,79,+10.7,29,-1.4,88,+3.4%,42,-2.3,56,+0.3,39,-4.0%,63,+12.5,33,-1.1,97,+12.9%,67,+16.7
Carmelo Anthony,27.4,NYK,Forward,203,83,+12.8,90,+4.7,76,+2.2%,99,+69.0,100,,100,+57.1%,100,,85,+2.9,31,-2.6%,93,+56.4
Joel Anthony,29.2,MIA,Big,319,44,-0.6,10,-3.6,46,-0.1%,9,-28.2,21,-1.2,50,-0.3%,21,-36.6,15,-2.3,57,+1.2%,18,-23.7
Omer Asik,25.3,CHI,Big,128,24,-6.9,28,-1.4,30,-1.1%,28,-9.2,33,-0.7,21,-11.3%,25,-31.4,37,-0.6,19,-4.7%,42,-4.9
Leandro Barbosa,28.9,IND,Wing,214,2,-20.1,37,-0.6,56,+0.8%,32,-7.3,76,+1.1,65,+3.8%,66,+15.6,19,-1.9,78,+4.5%,15,-25.9
Matt Barnes,31.6,LAL,Wing,173,33,-3.5,38,-0.6,59,+1.0%,35,-5.3,60,+0.4,18,-13.0%,85,+47.4,36,-0.7,72,+3.3%,15,-25.8
