Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Arron Afflalo,26.0,DEN,Wing,228,44,+0.7,69,-1.5,92,-4.8%,46,+4.9,60,-0.6,100,-38.2%,41,+6.8,59,-0.4,57,-0.9%,38,+8.2
Lavoy Allen,22.7,PHI,Big,234,59,-1.7,83,-3.3,65,-1.3%,81,-23.0,69,-1.1,62,-4.2%,72,-22.4,76,-2.2,23,+5.7%,73,-21.9
Ray Allen,36.3,BOS,Wing,610,16,+8.4,58,-0.7,68,-1.4%,48,+3.1,41,+0.2,57,-2.6%,42,+6.6,66,-1.0,56,-0.9%,49,+1.1
Tony Allen,29.8,MEM,Wing,170,89,-10.8,24,+2.1,93,-5.3%,22,+17.8,42,+0.2,65,-5.2%,26,+24.4,25,+2.0,59,-1.4%,30,+20.4
Ryan Anderson,23.5,ORL,Big,172,70,-4.1,93,-5.0,5,+4.3%,98,-45.5,28,+0.9,7,+22.0%,60,-7.8,99,-5.9,20,+6.3%,99,-76.2
Carmelo Anthony,27.4,NYK,Forward,203,8,+13.3,0,+15.4,38,+0.9%,0,+96.4,6,+2.6,2,+36.4%,0,,1,+12.5,71,-3.4%,2,+95.2
Joel Anthony,29.2,MIA,Big,319,28,+5.1,49,+0.0,83,-3.1%,53,-0.9,68,-0.9,86,-13.3%,70,-14.9,41,+0.8,65,-2.3%,46,+1.5
Omer Asik,25.3,CHI,Big,128,80,-7.3,41,+1.0,85,-3.4%,26,+15.8,46,+0.0,35,+3.7%,57,-6.0,37,+1.0,97,-12.0%,29,+20.9
Leandro Barbosa,28.9,IND,Wing,214,23,+7.0,66,-1.2,53,-0.3%,75,-13.4,33,+0.7,26,+8.0%,47,+1.3,79,-2.4,90,-8.2%,76,-23.3
Matt Barnes,31.6,LAL,Wing,173,32,+4.3,87,-3.6,66,-1.3%,67,-10.4,67,-0.9,37,+3.4%,66,-12.5,78,-2.4,77,-4.4%,62,-7.2
