Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Kevin Durant,28.1,GSW,Forward,529,7,+13.5,12,+9.9,45,+0.5%,36,-1.5%,46,+0.0,42,+1.2,63,-9.4
James Ennis,26.3,MEM,Forward,158,17,+8.8,11,+10.6,78,-4.3%,68,+1.3%,55,-1.6,83,-4.6,18,+31.3
Derrick Favors,25.3,UTA,Big,194,25,+6.6,53,-0.6,6,+11.2%,83,+3.3%,85,-8.6,31,+2.7,96,-92.3
Raymond Felton,32.4,LAC,Combo,102,15,+9.1,6,+17.4,41,+1.0%,59,+0.7%,95,-17.5,67,-2.4,100,-134.5
Channing Frye,33.5,CLE,Big,111,2,+21.3,2,+22.8,11,+6.4%,75,+2.5%,37,+2.8,24,+3.8,53,-2.5
Marc Gasol,31.8,MEM,Big,238,15,+9.4,66,-4.8,37,+1.8%,0,-11.3%,2,+17.3,2,+13.1,90,-54.8
Pau Gasol,36.3,SAS,Big,364,46,-0.1,52,-0.5,35,+2.0%,41,-1.2%,64,-2.8,53,-0.1,70,-20.4
Paul George,26.5,IND,Forward,171,41,+1.2,37,+1.7,1,+18.3%,1,-9.0%,8,+13.2,1,+15.6,0,
Taj Gibson,31.4,OKC,Big,118,96,-21.8,95,-23.1,53,-0.7%,46,-0.8%,77,-5.4,29,+2.8,89,-52.5
Manu Ginobili,39.3,SAS,Wing,282,56,-2.1,61,-3.4,33,+2.2%,53,-0.0%,24,+6.0,25,+3.7,37,+8.3
Rudy Gobert,24.4,UTA,Big,231,65,-4.0,47,+0.6,98,-11.7%,7,-4.9%,20,+6.8,76,-3.1,5,+85.2
Eric Gordon,27.9,HOU,Wing,355,23,+7.8,14,+7.4,72,-3.5%,76,+2.5%,81,-6.0,72,-2.7,65,-14.6
Marcin Gortat,32.7,WAS,Big,369,89,-14.0,80,-8.4,50,-0.5%,93,+4.4%,53,-0.9,85,-4.7,27,+23.2
Jerami Grant,22.6,OKC,Forward,106,0,+35.2,0,+41.0,19,+5.0%,89,+4.0%,2,+17.0,19,+4.7,12,+52.4
Danny Green,29.4,SAS,Wing,434,42,+1.0,46,+0.7,61,-1.5%,33,-1.9%,43,+1.5,64,-1.9,20,+25.5
Draymond Green,26.7,GSW,Big,590,93,-20.1,89,-14.6,88,-6.5%,99,+5.9%,84,-7.3,96,-7.6,43,+5.6
Gerald Green,30.8,BOS,Wing,147,67,-4.3,85,-11.3,56,-1.0%,44,-1.1%,42,+1.5,50,+0.4,46,+2.6
JaMychal Green,26.4,MEM,Big,117,19,+8.7,43,+1.2,47,+0.3%,73,+1.8%,14,+10.2,18,+4.9,30,+18.8
Tim Hardaway Jr.,24.6,ATL,Wing,198,80,-9.0,49,+0.5,89,-6.8%,35,-1.5%,38,+2.5,75,-3.1,16,+36.4
James Harden,27.2,HOU,Combo,405,69,-5.4,83,-8.7,10,+7.1%,28,-2.4%,19,+7.3,30,+2.7,26,+23.6
Andrew Harrison,22.0,MEM,Combo,106,1,+31.9,2,+19.2,20,+4.9%,51,-0.2%,48,-0.4,37,+1.9,72,-21.7
Gordon Hayward,26.6,UTA,Wing,367,21,+8.1,50,+0.4,32,+2.3%,15,-3.2%,50,-0.7,58,-1.2,42,+5.7
Nene Hilario,34.1,HOU,Big,160,80,-9.9,87,-11.7,74,-3.7%,21,-2.8%,67,-4.2,73,-2.9,57,-5.8
George Hill,30.5,UTA,Point,246,60,-3.2,63,-3.5,15,+5.6%,43,-1.1%,52,-0.8,20,+4.4,88,-51.9
Rodney Hood,24.0,UTA,Wing,254,16,+8.8,9,+11.8,44,+0.6%,45,-0.9%,17,+8.4,35,+2.3,15,+44.0
Al Horford,30.4,BOS,Big,573,8,+12.2,18,+7.0,25,+3.6%,18,-3.0%,25,+5.8,24,+3.8,40,+7.2
Dwight Howard,30.9,ATL,Big,155,34,+3.4,33,+2.6,62,-1.8%,37,-1.4%,41,+1.9,13,+6.1,77,-28.6
Serge Ibaka,27.1,TOR,Big,305,30,+4.5,34,+2.5,33,+2.2%,87,+3.7%,61,-2.5,68,-2.5,50,-0.2
Andre Iguodala,32.8,GSW,Wing,417,28,+4.7,23,+5.9,40,+1.3%,63,+1.0%,44,+1.2,65,-2.0,29,+20.7
Joe Ingles,29.1,UTA,Wing,296,92,-17.2,92,-17.3,67,-2.2%,69,+1.4%,80,-5.9,54,-0.6,83,-39.7
Kyrie Irving,24.6,CLE,Point,652,32,+4.2,29,+3.9,46,+0.4%,30,-2.3%,30,+4.4,26,+3.5,34,+12.6
LeBron James,31.8,CLE,Forward,742,86,-13.3,71,-5.6,77,-4.2%,79,+2.9%,75,-5.0,57,-1.2,76,-25.5
Richard Jefferson,36.4,CLE,Forward,144,18,+8.7,73,-5.9,17,+5.5%,48,-0.6%,40,+2.0,33,+2.4,49,+0.2
Brandon Jennings,27.1,WAS,Combo,156,13,+10.0,24,+5.4,39,+1.4%,33,-1.8%,41,+2.0,28,+3.1,61,-7.5
Amir Johnson,29.5,BOS,Big,127,41,+1.4,41,+1.5,4,+12.4%,32,-2.0%,35,+3.9,16,+5.3,60,-7.3
Joe Johnson,35.3,UTA,Forward,295,11,+10.5,19,+6.7,16,+5.6%,58,+0.3%,31,+4.2,38,+1.8,32,+16.7
DeAndre Jordan,28.3,LAC,Big,224,33,+3.4,72,-5.8,24,+4.1%,22,-2.7%,6,+14.7,28,+2.8,3,+110.0
Cory Joseph,25.2,TOR,Combo,205,43,+0.9,35,+2.4,76,-4.0%,92,+4.3%,88,-8.8,82,-4.4,81,-37.9
Kyle Korver,35.6,CLE,Wing,312,49,-0.6,41,+1.5,63,-2.0%,37,-1.4%,58,-2.0,79,-3.5,38,+7.7
David Lee,33.5,SAS,Big,237,71,-5.7,62,-3.5,85,-5.5%,96,+5.0%,93,-10.2,92,-6.3,73,-21.9
Kawhi Leonard,25.3,SAS,Wing,428,82,-10.0,86,-11.5,52,-0.6%,84,+3.4%,89,-8.8,63,-1.9,86,-46.2
Damian Lillard,26.3,POR,Point,150,3,+19.9,1,+27.6,98,-12.2%,2,-6.4%,78,-5.5,11,+6.6,99,-133.3
Shaun Livingston,31.1,GSW,Combo,201,22,+8.0,27,+4.3,12,+6.1%,64,+1.1%,32,+4.1,20,+4.6,58,-5.9
Robin Lopez,28.6,CHI,Big,161,26,+5.9,20,+6.4,2,+15.5%,11,-4.3%,11,+11.6,2,+15.0,85,-40.9
Kevin Love,28.2,CLE,Big,576,77,-8.3,57,-1.8,86,-6.3%,47,-0.7%,46,+0.6,59,-1.3,35,+10.9
Kyle Lowry,30.6,TOR,Point,299,78,-8.4,58,-2.2,65,-2.2%,16,-3.2%,50,-0.7,50,+0.3,59,-6.3
Shelvin Mack,26.5,UTA,Point,141,37,+2.8,22,+6.0,100,-13.7%,93,+4.4%,73,-4.8,98,-8.6,6,+72.6
Thon Maker,19.7,MIL,Big,114,55,-2.1,70,-5.4,59,-1.1%,9,-4.5%,18,+7.5,14,+5.7,19,+28.6
Luc Mbah a Moute,30.1,LAC,Forward,208,46,-0.3,76,-6.2,84,-5.5%,70,+1.4%,3,+16.4,39,+1.7,2,+133.3
Patrick McCaw,21.0,GSW,Wing,138,76,-8.2,84,-9.9,54,-0.7%,3,-5.8%,60,-2.4,40,+1.7,75,-23.4
CJ McCollum,25.1,POR,Combo,138,85,-12.0,79,-7.7,96,-10.7%,72,+1.8%,28,+5.0,88,-4.8,7,+60.0
JaVale McGee,28.8,GSW,Big,144,39,+2.2,50,+0.4,27,+3.4%,6,-5.3%,56,-1.8,17,+5.3,80,-35.1
Khris Middleton,25.2,MIL,Wing,230,64,-4.0,78,-7.3,82,-5.0%,28,-2.4%,36,+3.5,56,-1.2,13,+50.0
Patty Mills,28.2,SAS,Point,414,27,+5.6,28,+4.1,50,-0.4%,24,-2.6%,34,+3.9,15,+5.4,72,-21.6
Paul Millsap,31.7,ATL,Big,218,76,-8.1,55,-1.4,54,-0.8%,23,-2.7%,59,-2.0,78,-3.5,45,+4.0
Nikola Mirotic,25.7,CHI,Big,161,11,+11.8,13,+9.8,11,+7.0%,7,-5.3%,4,+15.3,4,+11.2,28,+21.1
Greg Monroe,26.4,MIL,Big,140,58,-2.9,44,+1.1,46,+0.4%,98,+5.3%,74,-4.8,84,-4.6,62,-8.3
Markieff Morris,27.2,WAS,Big,361,95,-20.7,90,-14.6,85,-5.7%,59,+0.4%,69,-4.3,67,-2.4,64,-13.0
Dejounte Murray,20.1,SAS,Combo,132,48,-0.4,24,+5.3,14,+5.7%,38,-1.3%,80,-5.9,60,-1.4,79,-29.2
Victor Oladipo,24.5,OKC,Wing,179,90,-14.7,94,-21.8,57,-1.0%,2,-7.0%,9,+12.6,6,+8.3,47,+1.2
Kelly Olynyk,25.5,BOS,Big,310,61,-3.3,54,-0.8,51,-0.6%,63,+0.9%,66,-3.9,51,+0.2,68,-19.6
Kelly Oubre,20.9,WAS,Wing,145,2,+23.4,7,+16.6,3,+12.9%,11,-4.3%,16,+8.8,5,+8.7,48,+0.2
Zaza Pachulia,32.7,GSW,Big,198,63,-3.6,54,-0.8,75,-3.7%,80,+3.0%,51,-0.8,71,-2.6,33,+12.8
Tony Parker,34.5,SAS,Point,211,75,-7.8,67,-4.9,92,-7.7%,86,+3.6%,72,-4.6,94,-7.5,14,+44.4
Patrick Patterson,27.6,TOR,Big,181,28,+4.8,15,+7.1,34,+2.1%,50,-0.3%,22,+6.4,27,+3.2,20,+25.4
Chris Paul,31.5,LAC,Point,220,70,-5.7,93,-18.3,13,+5.7%,57,+0.2%,0,+23.7,43,+1.2,2,+210.5
Otto Porter,23.4,WAS,Forward,386,87,-13.5,85,-10.8,90,-6.9%,90,+4.0%,63,-2.8,80,-3.9,41,+6.6
Bobby Portis,21.7,CHI,Big,106,68,-5.3,81,-8.5,94,-10.0%,85,+3.5%,86,-8.7,100,-12.3,15,+36.9
Norman Powell,23.4,TOR,Wing,212,63,-3.6,67,-5.0,63,-2.0%,74,+2.4%,33,+4.0,85,-4.7,10,+56.8
Taurean Prince,22.6,ATL,Forward,185,59,-3.0,40,+1.6,64,-2.2%,56,+0.2%,70,-4.5,69,-2.5,66,-15.9
Zach Randolph,35.3,MEM,Big,189,89,-13.7,59,-2.8,73,-3.5%,77,+2.7%,97,-19.3,99,-11.5,63,-12.9
JJ Redick,32.4,LAC,Wing,183,7,+13.3,4,+17.7,38,+1.7%,52,-0.1%,7,+13.2,21,+4.2,7,+62.5
Andre Roberson,24.9,OKC,Wing,185,98,-27.2,89,-14.3,93,-8.4%,98,+5.7%,100,-37.9,98,-10.7,97,-94.8
Terry Rozier,22.6,BOS,Combo,209,84,-10.3,45,+0.9,72,-3.5%,78,+2.9%,90,-9.7,76,-3.3,80,-29.4
Dennis Schroder,23.1,ATL,Point,210,5,+14.3,3,+19.0,93,-8.8%,31,-2.1%,94,-15.1,54,-0.3,98,-110.3
Iman Shumpert,26.4,CLE,Combo,249,47,-0.3,39,+1.6,49,+0.0%,41,-1.2%,76,-5.4,47,+0.8,85,-41.3
Jonathon Simmons,27.1,SAS,Wing,279,37,+3.0,51,-0.5,55,-0.9%,54,+0.0%,15,+9.1,46,+0.9,11,+55.5
Marcus Smart,22.7,BOS,Wing,486,57,-2.2,30,+3.5,97,-10.9%,91,+4.2%,89,-9.0,91,-6.3,59,-6.0
JR Smith,31.1,CLE,Wing,485,36,+3.3,37,+1.8,41,+1.2%,50,-0.4%,45,+0.8,41,+1.4,51,-2.4
Jason Smith,30.7,WAS,Big,131,20,+8.1,25,+4.9,18,+5.2%,25,-2.6%,79,-5.6,23,+3.9,91,-55.1
Tony Snell,25.0,MIL,Wing,184,9,+12.0,38,+1.7,8,+9.2%,5,-5.3%,10,+11.6,11,+6.5,4,+106.7
Lance Stephenson,26.2,IND,Wing,107,52,-1.6,20,+6.6,80,-4.9%,100,+9.1%,96,-18.1,95,-7.6,93,-76.7
Jeff Teague,28.4,IND,Point,142,91,-15.7,98,-35.2,0,+21.5%,4,-5.6%,5,+15.1,0,+17.7,0,
Isaiah Thomas,27.7,BOS,Point,477,72,-6.0,91,-15.4,9,+7.8%,20,-2.9%,7,+13.2,15,+5.6,17,+36.1
Klay Thompson,26.7,GSW,Wing,592,73,-7.0,69,-5.4,76,-3.9%,65,+1.2%,57,-1.8,86,-4.7,31,+17.1
Tristan Thompson,25.6,CLE,Big,560,62,-3.6,72,-5.8,66,-2.2%,81,+3.2%,54,-1.5,77,-3.4,39,+7.5
PJ Tucker,31.5,TOR,Forward,250,83,-10.3,80,-7.9,60,-1.4%,85,+3.6%,72,-4.7,89,-5.1,55,-5.0
Evan Turner,28.0,POR,Wing,123,94,-20.6,96,-27.0,99,-12.6%,46,-0.7%,54,-1.5,93,-6.3,24,+24.2
Myles Turner,20.6,IND,Big,133,88,-13.6,64,-3.9,20,+4.8%,60,+0.7%,83,-7.1,52,+0.0,87,-47.6
Jonas Valanciunas,24.5,TOR,Big,221,38,+2.4,60,-2.9,36,+1.9%,14,-3.8%,47,-0.2,34,+2.4,67,-15.9
Dwyane Wade,34.8,CHI,Wing,190,93,-18.3,93,-18.2,42,+0.9%,26,-2.5%,28,+5.0,45,+1.1,28,+21.1
John Wall,26.2,WAS,Point,464,51,-1.3,32,+3.1,68,-2.5%,34,-1.8%,91,-9.9,89,-5.9,71,-21.2
David West,36.2,GSW,Big,211,53,-1.7,26,+4.7,83,-5.3%,67,+1.2%,59,-2.3,80,-3.5,37,+9.6
Russell Westbrook,28.0,OKC,Point,194,99,-51.3,100,-40.7,79,-4.3%,20,-2.9%,98,-24.3,81,-3.9,94,-89.4
Deron Williams,32.4,CLE,Point,229,74,-7.2,82,-8.7,22,+4.5%,55,+0.2%,33,+3.9,48,+0.5,25,+23.9
Lou Williams,30.0,HOU,Wing,265,44,+0.8,48,+0.5,91,-7.2%,76,+2.5%,93,-11.2,74,-3.1,82,-38.1
Thaddeus Young,28.4,IND,Big,140,97,-25.5,99,-38.6,7,+10.7%,29,-2.4%,11,+11.5,9,+7.0,11,+56.1
Paul Zipser,22.7,CHI,Forward,127,24,+6.8,10,+11.4,31,+2.4%,97,+5.0%,87,-8.8,87,-4.7,69,-20.2
