Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Steven Adams,23.3,OKC,Big,156,98,-33.9,97,-33.8,70,-3.3%,54,+0.1%,99,-29.2,97,-8.4,93,-80.9
LaMarcus Aldridge,31.3,SAS,Big,535,45,+0.2,76,-6.2,23,+4.5%,8,-4.5%,21,+6.4,7,+7.4,78,-28.8
Al-Farouq Aminu,26.1,POR,Big,111,66,-4.2,75,-6.2,95,-10.2%,94,+4.5%,27,+5.0,37,+2.0,24,+24.2
Kyle Anderson,23.1,SAS,Wing,150,31,+4.4,17,+7.0,21,+4.6%,19,-3.0%,23,+6.2,22,+4.0,36,+10.5
Ryan Anderson,28.5,HOU,Big,328,59,-3.0,11,+9.9,87,-6.3%,95,+4.8%,92,-10.1,93,-7.5,54,-2.6
Giannis Antetokounmpo,21.9,MIL,Forward,242,33,+4.0,15,+7.2,59,-1.2%,89,+4.0%,85,-7.7,66,-2.3,89,-53.3
Trevor Ariza,31.3,HOU,Forward,412,14,+9.5,36,+2.3,26,+3.5%,15,-3.7%,1,+18.3,7,+7.8,8,+60.0
Kent Bazemore,27.3,ATL,Wing,149,54,-2.0,88,-13.4,15,+5.6%,82,+3.3%,67,-4.1,59,-1.3,74,-22.3
Bradley Beal,23.3,WAS,Wing,464,79,-8.9,28,+4.2,69,-3.2%,88,+4.0%,63,-2.8,63,-1.8,56,-5.2
Patrick Beverley,28.3,HOU,Point,323,50,-0.8,68,-5.3,5,+11.6%,10,-4.4%,13,+11.2,8,+7.3,33,+16.3
Bojan Bogdanovic,27.5,WAS,Forward,230,20,+8.5,21,+6.1,48,+0.1%,27,-2.5%,37,+2.6,33,+2.4,46,+1.7
Avery Bradley,25.9,BOS,Combo,604,6,+13.9,8,+12.5,24,+4.3%,24,-2.6%,12,+11.5,12,+6.3,21,+25.3
Malcolm Brogdon,23.9,MIL,Combo,177,40,+2.1,56,-1.4,71,-3.4%,13,-3.8%,68,-4.3,41,+1.5,92,-70.8
Jaylen Brown,20.0,BOS,Wing,168,35,+3.3,33,+3.0,30,+2.4%,61,+0.7%,82,-6.1,70,-2.6,67,-17.6
Jimmy Butler,27.1,CHI,Wing,238,12,+10.4,7,+13.8,2,+16.6%,42,-1.1%,24,+6.0,3,+12.2,98,-100.0
Clint Capela,22.5,HOU,Big,285,50,-1.0,46,+0.9,43,+0.6%,62,+0.8%,39,+2.1,44,+1.1,44,+4.4
DeMarre Carroll,30.3,TOR,Forward,149,24,+7.4,16,+7.1,81,-4.9%,17,-3.1%,71,-4.6,36,+2.1,84,-40.9
Vince Carter,39.8,MEM,Wing,194,4,+14.4,5,+17.4,37,+1.7%,72,+1.7%,29,+4.9,46,+1.0,22,+24.5
Ian Clark,25.7,GSW,Combo,174,72,-6.0,31,+3.3,89,-6.5%,67,+1.2%,49,-0.6,62,-1.7,41,+5.8
Mike Conley,29.1,MEM,Point,222,100,-51.4,98,-36.3,29,+2.9%,40,-1.3%,62,-2.6,55,-1.0,54,-3.8
Jamal Crawford,36.6,LAC,Wing,162,67,-5.0,42,+1.5,58,-1.0%,71,+1.6%,98,-20.3,90,-6.0,95,-89.5
Jae Crowder,26.3,BOS,Forward,557,54,-1.9,65,-4.5,67,-2.4%,49,-0.4%,26,+5.6,49,+0.5,23,+24.5
Stephen Curry,28.6,GSW,Point,598,10,+11.9,59,-2.2,7,+9.5%,12,-4.1%,20,+7.0,10,+6.8,50,-2.2
DeMar DeRozan,27.2,TOR,Wing,372,29,+4.6,77,-6.7,28,+3.2%,39,-1.3%,15,+9.3,32,+2.5,9,+57.2
Matthew Dellavedova,26.1,MIL,Point,156,81,-9.9,63,-3.5,28,+3.1%,80,+3.2%,65,-2.9,72,-2.9,52,-2.5
Boris Diaw,34.5,UTA,Big,184,85,-13.1,74,-6.1,80,-4.7%,66,+1.2%,76,-5.4,61,-1.6,76,-28.2
