Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,32.3,BOS,Wing,984,81,-8.5,37,+0.8,48,+0.2%,48,+3.0,64,-0.5,85,-15.9%,49,+1.9,30,+1.3,42,+2.1%,39,+9.0
Rafer Alston,31.3,HOU,Point,125,52,-1.1,33,+1.2,19,+1.9%,34,+8.7,80,-1.4,56,-1.1%,97,-83.3,6,+3.4,26,+4.7%,3,+72.0
Carmelo Anthony,23.4,DEN,Forward,146,74,-6.3,18,+2.5,82,-2.5%,16,+26.3,28,+0.9,5,+28.6%,79,-38.5,43,+0.4,94,-13.0%,21,+24.1
Leandro Barbosa,24.9,PHX,Combo,137,5,+14.8,11,+3.2,53,-0.1%,13,+30.4,27,+1.0,92,-25.6%,5,+66.7,15,+2.3,53,+0.5%,28,+18.9
Andrea Bargnani,22.0,TOR,Big,103,21,+7.3,4,+4.4,0,+10.8%,62,-3.2,3,+3.3,7,+25.0%,8,+60.0,33,+1.1,0,+23.5%,71,-20.5
Brent Barry,35.8,SAS,Wing,190,31,+4.3,40,+0.4,61,-0.4%,37,+8.1,57,-0.2,57,-1.2%,48,+2.6,51,-0.1,27,+4.5%,45,+4.5
Brandon Bass,22.5,DAL,Big,131,68,-4.2,24,+2.0,76,-1.5%,25,+17.8,2,+3.8,52,-0.5%,4,+69.2,74,-1.8,56,-0.3%,52,-2.7
Shane Battier,29.1,HOU,Forward,245,11,+10.0,44,+0.1,98,-6.5%,31,+11.1,97,-3.5,94,-30.5%,77,-35.0,7,+3.2,82,-4.9%,7,+55.0
Raja Bell,31.1,PHX,Wing,212,20,+7.6,88,-3.1,75,-1.5%,36,+8.1,19,+1.3,34,+5.8%,10,+57.1,97,-4.4,52,+0.7%,64,-9.6
Mike Bibby,29.5,ATL,Point,250,88,-9.8,13,+3.1,54,-0.1%,11,+33.3,66,-0.5,62,-3.3%,48,+2.1,4,+3.9,23,+5.7%,2,+77.3
Chauncey Billups,31.1,DET,Point,479,33,+3.8,89,-3.5,55,-0.1%,86,-32.1,92,-2.9,64,-3.7%,93,-65.5,58,-0.5,48,+1.1%,62,-8.9
Keith Bogans,27.5,ORL,Wing,291,61,-2.7,80,-2.3,68,-1.2%,63,-7.4,91,-2.7,78,-10.4%,80,-40.6,47,+0.1,43,+1.9%,32,+16.1
Carlos Boozer,25.9,UTA,Big,440,52,-1.0,43,+0.1,17,+2.1%,32,+10.9,76,-1.1,32,+6.5%,76,-35.0,38,+0.8,17,+7.6%,19,+30.2
Chris Bosh,23.6,TOR,Big,198,1,+25.3,2,+8.6,2,+6.6%,0,+107.6,0,,0,+62.5%,0,,0,+7.0,25,+4.7%,1,+106.7
Bruce Bowen,36.4,SAS,Wing,505,66,-3.7,75,-1.7,39,+0.7%,76,-21.3,26,+1.0,52,-0.6%,23,+35.0,88,-2.8,66,-1.9%,93,-53.8
Ronnie Brewer,22.6,UTA,Wing,304,63,-3.0,59,-0.6,56,-0.2%,57,-1.9,75,-1.0,66,-4.6%,68,-24.1,34,+1.0,40,+2.5%,29,+18.7
