Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,32.3,BOS,Wing,984,33,-2.8,50,+0.2,67,+1.7%,51,-2.2,19,-1.4,30,-8.8%,25,-37.5,75,+1.3,75,+6.2%,84,+34.3
Rafer Alston,31.3,HOU,Point,125,39,-1.8,57,+0.6,11,-5.1%,88,+28.1,91,+2.5,65,+4.5%,81,+48.9,19,-1.9,5,-15.6%,40,-8.4
Carmelo Anthony,23.4,DEN,Forward,146,5,-15.3,11,-3.6,87,+4.3%,10,-31.4,41,-0.3,72,+7.6%,32,-27.3,10,-3.3,93,+11.8%,20,-29.5
Leandro Barbosa,24.9,PHX,Combo,137,35,-2.1,7,-4.3,78,+3.2%,5,-51.3,51,-0.1,100,+46.2%,35,-22.2,7,-4.3,81,+8.2%,11,-58.5
Andrea Bargnani,22.0,TOR,Big,103,8,-12.5,30,-1.4,23,-2.9%,34,-11.1,44,-0.3,19,-14.1%,56,+8.0,39,-0.6,30,-4.3%,35,-15.3
Brent Barry,35.8,SAS,Wing,190,85,+12.8,80,+2.0,63,+1.4%,54,+0.5,47,-0.2,17,-14.7%,74,+38.0,82,+2.0,84,+8.9%,48,-2.5
Brandon Bass,22.5,DAL,Big,131,74,+8.0,98,+9.5,56,+0.4%,97,+66.5,70,+1.0,9,-23.9%,68,+28.6,99,+8.5,66,+3.8%,97,+84.0
Shane Battier,29.1,HOU,Forward,245,93,+18.4,32,-1.3,58,+0.6%,68,+10.5,52,-0.1,66,+5.6%,49,-4.2,33,-1.3,53,+0.3%,75,+24.0
Raja Bell,31.1,PHX,Wing,212,89,+16.0,90,+3.5,2,-9.4%,84,+23.9,6,-3.5,0,-63.6%,5,-67.9,98,+7.0,9,-12.8%,94,+61.4
Mike Bibby,29.5,ATL,Point,250,84,+12.5,62,+0.9,80,+3.4%,25,-16.7,94,+2.9,46,-2.4%,97,+133.3,17,-2.2,92,+11.2%,8,-63.3
Chauncey Billups,31.1,DET,Point,479,55,+1.6,19,-2.2,44,-0.8%,18,-21.8,9,-2.8,49,-0.8%,10,-58.7,60,+0.4,67,+3.9%,58,+4.5
Keith Bogans,27.5,ORL,Wing,291,52,+1.3,5,-5.6,2,-7.9%,11,-29.7,7,-3.3,6,-28.5%,20,-42.0,16,-2.3,4,-17.3%,27,-20.2
Carlos Boozer,25.9,UTA,Big,440,43,-1.5,48,+0.1,30,-2.3%,67,+10.1,28,-0.9,25,-9.8%,39,-16.7,67,+0.9,25,-5.9%,74,+23.5
Chris Bosh,23.6,TOR,Big,198,7,-14.0,31,-1.4,84,+3.8%,2,-65.9,74,+1.3,91,+22.9%,18,-44.4,14,-2.4,76,+6.5%,5,-77.3
Bruce Bowen,36.4,SAS,Wing,505,14,-8.7,18,-2.3,53,+0.1%,19,-20.4,30,-0.7,16,-17.1%,43,-14.7,30,-1.4,52,+0.3%,32,-18.7
Ronnie Brewer,22.6,UTA,Wing,304,40,-1.6,87,+3.2,54,+0.3%,91,+34.4,49,-0.1,40,-3.3%,46,-12.8,89,+2.8,34,-3.5%,93,+57.8
P.J. Brown,38.0,BOS,Big,329,10,-11.0,42,-0.6,25,-2.8%,57,+2.5,38,-0.4,26,-9.0%,54,+5.9,47,-0.2,40,-2.2%,54,+2.5
Kobe Bryant,29.2,LAL,Wing,859,80,+10.1,61,+0.8,93,+5.4%,50,-4.2,25,-0.9,89,+21.7%,9,-59.8,79,+1.8,88,+9.5%,79,+25.4
Caron Butler,27.6,WAS,Wing,245,34,-2.2,3,-6.5,39,-1.4%,4,-55.1,34,-0.5,89,+22.2%,100,,2,-5.9,3,-18.2%,15,-43.1
Jose Calderon,26.1,TOR,Point,118,29,-3.4,4,-5.7,7,-6.5%,25,-16.6,1,-5.8,2,-39.4%,1,-108.3,45,-0.3,16,-7.8%,77,+24.0
Marcus Camby,33.6,DEN,Big,123,18,-7.3,12,-3.5,9,-5.5%,30,-13.8,24,-1.1,94,+28.9%,7,-65.0,13,-2.4,11,-11.8%,39,-10.7
