Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,20.3,OKC,Big,300,19,-6.1,21,-2.0,11,-3.1%,32,-8.5,36,-0.5,60,+4.1%,46,+0.8,23,-1.3,9,-8.1%,36,-7.5
LaMarcus Aldridge,28.3,POR,Big,440,89,+14.7,28,-1.4,38,-1.0%,36,-6.1,54,+0.3,9,-19.6%,36,-8.3,20,-1.6,37,-2.3%,35,-8.1
Ray Allen,38.3,MIA,Wing,526,71,+5.2,3,-4.6,19,-2.0%,5,-34.5,78,+1.4,47,-1.5%,79,+34.7,0,-5.7,26,-4.1%,2,-77.7
Tony Allen,31.8,MEM,Wing,230,92,+16.4,95,+4.7,95,+4.8%,81,+20.2,71,+1.1,78,+10.6%,6,-47.3,95,+3.6,81,+6.0%,97,+77.4
Chris Andersen,35.3,MIA,Big,316,44,-0.9,12,-2.6,9,-3.6%,26,-13.0,57,+0.6,22,-10.9%,72,+26.0,6,-2.9,10,-7.7%,13,-35.6
Alan Anderson,31.0,BKN,Wing,257,12,-9.4,48,-0.1,66,+1.1%,23,-15.3,74,+1.3,64,+5.9%,53,+5.6,9,-2.3,40,-2.2%,6,-45.2
Pero Antic,31.3,ATL,Big,169,74,+8.3,2,-6.0,65,+1.1%,2,-44.5,21,-1.2,84,+13.3%,16,-34.8,4,-4.5,18,-5.7%,5,-46.6
Trevor Ariza,28.3,WAS,Wing,407,58,+1.3,64,+1.2,78,+2.4%,64,+8.7,17,-1.3,6,-20.2%,13,-37.9,86,+2.5,87,+7.6%,95,+53.2
Omer Asik,27.3,HOU,Big,162,70,+5.1,94,+4.4,47,-0.4%,92,+33.3,86,+1.9,91,+22.0%,77,+31.2,87,+2.6,5,-9.5%,85,+36.5
D.J. Augustin,26.0,CHI,Point,140,88,+14.6,71,+1.5,46,-0.5%,47,0.0,69,+1.0,56,+3.3%,67,+17.5,50,+0.2,24,-4.2%,22,-20.6
Harrison Barnes,21.4,GSW,Forward,141,88,+14.1,50,+0.3,22,-1.8%,71,+10.7,48,+0.0,67,+6.3%,74,+29.2,47,-0.1,27,-3.8%,42,-3.7
Matt Barnes,33.6,LAC,Forward,400,28,-4.4,31,-1.2,5,-4.8%,45,-1.1,73,+1.2,53,+2.3%,47,+1.0,8,-2.5,3,-11.6%,39,-5.9
Shane Battier,35.1,MIA,Wing,191,67,+3.9,60,+0.8,40,-0.9%,67,+9.8,52,+0.2,75,+9.3%,61,+10.6,50,+0.2,8,-8.6%,63,+11.3
Nicolas Batum,24.9,POR,Wing,458,86,+12.6,47,-0.2,10,-3.2%,51,+1.4,9,-1.7,59,+3.9%,5,-53.3,75,+1.6,2,-13.9%,65,+12.5
Bradley Beal,20.3,WAS,Wing,454,76,+8.7,38,-0.8,84,+3.2%,68,+10.3,98,+4.1,88,+16.5%,95,+95.2,2,-4.9,82,+6.0%,5,-47.9
Marco Belinelli,27.6,SAS,Wing,308,9,-11.3,32,-1.2,29,-1.4%,42,-2.9,29,-0.8,33,-6.1%,63,+10.9,36,-0.5,73,+3.5%,40,-5.4
Patrick Beverley,25.3,HOU,Combo,202,42,-1.6,16,-2.3,26,-1.6%,39,-5.2,56,+0.4,36,-5.4%,62,+10.7,21,-1.4,43,-1.2%,49,-1.0
Andray Blatche,27.2,BKN,Big,171,49,+0.2,45,-0.3,59,+0.5%,29,-10.7,64,+0.8,58,+3.8%,57,+6.3,26,-1.2,16,-6.1%,21,-26.3
Trevor Booker,25.9,WAS,Big,141,52,+0.6,78,+2.1,36,-1.1%,33,-8.3,35,-0.5,5,-20.2%,55,+5.9,88,+2.6,52,+0.5%,29,-14.0
Carlos Boozer,31.9,CHI,Big,120,8,-11.4,19,-2.2,33,-1.3%,19,-18.1,8,-2.1,7,-20.0%,9,-44.4,52,+0.4,65,+2.4%,55,+4.8
Chris Bosh,29.6,MIA,Big,684,19,-6.1,37,-0.8,32,-1.3%,35,-6.5,14,-1.4,19,-11.5%,24,-25.1,57,+0.6,58,+1.2%,54,+4.2
Caron Butler,33.6,OKC,Wing,413,36,-2.9,40,-0.6,14,-2.7%,52,+2.2,49,+0.1,82,+12.1%,50,+3.5,31,-0.8,16,-6.0%,45,-2.7
Jimmy Butler,24.1,CHI,Wing,217,23,-4.8,15,-2.4,73,+1.8%,47,0.0,1,-3.6,3,-27.4%,42,-3.3,100,,99,+17.2%,100,
Jose Calderon,32.1,DAL,Point,191,82,+10.2,62,+1.1,90,+4.1%,58,+5.9,92,+2.4,97,+34.3%,92,+77.9,29,-0.9,59,+1.6%,20,-28.8
DeMarre Carroll,27.3,ATL,Wing,245,26,-4.6,6,-3.6,57,+0.4%,4,-34.7,68,+0.9,95,+28.6%,52,+4.8,2,-4.7,4,-10.1%,9,-41.5
Vince Carter,36.8,DAL,Wing,190,53,+0.8,30,-1.2,51,-0.1%,12,-22.0,5,-2.6,10,-18.3%,3,-74.1,64,+1.0,54,+0.8%,61,+10.8
Mario Chalmers,27.5,MIA,Point,528,62,+2.2,40,-0.6,67,+1.1%,29,-10.4,12,-1.5,57,+3.8%,19,-31.2,64,+1.0,78,+4.1%,50,+0.8
Norris Cole,25.1,MIA,Combo,393,60,+2.0,67,+1.4,21,-1.9%,81,+19.6,84,+1.8,51,+0.7%,81,+36.7,36,-0.5,12,-7.0%,67,+13.5
Darren Collison,26.2,LAC,Combo,222,16,-8.7,33,-1.1,62,+0.7%,50,+0.4,37,-0.4,76,+9.6%,50,+3.7,30,-0.9,53,+0.6%,43,-3.2
Nick Collison,33.0,OKC,Big,172,2,-18.0,7,-3.5,49,-0.3%,14,-21.7,9,-1.6,9,-18.7%,22,-26.5,15,-2.1,49,-0.3%,26,-15.5
Mike Conley,26.1,MEM,Point,266,27,-4.5,12,-2.5,70,+1.3%,16,-21.2,59,+0.7,95,+29.8%,17,-34.3,10,-2.3,33,-3.1%,33,-8.9
Jamal Crawford,33.6,LAC,Combo,301,35,-3.5,13,-2.5,79,+2.5%,19,-19.1,19,-1.2,66,+6.3%,41,-3.7,25,-1.2,75,+3.6%,18,-30.0
Stephen Curry,25.6,GSW,Point,296,100,+42.6,100,+9.4,76,+2.3%,100,+96.1,98,,99,+73.9%,98,,99,+9.8,67,+2.8%,99,+103.8
Samuel Dalembert,33.5,DAL,Big,134,12,-9.6,68,+1.4,67,+1.2%,74,+14.2,88,+2.0,92,+22.2%,85,+50.0,43,-0.2,39,-2.2%,44,-2.9
Glen Davis,27.8,LAC,Big,143,5,-13.7,22,-2.0,88,+3.8%,20,-17.0,4,-2.6,43,-3.9%,16,-36.5,59,+0.6,89,+8.4%,40,-5.0
DeMar DeRozan,24.2,TOR,Wing,281,77,+9.0,65,+1.3,15,-2.6%,78,+16.3,45,-0.1,81,+11.7%,51,+3.8,71,+1.4,14,-6.3%,78,+27.2
Boris Diaw,31.5,SAS,Big,595,60,+1.4,35,-0.9,33,-1.2%,41,-2.9,43,-0.2,63,+5.6%,33,-12.5,32,-0.7,26,-3.9%,48,-1.0
Tim Duncan,37.5,SAS,Big,750,33,-3.7,52,+0.4,18,-2.0%,61,+6.7,55,+0.4,67,+6.4%,60,+10.0,44,-0.1,22,-4.7%,47,-1.9
Mike Dunleavy,33.1,CHI,Wing,162,4,-15.0,53,+0.4,83,+3.2%,59,+6.2,36,-0.4,29,-7.1%,21,-27.8,53,+0.5,84,+6.8%,88,+38.5
Kevin Durant,25.1,OKC,Forward,813,95,+18.3,69,+1.5,43,-0.7%,57,+5.8,40,-0.3,22,-10.5%,43,-0.7,74,+1.6,60,+1.7%,57,+8.0
Monta Ellis,28.0,DAL,Wing,249,7,-12.6,44,-0.4,64,+1.0%,33,-7.1,80,+1.6,77,+10.4%,92,+77.9,18,-1.8,64,+2.1%,2,-83.6
Derek Fisher,39.2,OKC,Combo,262,29,-4.4,20,-2.1,20,-1.9%,26,-13.2,19,-1.2,57,+3.7%,19,-31.3,33,-0.7,22,-4.7%,36,-7.9
Kevin Garnett,37.5,BKN,Big,249,50,+0.2,72,+1.6,77,+2.4%,76,+15.8,25,-0.9,60,+4.6%,22,-27.3,84,+2.3,81,+5.9%,89,+39.8
Marc Gasol,28.8,MEM,Big,299,47,-0.3,14,-2.4,5,-4.1%,55,+4.7,97,+3.1,24,-10.0%,91,+77.7,5,-4.3,30,-3.2%,7,-44.9
Paul George,23.5,IND,Wing,779,90,+14.8,36,-0.9,74,+1.9%,10,-27.9,34,-0.5,18,-13.2%,20,-28.3,37,-0.5,68,+3.1%,22,-23.5
Taj Gibson,28.4,CHI,Big,153,93,+17.5,50,+0.3,25,-1.7%,47,0.0,82,+1.8,81,+11.8%,84,+44.4,29,-1.0,19,-5.6%,22,-20.6
Manu Ginobili,36.3,SAS,Wing,585,83,+10.3,27,-1.5,44,-0.6%,22,-16.6,16,-1.3,44,-2.5%,15,-37.1,43,-0.2,38,-2.3%,38,-5.9
Drew Gooden,32.1,WAS,Big,145,79,+9.4,53,+0.4,71,+1.5%,40,-4.5,81,+1.8,88,+17.5%,44,0.0,22,-1.4,31,-3.1%,24,-20.0
Marcin Gortat,29.7,WAS,Big,381,73,+7.0,81,+2.4,84,+3.2%,94,+34.9,53,+0.2,53,+2.4%,44,0.0,84,+2.2,91,+9.8%,98,+81.3
Danny Granger,30.5,LAC,Forward,116,21,-5.7,25,-1.8,81,+2.7%,30,-10.2,26,-0.9,61,+4.9%,40,-3.8,26,-1.1,56,+1.0%,25,-16.2
Danny Green,26.4,SAS,Wing,521,29,-4.4,74,+1.7,69,+1.3%,77,+16.1,70,+1.0,47,-1.4%,70,+20.9,61,+0.6,72,+3.5%,60,+10.0
Draymond Green,23.7,GSW,Forward,225,91,+16.1,85,+3.0,86,+3.5%,82,+23.9,91,+2.2,31,-6.7%,87,+55.0,65,+1.0,78,+4.0%,66,+12.8
Blake Griffin,24.6,LAC,Big,476,81,+9.6,74,+1.6,16,-2.4%,71,+11.5,88,+2.0,68,+7.0%,65,+15.5,40,-0.2,6,-8.9%,58,+9.2
James Harden,24.2,HOU,Wing,263,98,+22.6,99,+6.7,97,+5.6%,99,+92.1,77,+1.4,98,+38.1%,98,+141.2,98,+4.5,98,+15.5%,98,+80.4
Devin Harris,30.7,DAL,Combo,173,56,+0.9,5,-3.9,7,-3.7%,5,-31.3,2,-3.2,1,-37.5%,2,-79.0,28,-1.0,50,+0.0%,30,-11.0
Udonis Haslem,33.4,MIA,Big,152,0,-20.9,58,+0.7,22,-1.8%,53,+3.8,44,-0.2,84,+14.3%,32,-14.8,63,+0.8,33,-3.0%,71,+19.5
Gerald Henderson,25.9,CHA,Wing,119,15,-9.3,1,-6.2,72,+1.7%,0,-64.3,12,-1.5,0,-38.5%,4,-66.7,5,-3.5,36,-2.3%,3,-55.6
Roy Hibbert,26.9,IND,Big,541,40,-2.1,51,+0.3,41,-0.9%,49,+0.3,64,+0.8,64,+6.0%,68,+18.8,35,-0.6,32,-3.1%,28,-15.4
Nene Hilario,31.1,WAS,Big,321,10,-10.9,5,-3.6,45,-0.5%,18,-19.1,6,-2.4,17,-13.3%,27,-20.9,24,-1.3,69,+3.2%,34,-8.5
George Hill,27.5,IND,Point,682,61,+2.1,43,-0.4,50,-0.2%,38,-5.3,22,-1.1,28,-8.3%,60,+9.7,60,+0.6,74,+3.5%,47,-2.0
Kirk Hinrich,32.8,CHI,Combo,167,25,-4.7,56,+0.6,50,-0.1%,83,+23.9,58,+0.7,35,-5.6%,86,+50.0,39,-0.4,70,+3.2%,43,-3.3
Dwight Howard,27.9,HOU,Big,231,57,+1.1,0,-9.4,2,-5.1%,2,-46.4,23,-1.1,83,+12.3%,12,-40.0,1,-5.6,5,-9.6%,12,-38.7
Serge Ibaka,24.1,OKC,Big,580,84,+12.0,70,+1.5,81,+2.8%,62,+7.7,75,+1.4,79,+10.9%,76,+31.0,49,+0.1,77,+3.7%,46,-2.7
Andre Iguodala,29.8,GSW,Wing,246,20,-5.8,96,+4.8,37,-1.0%,88,+28.8,85,+1.9,26,-8.6%,53,+5.0,93,+3.1,28,-3.7%,91,+43.0
