Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,22.3,OKC,Big,546,35,-1.6,47,-0.5,14,-3.5%,47,-2.7,19,-1.1,65,+6.5%,25,-21.0,59,+0.4,8,-7.6%,58,+3.8
LaMarcus Aldridge,30.3,SAS,Big,336,24,-4.7,15,-2.8,27,-2.1%,18,-22.0,5,-2.0,26,-10.1%,17,-35.0,45,-0.4,31,-2.1%,26,-15.9
Al-Farouq Aminu,25.1,POR,Forward,370,31,-2.4,51,+0.1,64,+1.8%,41,-5.6,14,-1.3,24,-11.1%,16,-39.6,77,+2.0,69,+4.1%,69,+18.1
Kyle Anderson,22.1,SAS,Forward,100,18,-7.9,8,-3.6,19,-2.6%,11,-29.5,29,-0.6,36,-6.4%,65,+15.7,12,-2.8,24,-3.0%,4,-63.9
Trevor Ariza,30.3,HOU,Forward,180,1,-18.3,42,-0.8,97,+6.0%,47,-2.4,13,-1.3,95,+25.5%,4,-82.4,60,+0.5,92,+11.6%,61,+9.0
Leandro Barbosa,32.9,GSW,Wing,212,42,-0.4,25,-1.6,41,-0.0%,44,-4.1,26,-0.7,84,+14.6%,44,-5.9,34,-0.9,37,-1.0%,42,-5.6
J.J. Barea,31.3,DAL,Point,100,97,+19.8,8,-3.6,8,-4.4%,5,-36.4,20,-1.0,3,-54.2%,94,+72.7,8,-3.0,70,+4.5%,1,-72.5
Harrison Barnes,23.4,GSW,Forward,720,23,-5.0,3,-5.1,25,-2.2%,7,-34.0,17,-1.2,29,-8.6%,14,-41.2,6,-3.9,27,-2.6%,17,-30.9
Matt Barnes,35.6,MEM,Forward,138,66,+4.2,62,+0.8,58,+1.4%,64,+8.7,75,+1.1,8,-22.2%,70,+25.0,100,,100,+20.9%,100,
Nicolas Batum,26.9,CHA,Wing,143,6,-12.9,3,-4.7,10,-3.8%,6,-34.9,33,-0.5,10,-20.8%,31,-16.7,4,-4.1,18,-4.6%,9,-42.8
Kent Bazemore,26.3,ATL,Wing,324,54,+2.4,33,-1.1,82,+3.4%,52,-1.1,68,+0.7,78,+13.2%,58,+6.4,22,-1.6,74,+5.6%,44,-4.3
Patrick Beverley,27.3,HOU,Point,128,79,+7.4,49,-0.2,64,+1.7%,54,+2.3,30,-0.6,75,+10.0%,36,-13.3,57,+0.4,77,+6.2%,67,+16.9
Bismack Biyombo,23.2,TOR,Big,504,67,+4.3,75,+2.4,47,+0.4%,78,+19.6,58,+0.3,72,+9.2%,52,-0.1,80,+2.2,31,-2.0%,86,+33.8
Andrew Bogut,30.9,GSW,Big,364,17,-8.0,36,-1.0,67,+1.9%,38,-9.1,47,-0.2,32,-7.8%,43,-6.3,33,-1.0,62,+2.7%,34,-10.6
Kentavious Caldwell-Pope,22.7,DET,Wing,160,81,+8.0,87,+3.6,7,-4.5%,53,0.0,64,+0.6,0,-61.1%,3,-83.3,92,+3.3,25,-2.8%,82,+28.0
DeMarre Carroll,29.3,TOR,Forward,595,83,+8.4,81,+2.7,48,+0.4%,94,+37.1,71,+0.8,46,-2.1%,75,+30.0,74,+1.8,44,-0.1%,89,+38.4
Ian Clark,24.7,GSW,Combo,109,26,-4.2,30,-1.2,62,+1.6%,42,-4.5,50,-0.2,77,+12.2%,40,-9.5,29,-1.1,60,+2.6%,49,-1.5
Allen Crabbe,23.6,POR,Wing,298,84,+8.5,56,+0.4,13,-3.6%,74,+17.1,85,+1.9,70,+9.0%,87,+59.1,25,-1.3,9,-7.4%,54,+3.0
