Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Malik Allen,25.3,MIA,Big,132,86,+14.2,37,-0.7,1,-6.1%,71,+10.8,77,+1.5,13,-12.9%,95,+94.2,16,-2.6,5,-12.3%,23,-26.1
Rafer Alston,27.3,MIA,Point,288,1,-15.1,7,-4.3,32,-0.8%,17,-23.0,50,-0.0,59,+4.3%,61,+16.3,9,-3.7,28,-3.5%,21,-30.3
Shandon Anderson,29.8,NYK,Wing,111,19,-7.0,52,+0.6,73,+2.3%,65,+9.5,30,-0.8,83,+11.9%,41,-8.6,63,+0.8,80,+7.0%,74,+20.0
Carmelo Anthony,19.4,DEN,Wing,144,27,-4.6,29,-1.4,30,-1.0%,68,+10.2,24,-1.2,88,+15.9%,68,+21.4,39,-0.3,13,-7.8%,48,+3.7
Darrell Armstrong,35.4,NOH,Point,149,14,-9.3,82,+2.4,76,+2.5%,82,+19.8,54,+0.2,95,+24.8%,37,-11.7,85,+2.5,60,+4.0%,89,+41.1
Chucky Atkins,29.2,BOS,Point,134,40,-1.2,70,+1.5,82,+3.2%,52,+5.0,39,-0.4,92,+20.0%,5,-66.7,77,+1.8,53,+2.6%,77,+22.3
Stacey Augmon,35.2,NOH,Wing,165,63,+3.6,95,+5.0,15,-2.3%,97,+46.4,93,+3.4,67,+6.5%,93,+79.5,80,+1.9,3,-13.5%,80,+28.9
Jonathan Bender,22.8,IND,Big,186,50,+1.3,43,-0.3,8,-3.9%,73,+12.5,52,+0.1,55,+2.7%,64,+19.4,40,-0.2,14,-7.7%,57,+9.2
Mike Bibby,25.5,SAC,Point,498,85,+14.2,90,+3.5,83,+3.3%,61,+8.1,92,+3.1,68,+7.0%,71,+24.0,41,-0.2,57,+3.0%,40,-2.2
Chauncey Billups,27.1,DET,Combo,882,89,+15.5,11,-3.0,49,+0.4%,9,-32.9,46,-0.2,57,+3.1%,53,+6.4,10,-2.9,71,+6.1%,9,-54.6
Mark Blount,27.9,BOS,Big,144,46,+0.8,44,-0.2,97,+5.6%,11,-28.7,51,+0.1,11,-13.5%,72,+24.6,37,-0.3,94,+13.1%,10,-53.4
Bruce Bowen,32.4,SAS,Wing,297,30,-4.2,85,+2.8,24,-1.2%,92,+35.1,20,-1.4,14,-12.5%,59,+10.8,91,+3.6,66,+5.4%,94,+52.8
Earl Boykins,27.4,DEN,Point,116,79,+10.2,98,+7.3,81,+3.2%,94,+36.4,96,+4.2,63,+5.6%,80,+38.6,89,+3.1,85,+7.9%,81,+29.7
Devin Brown,24.8,SAS,Combo,124,24,-5.4,17,-2.2,21,-1.3%,14,-25.9,79,+1.9,97,+36.2%,56,+7.5,10,-3.3,6,-11.4%,8,-58.2
P.J. Brown,34.0,NOH,Big,254,76,+8.9,50,+0.2,47,+0.2%,51,+5.0,63,+0.8,37,-3.2%,81,+41.0,25,-1.3,89,+8.6%,18,-32.8
