Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,29.3,POR,Big,208,49,+0.7,77,+2.3,38,-0.6%,72,+14.3,93,+2.8,24,-8.3%,98,+180.0,35,-1.0,43,-1.4%,31,-17.6
Tony Allen,32.8,MEM,Wing,278,52,+1.0,64,+1.3,90,+3.9%,69,+12.2,87,+2.2,94,+18.7%,62,+12.5,38,-0.9,49,-0.6%,50,0.0
Al-Farouq Aminu,24.1,DAL,Forward,148,81,+9.4,78,+2.4,56,+0.5%,73,+15.1,97,+3.7,89,+13.7%,95,+105.6,34,-1.0,2,-12.2%,37,-10.3
Alan Anderson,32.0,BKN,Wing,141,82,+9.7,88,+4.3,70,+1.5%,94,+41.9,91,+2.5,56,+1.2%,92,+70.0,67,+1.4,66,+1.7%,81,+25.0
Giannis Antetokounmpo,19.9,MIL,Forward,200,11,-9.9,9,-5.1,27,-1.5%,9,-40.5,0,-5.1,6,-19.0%,6,-88.0,36,-0.9,36,-1.7%,33,-13.7
Pero Antic,32.3,ATL,Big,195,37,-2.0,72,+2.0,23,-1.9%,73,+14.7,81,+1.6,25,-7.2%,73,+28.8,47,-0.1,17,-4.7%,44,-3.0
Trevor Ariza,29.3,HOU,Forward,653,23,-5.2,8,-5.1,19,-2.1%,27,-18.4,80,+1.5,74,+6.0%,73,+29.2,1,-6.3,16,-4.9%,15,-35.8
Leandro Barbosa,31.9,GSW,Combo,217,65,+4.3,39,-1.3,81,+2.7%,30,-17.4,54,+0.0,52,-0.5%,56,+5.2,27,-1.6,96,+10.0%,20,-29.9
J.J. Barea,30.3,DAL,Combo,152,89,+11.6,94,+5.7,28,-1.4%,76,+15.7,73,+1.3,45,-1.7%,56,+5.1,97,+4.8,3,-11.0%,79,+23.3
Harrison Barnes,22.4,GSW,Forward,678,12,-8.8,34,-1.6,69,+1.5%,31,-15.7,36,-0.6,53,+0.4%,35,-20.8,40,-0.8,53,+0.1%,35,-11.1
Matt Barnes,34.6,LAC,Wing,404,67,+4.5,69,+1.5,96,+5.0%,48,-0.4,41,-0.4,66,+3.3%,27,-28.2,81,+2.3,89,+7.5%,71,+17.0
Nicolas Batum,25.9,POR,Wing,208,48,+0.5,45,+0.2,80,+2.4%,47,-2.3,100,,100,,100,,33,-1.0,10,-6.5%,32,-16.7
Jerryd Bayless,26.2,MIL,Combo,108,84,+10.0,89,+4.4,57,+0.7%,84,+24.2,82,+1.8,44,-2.3%,67,+16.7,85,+2.6,39,-1.6%,85,+30.0
Kent Bazemore,25.3,ATL,Wing,299,19,-6.5,35,-1.6,11,-3.5%,37,-7.4,19,-1.6,77,+7.4%,37,-18.9,53,+0.3,7,-8.3%,46,-2.1
Bradley Beal,21.3,WAS,Wing,416,31,-3.3,60,+1.2,16,-2.5%,50,+0.8,65,+0.7,7,-15.2%,57,+5.7,60,+0.6,35,-1.9%,49,-0.2
Marco Belinelli,28.6,SAS,Combo,108,22,-5.4,22,-3.1,77,+2.1%,29,-17.5,30,-1.2,35,-3.8%,32,-23.8,29,-1.5,74,+3.4%,40,-7.0
Bojan Bogdanovic,25.5,BKN,Forward,205,21,-5.8,84,+3.4,35,-0.7%,89,+28.8,48,-0.1,71,+5.3%,65,+14.3,94,+4.1,31,-2.4%,93,+45.1
Andrew Bogut,29.9,GSW,Big,438,13,-8.8,67,+1.4,50,+0.2%,65,+11.6,49,-0.1,78,+7.6%,48,-5.2,68,+1.4,26,-3.6%,75,+19.9
Avery Bradley,23.9,BOS,Combo,132,73,+6.2,59,+0.9,83,+2.9%,31,-14.7,24,-1.4,88,+13.6%,31,-26.7,79,+2.0,79,+4.1%,48,-0.8
Corey Brewer,28.7,HOU,Wing,417,40,-1.4,82,+3.1,52,+0.4%,71,+14.1,15,-1.9,60,+2.4%,29,-27.3,98,+4.8,76,+3.6%,86,+31.9
Aaron Brooks,29.8,CHI,Point,120,2,-20.0,15,-4.4,15,-2.8%,14,-34.7,21,-1.6,41,-2.8%,22,-34.3,19,-2.7,9,-6.8%,9,-45.5
Jimmy Butler,25.1,CHI,Wing,505,97,+20.6,81,+3.0,85,+3.1%,90,+31.4,76,+1.4,94,+19.1%,52,0.0,78,+2.0,68,+2.4%,94,+47.3
Nick Calathes,25.7,MEM,Combo,117,77,+7.3,58,+0.8,37,-0.6%,83,+23.6,61,+0.5,23,-8.4%,71,+26.5,56,+0.3,45,-1.2%,66,+13.6
Clint Capela,20.5,HOU,Big,108,47,-0.1,63,+1.3,73,+1.7%,57,+5.8,37,-0.6,59,+2.3%,40,-15.6,80,+2.0,81,+4.7%,69,+16.2
DeMarre Carroll,28.3,ATL,Wing,556,87,+11.4,91,+4.7,76,+2.1%,90,+31.5,94,+3.0,48,-1.4%,86,+56.2,65,+1.2,84,+5.5%,73,+18.5
Vince Carter,37.8,MEM,Wing,193,70,+5.4,71,+1.8,59,+0.7%,79,+18.4,39,-0.4,20,-9.2%,61,+12.1,82,+2.3,69,+2.4%,88,+33.8
Michael Carter-Williams,23.1,MIL,Point,190,15,-8.5,28,-2.1,26,-1.6%,34,-11.3,57,+0.2,76,+6.8%,64,+13.4,19,-2.3,38,-1.6%,19,-30.0
Tyson Chandler,32.1,DAL,Big,160,27,-4.0,13,-4.5,95,+4.4%,19,-27.5,52,-0.0,48,-1.3%,55,+4.2,4,-5.1,98,+11.2%,8,-46.7
Norris Cole,26.1,NOP,Point,105,80,+9.3,95,+5.8,86,+3.2%,98,+59.5,85,+2.0,90,+13.9%,87,+57.1,95,+4.2,88,+7.3%,99,+69.2
Mike Conley,27.1,MEM,Point,243,32,-2.8,29,-2.0,69,+1.3%,20,-25.1,35,-0.8,82,+9.5%,40,-16.5,31,-1.2,75,+3.5%,18,-33.0
Jamal Crawford,34.6,LAC,Wing,372,85,+10.1,87,+4.1,7,-4.6%,92,+37.9,69,+1.2,28,-6.6%,88,+59.1,74,+1.8,21,-4.4%,73,+18.8
Jae Crowder,24.3,BOS,Forward,100,29,-3.8,31,-1.8,0,-7.3%,49,0.0,29,-1.2,1,-42.9%,44,-10.0,48,-0.1,0,-16.3%,62,+11.2
Stephen Curry,26.6,GSW,Point,823,31,-3.3,19,-3.4,18,-2.2%,26,-19.5,6,-2.7,8,-13.9%,11,-60.2,42,-0.6,8,-7.3%,52,+0.1
Anthony Davis,21.6,NOP,Big,171,1,-25.9,30,-2.0,98,+6.8%,1,-75.8,16,-1.8,0,-51.7%,6,-92.3,52,+0.2,97,+10.2%,6,-57.9
Glen Davis,28.8,LAC,Big,136,44,-1.1,99,+7.1,1,-5.7%,100,+77.0,90,+2.3,17,-10.5%,94,+81.8,90,+3.6,5,-10.2%,98,+67.0
DeMar DeRozan,25.2,TOR,Wing,158,92,+15.3,73,+2.1,2,-4.9%,82,+22.4,75,+1.4,45,-1.7%,84,+50.0,46,-0.3,37,-1.7%,35,-11.8
Matthew Dellavedova,24.1,CLE,Combo,486,14,-8.6,6,-5.1,24,-1.8%,10,-36.7,6,-2.7,10,-13.1%,7,-80.8,20,-2.2,40,-1.5%,31,-17.5
Boris Diaw,32.5,SAS,Big,197,90,+14.1,80,+2.7,31,-0.8%,88,+28.4,81,+1.6,92,+17.1%,69,+23.8,62,+0.7,58,+0.5%,77,+20.2
Jared Dudley,29.3,MIL,Forward,110,60,+3.4,47,+0.2,53,+0.5%,68,+11.9,5,-2.9,14,-11.3%,29,-27.3,93,+4.0,44,-1.2%,94,+51.9
Tim Duncan,38.5,SAS,Big,249,85,+10.1,51,+0.5,39,-0.6%,51,+1.2,47,-0.2,22,-8.5%,41,-13.3,51,+0.1,31,-2.3%,45,-2.9
Mike Dunleavy,34.1,CHI,Wing,388,94,+17.1,98,+6.7,90,+3.9%,97,+53.8,86,+2.2,83,+9.9%,79,+39.7,94,+4.2,93,+8.9%,100,+70.2
Monta Ellis,29.0,DAL,Wing,196,99,+24.2,15,-4.4,99,+7.8%,8,-44.7,52,-0.0,50,-1.0%,10,-70.0,10,-4.1,91,+8.6%,15,-35.2
Tyreke Evans,25.1,NOP,Wing,125,20,-6.1,25,-2.5,60,+0.8%,19,-28.0,23,-1.4,97,+21.5%,13,-50.0,25,-1.7,69,+2.5%,22,-29.2
Festus Ezeli,25.0,GSW,Big,179,34,-2.5,26,-2.4,20,-2.0%,43,-4.3,71,+1.2,4,-20.2%,82,+46.4,10,-4.3,30,-2.6%,17,-33.2
Marc Gasol,29.8,MEM,Big,413,26,-4.0,21,-3.2,82,+2.9%,12,-35.6,23,-1.5,39,-3.2%,16,-44.2,26,-1.7,90,+8.2%,27,-27.2
Pau Gasol,34.3,CHI,Big,315,68,+5.0,75,+2.3,88,+3.3%,56,+5.7,94,+3.0,77,+7.4%,80,+40.0,50,+0.0,56,+0.3%,47,-1.9
