Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
LaMarcus Aldridge,29.3,POR,Big,208,21,+7.3,53,+0.1,20,+2.1%,82,-29.5,0,,0,+48.5%,0,,87,-3.4,57,-1.7%,94,-55.6
Tony Allen,32.8,MEM,Wing,278,66,-6.1,73,-2.6,86,-3.9%,56,-4.1,53,+0.2,85,-13.3%,36,+19.3,77,-2.3,77,-5.6%,60,-8.4
Al-Farouq Aminu,24.1,DAL,Forward,148,95,-18.2,98,-8.6,98,-7.2%,91,-38.1,95,-3.1,82,-11.5%,73,-30.3,94,-4.1,88,-9.0%,81,-29.0
Alan Anderson,32.0,BKN,Wing,141,92,-14.4,95,-6.4,67,-1.2%,93,-42.2,98,-5.0,81,-9.8%,98,-88.2,52,-0.3,64,-2.4%,56,-5.6
Giannis Antetokounmpo,19.9,MIL,Forward,200,70,-6.8,52,+0.1,78,-2.7%,15,+30.0,19,+1.4,6,+21.8%,17,+36.6,66,-1.4,87,-8.3%,28,+17.9
Pero Antic,32.3,ATL,Big,195,63,-4.4,56,-0.3,44,+0.5%,51,+3.2,48,+0.3,83,-12.6%,57,-3.5,61,-0.9,30,+3.0%,48,+1.9
Trevor Ariza,29.3,HOU,Forward,653,82,-11.1,75,-3.3,48,+0.3%,62,-10.0,96,-3.2,65,-4.5%,90,-57.6,48,-0.1,62,-1.9%,38,+9.8
Leandro Barbosa,31.9,GSW,Combo,217,40,+2.0,17,+4.2,23,+1.8%,14,+31.4,47,+0.3,54,-2.4%,34,+20.1,10,+4.2,12,+7.1%,11,+44.3
J.J. Barea,30.3,DAL,Combo,152,98,-24.0,99,-9.3,100,-7.9%,90,-37.2,98,-4.0,49,-0.3%,97,-78.6,92,-4.0,99,-19.8%,74,-21.4
Harrison Barnes,22.4,GSW,Forward,678,75,-8.5,67,-2.1,62,-0.7%,65,-16.0,49,+0.3,44,+1.7%,45,+8.5,79,-2.3,65,-2.6%,84,-29.5
Matt Barnes,34.6,LAC,Wing,404,90,-13.7,62,-1.4,50,+0.1%,59,-8.8,38,+0.5,56,-3.0%,42,+11.2,71,-1.8,31,+2.9%,66,-15.4
Nicolas Batum,25.9,POR,Wing,208,94,-17.0,50,+0.4,97,-6.8%,34,+18.3,94,-3.0,88,-15.2%,74,-30.8,18,+3.4,84,-7.5%,8,+51.3
Jerryd Bayless,26.2,MIL,Combo,108,81,-10.8,58,-0.5,68,-1.3%,53,-2.0,73,-0.9,4,+23.8%,93,-68.2,45,+0.3,80,-7.1%,35,+11.2
Kent Bazemore,25.3,ATL,Wing,299,25,+5.6,31,+2.4,83,-3.5%,17,+27.9,44,+0.3,91,-17.2%,24,+29.4,27,+1.7,69,-4.0%,24,+25.7
Bradley Beal,21.3,WAS,Wing,416,20,+7.5,21,+3.1,26,+1.7%,10,+36.4,7,+3.0,35,+6.0%,6,+89.9,35,+0.9,10,+7.7%,26,+22.1
Marco Belinelli,28.6,SAS,Combo,108,94,-16.1,48,+0.5,84,-3.6%,36,+16.1,67,-0.4,71,-6.6%,62,-6.7,56,-0.5,85,-8.2%,30,+17.1
Bojan Bogdanovic,25.5,BKN,Forward,205,24,+5.6,26,+2.8,46,+0.4%,22,+24.2,12,+1.8,66,-5.0%,13,+43.5,48,-0.0,52,-0.9%,42,+6.4
Andrew Bogut,29.9,GSW,Big,438,41,+2.0,69,-2.5,18,+2.4%,74,-22.7,45,+0.3,72,-6.7%,59,-6.0,82,-2.9,33,+2.5%,85,-35.5
