Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Steven Adams,25.3,OKC,Big,159,14,+14.5,8,+6.6,56,+0.2%,10,+41.9,51,+0.1,56,-0.7%,55,-7.5,6,+6.5,80,-3.1%,5,+70.8
LaMarcus Aldridge,33.3,SAS,Big,243,95,-15.7,93,-5.1,5,+5.5%,100,-76.4,38,+0.5,30,+6.7%,88,-61.1,96,-4.5,16,+7.7%,99,-78.6
Al-Farouq Aminu,28.1,POR,Big,399,38,+3.7,45,+0.1,91,-2.5%,53,-2.7,57,-0.3,84,-11.6%,51,-3.6,53,+0.2,90,-6.2%,57,-2.9
Giannis Antetokounmpo,23.9,MIL,Forward,513,83,-6.3,87,-3.5,66,-0.4%,83,-24.8,93,-2.4,36,+5.5%,95,-80.3,73,-1.2,85,-4.5%,63,-6.8
D.J. Augustin,31.0,ORL,Point,140,3,+25.6,7,+6.6,18,+3.8%,17,+29.1,25,+1.0,98,-29.8%,33,+13.3,8,+5.2,8,+10.8%,10,+54.3
Will Barton,27.8,DEN,Wing,320,38,+3.4,47,-0.0,46,+0.8%,59,-7.3,70,-0.8,75,-6.8%,77,-28.6,42,+0.8,61,-0.4%,46,+4.3
Aron Baynes,31.9,BOS,Big,115,61,-1.5,13,+5.4,36,+1.5%,13,+30.7,83,-1.5,89,-16.6%,82,-37.8,5,+6.5,38,+3.2%,9,+55.0
Malik Beasley,21.9,DEN,Wing,265,21,+9.7,53,-0.2,69,-0.7%,57,-4.1,79,-1.2,38,+4.7%,93,-64.3,34,+1.1,78,-2.9%,27,+16.3
Marco Belinelli,32.6,SAS,Wing,130,34,+4.0,33,+1.7,32,+1.6%,33,+11.3,61,-0.4,3,+28.3%,69,-21.2,33,+1.2,43,+1.5%,35,+12.6
Patrick Beverley,30.3,LAC,Combo,194,57,-1.1,71,-1.7,2,+7.7%,80,-19.4,27,+0.9,47,+1.7%,15,+42.9,75,-1.6,2,+15.8%,90,-35.0
Eric Bledsoe,28.9,MIL,Point,422,82,-6.1,82,-3.0,37,+1.4%,84,-25.5,64,-0.6,34,+5.6%,73,-25.6,82,-2.3,57,+0.0%,79,-24.5
Bojan Bogdanovic,29.5,IND,Forward,147,13,+15.5,22,+3.1,14,+4.3%,28,+14.5,0,,0,+84.2%,0,,25,+1.8,73,-1.9%,38,+11.0
Andrew Bogut,33.9,GSW,Big,178,60,-1.3,80,-2.7,18,+3.7%,75,-14.6,73,-0.8,9,+17.4%,72,-22.9,78,-1.9,35,+3.5%,75,-14.9
Malcolm Brogdon,25.9,MIL,Combo,194,47,+1.1,54,-0.3,90,-2.5%,76,-14.7,81,-1.4,73,-6.3%,78,-28.6,41,+0.8,77,-2.7%,70,-12.2
Jaylen Brown,22.0,BOS,Wing,269,28,+6.3,63,-1.2,12,+4.5%,52,-1.7,20,+1.2,23,+9.2%,9,+50.0,85,-2.6,11,+10.2%,86,-30.9
Jimmy Butler,29.1,PHI,Forward,421,91,-12.8,88,-3.6,79,-1.4%,85,-26.3,78,-1.2,63,-2.4%,71,-21.8,83,-2.4,24,+5.3%,82,-26.1
Clint Capela,24.5,HOU,Big,330,54,+0.1,57,-0.5,30,+1.7%,58,-6.7,16,+1.6,63,-2.1%,32,+14.8,79,-2.0,84,-4.4%,88,-31.8
DeMarre Carroll,32.3,BKN,Forward,119,44,+1.3,12,+5.9,47,+0.7%,6,+56.8,29,+0.9,86,-13.3%,11,+48.1,9,+5.0,27,+4.8%,6,+70.7
Darren Collison,31.2,IND,Point,116,88,-8.5,88,-3.5,0,+8.6%,98,-53.2,48,+0.1,3,+28.6%,53,-4.5,93,-4.0,3,+14.7%,98,-76.4
Pat Connaughton,25.8,MIL,Wing,294,77,-4.6,38,+1.1,55,+0.3%,35,+9.4,45,+0.3,80,-8.9%,39,+8.3,32,+1.2,69,-1.2%,32,+14.8
DeMarcus Cousins,28.2,GSW,Big,133,87,-8.2,98,-5.7,3,+5.9%,97,-48.1,95,-2.7,33,+6.2%,93,-71.7,87,-2.7,31,+4.4%,89,-33.6
Jae Crowder,28.3,UTA,Big,130,43,+1.9,92,-4.6,7,+5.1%,96,-41.7,80,-1.3,18,+12.8%,90,-62.4,91,-3.0,20,+6.6%,87,-31.4
Seth Curry,28.2,POR,Wing,319,89,-9.5,77,-2.3,52,+0.5%,70,-11.7,75,-1.0,32,+6.6%,76,-27.7,73,-1.1,63,-0.7%,61,-5.8
Stephen Curry,30.6,GSW,Point,845,84,-7.4,32,+1.8,67,-0.4%,33,+11.8,38,+0.4,66,-3.0%,50,-3.4,33,+1.1,25,+5.1%,22,+25.0
