Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,ALL TRANSITION: Pts+/Poss Rank,ALL TRANSITION: Pts+/Poss,ALL TRANSITION: Freq Rank,ALL TRANSITION: Freq,ALL TRANSITION: Pts/Play Rank,ALL TRANSITION: Pts/Play,OFF STEALS: Pts+/Poss Rank,OFF STEALS: Pts+/Poss,OFF STEALS: Freq Rank,OFF STEALS: Freq,OFF STEALS: Pts/Play Rank,OFF STEALS: Pts/Play,OFF LIVE REBOUNDS: Pts+/Poss Rank,OFF LIVE REBOUNDS: Pts+/Poss,OFF LIVE REBOUNDS: Freq Rank,OFF LIVE REBOUNDS: Freq,OFF LIVE REBOUNDS: Pts/Play Rank,OFF LIVE REBOUNDS: Pts/Play
Ray Allen,29.3,SEA,Wing,434,13,+9.8,34,+2.1,32,+2.4%,33,+14.9,27,+1.8,39,+6.9%,24,+41.4,54,-0.2,11,+8.9%,53,-0.3
Carmelo Anthony,20.4,DEN,Forward,179,19,+6.9,80,-2.2,85,-3.2%,62,-4.8,87,-1.5,53,-1.7%,96,-66.7,38,+1.0,48,+0.6%,26,+20.8
Gilbert Arenas,22.8,WAS,Wing,450,55,-1.0,96,-7.6,78,-2.5%,95,-57.6,0,,1,+64.4%,0,,98,-7.8,93,-9.4%,91,-46.9
Carlos Arroyo,25.3,DET,Point,133,54,-0.7,90,-4.8,20,+3.0%,88,-34.5,96,-2.5,36,+9.2%,94,-55.3,82,-2.7,39,+2.2%,79,-31.7
Leandro Barbosa,21.9,PHX,Combo,110,48,+1.1,16,+3.8,29,+2.5%,30,+15.2,32,+1.4,73,-7.2%,44,+13.8,17,+2.3,37,+2.9%,34,+13.1
Brent Barry,32.8,SAS,Wing,536,41,+2.7,77,-2.1,46,+0.8%,80,-21.9,83,-1.3,81,-10.8%,71,-17.7,63,-0.7,21,+6.1%,71,-19.6
Jon Barry,35.3,HOU,Wing,180,93,-13.3,12,+4.9,90,-3.9%,11,+38.5,70,-0.7,60,-4.3%,61,-6.7,4,+5.5,89,-8.2%,6,+72.1
Shane Battier,26.1,MEM,Forward,118,5,+14.8,18,+3.7,10,+5.0%,18,+26.3,17,+2.4,100,-41.2%,7,+144.4,28,+1.8,5,+11.5%,35,+11.9
Mike Bibby,26.5,SAC,Point,201,2,+22.5,23,+3.2,5,+7.1%,49,+6.2,0,,4,+40.0%,0,,15,+2.3,1,+15.7%,37,+10.4
Chauncey Billups,28.1,DET,Combo,983,18,+8.5,17,+3.8,54,+0.2%,13,+32.4,20,+2.1,70,-6.7%,12,+74.1,33,+1.5,40,+2.1%,32,+14.4
Bruce Bowen,33.4,SAS,Wing,809,17,+8.6,65,-1.4,49,+0.6%,72,-12.8,55,+0.1,32,+12.3%,55,-0.6,75,-1.6,49,+0.4%,69,-19.0
Ryan Bowen,29.0,HOU,Forward,115,39,+3.0,54,-0.2,70,-1.3%,19,+23.4,49,+0.3,52,-1.1%,50,+4.0,70,-1.1,42,+1.9%,28,+19.8
Earl Boykins,28.4,DEN,Point,147,4,+19.6,76,-2.0,74,-1.7%,63,-5.1,72,-0.7,83,-12.5%,26,+40.0,77,-2.0,77,-3.0%,73,-21.4
Rasual Butler,25.4,MIA,Wing,175,7,+12.7,8,+5.5,80,-2.6%,11,+36.3,10,+3.3,67,-5.7%,14,+70.0,14,+2.6,96,-11.7%,24,+22.6
Marcus Camby,30.6,DEN,Big,186,90,-11.9,39,+1.9,42,+1.4%,43,+10.6,42,+0.8,46,+2.1%,32,+28.6,44,+0.6,36,+3.1%,47,+2.9
Vince Carter,27.8,NJN,Wing,180,32,+4.8,1,+9.5,0,+9.6%,0,,0,,2,+61.9%,0,,1,+7.4,7,+10.5%,0,
Tyson Chandler,22.1,CHI,Big,174,85,-9.9,58,-0.3,98,-6.6%,64,-5.7,91,-1.8,86,-14.3%,68,-13.7,37,+1.0,95,-10.4%,60,-4.4
Jason Collins,25.9,NJN,Big,128,95,-15.2,11,+5.0,1,+9.6%,58,+0.4,14,+3.1,3,+51.1%,16,+63.6,22,+2.0,0,+16.4%,76,-25.5
Nick Collison,24.0,SEA,Big,211,77,-6.4,72,-1.7,81,-2.6%,73,-13.6,40,+0.8,95,-21.2%,35,+21.4,82,-2.7,68,-2.0%,82,-33.2
Samuel Dalembert,24.5,PHI,Big,192,29,+5.1,70,-1.6,45,+0.9%,67,-9.8,53,+0.1,77,-8.3%,39,+18.2,75,-1.7,10,+9.2%,82,-32.8
Erick Dampier,29.3,DAL,Big,302,68,-3.8,74,-1.8,59,-0.3%,71,-12.2,77,-1.0,61,-4.4%,70,-15.4,68,-1.0,56,+0.1%,62,-8.9
Antonio Daniels,29.6,SEA,Combo,324,72,-4.6,68,-1.5,88,-3.4%,68,-10.7,90,-1.8,98,-30.7%,80,-25.9,50,+0.0,75,-2.7%,57,-3.3
Marquis Daniels,23.8,DAL,Combo,158,46,+1.7,20,+3.5,35,+2.0%,22,+20.6,16,+2.6,43,+3.8%,18,+59.8,41,+0.8,46,+0.8%,46,+3.6
Antonio Davis,36.0,CHI,Big,171,69,-3.9,3,+7.3,2,+9.5%,6,+52.8,13,+3.1,15,+19.4%,58,-3.6,6,+4.5,12,+8.9%,5,+75.9
Dale Davis,35.6,IND,Big,314,76,-6.2,31,+2.3,8,+5.5%,35,+13.0,59,-0.1,45,+3.1%,64,-9.3,12,+2.9,9,+9.8%,20,+28.3
Ricky Davis,25.1,BOS,Wing,235,87,-10.7,68,-1.5,92,-4.0%,56,+1.2,79,-1.1,51,-0.9%,82,-28.8,57,-0.4,94,-9.5%,52,0.0
Juan Dixon,26.1,WAS,Combo,217,50,+0.0,59,-0.3,32,+2.3%,61,-2.0,44,+0.6,57,-4.0%,36,+21.4,62,-0.7,54,+0.2%,61,-6.2
Keyon Dooling,24.5,MIA,Point,255,31,+4.8,41,+1.8,75,-1.9%,42,+10.8,50,+0.3,79,-10.8%,40,+17.0,26,+1.8,70,-2.1%,33,+13.1
Chris Duhon,22.2,CHI,Point,162,51,-0.1,21,+3.4,3,+8.3%,32,+15.2,33,+1.3,24,+15.6%,82,-29.2,30,+1.7,8,+10.1%,22,+25.4
Tim Duncan,28.5,SAS,Big,862,23,+6.3,46,+1.0,63,-0.7%,48,+6.2,41,+0.8,91,-17.1%,38,+19.1,48,+0.2,72,-2.2%,50,+0.8
Reggie Evans,24.5,SEA,Big,208,37,+3.9,42,+1.7,26,+2.6%,38,+12.1,34,+1.3,14,+20.9%,34,+22.1,47,+0.2,28,+4.8%,48,+2.8
Michael Finley,31.7,DAL,Wing,495,92,-13.0,86,-3.3,55,-0.1%,82,-25.6,97,-2.9,61,-4.5%,93,-51.5,61,-0.6,32,+4.1%,65,-12.1
Danny Fortson,28.6,SEA,Big,105,73,-5.4,91,-4.9,87,-3.3%,90,-40.1,82,-1.2,72,-6.9%,68,-12.9,86,-3.2,60,-0.7%,87,-39.2
Jeff Foster,27.8,IND,Big,230,43,+2.6,75,-1.9,82,-2.8%,70,-11.4,78,-1.0,50,-0.7%,77,-21.2,73,-1.3,68,-1.2%,66,-12.5
Pau Gasol,24.3,MEM,Big,131,62,-2.4,11,+5.1,27,+2.6%,16,+28.6,8,+3.7,6,+32.1%,10,+116.7,27,+1.8,16,+8.1%,32,+14.4
Manu Ginobili,27.3,SAS,Wing,769,80,-7.5,51,+0.1,72,-1.5%,32,+15.0,62,-0.3,49,-0.4%,65,-9.7,46,+0.4,82,-4.0%,23,+23.8
Ben Gordon,21.6,CHI,Wing,150,56,-1.1,66,-1.5,99,-7.1%,57,+0.8,98,-3.2,89,-15.6%,43,+14.0,21,+2.0,90,-8.5%,36,+11.1
Richard Hamilton,26.7,DET,Wing,1077,54,-1.0,62,-1.1,34,+2.2%,76,-18.0,75,-0.9,10,+23.5%,90,-42.5,56,-0.3,67,-1.2%,67,-14.0
Othella Harrington,30.8,CHI,Big,104,3,+21.7,60,-0.6,7,+5.8%,54,+1.6,6,+4.8,33,+10.0%,13,+70.0,94,-4.9,3,+11.9%,89,-40.9
Udonis Haslem,24.4,MIA,Big,544,83,-9.7,63,-1.1,89,-3.9%,55,+1.5,56,+0.1,64,-5.3%,46,+13.4,66,-0.8,62,-0.7%,49,+1.1
Brendan Haywood,24.9,WAS,Big,293,96,-15.6,55,-0.2,64,-0.7%,50,+6.1,84,-1.3,54,-3.0%,74,-19.4,40,+0.9,58,-0.0%,31,+14.4
Kirk Hinrich,23.8,CHI,Combo,214,21,+6.6,19,+3.6,33,+2.3%,45,+10.3,18,+2.4,13,+21.4%,53,0.0,34,+1.4,89,-8.5%,41,+7.9
Robert Horry,34.2,SAS,Big,618,25,+5.9,73,-1.8,77,-2.4%,68,-9.8,80,-1.1,75,-7.5%,72,-18.3,61,-0.6,79,-3.2%,59,-4.0
Josh Howard,24.5,DAL,Forward,429,82,-8.7,87,-3.3,57,-0.2%,79,-21.5,66,-0.4,71,-6.8%,73,-18.8,80,-2.1,25,+5.1%,70,-19.3
Larry Hughes,25.8,WAS,Combo,402,75,-6.1,35,+2.1,96,-5.8%,14,+30.8,46,+0.6,68,-6.3%,39,+17.9,32,+1.5,98,-15.1%,18,+35.1
Lindsey Hunter,33.9,DET,Combo,352,65,-3.0,36,+2.1,68,-1.1%,20,+22.4,54,+0.1,63,-4.8%,66,-10.1,18,+2.2,54,+0.1%,16,+37.8
Steven Hunter,23.0,PHX,Big,209,84,-9.8,25,+2.8,60,-0.3%,17,+27.6,82,-1.2,66,-5.4%,76,-20.7,8,+4.0,55,+0.1%,9,+51.1
Andre Iguodala,20.8,PHI,Wing,193,22,+6.4,30,+2.4,47,+0.7%,59,-0.5,35,+1.3,38,+7.7%,42,+15.4,35,+1.1,33,+3.8%,61,-7.1
Allen Iverson,29.4,PHI,Point,237,99,-19.4,100,-38.8,100,-15.1%,99,-83.7,0,,0,,0,,100,-39.6,100,-74.4%,96,-81.8
Jim Jackson,34.1,PHX,Combo,466,36,+3.9,32,+2.3,43,+1.0%,23,+20.5,38,+1.1,8,+25.9%,56,-1.3,39,+1.0,75,-2.8%,30,+15.3
Stephen Jackson,26.6,IND,Wing,471,30,+4.9,28,+2.6,12,+4.4%,18,+25.0,52,+0.3,54,-1.7%,52,+0.3,19,+2.1,11,+9.0%,18,+32.2
Jerome James,29.0,SEA,Big,294,45,+1.8,26,+2.8,21,+3.0%,29,+15.2,71,-0.7,9,+24.9%,86,-34.5,10,+3.6,34,+3.7%,12,+38.1
Mike James,29.4,HOU,Combo,170,89,-11.7,2,+8.6,58,-0.2%,4,+65.4,21,+2.1,44,+3.1%,29,+36.7,3,+6.5,78,-3.0%,3,+88.1
Antawn Jamison,28.4,WAS,Wing,378,88,-10.7,88,-4.3,75,-1.9%,86,-33.9,95,-2.4,97,-27.3%,98,-71.4,81,-2.4,35,+3.1%,75,-24.6
Al Jefferson,19.8,BOS,Big,121,94,-13.6,96,-7.3,89,-3.6%,100,-91.2,99,-3.3,96,-21.5%,99,-76.3,89,-3.9,69,-2.0%,97,-99.2
Richard Jefferson,24.4,NJN,Wing,139,97,-16.1,75,-1.9,96,-5.8%,37,+12.5,76,-0.9,23,+16.0%,96,-60.0,68,-1.0,99,-16.6%,11,+40.1
Jared Jeffries,22.9,WAS,Forward,244,33,+4.3,44,+1.2,91,-4.0%,27,+17.5,85,-1.4,84,-12.8%,78,-22.7,13,+2.8,61,-0.7%,11,+39.7
Anthony Johnson,30.1,IND,Point,309,40,+3.0,89,-4.8,83,-2.9%,85,-32.4,75,-0.9,89,-16.4%,75,-19.7,84,-3.1,85,-5.2%,81,-32.2
Joe Johnson,23.3,PHX,Wing,351,70,-3.9,93,-5.6,84,-2.9%,91,-41.5,93,-2.2,94,-20.3%,84,-32.2,88,-3.3,66,-1.0%,86,-37.5
Damon Jones,28.2,MIA,Point,501,75,-6.1,56,-0.2,16,+3.7%,61,-3.2,46,+0.6,28,+14.2%,62,-8.1,65,-0.7,26,+5.1%,55,-2.8
Eddie Jones,33.0,MIA,Wing,601,96,-15.8,95,-6.1,31,+2.4%,87,-34.4,92,-1.9,26,+14.7%,88,-37.8,92,-4.2,29,+4.6%,78,-31.4
Fred Jones,25.6,IND,Wing,210,61,-2.1,25,+2.8,95,-5.6%,25,+19.0,63,-0.4,93,-18.0%,51,+2.8,11,+3.5,88,-7.5%,19,+30.1
James Jones,24.1,IND,Forward,181,74,-5.6,82,-2.5,94,-4.4%,81,-22.6,74,-0.8,65,-5.3%,75,-20.0,69,-1.1,91,-8.8%,68,-17.5
Jason Kidd,31.6,NJN,Point,182,71,-4.5,53,-0.0,9,+5.2%,47,+7.9,4,+5.7,42,+4.5%,4,+166.7,96,-5.8,4,+11.8%,100,-146.2
Kyle Korver,23.6,PHI,Wing,140,11,+10.4,9,+5.1,39,+1.9%,7,+49.5,15,+2.9,86,-14.3%,11,+104.8,18,+2.3,23,+5.9%,25,+22.1
Nenad Krstic,21.3,NJN,Big,154,81,-8.0,71,-1.7,73,-1.7%,83,-26.2,89,-1.7,59,-4.2%,83,-30.6,52,-0.0,38,+2.8%,76,-25.5
Raef LaFrentz,28.4,BOS,Big,185,42,+2.7,15,+3.8,24,+2.8%,10,+45.6,31,+1.5,34,+9.8%,25,+41.3,16,+2.3,27,+4.8%,7,+59.5
Christian Laettner,35.2,MIA,Big,130,60,-1.9,84,-3.1,15,+3.8%,82,-26.0,88,-1.6,47,+1.3%,79,-23.7,78,-2.0,57,-0.0%,83,-33.7
Rashard Lewis,25.2,SEA,Forward,311,49,+0.2,7,+5.9,37,+2.0%,8,+47.4,22,+2.1,30,+12.9%,20,+52.2,11,+3.2,51,+0.3%,14,+38.1
Shawn Marion,26.5,PHX,Forward,631,14,+9.3,64,-1.3,97,-6.0%,53,+3.1,61,-0.3,88,-15.6%,41,+16.3,67,-0.9,84,-5.1%,45,+4.5
Kenyon Martin,26.8,DEN,Big,163,89,-11.2,89,-4.6,54,+0.1%,94,-57.1,81,-1.2,40,+6.3%,100,-164.3,79,-2.1,41,+1.9%,80,-32.0
Antonio McDyess,30.2,DET,Big,493,59,-1.7,67,-1.5,67,-1.0%,75,-16.9,57,+0.0,82,-12.1%,63,-8.9,74,-1.6,65,-1.0%,74,-21.6
Tracy McGrady,25.4,HOU,Wing,301,1,+23.2,13,+4.4,41,+1.6%,12,+33.9,100,-4.3,99,-40.0%,85,-33.3,2,+6.8,6,+11.2%,1,+153.1
Andre Miller,28.6,DEN,Combo,183,98,-17.0,83,-3.0,68,-1.2%,89,-36.4,19,+2.2,82,-11.1%,32,+28.6,87,-3.3,44,+1.6%,90,-46.2
Brad Miller,28.6,SAC,Big,138,34,+4.2,27,+2.8,11,+4.5%,31,+15.2,28,+1.8,5,+39.0%,21,+50.0,45,+0.4,17,+8.0%,58,-3.8
Mike Miller,24.7,MEM,Wing,108,9,+11.4,22,+3.3,6,+5.8%,21,+20.6,9,+3.5,20,+16.7%,7,+144.4,46,+0.3,13,+8.8%,42,+7.3
Reggie Miller,39.2,IND,Wing,427,28,+5.3,48,+0.6,19,+3.1%,51,+5.6,45,+0.6,16,+17.9%,46,+9.5,64,-0.7,39,+2.7%,56,-3.2
Cuttino Mobley,29.2,SAC,Wing,158,79,-6.9,92,-5.5,53,+0.2%,96,-60.6,64,-0.4,58,-4.2%,89,-38.1,93,-4.7,83,-4.6%,94,-61.6
Nazr Mohammed,27.2,SAS,Big,529,63,-2.4,32,+2.3,14,+4.1%,28,+16.4,36,+1.2,27,+14.2%,45,+13.8,39,+0.9,19,+6.7%,29,+16.7
Alonzo Mourning,34.7,MIA,Big,252,57,-1.1,38,+2.0,65,-0.8%,25,+18.5,60,-0.2,32,+12.6%,59,-4.2,25,+1.9,64,-0.9%,21,+27.8
Dikembe Mutombo,38.4,HOU,Big,100,86,-10.0,0,+14.1,36,+2.0%,2,+94.4,24,+2.0,35,+9.2%,17,+59.9,0,+12.5,20,+6.7%,2,+121.5
Steve Nash,30.7,PHX,Point,610,20,+6.8,43,+1.3,61,-0.3%,46,+9.8,29,+1.6,55,-3.0%,30,+32.3,54,-0.3,86,-6.1%,54,-2.1
Andres Nocioni,24.9,CHI,Forward,197,66,-3.1,18,+3.7,39,+1.9%,26,+18.4,58,-0.0,12,+21.8%,53,0.0,7,+4.0,63,-0.8%,13,+38.1
Dirk Nowitzki,26.4,DAL,Big,553,68,-3.8,40,+1.8,79,-2.5%,41,+11.2,67,-0.5,85,-14.3%,61,-7.0,20,+2.1,97,-14.5%,25,+21.0
Jermaine O'Neal,26.1,IND,Big,477,78,-6.5,54,-0.1,22,+3.0%,54,+3.0,11,+3.2,22,+16.0%,15,+68.9,90,-4.1,31,+4.4%,89,-40.0
Shaquille O'Neal,32.7,MIA,Big,428,46,+1.7,50,+0.1,23,+2.8%,66,-8.7,39,+0.9,80,-10.8%,54,-0.2,58,-0.4,43,+1.8%,64,-10.6
Scott Padgett,28.5,HOU,Big,102,25,+6.1,98,-9.8,38,+1.9%,97,-73.8,94,-2.4,11,+22.1%,87,-37.1,96,-6.3,25,+5.2%,95,-80.6
Tony Parker,22.5,SAS,Point,848,6,+13.3,81,-2.3,50,+0.5%,84,-27.6,68,-0.6,76,-8.2%,60,-4.5,76,-1.8,15,+8.2%,84,-34.0
Gary Payton,36.3,BOS,Point,238,27,+5.4,4,+7.0,18,+3.3%,1,+111.8,12,+3.1,7,+27.0%,5,+152.6,9,+3.8,52,+0.3%,4,+87.7
Paul Pierce,27.1,BOS,Wing,276,0,+29.5,4,+6.6,44,+1.0%,3,+86.8,5,+4.9,25,+15.0%,5,+152.6,29,+1.7,59,-0.4%,15,+37.9
Tayshaun Prince,24.7,DET,Wing,1016,53,-0.5,61,-1.1,76,-2.0%,74,-14.3,51,+0.3,69,-6.3%,47,+7.5,71,-1.1,82,-4.5%,72,-20.1
Vladimir Radmanovic,24.0,SEA,Forward,123,35,+4.0,37,+2.0,69,-1.3%,36,+13.0,65,-0.4,90,-16.5%,69,-15.0,23,+1.9,74,-2.7%,27,+20.4
Quentin Richardson,24.6,PHX,Wing,561,67,-3.4,52,-0.0,51,+0.5%,60,-0.9,68,-0.5,37,+8.0%,57,-1.4,43,+0.6,46,+1.0%,43,+6.9
Luke Ridnour,23.7,SEA,Point,374,44,+2.4,69,-1.6,30,+2.5%,65,-6.3,73,-0.8,31,+12.6%,67,-11.1,49,+0.0,32,+4.1%,38,+9.7
Glenn Robinson,31.8,SAS,Forward,102,100,-26.2,6,+5.9,86,-3.3%,9,+45.9,48,+0.6,92,-17.5%,27,+39.3,5,+5.4,76,-2.8%,8,+54.2
Michael Ruffin,27.8,WAS,Big,154,11,+10.1,61,-0.9,40,+1.7%,69,-11.3,23,+2.1,25,+15.3%,28,+38.5,85,-3.2,47,+0.6%,88,-39.3
Jerry Stackhouse,30.0,DAL,Wing,403,10,+11.3,24,+3.0,52,+0.3%,24,+20.4,25,+1.9,46,+1.8%,22,+49.3,36,+1.1,80,-3.3%,39,+9.3
Peja Stojakovic,27.4,SAC,Wing,201,4,+19.3,5,+6.5,4,+7.3%,4,+77.5,0,,4,+41.7%,0,,4,+5.6,4,+11.6%,4,+83.3
Amar'e Stoudemire,22.0,PHX,Big,599,12,+9.9,85,-3.2,48,+0.6%,92,-45.0,18,+2.3,41,+5.1%,18,+54.5,95,-5.5,50,+0.3%,96,-83.8
Bob Sura,31.6,HOU,Point,180,32,+4.7,97,-7.6,25,+2.7%,96,-71.0,69,-0.6,56,-3.4%,92,-47.1,97,-7.1,22,+6.0%,98,-100.0
Jason Terry,27.1,DAL,Point,499,58,-1.3,45,+1.1,46,+0.8%,40,+11.4,32,+1.3,19,+17.0%,23,+44.7,59,-0.5,53,+0.3%,54,-2.7
Etan Thomas,26.6,WAS,Big,126,16,+9.1,14,+3.9,13,+4.3%,46,+8.9,26,+1.9,17,+17.7%,37,+19.4,24,+1.9,30,+4.4%,46,+3.8
Kenny Thomas,27.3,SAC,Big,153,24,+6.2,57,-0.3,11,+4.8%,77,-20.3,47,+0.6,18,+17.5%,96,-66.7,60,-0.5,18,+7.2%,63,-10.0
Jamaal Tinsley,26.7,IND,Point,249,82,-9.2,39,+2.0,18,+3.4%,39,+12.0,30,+1.6,29,+13.4%,31,+31.8,53,-0.1,18,+7.7%,51,+0.1
Beno Udrih,22.3,SAS,Point,224,91,-12.6,29,+2.4,62,-0.4%,15,+29.9,43,+0.8,39,+6.8%,49,+7.0,31,+1.7,87,-7.4%,17,+36.2
Dwyane Wade,22.8,MIA,Combo,572,64,-2.6,82,-2.8,82,-2.8%,75,-17.7,96,-2.6,48,+0.4%,89,-39.9,72,-1.1,45,+1.5%,68,-14.1
Antoine Walker,28.2,BOS,Big,223,38,+3.7,10,+5.1,28,+2.6%,5,+60.6,11,+3.2,11,+22.5%,11,+77.9,25,+1.9,73,-2.4%,10,+43.9
Ben Wallace,30.1,DET,Big,973,15,+9.3,49,+0.5,25,+2.7%,39,+11.7,54,+0.1,18,+17.0%,47,+7.5,51,-0.0,24,+5.9%,40,+8.1
Rasheed Wallace,30.1,DET,Big,822,61,-2.3,47,+0.9,71,-1.4%,44,+10.5,39,+0.9,75,-8.0%,25,+41.0,42,+0.7,71,-2.2%,39,+8.4
Chris Webber,31.7,PHI,Big,185,39,+3.2,46,+1.1,17,+3.5%,34,+13.4,7,+4.0,96,-21.4%,9,+138.5,83,-2.8,14,+8.8%,85,-35.2
David Wesley,34.0,HOU,Wing,279,26,+5.8,79,-2.1,66,-0.9%,78,-20.7,25,+1.9,62,-4.8%,19,+53.3,89,-3.6,92,-8.9%,92,-47.4
Delonte West,21.3,BOS,Combo,100,52,-0.4,78,-2.1,61,-0.3%,89,-35.0,89,-1.8,78,-9.7%,95,-57.1,55,-0.3,61,-0.7%,75,-21.9
