Player,Age,Team,Pos,MIN,Pts/Poss Rank,Pts/Poss,HALFCOURT: Pts/Play Rank,HALFCOURT: Pts/Play,HALFCOURT: OREB% Rank,HALFCOURT: OREB%,HALFCOURT: % of Plays Rank,HALFCOURT: % of Plays,PUTBACKS: Pts/Miss Rank,PUTBACKS: Pts/Miss,PUTBACKS: Plays/Miss Rank,PUTBACKS: Plays/Miss,PUTBACKS: Pts/Play Rank,PUTBACKS: Pts/Play
Ray Allen,29.3,SEA,Wing,434,96,+18.3,88,+12.3,81,+6.0%,88,-4.5%,79,+6.7,86,+6.3,52,+1.7
Carmelo Anthony,20.4,DEN,Forward,179,84,+10.2,96,+17.8,60,+1.7%,5,+5.0%,94,+15.4,82,+4.8,96,+68.6
Gilbert Arenas,22.8,WAS,Wing,450,100,+51.7,100,+56.7,89,+7.0%,50,-0.4%,96,+17.1,91,+8.3,88,+43.2
Carlos Arroyo,25.3,DET,Point,133,24,-5.7,22,-5.8,75,+4.4%,51,-0.4%,31,-2.8,35,-1.1,33,-9.2
Leandro Barbosa,21.9,PHX,Combo,110,2,-20.8,1,-24.3,33,-0.9%,41,+0.5%,28,-3.1,54,+0.4,24,-17.8
Brent Barry,32.8,SAS,Wing,536,30,-4.8,12,-9.4,56,+1.1%,57,-1.0%,68,+4.7,53,+0.4,74,+19.6
Jon Barry,35.3,HOU,Wing,180,53,+1.6,86,+11.1,25,-3.2%,80,-3.5%,2,-15.7,27,-1.6,3,-64.3
Shane Battier,26.1,MEM,Forward,118,44,-1.6,84,+8.9,42,+0.2%,36,+1.1%,10,-10.7,63,+1.8,2,-69.0
Mike Bibby,26.5,SAC,Point,201,94,+16.0,73,+4.7,82,+6.2%,11,+3.9%,98,+18.8,93,+9.3,93,+60.0
Chauncey Billups,28.1,DET,Combo,983,75,+7.6,74,+4.7,22,-3.5%,20,+2.6%,63,+3.2,54,+0.5,68,+16.4
Bruce Bowen,33.4,SAS,Wing,809,34,-4.2,52,+0.0,20,-3.7%,21,+2.4%,36,-1.7,25,-1.7,53,+2.2
Ryan Bowen,29.0,HOU,Forward,115,32,-4.4,18,-6.7,54,+0.7%,12,+3.8%,4,-14.1,5,-6.9,14,-33.3
Earl Boykins,28.4,DEN,Point,147,39,-3.1,4,-15.8,97,+12.7%,48,-0.3%,93,+14.7,90,+7.9,85,+33.3
Rasual Butler,25.4,MIA,Wing,175,9,-13.0,40,-1.9,9,-6.7%,14,+3.4%,18,-7.0,18,-3.2,27,-16.6
Marcus Camby,30.6,DEN,Big,186,88,+12.4,97,+18.0,83,+6.4%,60,-1.3%,43,-0.6,45,-0.2,49,0.0
Vince Carter,27.8,NJN,Wing,180,40,-2.7,4,-17.2,99,+18.8%,4,+6.6%,96,+16.7,95,+10.5,96,+81.3
Tyson Chandler,22.1,CHI,Big,174,85,+10.2,50,-0.2,80,+5.2%,100,-9.4%,99,+19.4,97,+13.3,82,+28.9
Jason Collins,25.9,NJN,Big,128,5,-16.9,2,-20.6,13,-4.8%,61,-1.4%,60,+2.5,28,-1.6,72,+19.0
Nick Collison,24.0,SEA,Big,211,42,-2.5,57,+1.0,38,-0.3%,19,+2.6%,61,+2.7,24,-1.8,77,+25.7
Samuel Dalembert,24.5,PHI,Big,192,77,+8.3,96,+17.8,92,+8.0%,33,+1.4%,97,+17.2,92,+8.5,98,+104.0
Erick Dampier,29.3,DAL,Big,302,37,-3.4,55,+0.5,52,+0.6%,31,+1.7%,70,+5.3,85,+5.8,42,-2.8
Antonio Daniels,29.6,SEA,Combo,324,26,-5.5,59,+1.2,23,-3.4%,6,+4.7%,14,-8.0,21,-2.2,18,-25.8
Marquis Daniels,23.8,DAL,Combo,158,13,-10.7,8,-11.8,65,+2.9%,55,-0.6%,39,-1.3,48,-0.0,39,-4.6
Antonio Davis,36.0,CHI,Big,171,17,-7.7,21,-6.0,24,-3.4%,10,+3.9%,7,-11.8,13,-4.2,13,-36.1
Dale Davis,35.6,IND,Big,314,54,+2.0,29,-3.7,61,+2.0%,74,-2.7%,61,+2.6,72,+2.9,49,0.0
Ricky Davis,25.1,BOS,Wing,235,89,+12.5,80,+6.8,94,+8.5%,91,-5.1%,75,+6.1,98,+14.0,9,-40.4
Juan Dixon,26.1,WAS,Combo,217,7,-14.8,35,-2.4,14,-4.7%,27,+2.0%,5,-13.2,6,-6.9,21,-22.2
Keyon Dooling,24.5,MIA,Point,255,38,-3.3,61,+1.5,36,-0.4%,7,+4.3%,41,-0.9,47,-0.1,39,-4.8
Chris Duhon,22.2,CHI,Point,162,11,-11.5,18,-6.7,10,-6.4%,18,+2.8%,29,-3.0,17,-3.5,54,+3.6
Tim Duncan,28.5,SAS,Big,862,49,+0.1,39,-1.9,51,+0.6%,25,+2.2%,56,+1.6,25,-1.7,71,+18.7
Reggie Evans,24.5,SEA,Big,208,47,-0.8,56,+0.5,86,+6.7%,68,-2.3%,20,-5.8,80,+4.4,6,-47.9
Michael Finley,31.7,DAL,Wing,495,27,-5.4,48,-0.2,2,-12.8%,11,+3.8%,30,-3.0,4,-8.8,78,+25.9
Danny Fortson,28.6,SEA,Big,105,22,-5.8,44,-1.2,25,-3.1%,25,+2.1%,73,+5.7,41,-0.6,83,+31.4
Jeff Foster,27.8,IND,Big,230,62,+4.4,75,+4.9,89,+7.1%,42,+0.4%,78,+6.5,65,+1.9,79,+26.4
Pau Gasol,24.3,MEM,Big,131,99,+22.0,95,+17.6,68,+3.1%,53,-0.5%,74,+5.7,74,+3.4,55,+8.3
Manu Ginobili,27.3,SAS,Wing,769,92,+15.0,90,+13.3,49,+0.5%,46,-0.2%,46,-0.2,60,+1.3,34,-8.4
Ben Gordon,21.6,CHI,Wing,150,82,+9.3,71,+4.5,45,+0.3%,99,-8.7%,77,+6.5,87,+7.0,36,-7.6
Richard Hamilton,26.7,DET,Wing,1077,36,-3.6,28,-3.7,5,-8.7%,92,-5.4%,49,-0.0,37,-1.0,55,+8.3
Othella Harrington,30.8,CHI,Big,104,11,-11.2,20,-6.1,79,+4.9%,1,+8.4%,1,-17.0,3,-9.6,11,-38.1
Udonis Haslem,24.4,MIA,Big,544,55,+2.9,53,+0.1,88,+6.8%,69,-2.3%,85,+9.1,83,+5.2,66,+14.7
Brendan Haywood,24.9,WAS,Big,293,71,+6.7,31,-3.3,82,+6.1%,95,-6.3%,80,+6.7,84,+5.6,46,-1.4
Kirk Hinrich,23.8,CHI,Combo,214,4,-17.7,7,-13.1,75,+4.1%,98,-7.4%,13,-8.1,81,+4.4,0,-79.3
Robert Horry,34.2,SAS,Big,618,89,+12.9,85,+10.4,55,+0.9%,15,+3.3%,47,-0.0,29,-1.5,57,+8.6
Josh Howard,24.5,DAL,Forward,429,81,+9.2,75,+5.0,58,+1.5%,43,+0.4%,65,+3.6,32,-1.1,76,+24.2
Larry Hughes,25.8,WAS,Combo,402,58,+3.5,13,-8.2,96,+11.4%,90,-5.1%,81,+7.2,39,-0.7,86,+36.9
Lindsey Hunter,33.9,DET,Combo,352,31,-4.7,60,+1.5,37,-0.4%,38,+0.8%,19,-6.2,34,-1.1,15,-31.5
Steven Hunter,23.0,PHX,Big,209,50,+1.1,65,+2.9,32,-0.9%,16,+3.2%,64,+3.4,40,-0.6,69,+16.6
Andre Iguodala,20.8,PHI,Wing,193,96,+18.3,91,+14.2,90,+7.1%,56,-0.9%,88,+11.5,77,+3.7,94,+64.3
Allen Iverson,29.4,PHI,Point,237,0,-72.6,0,-117.4,100,+23.2%,96,-6.9%,91,+13.8,99,+14.6,100,
Jim Jackson,34.1,PHX,Combo,466,45,-1.6,51,+0.0,85,+6.6%,26,+2.1%,66,+3.7,82,+5.0,26,-17.0
Stephen Jackson,26.6,IND,Wing,471,69,+6.6,69,+3.9,39,-0.2%,78,-3.3%,23,-4.6,66,+2.1,10,-40.0
Jerome James,29.0,SEA,Big,294,75,+8.1,61,+1.8,57,+1.4%,67,-1.9%,22,-5.0,70,+2.6,8,-40.6
Mike James,29.4,HOU,Combo,170,70,+6.6,89,+12.8,30,-1.8%,59,-1.2%,3,-14.9,43,-0.3,1,-70.7
Antawn Jamison,28.4,WAS,Wing,378,97,+18.4,98,+18.7,7,-7.3%,81,-3.5%,55,+1.6,36,-1.0,61,+9.5
Al Jefferson,19.8,BOS,Big,121,57,+3.4,41,-1.9,95,+9.7%,71,-2.6%,84,+9.1,100,+14.6,25,-17.1
Richard Jefferson,24.4,NJN,Wing,139,91,+13.2,82,+8.1,43,+0.2%,97,-7.1%,95,+15.6,88,+7.3,89,+54.5
Jared Jeffries,22.9,WAS,Forward,244,79,+9.0,63,+2.6,71,+3.4%,96,-6.7%,89,+11.9,89,+7.5,63,+11.8
Anthony Johnson,30.1,IND,Point,309,23,-5.8,32,-3.1,64,+2.5%,18,+2.6%,25,-4.0,31,-1.3,25,-17.2
Joe Johnson,23.3,PHX,Wing,351,76,+8.3,70,+4.0,68,+3.0%,86,-4.1%,71,+5.5,46,-0.1,81,+27.5
Damon Jones,28.2,MIA,Point,501,54,+2.8,37,-2.2,54,+0.6%,93,-5.5%,57,+1.7,58,+1.2,51,+1.0
Eddie Jones,33.0,MIA,Wing,601,61,+4.0,36,-2.3,67,+3.0%,87,-4.4%,59,+1.8,57,+1.2,47,-0.5
Fred Jones,25.6,IND,Wing,210,46,-1.2,66,+3.0,26,-2.7%,17,+3.0%,27,-3.2,12,-5.1,58,+9.0
James Jones,24.1,IND,Forward,181,35,-3.9,54,+0.1,47,+0.5%,8,+4.1%,48,-0.0,55,+0.6,40,-3.6
Jason Kidd,31.6,NJN,Point,182,1,-23.6,6,-13.5,32,-1.1%,72,-2.6%,4,-14.1,33,-1.1,4,-60.0
Kyle Korver,23.6,PHI,Wing,140,86,+10.5,93,+15.5,8,-7.3%,29,+1.9%,46,-0.1,20,-2.3,67,+15.4
Nenad Krstic,21.3,NJN,Big,154,46,-1.1,27,-4.0,4,-8.9%,89,-4.8%,18,-7.1,16,-3.8,28,-16.1
Raef LaFrentz,28.4,BOS,Big,185,68,+5.4,79,+6.7,18,-3.9%,39,+0.6%,32,-2.6,7,-6.5,65,+14.4
